,Concept_ID,ga,cy
0,Auge::N,súil,llygad
1,Ohr::N,cluas,clust
2,Nase::N,soc,trwyn
3,Mund::N,béal,ceg
4,Zahn::N,fiacail,dant
5,Zunge::N,teanga,tafod
6,Lippe::N,liopa,gwefus
7,Wange::N,grua,boch
8,Wange::N,leiceann,boch
9,Gesicht::N,éadan,wyneb
10,Gesicht::N,aghaidh,wyneb
11,Stirn::N,baithis,talcen
12,Stirn::N,clár éadain,talcen
13,Haar::N,gruaig,blew
14,Schnurrbart::N,croiméal,mwstas
15,Bart::N,féasóg,barf
16,Kinn::N,smig,gên
17,Kiefer[Anatomie]::N,giall,gên
18,Kehle::N,scornach,gwddf
19,Hals::N,muinéal,gwddf
20,Genick::N,baic,gwar
21,Genick::N,baic,gwegil
22,Kopf::N,ceann,pen
23,Rücken::N,droim,cefn
24,Bauch::N,bolg,bol
25,Nabel::N,imleacán,bogail
26,Busen::N,cíoch,bron
27,Brust::N,brollach,brest
28,Schulter::N,gualainn,ysgwydd
29,Arm::N,lámh,braich
30,Ellenbogen::N,uillinn,penelin
31,Hand::N,lámh,llaw
32,Handfläche::N,bos,palf
33,Finger::N,méar,bys
34,Fingernagel::N,ionga,ewin
35,Nagel[Anatomie]::N,ionga,ewin
36,Zeh::N,ladhar,bys troed
37,Fuß::N,cos,troed
38,Fuß::N,troigh,troed
39,Ferse::N,sáil,sawdl
40,Knie::N,glúin,glin
41,Oberschenkel::N,ceathrú,clun
42,Bein::N,cos,coes
43,Körper::N,corp,corff
44,Körper::N,colainn,corff
45,Haut::N,cneas,croen
46,Haut::N,craiceann,croen
47,Blut::N,fuil,gwaed
48,Sehne::N,teannán,gewyn
49,Sehne::N,féitheog,gewyn
50,Knochen::N,cnámh,asgwrn
51,Gehirn::N,inchinn,ymennydd
52,Herz::N,croí,calon
53,Magen::N,bolg,cylla
54,Magen::N,bolg,stumog
55,Magen::N,goile,cylla
56,Magen::N,goile,stumog
57,Leber::N,ae,iau
58,Atem::N,anáil,anadl
59,Hunger::N,ocras,newyn
60,Träne::N,deoir,deigryn
61,Geschmack::N,blas,cyflas
62,Geruch::N,boladh,aroglau
63,Schlaf::N,suan,cwsg
64,Schlaf::N,codladh,cwsg
