,Concept_ID,,ca
0,Auge::N,,ull
1,Ohr::N,,orella
2,Nase::N,,nas
3,Mund::N,,boca
4,Zahn::N,,dent
5,Zunge::N,,llēngua
6,Lippe::N,,llavi
7,Wange::N,,galta
8,Gesicht::N,,cara
9,Stirn::N,,front
10,Haar::N,,cabēll
11,Schnurrbart::N,,bigoti
12,Bart::N,,barba
13,Kinn::N,,mentó
14,Kinn::N,,barbeta
15,Kiefer[Anatomie]::N,,queix
16,Kiefer[Anatomie]::N,,mandíbula
17,Kehle::N,,gola
18,Kehle::N,,gorja
19,Hals::N,,coll
20,Genick::N,,nuca
21,Kopf::N,,cap
22,Rücken::N,,esquena
23,Bauch::N,,panxa
24,Nabel::N,,llombrígol
25,Busen::N,,pit
26,Busen::N,,mama
27,Brust::N,,pit
28,Schulter::N,,espatlla
29,Arm::N,,braç
30,Ellenbogen::N,,colze
31,Hand::N,,mà
32,Handfläche::N,,palma
33,Finger::N,,dit
34,Fingernagel::N,,ungla
35,Nagel[Anatomie]::N,,ungla
36,Zeh::N,,dit del peu
37,Fuß::N,,peu
38,Ferse::N,,taló
39,Knie::N,,genoll
40,Oberschenkel::N,,cuixa
41,Bein::N,,cama
42,Körper::N,,cos
43,Haut::N,,pell
44,Blut::N,,sang
45,Ader::N,,vena
46,Sehne::N,,tendó
47,Knochen::N,,os
48,Gehirn::N,,cervell
49,Herz::N,,cor
50,Magen::N,,estómac
51,Leber::N,,fetge
52,Atem::N,,alè
53,Atem::N,,hàlit
54,Hunger::N,,fam
55,Hunger::N,,gana
56,Träne::N,,llàgrima
57,Geschmack::N,,gust
58,Geschmack::N,,sabor
59,Geruch::N,,olor
60,Schlaf::N,,son
61,Traum::N,,somni
62,Himmel::N,,celm
63,Sonne::N,,sol
64,Mond::N,,lluna
65,Stern::N,,estel
66,Stern::N,,estrella
67,Luft::N,,aire
68,Wind::N,,vent
69,Welle::N,,ona
70,Wasser::N,,āigua
71,Stein::N,,pedra
72,Boden::N,,sòl
73,Erde::N,,terra
74,Staub::N,,pols
75,Rauch::N,,fum
76,Funke::N,,guspira
77,Funke::N,,centella
78,Feuer::N,,foc
79,Licht::N,,llum
80,Schatten::N,,ombra
81,Wetter::N,,temps
82,Nebel::N,,boira
83,Wolke::N,,núvol
84,Regen::N,,pluja
85,Schnee::N,,neu
86,Eis::N,,gel
87,Eis::N,,glaç
88,Frost::N,,glaçada
89,Kälte::N,,fred
90,Hitze::N,,calor
91,Raureif::N,,gebre
92,Regenbogen::N,,arc iris
93,Donner::N,,tro
94,Strömung::N,,corrent
95,Tropfen::N,,gota
96,Schaum::N,,escuma
97,Schmutz::N,,brutícia
98,See::N,,llac
99,Sumpf::N,,pantà
100,Moor::N,,pantà
101,Wiese::N,,prat
102,Wiese::N,,prada
103,Wald::N,,bosc
104,Hügel::N,,puig
105,Hügel::N,,pujol
106,Anhöhe::N,,turó
107,Berg::N,,muntanya
108,Gipfel::N,,cim
109,Höhle::N,,cova
110,Abhang::N,,coster
111,Quelle::N,,font
112,Bach::N,,riera
113,Fluss::N,,riu
114,Ufer::N,,riba
115,Küste::N,,costa
116,Festland::N,,terra ferma
117,Meer::N,,mar
118,Bucht::N,,cala
119,Bucht::N,,badia
120,Insel::N,,illa
121,Blume::N,,flor
122,Gras::N,,herba
123,Wurzel::N,,rel
124,Wurzel::N,,arrel
125,Baum::N,,arbre
126,Stamm::N,,tronc
