,Concept_ID,sv,kn
136,Zweig::N,kvist,ರೆಂಬೆ
137,Blatt::N,löv,ಎಲೆ
138,Blatt::N,blad,ಎಲೆ
139,Birke::N,björk,ಬರ್ಚ್ ಮರ
140,Kiefer[Baum]::N,tall,ದೇವದಾರು ಮರ
141,Weide[Baum]::N,pil,ವಿಲೋಮರ
142,Weide[Baum]::N,vide,ವಿಲೋಮರ
143,Tanne::N,gran,ಭದ್ರದಾರು
144,Horn::N,horn,ಕೊಂಬು
145,Feder::N,fjäder,ಪುಕ್ಕ
146,Fell::N,fäll,ರೋಮ
147,Fell::N,skinn,ರೋಮ
148,Flügel::N,vinge,ರೆಕ್ಕೆ
149,Klaue::N,klöv,ಪಂಜ
150,Kralle::N,klo,ಉಗುರು
151,Schwanz::N,svans,ಬಾಲ
152,Schwanz::N,stjärt,ಬಾಲ
153,Ei::N,ägg,ಮೊಟ್ಟೆ
154,Nest::N,rede,ಗೂಡು
155,Nest::N,näste,ಗೂಡು
156,Bau::N,bo,ಅಡಗುದಾಣ
157,Tier::N,djur,ಪ್ರಾಣಿ
158,Herde::N,flock,ಗುಂಪು
159,Kuh::N,ko,ಹಸು
160,Bulle::N,tjur,ಗೂಳಿ
161,Pferd::N,häst,ಕುದುರೆ
162,Schaf::N,får,ಕುರಿ
163,Schwein::N,svin,ಹಂದಿ
164,Hund::N,hund,ನಾಯಿ
165,Katze::N,katt,ಬೆಕ್ಕು
166,Bär::N,björn,ಕರಡಿ
167,Eichhörnchen::N,ekorre,ಉಡುತೆ
168,Elch::N,älg,ಕಡವೆ
169,Fuchs::N,räv,ನರಿ
170,Hase::N,hare,ಮೊಲ
171,Maus::N,mus,ಇಲಿ
172,Wolf::N,varg,ತೋಳ
173,Vogel::N,fågel,ಪಕ್ಷಿ
174,Schwarm::N,svärm,ಗುಂಪು
175,Huhn::N,höns,ಚಿಕ್
176,Hahn::N,tupp,ಹುಂಜ
177,Gans::N,gås,ವರಟೆ
178,Adler::N,örn,ಗರುಡ
179,Ente::N,anka,ಬಾತು
180,Eule::N,uggla,ಗೂಬೆ
181,Kranich::N,trana,ಕೊಕ್ಕರ
182,Krähe::N,kråka,ಕಾಗೆ
183,Kuckuck::N,gök,ಕೋಗಿಲೆ
184,Schwan::N,svan,ಹಂಸಪಕ್ಷಿ
185,Fisch::N,fisk,ಮೀನು
186,Barsch::N,abborre,ಪರ್ಚ್ ಮೀನು
187,Hecht::N,gädda,ಪೈಕ್ ಮೀನು
188,Schlange[Tier]::N,orm,ಹಾವು
189,Wurm::N,mask,ಹುಳು
190,Spinne::N,spindel,ಊರ್ಣನಾಭ
191,Ameise::N,myra,ಇರುವೆ
192,Laus::N,lus,ಹೇನು
193,Mücke::N,mygga,ಸೊಳ್ಳೆ
194,Fliege::N,fluga,ನೊಣ
195,Schmetterling::N,fjäril,ಪತಂಗ
196,Beere::N,bär,ನಯವಣ್ಣು
197,Apfel::N,äpple,ಸೇಬು
198,Pilz::N,svamp,ಅಣಬೆ
199,Zwiebel::N,lök,ನೀರುಳ್ಳಿ
200,Saat::N,sådd,ಬಿತ್ತ
201,Korn::N,korn,ಬೀಜ
202,Heu::N,hö,ಕರಡ
203,Schale::N,skal,ಹೊಟ್ಟು
204,Grube::N,grop,ಗುಂಡಿ
205,Falle::N,fälla,ಬೋನು
206,Schlinge::N,snara,ಉರುಲು
207,Spur::N,spår,ಜಾಡು
208,Asche::N,aska,ಬೂದಿ
209,Dreck::N,lort,ಹೊಲಸು
210,Eisen::N,järn,ಕಬ್ಬಿಣ
211,Gold::N,guld,ಚಿನ್ನ
212,Silber::N,silver,ಬೆಳ್ಳಿ
213,Kohle::N,kol,ಕಲ್ಲಿದ್ದಲು
214,Glas::N,glas,ಗಾಜು
215,Lehm::N,lera,ಜೇಡಿಮಣ್ಣು
216,Sand::N,sand,ಮರಳು
217,Mensch::N,människa,ಪುರುಷ
218,Mann::N,man,ಆಳು
219,Frau::N,kvinna,ಹೆಣ್ಣು
220,Kind::N,barn,ಮಗು
221,Junge::N,pojke,ಹುಡುಗ
222,Mädchen::N,flicka,ಹುಡುಗಿ
223,Familie::N,familj,ಕುಟುಂಬ
224,Großvater::N,morfar,ಅಜ್ಜ
225,Großmutter::N,farmor,ಅಮ್ಮ
226,Eltern::N,föräldrar,ಹೆತ್ತವರು
227,Vater::N,far,ತಂದೆ
228,Mutter::N,mor,ಅಮ್ಮ
229,Sohn::N,son,ಮಗ 
230,Tochter::N,dotter,ಮಗಳು
231,Bruder::N,bror,ತಮ್ಮ
232,Schwester::N,syster,ತಂಗಿ
233,Onkel::N,morbror,ಸೋದರಮಾವ
234,Onkel::N,morbror,ದೊಡ್ಡಪ್ಪ
235,Tante::N,tant,ಚಿಕ್ಕಮ್ಮ
236,Ehemann::N,äkta man,ಗಂಡ
237,Ehefrau::N,hustru,ಹೆಂಡತಿ
238,Freude::N,fröjd,ನಲಿವು
239,Freude::N,glädje,ನಲಿವು
240,Gelächter::N,åtlöje,ನಗೆ
241,Glück::N,lycka,ಆನಂದ
242,Kummer::N,sorg,ದುಃಖ
243,Wunsch::N,önskan,ಬಯಕೆ
244,Lust::N,lust,ಇಷ್ಟ
245,Geist::N,ande,ಆತ್ಮ
246,Gedanke::N,tanke,ಯೋಚನೆ
247,Gedächtnis::N,minne,ಸ್ಮರಣೆ
248,Verstand::N,förstånd,ಮನಸ್ಸು
249,Sinn::N,mening,ಅರ್ಥ
250,Sinn::N,betydelse,ಅರ್ಥ
251,Grund::N,skäl,ಕಾರಣ
252,Grund::N,grund,ಕಾರಣ
253,Wahrheit::N,sanning,ಸತ್ಯ
254,Gespräch::N,samtal,ಸಂಭಾಷಣೆ
255,Märchen::N,saga,ಸುಳ್ಳು ಕಥೆ
256,Erzählung::N,berättelse,ಕಥೆ
257,Nachricht::N,meddelande,ಸಂದೇಶ
258,Neuigkeit::N,nyhet,ಸುದ್ದಿ
259,Name::N,namn,ಹೆಸರು
260,Rätsel::N,gåta,ಒಗಟು
261,Rede::N,tal,ಮಾತು
262,Sprache::N,språk,ಭಾಷೆ
263,Stimme::N,stämma,ಧ್ವನಿ
264,Wort::N,ord,ಮಾತು
265,Zeichen::N,tecken,ಗುರುತು
266,Ruf::N,rop,ಕೂಗು
267,Lärm::N,bråk,ಸದ್ದು
268,Lärm::N,oväsen,ಸದ್ದು
269,Laut::N,ljud,ಶಬ್ದ
270,Ton::N,ton,ನಾದ
271,Lied::N,sång,ಗಾನ
272,Ruhe::N,ro,ಶಾಂತಿ
273,Ruhe::N,lugn,ಶಾಂತಿ
274,Leute::N,folk,ಮಂದಿ
275,Volk::N,folk,ಜನಾಂಗ
276,Arbeit::N,arbete,ಕೆಲಸ
277,Gast::N,gäst,ಅತಿಥಿ
278,Geschenk::N,gåva,ಕಾಣಿಕೆ
279,Geschenk::N,present,ಕಾಣಿಕೆ
280,Spiel::N,lek,ಆಟ
281,Spiel::N,spel,ಆಟ
282,Gesellschaft::N,sällskap,ಸಂಗ
283,Hilfe::N,hjälp,ಸಹಾಯ
284,Freund::N,vän,ಸ್ನೇಹಿತ
285,Kamerad::N,kamrat,ಜೊತೆಗಾರ
286,Angelegenheit::N,ärende,ವಿಚಾರ
287,Angelegenheit::N,angelägenhet,ವಿಚಾರ
288,Anzahl::N,antal,ಎಣಿಕೆ
289,Art::N,art,ತರ
290,Art::N,slag,ತರ
291,Stück::N,stycke,ತುಂಡು
292,Teil::N,del,ಭಾಗ
293,Hälfte::N,halva,ಅರ್ಧ
294,Kreis::N,krets,ವೃತ್ತ
295,Kreis::N,cirkel,ವೃತ್ತ
296,Kreuz::N,kors,ಶಿಲುಬೆ
297,Kreuz::N,kryss,ಶಿಲುಬೆ
298,Linie::N,linje,ರೀಖೆ
299,Strich::N,streck,ಗೀಟು
300,Abstand::N,avstånd,ಅಂತರ
301,Entfernung::N,avstånd,ದೂರ
302,Gegend::N,trakt,ವಿಸ್ತೀರ್ಣ
303,Platz::N,plats,ಅಂತರ
304,Ort::N,plats,ಸ್ಥಳ
305,Ort::N,ställe,ಸ್ಥಳ
306,Seite::N,sida,ಪಕ್ಷ
307,Mitte::N,mitt,ನಡು
308,Gegenstand::N,föremål,ವಸ್ತು
309,Sache::N,sak,ವಸ್ತು
310,Rand::N,rand,ಅಂಚು
311,Kante::N,kant,ಅಂಚು
312,Ecke::N,vrå,ಮೂಲೆ
313,Ecke::N,hörn,ಮೂಲೆ
314,Spitze::N,spets,ತುದಿ
315,Ende::N,ända,ಕೊನೆ
316,Loch::N,hål,ತೂತು
317,Winkel::N,vinkel,ಕೋನ
318,Muster::N,mönster,ನಮೂನೆ
319,Größe::N,storlek,ಪ್ರಮಾಣ
320,Länge::N,längd,ಉದ್ದ
321,Höhe::N,höjd,ಎತ್ತರ
322,Gewicht::N,tyngd,ತೂಕ
323,Menge::N,mängd,ಮೊತ್ತ
324,Haufen::N,hög,ರಾಶಿ
325,Reihe::N,rad,ಸಾಲು
326,Boot::N,båt,ದೋಣಿ
327,Ruder::N,åra,ಹುಟ್ಟು
328,Schlitten::N,släde,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
329,Ski::N,skida,ಜಾರುಪಟ್ಟಿ
330,Lagerfeuer::N,lägereld,ಶಿಬಿರಾಗ್ನಿ
331,Last::N,last,ಹೊರೆ
332,Last::N,börda,ಹೊರೆ
333,Gang::N,gång,ತಿರುಗಾಟ
334,Schritt::N,steg,ಹೆಜ್ಜೆ
335,Norden::N,norr,ಉತ್ತರ
336,Süden::N,söder,ದಕ್ಷಿಣ
337,Westen::N,väster,ಪಶ್ಚಿಮ
338,Osten::N,öster,ಮೂಡಲು
339,Holz::N,trä,ಚೌಬೀನೆ
340,Brett::N,bräda,ಹಲಗೆ
341,Platte::N,platta,ಹಲಗೆ
342,Stütze::N,stöd,ಆಸರೆ
343,Stütze::N,stötta,ಆಸರೆ
344,Stange::N,stång,ಕಂಬ
345,Stock::N,käpp,ಕೋಲು
346,Stock::N,pinne,ಕೋಲು
347,Stab::N,stav,ದೊಣ್ಣೆ
348,Rohr::N,rör,ನಳಿಕೆ
349,Haus::N,hus,ಮನೆ
350,Heim::N,hem,ಗೃಹ
351,Ofen::N,ugn,ಒಲೆ
352,Fußboden::N,golv,ನೆಲ
353,Tisch::N,bord,ಮೇಜು
354,Stuhl::N,stol,ಕುರ್ಚಿ
355,Wiege::N,vagga,ತೊಟ್ಟಿಲು
356,Bett::N,säng,ಹಾಸಿಗೆ
357,Regal::N,hylla,ಬೀರು
358,Kiste::N,låda,ಪಟ್ಟಿಗೆ
359,Fenster::N,fönster,ಕಿಟಕಿ
360,Tür::N,dörr,ಬಾಗಿಲು
361,Tor::N,port,ಹೆಬ್ಬಾಗಿಲು
362,Zaun::N,staket,ಬೇಲಿ
363,Zaun::N,stängsel,ಬೇಲಿ
364,Dach::N,tak,ಮಾಳಿಗೆ
365,Leiter::N,stege,ಏಣಿ
366,Besen::N,kvast,ಪೊರಕೆ
367,Spaten::N,spade,ಗುದ್ದಲಿ
368,Schaufel::N,skovel,ಸನಿಕೆ
369,Schaufel::N,skyffel,ಸನಿಕೆ
370,Gabel::N,gaffel,ಕವಲು
371,Löffel::N,sked,ಚಮಚ
372,Messer::N,kniv,ಚಾಕು
373,Nagel::N,spik,ಆಣಿ
374,Netz::N,nät,ಬಲೆ
375,Haken::N,krok,ಕೊಂಡಿ
376,Griff::N,tag,ಹಿಡಿ
377,Griff::N,handtag,ಹಿಡಿ
378,Schloss::N,las,ವೀಗ
379,Bild::N,bild,ಚಿತ್ರ
380,Figur::N,figur,ಆಕಾರ
381,Puppe::N,docka,ಗೊಂಬೆ
382,Beutel::N,påse,ಸಂಚಿ
383,Bündel::N,bunt,ಕಟ್ಟು
384,Bündel::N,knippa,ಕಟ್ಟು
385,Tasche::N,väska,ಚೀಲ
386,Eimer::N,hink,ಬಾನೆ
387,Eimer::N,ämbar,ಬಾನೆ
388,Deckel::N,lock,ಮುಚ್ಚಳ
389,Geschirr::N,servis,ಭಕ್ಷ್ಯಗಳು
390,Geschirr::N,porslin,ಭಕ್ಷ್ಯಗಳು
391,Sack::N,säck,ಮೂಟೆ
392,Tasse::N,kopp,ಬಟ್ಟಲು
393,Topf::N,gryta,ಮಡಕೆ
394,Topf::N,kastrull,ಮಡಕೆ
395,Kessel::N,kittel,ಕೆಟಲ್
396,Essen::N,mål,ಊಟ
397,Nahrung::N,näring,ಆಹಾರ
398,Speise::N,maträtt,ಊಟ
399,Fleisch::N,kött,ಮಾಂಸ
400,Getreide::N,säd,ಧಾನ್ಯ
401,Getreide::N,spannmål,ಧಾನ್ಯ
402,Brei::N,gröt,ಗಂಜಿ
403,Brot::N,bröd,ರೊಟ್ಟಿ
404,Scheibe::N,skiva,ಹೋಳು
405,Fett::N,fett,ಕೊಬ್ಬು
406,Butter::N,smör,ಬೆಣ್ಣೆ
407,Öl::N,olja,ಎಣ್ಣೆ
408,Salz::N,salt,ಉಪ್ಪು
409,Suppe::N,soppa,ಎಸರು
410,Honig::N,honung,ಮಧು
411,Milch::N,mjölk,ಹಾಲು
412,Tee::N,te,ಚಹ
413,Leder::N,läder,ಚಕ್ಕಳ
414,Wolle::N,ull,ಉಣ್ಣೆ
415,Wolle::N,ylle,ಉಣ್ಣೆ
416,Stoff::N,tyg,ಬಟ್ಟೆ
417,Stoff::N,stoff,ಬಟ್ಟೆ
418,Nadel::N,nål,ಸೂಜಿ
419,Faden::N,tråd,ದಾರ
420,Knopf::N,knapp,ಗುಂಡು
421,Knoten::N,knut,ಗಂಟು
422,Farbe::N,färg,ಬಣ್ಣ
423,Kleidung::N,klädsel,ಅರಿವೆ
424,Hemd::N,skjorta,ಅಂಗಿ
425,Kragen::N,krage,ಕುತ್ತಿಗೆಪಟ್ಟಿ
426,Ärmel::N,ärm,ತೋಳು
427,Hose::N,byxor,ಇಜಾರ
428,Gürtel::N,bälte,ಬೆಲ್ಟು
429,Mütze::N,mössa,ಟೋಪಿ
430,Schuh::N,sko,ಪಾದರಕ್ಷೆ
431,Stiefel::N,stövel,ಬೂಟು
432,Ring::N,ring,ಉಂಗುರ
433,Band::N,band,ರಿಬ್ಬನ್
434,Kamm::N,kam,ಹಣಿಗೆ
435,Spiegel::N,spegel,ಕನ್ನಡಿ
436,Riemen::N,rem,ಬಾರು
437,Schnur::N,snöre,ಹುರಿ
438,Leine::N,lina,ಹಗ್ಗ
439,Decke::N,täcke,ಕಂಬಳಿ
440,Kissen::N,dyna,ದಿಂಬು
441,Kissen::N,kudde,ದಿಂಬು
442,Tuch::N,sjal,ಕೊರಳ ಬಟ್ಟೆ
443,Handtuch::N,handduk,ಚೌಕ
444,Kraft::N,kraft,ಬಲ
445,Stärke::N,styrka,ಶಕ್ತಿ
446,Gesundheit::N,hälsa,ಆರೋಗ್ಯ
447,Krankheit::N,sjukdom,ರೋಗ
448,Schmerz::N,smärta,ನೋವು
449,Wunde::N,sår,ಗಾಯ
450,Fieber::N,feber,ಜ್ವರ
451,Arznei::N,medicin,ಔಷಧ
452,Arznei::N,läkemedel,ಔಷಧ
453,Brücke::N,bro,ಸೇತುವೆ
454,Brunnen::N,brunn,ಬಾವಿ
455,Weide::N,bete,ಗೋಮಾಳ
456,Pfad::N,stig,ದಾರಿ
457,Weg::N,väg,ಹಾದಿ
458,Straße::N,gata,ರಸ್ತೆ
459,Dorf::N,by,ಹಳ್ಳಿ
460,Stadt::N,stad,ಪಟ್ಟಣ
461,Brief::N,brev,ಕಾಗದ
462,Buch::N,bok,ಪುಸ್ತಕ
463,Buchstabe::N,bokstav,ಅಕ್ಷರ
464,Zeitung::N,tidning,ವಾರ್ತಾಪತ್ರಿಕೆ
465,Leben::N,liv,ಜೀವನ
466,Tod::N,död,ಮರಣ
467,Grab::N,grav,ಗೋರಿ
468,Kirche::N,kyrka,ಚರ್ಚು
469,Sünde::N,synd,ಪಾಪ
470,Gott::N,gud,ದೇವರು
471,Arbeiter::N,arbetare,ಕೆಲಸಗಾರ
472,Chef::N,chef,ದಣಿ
473,Meister::N,mästare,ಶಿಕ್ಷಕ
474,Arzt::N,läkare,ವೈದ್ಯ
475,Lehrer::N,lärare,ಉಪಾಧ್ಯಾಯ
476,Geld::N,pengar,ಹಣ
477,Geschäft::N,rörelse,ವಾಣಿಜ್ಯ
478,Laden::N,affär,ಅಂಗಡಿ
479,Preis::N,pris,ಬೆಲೆ
480,Ware::N,vara,ಸರಕು
481,Nutzen::N,gagn,ಲಾಭ
482,Nutzen::N,nytta,ಲಾಭ
483,Reichtum::N,rikedom,ಸಂಪತ್ತು
484,Welt::N,värld,ಭೂಲೋಕ
485,Land::N,land,ದೇಶ
486,Staat::N,stat,ರಾಜ್ಯ
487,König::N,kung,ರಾಜ
488,König::N,konung,ರಾಜ
489,Macht::N,makt,ಅಧಿಕಾರ
490,Grenze::N,gräns,ಗಡಿ
491,Krieg::N,krig,ಯುದ್ಧ
