,Concept_ID,de,ab
0,Auge::N,Auge,ала
1,Ohr::N,Ohr,алымҳа
2,Nase::N,Nase,аҧынҵа
3,Mund::N,Mund,аҧышə
4,Zahn::N,Zahn,ахаҧыц
5,Zunge::N,Zunge,абз
6,Lippe::N,Lippe,ақьышə
7,Wange::N,Wange,аӡамҩа
8,Gesicht::N,Gesicht,аҿы
9,Stirn::N,Stirn,алахь
10,Haar::N,Haar,ахəыц
11,Schnurrbart::N,Schnurrbart,аҧаҵа
12,Bart::N,Bart,ажакьа
13,Kinn::N,Kinn,ацламкəыгə
14,Kiefer[Anatomie]::N,Kiefer,ацламҳəа
15,Kehle::N,Kehle,ахəда
16,Hals::N,Hals,ахəда
17,Genick::N,Genick,ахəдаџьал
18,Kopf::N,Kopf,ахы
19,Rücken::N,Rücken,азқəа
20,Bauch::N,Bauch,амгəа
21,Nabel::N,Nabel,аҷапан
22,Busen::N,Busen,агəыҧҳəы
23,Brust::N,Brust,агəышҧы
24,Schulter::N,Schulter,ажəҩахыр
25,Arm::N,Arm,амахəар
26,Ellenbogen::N,Ellenbogen,амашьхəылҵ
27,Hand::N,Hand,анапы
28,Handfläche::N,Handfläche,анапсаргəыҵа
29,Finger::N,Finger,анацəа
30,Fingernagel::N,Fingernagel,анапхыц
31,Nagel[Anatomie]::N,Nagel,ашьапхыц
32,Zeh::N,Zeh,ашьацəа
33,Fuß::N,Fuß,ашьапсыргəыҵа
34,Ferse::N,Ferse,ашьхəа
35,Knie::N,Knie,ашьамхы
36,Oberschenkel::N,Oberschenkel,ауаҭəа
37,Bein::N,Bein,ашьапы
38,Körper::N,Körper,ацəеижь
39,Haut::N,Haut,ацəа
40,Blut::N,Blut,ашьа
41,Ader::N,Ader,ада
42,Sehne::N,Sehne,адаш
43,Knochen::N,Knochen,абаҩ
44,Gehirn::N,Gehirn,ахшлыбаҩ
45,Gehirn::N,Gehirn,ахшыбаҩ
46,Herz::N,Herz,агəы
47,Magen::N,Magen,аца
48,Magen::N,Magen,ацар
49,Leber::N,Leber,агəаҵəа
50,Atem::N,Atem,аҧсыҧлагаҩгара
51,Hunger::N,Hunger,амла
52,Träne::N,Träne,алабжыш
53,Geschmack::N,Geschmack,агьама
54,Geruch::N,Geruch,афҩы
55,Schlaf::N,Schlaf,ацəа
56,Traum::N,Traum,аҧхыӡ
57,Himmel::N,Himmel,ажəҩан
58,Sonne::N,Sonne,амра
59,Mond::N,Mond,амза
60,Stern::N,Stern,аеҵəа
61,Luft::N,Luft,аҳаир
62,Wind::N,Wind,аҧша
63,Welle::N,Welle,ацəқəырҧа
64,Wasser::N,Wasser,аӡы
65,Stein::N,Stein,ахаҳə
66,Boden::N,Boden,адгьыл
67,Erde::N,Erde,адгьыл
68,Staub::N,Staub,асаба
69,Rauch::N,Rauch,алҩа
70,Funke::N,Funke,акəиц
71,Funke::N,Funke,ацҧхь
72,Feuer::N,Feuer,амца
73,Licht::N,Licht,алашара
74,Schatten::N,Schatten,ашəшьыра
75,Wetter::N,Wetter,амш
76,Nebel::N,Nebel,анаҟəа
77,Wolke::N,Wolke,аҧсҭҳəа
78,Regen::N,Regen,ақəа
79,Schnee::N,Schnee,асы
80,Eis::N,Eis,аҵаа
81,Frost::N,Frost,аҵаа
82,Kälte::N,Kälte,ахьҭа
