,Concept_ID,ko,nl
0,Auge::N,눈,oog
1,Ohr::N,귀,oor
2,Nase::N,코,neus
3,Mund::N,입,mond
4,Zahn::N,이,tand
5,Zunge::N,혀,tong
6,Lippe::N,입술,lip
7,Wange::N,뺨,wang
8,Gesicht::N,얼굴,gelaat
9,Gesicht::N,얼굴,gezicht
10,Stirn::N,이마,voorhoofd
11,Haar::N,털,haar
12,Schnurrbart::N,윗수몀,snor
13,Schnurrbart::N,코밑수염,snor
14,Bart::N,수엄,baard
15,Kinn::N,아래턱,kin
16,Kiefer[Anatomie]::N,턱,kaak
17,Kehle::N,인후,keel
18,Kehle::N,인후,strot
19,Hals::N,목,hals
20,Genick::N,먹덜이,nek
21,Kopf::N,머리,hoofd
22,Rücken::N,든,rug
23,Bauch::N,배,buik
24,Nabel::N,배꼽,navel
25,Busen::N,가슴속,boezem
26,Brust::N,가슴,borst
27,Schulter::N,어깨,schouder
28,Arm::N,팔,arm
29,Ellenbogen::N,팔쿰치,elleboog
30,Hand::N,손,hand
31,Handfläche::N,손바닥,handpalm
32,Finger::N,속가락,vinger
33,Fingernagel::N,손톱,nagel
34,Nagel[Anatomie]::N,손톱,nagel
35,Zeh::N,발가락,teen
36,Fuß::N,발,voet
37,Ferse::N,발꿈치,hak
38,Ferse::N,발꿈치,hiel
39,Knie::N,무릎,knie
40,Oberschenkel::N,허벅다리,dij
41,Bein::N,다리,been
42,Körper::N,구간,lichaam
43,Haut::N,살갗,huid
44,Blut::N,피,bloed
45,Ader::N,정맥,ader
46,Sehne::N,현,pees
47,Knochen::N,뼈,bot
48,Knochen::N,뼈,been
49,Knochen::N,뼈,knook
50,Gehirn::N,뇌,hersenen
51,Gehirn::N,뇌수,hersenen
52,Herz::N,염통,hart
53,Magen::N,위,maag
54,Leber::N,간,lever
55,Atem::N,기식,adem
56,Hunger::N,공복,honger
57,Träne::N,눈물,traan
58,Geschmack::N,기호,smaak
59,Geruch::N,냄새,geur
60,Schlaf::N,수면,slaap
61,Traum::N,쿰,droom
62,Himmel::N,하늘,hemel
63,Sonne::N,해,zon
64,Mond::N,달,maan
65,Stern::N,별,ster
66,Luft::N,동준,lucht
67,Luft::N,가스채,lucht
68,Wind::N,바람,wind
69,Welle::N,물결,golf
70,Wasser::N,물,water
71,Stein::N,돌,steen
72,Boden::N,바닥,grond
73,Erde::N,흙,aarde
74,Staub::N,먼지,stof
75,Rauch::N,연기,rook
76,Funke::N,불티,vonk
77,Feuer::N,불,vuur
78,Licht::N,불,licht
79,Schatten::N,어스레함,schaduw
80,Wetter::N,기상,weer
81,Nebel::N,안개,mist
82,Nebel::N,안개,nevel
83,Wolke::N,구름,wolk
84,Regen::N,비,regen
85,Schnee::N,눈,sneeuw
86,Eis::N,얼음,ijs
87,Frost::N,혹한,vorst
88,Kälte::N,추위,kou
89,Kälte::N,추위,koude
90,Kälte::N,차가움,kou
91,Kälte::N,차가움,koude
92,Hitze::N,고온,hitte
93,Hitze::N,더위,hitte
94,Regenbogen::N,무지개,regenboog
95,Donner::N,뇌명,donder
96,Strömung::N,유동,stroming
97,Tropfen::N,물방울,druppel
98,Schaum::N,포말,schuim
99,Schmutz::N,때,vuil
100,See::N,호수,meer
101,Sumpf::N,습지,moeras
102,Moor::N,저습지,veen
103,Wiese::N,목초지,wei
104,Wiese::N,목초지,weide
105,Wald::N,숲,bos
106,Hügel::N,언덕,heuvel
107,Anhöhe::N,언덕,hoogte
108,Berg::N,산,berg
109,Gipfel::N,졀졍,top
110,Höhle::N,공동,hol
111,Abhang::N,몰매,helling
112,Quelle::N,근원,bron
113,Bach::N,내,beek
114,Fluss::N,강,stroom
115,Ufer::N,강변,wal
116,Ufer::N,강변,oever
117,Ufer::N,바닷가,wal
118,Ufer::N,바닷가,oever
119,Küste::N,해변,kust
120,Küste::N,해변가,kust
121,Festland::N,본토,vasteland
122,Meer::N,바다,zee
123,Bucht::N,협만,baai
124,Bucht::N,협만,inham
125,Insel::N,섬,eiland
126,Blume::N,꽃,bloem
127,Gras::N,풀,gras
128,Wurzel::N,뿌리,wortel
129,Baum::N,나무,boom
130,Stamm::N,대,stam
131,Rinde::N,나무껍질,schors
132,Ast::N,가지,tak
133,Zweig::N,가지,twijg
134,Blatt::N,잎,blad
135,Birke::N,자작나무,berk
136,Kiefer[Baum]::N,소나무,den
137,Weide[Baum]::N,쉬양버들,wilg
138,Tanne::N,전나무,spar
139,Horn::N,뿔,hoorn
140,Feder::N,깃털,veer
141,Feder::N,깃털,pluim
142,Fell::N,피혁모피,vel
143,Flügel::N,날개,vleugel
144,Klaue::N,갈고리 발톺,klauw
145,Kralle::N,발툭,klauw
146,Schwanz::N,꼬리,staart
147,Ei::N,알,ei
148,Nest::N,보금자리,nest
149,Bau::N,굴,hol
150,Tier::N,짐승,dier
151,Herde::N,가축의떼,kudde
152,Kuh::N,암소,koe
153,Bulle::N,황소,stier
154,Pferd::N,말,paard
155,Schaf::N,양,schaap
156,Schwein::N,돼지,varken
157,Hund::N,개,hond
158,Katze::N,고양이,kat
159,Bär::N,콤,beer
160,Eichhörnchen::N,다람쥐,eekhoorntje
161,Elch::N,고라니,eland
162,Fuchs::N,여우,vos
163,Hase::N,토끼,haas
164,Maus::N,쥐,muis
165,Wolf::N,늑대,wolf
166,Vogel::N,새,vogel
