,Concept_ID,is,hu
0,Auge::N,auga,szem
1,Ohr::N,eyra,fül
2,Nase::N,nef,orr
3,Mund::N,munnur,száj
4,Zahn::N,tönn,fog
5,Zunge::N,tunga,nyelv
6,Lippe::N,vör,ajak
7,Wange::N,kinn,orca
8,Wange::N,vangi,orca
9,Gesicht::N,andlit,arc
10,Stirn::N,enni,homlok
11,Haar::N,hár,haj
12,Schnurrbart::N,yfirskegg,bajusz
13,Bart::N,skegg,szakáll
14,Kinn::N,haka,áll
15,Kiefer[Anatomie]::N,kjálki,állkapocs
16,Kiefer[Anatomie]::N,skoltur,állkapocs
17,Kehle::N,kverk,gége
18,Kehle::N,kverk,torok
19,Hals::N,háls,nyak
20,Genick::N,hnakki,tarkó
21,Kopf::N,höfuð,fő
22,Kopf::N,höfuð,fej
23,Rücken::N,hryggur,hát
24,Bauch::N,kviður,has
25,Nabel::N,nafli,köldök
26,Busen::N,barmur,mell
27,Busen::N,barmur,kebel
28,Brust::N,brjóst,mell
29,Schulter::N,öxl,váll
30,Arm::N,armur,kar
31,Ellenbogen::N,olnbogi,könyök
32,Hand::N,hönd,kéz
33,Handfläche::N,lófi,tenyér
34,Finger::N,fingur,ujj
35,Fingernagel::N,fingurnögl,köröm
36,Nagel[Anatomie]::N,nögl,köröm
37,Zeh::N,tá,lábujj
38,Fuß::N,fótur,láb
39,Ferse::N,hæll,sarok
40,Knie::N,kné,térd
41,Oberschenkel::N,læri,comb
42,Bein::N,fótleggur,láb
43,Bein::N,fótleggur,lábszár
44,Körper::N,búkur,test
45,Körper::N,líkami,test
46,Haut::N,húð,bőr
47,Haut::N,skinn,bőr
48,Blut::N,blóð,vér
49,Ader::N,æð,ér
50,Sehne::N,sin,ín
51,Knochen::N,bein,csont
52,Gehirn::N,heili,agy
53,Gehirn::N,heili,agyvelő
54,Herz::N,hjarta,szív
55,Magen::N,magi,gyomor
56,Leber::N,lifur,máj
57,Atem::N,andi,lehelet
58,Atem::N,andi,lélegzet
59,Atem::N,andardráttur,lehelet
60,Atem::N,andardráttur,lélegzet
61,Hunger::N,hungur,éhség
62,Träne::N,tár,könny
63,Geschmack::N,smekkur,íz
64,Geruch::N,lykt,szag
65,Schlaf::N,svefn,álom
66,Schlaf::N,svefn,alvás
67,Traum::N,draumur,álom
68,Himmel::N,himinn,ég
69,Himmel::N,himinn,menny
70,Sonne::N,sól,nap
71,Mond::N,tungl,hold
72,Stern::N,stjarna,csillag
73,Luft::N,loft,levegő
74,Wind::N,vindur,szél
75,Welle::N,alda,hullám
76,Welle::N,bylgja,hullám
77,Wasser::N,vatn,víz
78,Stein::N,steinn,kő
79,Boden::N,botn,föld
80,Boden::N,botn,talaj
81,Erde::N,jörð,föld
82,Staub::N,ryk,por
83,Staub::N,duft,por
84,Rauch::N,reykur,füst
85,Funke::N,neisti,szikra
86,Feuer::N,eldur,tűz
87,Licht::N,ljós,fény
88,Schatten::N,skuggi,árnyék
89,Wetter::N,veður,idő
90,Wetter::N,veður,időjárás
91,Nebel::N,þoka,köd
92,Wolke::N,ský,felhő
93,Regen::N,regn,eső
94,Schnee::N,snjór,hó
95,Eis::N,ís,jég
96,Frost::N,frost,fagy
97,Kälte::N,kuldi,hideg
98,Hitze::N,hiti,hő
99,Hitze::N,hiti,hőség
100,Raureif::N,hrím,zúzmara
101,Regenbogen::N,regnbogi,szivárvány
102,Donner::N,þruma,dörgés
103,Donner::N,þruma,mennydörgés
104,Strömung::N,straumur,áramlat
105,Tropfen::N,dropi,csepp
106,Schaum::N,froða,hab
107,Schaum::N,froða,tajték
108,Schmutz::N,óhreinindi,piszok
109,See::N,stöðuvatn,tó
110,Sumpf::N,fen,mocsár
111,Moor::N,mýri,láp
112,Wiese::N,engi,rét
113,Wiese::N,engi,mező
114,Wald::N,skógur,erdő
115,Hügel::N,hæð,domb
116,Hügel::N,hóll,domb
117,Anhöhe::N,hæð,magaslat
118,Anhöhe::N,hóll,magaslat
119,Berg::N,fell,hegy
120,Berg::N,fjall,hegy
121,Gipfel::N,tindur,csúcs
122,Höhle::N,hellir,barlang
123,Abhang::N,hlíð,lejtő
124,Abhang::N,brekka,lejtő
125,Quelle::N,lind,forrás
