,Concept_ID,br,kn
0,Auge::N,lagad,ಕಣ್ಣು
1,Ohr::N,skouarn,ಕಿವಿ
2,Nase::N,fri,ಮೂಗು
3,Mund::N,genoù,ಬಾಯಿ
4,Zahn::N,dant,ಹಲ್ಲು
5,Zunge::N,teod,ನಾಲಿಗೆ
6,Lippe::N,muzell,ತುಟಿ
7,Wange::N,chot,ಗಲ್ಲ
8,Gesicht::N,dremm,ಮುಖ
9,Stirn::N,tal,ಹಣೆ
10,Haar::N,blev,ಕೂದಲು
11,Schnurrbart::N,mourenn,ಮೀಸೆ
12,Bart::N,barv,ಗಡ್ಡ
13,Kinn::N,groñj,ಗದ್ದ
14,Kiefer[Anatomie]::N,javed,ದವಡೆ
15,Kehle::N,gouzoug,ಗಂಟಲು
16,Hals::N,gouzoug,ಕೊರಳು
17,Genick::N,choug,ಹಿಂಗತ್ತು
18,Kopf::N,penn,ತಲೆ
19,Rücken::N,kein,ಬೆನ್ನು
20,Bauch::N,kof,ಹೊಟ್ಟೆ
21,Nabel::N,begel,ಹೊಕ್ಕುಳು
22,Busen::N,bronn,ಸ್ತನ
23,Brust::N,bruched,ಎದೆ
24,Schulter::N,skoaz,ಭುಜ
25,Arm::N,brec'h,ತೋಳು
26,Ellenbogen::N,ilin,ಮೊಣಕೈ
27,Hand::N,dorn,ಕೈ
28,Handfläche::N,palv,ಅಂಗೈ
29,Finger::N,biz,ಕೈಬೆರಳು
30,Fingernagel::N,ivin,ಉಗುರು
31,Nagel[Anatomie]::N,ivin,ಉಗುರು
32,Zeh::N,biz-troad,ಕಾಲ್ಬೆರಳು
33,Fuß::N,troad,ಪಾದ
34,Ferse::N,seul,ಹಿಮ್ಮಡಿ
35,Knie::N,glin,ಮಂಡಿ
36,Oberschenkel::N,morzhed,ತೊಡೆ
37,Bein::N,gar,ಕಾಲು
38,Körper::N,korf,ದೇಹ
39,Haut::N,kroc'hen,ಚರ್ಮ
40,Blut::N,gwad,ರಕ್ತ
41,Ader::N,gwazhi,ನರ
42,Sehne::N,stir,ನರ
43,Knochen::N,askorn,ಮೂಳೆ
44,Gehirn::N,empenn,ಮಿದುಳು
45,Herz::N,kalon,ಹೃದಯ
46,Magen::N,stomog,ಉದರ
47,Leber::N,avu,ಯಕೃತ್ತು
48,Atem::N,anal,ಉಸಿರು
49,Hunger::N,naon,ಹಸಿವು
50,Träne::N,daer,ಕಣ್ಣೀರು
51,Geschmack::N,blaz,ರುಚಿ
52,Geruch::N,c'hwezh,ವಾಸನೆ
53,Schlaf::N,kousked,ನಿದ್ರೆ
54,Traum::N,hune,ಕನಸು
55,Himmel::N,oabl,ಬಾನು
56,Sonne::N,heol,ಸೂರ್ಯ
57,Mond::N,loar,ಚಂದ್ರ
58,Stern::N,steredenn,ಚುಕ್ಕಿ
59,Luft::N,aer,ವಾಯು
60,Wind::N,avel,ಗಾಳಿ
61,Welle::N,houlenn,ಅಲೆ
62,Wasser::N,dour,ನೀರು
63,Stein::N,maen,ಕಲ್ಲು
64,Boden::N,tachenn,ನೆಲ
65,Erde::N,douar,ಭೂಮಿ
66,Staub::N,poultr,ದೂಳು
67,Rauch::N,moged,ಹೊಗೆ
68,Funke::N,ful,ಕಿಡಿ
69,Feuer::N,tan,ಬೆಂಕಿ
70,Licht::N,gouloù,ಬೆಳಕು
71,Schatten::N,disheol,ನೆರಳು
72,Wetter::N,amzer,ಹವ
73,Nebel::N,brumenn,ಮಂಜು
74,Wolke::N,koumoulenn,ಮೋಡ
75,Regen::N,glav,ಮಳೆ
76,Schnee::N,erc'h,ಹಿಮ
77,Eis::N,skorn,ಮಂಜುಗಡ್ಡೆ
78,Frost::N,rev,ಮಂಜು
79,Kälte::N,yen,ಹಿಮ
80,Hitze::N,tommder,ಉಷ್ಣ
81,Raureif::N,frim,ಇಬ್ಬನಿ
82,Regenbogen::N,gwareg-ar-glav,ಇಂದ್ರಚಾಪ
83,Donner::N,kurun,ಗುಡುಗು
84,Strömung::N,red,ಪ್ರವಾಹ
85,Tropfen::N,bannac'h,ತೊಟ್ಟು
86,Tropfen::N,takenn,ತೊಟ್ಟು
87,Schaum::N,spoum,ನೊರೆ
88,Schmutz::N,fank,ಕಸ
89,See::N,lenn,ಸರೋವರ
90,Sumpf::N,gwern,ಜೌಗುಸ್ಥಳ
91,Moor::N,taouarc'heg,ಬಂಜರು ಭೂಮಿ
92,Wiese::N,prad,ಹುಲ್ಲುಗಾವಲು
93,Wald::N,koad,ಕಾಡು
94,Hügel::N,torgenn,ಗುಡ್ಡೆ
95,Anhöhe::N,run,ದಿಬ್ಬ
96,Berg::N,menez,ಮಲೆ
97,Berg::N,menez,ಪರ್ವತ
98,Gipfel::N,barr,ಶೃಂಗ
99,Höhle::N,kav,ಗುಹೆ
100,Abhang::N,naou,ಇಳಿಜಾರು
101,Quelle::N,feunteun,ಮೂಲ
102,Bach::N,gwazh,ತೊರೆ
103,Fluss::N,stêr,ನದಿ
104,Ufer::N,ribl,ತೀರ
105,Küste::N,aod,ದಂಡೆ
106,Festland::N,douar,ಭೂಮಿ
107,Meer::N,mor,ಕಡಲು
