,Concept_ID,en,sl
0,Auge::N,eye,okó
1,Ohr::N,ear,uhó
2,Nase::N,nose,nós
3,Mund::N,mouth,ústa
4,Zahn::N,tooth,zób
5,Zunge::N,tongue,jêzik
6,Lippe::N,lip,ústnica
7,Wange::N,cheek,líce
8,Gesicht::N,face,oblíčje
9,Stirn::N,forehead,čêlo
10,Haar::N,hair,lás
11,Schnurrbart::N,moustache,bŕki
12,Bart::N,beard,bráda
13,Kinn::N,chin,bráda
14,Kiefer[Anatomie]::N,jaw,čeljúst
15,Kehle::N,throat,gŕlo
16,Hals::N,neck,vrát
17,Genick::N,nape,zatílnik
18,Kopf::N,head,gláva
19,Rücken::N,back,hrbèt
20,Rücken::N,spine,hrbèt
21,Bauch::N,belly,trébuh
22,Nabel::N,navel,pópek
23,Busen::N,bosom,nédrja
24,Brust::N,chest,pŕsi
25,Brust::N,breast,pŕsi
26,Schulter::N,shoulder,ráma
27,Schulter::N,shoulder,plêče
28,Arm::N,arm,rôka
29,Ellenbogen::N,elbow,komólec
30,Hand::N,hand,rôka
31,Handfläche::N,palm,dlán
32,Finger::N,finger,pŕst
33,Fingernagel::N,fingernail,nóht na rôki
34,Nagel[Anatomie]::N,nail,nóht
35,Zeh::N,toe,pŕst na nôgi
36,Fuß::N,foot,nôga
37,Ferse::N,heel,pêta
38,Knie::N,knee,koléno
39,Oberschenkel::N,thigh,stêgno
40,Bein::N,leg,nôga
41,Körper::N,body,teló
42,Haut::N,skin,kóža
43,Blut::N,blood,krí
44,Ader::N,vein,žíla
45,Sehne::N,sinew,kíta
46,Knochen::N,bone,kóst
47,Gehirn::N,brain,možgáni
48,Herz::N,heart,srcé
49,Magen::N,stomach,želódec
50,Leber::N,liver,jétra
51,Atem::N,breath,díh
52,Hunger::N,hunger,glád
53,Träne::N,tear,sólza
54,Geschmack::N,flavour,okús
55,Geschmack::N,flavor,okús
56,Geruch::N,odour,vónj
57,Geruch::N,odor,vónj
58,Schlaf::N,sleep,sèn
59,Schlaf::N,sleep,spánec
60,Traum::N,dream,sánje
61,Himmel::N,sky,nebó
62,Sonne::N,sun,sónce
63,Mond::N,moon,lúna
64,Mond::N,moon,mésec
65,Stern::N,star,zvézda
66,Luft::N,air,zràk
67,Wind::N,wind,véter
68,Welle::N,wave,vál
69,Wasser::N,water,vôda
70,Stein::N,stone,kámen
71,Boden::N,soil,tlà
72,Boden::N,ground,tlà
73,Erde::N,earth,pŕst
74,Erde::N,earth,zêmlja
75,Staub::N,dust,práh
76,Rauch::N,smoke,dìm
77,Funke::N,spark,ískra
78,Feuer::N,fire,ôgenj
79,Licht::N,light,lúč
80,Schatten::N,shadow,sénca
81,Wetter::N,weather,vrême
82,Nebel::N,fog,meglà
83,Wolke::N,cloud,oblák
84,Regen::N,rain,dèž
85,Schnee::N,snow,snég
86,Eis::N,ice,léd
87,Frost::N,frost,zmrzál
88,Kälte::N,chill,mràz
89,Hitze::N,heat,pripéka
90,Raureif::N,hoarfrost,ívje
91,Raureif::N,hoarfrost,slána
92,Regenbogen::N,rainbow,mávrica
93,Donner::N,thunder,gròm
94,Strömung::N,current,strúja
95,Tropfen::N,drop,káplja
96,Schaum::N,foam,péna
97,Schmutz::N,dirt,nesnága
98,See::N,lake,jézero
99,Sumpf::N,swamp,močvírje
