,Concept_ID,bn,cy
0,Auge::N,চক্ষু,llygad
1,Ohr::N,কর্ণ,clust
2,Nase::N,নাক,trwyn
3,Mund::N,মুখ,ceg
4,Zahn::N,দাঁত,dant
5,Zunge::N,জিহবা,tafod
6,Lippe::N,অধর,gwefus
7,Wange::N,গণ্ড,boch
8,Gesicht::N,মুখমণ্ডল,wyneb
9,Stirn::N,কপাল,talcen
10,Haar::N,চুল,blew
11,Schnurrbart::N,গোঁফ,mwstas
12,Bart::N,শ্মশ্রু,barf
13,Kinn::N,চিবুক,gên
14,Kiefer[Anatomie]::N,চোয়াল,gên
15,Kehle::N,কণ্ঠ,gwddf
16,Hals::N,গল,gwddf
17,Genick::N,ঘাড়,gwar
18,Genick::N,ঘাড়,gwegil
19,Kopf::N,মাথা,pen
20,Rücken::N,পৃষ্ঠ,cefn
21,Bauch::N,উদর,bol
22,Nabel::N,নাভি,bogail
23,Busen::N,স্তন,bron
24,Brust::N,বুক,brest
25,Schulter::N,স্কন্ধ,ysgwydd
26,Arm::N,বাহু,braich
27,Ellenbogen::N,কনুই,penelin
28,Hand::N,হাত,llaw
29,Handfläche::N,করতল,palf
30,Finger::N,আঙ্গুল,bys
31,Fingernagel::N,হাতের নখ,ewin
32,Nagel[Anatomie]::N,নখ,ewin
33,Zeh::N,আঙ্গুল,bys troed
34,Fuß::N,পা,troed
35,Ferse::N,গোড়ালি,sawdl
36,Knie::N,হাঁটু,glin
37,Oberschenkel::N,ঊরু,clun
38,Bein::N,পা,coes
39,Körper::N,দেহ,corff
40,Haut::N,ত্বক,croen
41,Blut::N,রক্ত,gwaed
42,Ader::N,শিরা,gwythïen
43,Sehne::N,কণ্ডরা,gewyn
44,Knochen::N,অস্থি,asgwrn
45,Gehirn::N,মস্তিষ্ক,ymennydd
46,Herz::N,হৃৎপিণ্ড,calon
47,Magen::N,পাকস্থলী,cylla
48,Magen::N,পাকস্থলী,stumog
49,Leber::N,যকৃৎ,iau
50,Atem::N,শ্বাস,anadl
51,Hunger::N,ক্ষুধা,newyn
52,Träne::N,অশ্রু,deigryn
53,Geschmack::N,স্বাদ,cyflas
54,Geruch::N,গন্ধ,aroglau
55,Schlaf::N,ঘুম,cwsg
56,Traum::N,স্বপ্ন,breuddwyd
57,Himmel::N,আকাশ,awyr
58,Sonne::N,সূর্য,haul
59,Mond::N,চন্দ্র,lleuad
60,Stern::N,নক্ষত্র,seren
61,Luft::N,বায়ু,awyr
62,Wind::N,বাতাস,gwynt
63,Welle::N,ঢেউ,ton
64,Welle::N,তরঙ্গ,ton
65,Wasser::N,জল,dŵr
66,Stein::N,ঢিল,carreg
67,Stein::N,প্রস্তর,carreg
68,Boden::N,ভূতল,llawr
69,Erde::N,ভূমি,pridd
70,Staub::N,ধুলা,llwch
71,Rauch::N,ধোঁয়া,mwg
72,Funke::N,স্ফুলিঙ্গ,gwreichioni
73,Feuer::N,অগ্নি,tân
74,Licht::N,আলো,golau
75,Schatten::N,ছায়া,cysgod
76,Wetter::N,আবহাওয়া,tywydd
77,Nebel::N,কুহেলিকা,niwl
78,Wolke::N,মেঘ,cwmwl
79,Regen::N,বৃষ্টি,glaw
80,Schnee::N,তুষার,ôd
81,Schnee::N,তুষার,eira
82,Eis::N,বরফ,iâ
83,Frost::N,তুষার,rhew
84,Kälte::N,শৈত্য,oerni
85,Kälte::N,শৈত্য,annwyd
86,Hitze::N,তাপ,gwres
87,Raureif::N,তুহিন,barrug
88,Regenbogen::N,রামধনু,enfys
89,Donner::N,বজ্রধ্বনি,tyrfau
90,Strömung::N,স্রোত,cerrynt
91,Tropfen::N,ফোঁটা,dafn
92,Tropfen::N,ফোঁটা,diferyn
93,Schaum::N,ফেনা,ewyn
94,Schmutz::N,ধুলা,baw
95,Schmutz::N,ধুলা,budreddi
96,See::N,হ্রদ,llyn
97,Sumpf::N,জলা,cors
98,Moor::N,মাঠ,rhos
99,Wiese::N,তৃণভূমি,dôl
100,Wald::N,বন,coedwig
101,Hügel::N,পাহাড়,bryn
102,Anhöhe::N,টিলা,bryn
103,Berg::N,পর্বত,mynydd
104,Gipfel::N,শীর্ষ,copa
105,Höhle::N,গুহা,ogof
106,Abhang::N,ঢাল,llethr
107,Quelle::N,উৎস,tarddiad
108,Quelle::N,উৎস,ffynhonnell
109,Bach::N,ক্ষুদ্র নদী,nant
110,Bach::N,ক্ষুদ্র নদী,afonig
111,Bach::N,ক্ষুদ্র নদী,cornant
112,Fluss::N,নদী,afon
113,Ufer::N,উপকূল,glan
114,Küste::N,তীর,traeth
115,Küste::N,তীর,arfordir
116,Festland::N,ভূমি,tir
117,Meer::N,সমুদ্র,môr
118,Bucht::N,উপসাগর,bae
119,Insel::N,দ্বীপ,ynys
120,Blume::N,ফুল,blodyn
121,Gras::N,ঘাস,glaswellt
122,Wurzel::N,শিকড়,gwreiddyn
123,Baum::N,গাছ,coeden
124,Stamm::N,স্কন্ধ,colfen
125,Stamm::N,স্কন্ধ,boncyff
126,Rinde::N,বল্কল,rhisgl
127,Ast::N,শাখা,cangen
128,Zweig::N,ডাল,cainc
129,Zweig::N,ডাল,cangen
130,Blatt::N,পর্ণ,deilen
131,Birke::N,ভুর্জ,bedwen
132,Kiefer[Baum]::N,পাইন গাছ,pinwydden
133,Weide[Baum]::N,উইলো,helygen
134,Tanne::N,দেবদারূ গাছ,ffynidwydden
135,Horn::N,শিং,corn
136,Feder::N,পালক,plufyn
137,Fell::N,রোম,ffwr
138,Flügel::N,ডানা,adain
139,Klaue::N,নখর,crafanc
140,Kralle::N,নখর,ewin
141,Schwanz::N,লেজ,cwt
142,Schwanz::N,লেজ,cynffon
143,Ei::N,ডিম,wy
144,Nest::N,কুলায়,nyth
145,Bau::N,ডেরা,ffau
146,Tier::N,জন্তু,anifail
