,Concept_ID,ar,lez
0,Auge::N,عين,вил
1,Ohr::N,أذن,яб
2,Nase::N,أنف,нер
3,Mund::N,فم,сив
4,Zahn::N,سن,сас
5,Zahn::N,سن,свах
6,Zunge::N,لسان,мез
7,Lippe::N,شفة,пӏуз
8,Wange::N,خد,хъвехъ
9,Wange::N,وجنة,хъвехъ
10,Gesicht::N,وجه,ччин
11,Stirn::N,جبين,пел
12,Haar::N,شعر,чӏар
13,Schnurrbart::N,شارب,спел
14,Schnurrbart::N,شارب,спелар
15,Bart::N,لحية,ччуру
16,Kinn::N,ذقن,чене
17,Kiefer[Anatomie]::N,فك,чене
18,Kehle::N,حلق,туьд
19,Hals::N,عنق,гардан
20,Hals::N,رقبة,гардан
21,Genick::N,قفا,кьам
22,Kopf::N,رأس,кьил
23,Rücken::N,ظهر,далу
24,Bauch::N,بطن,руфун
25,Nabel::N,سرة,пицӏ
26,Busen::N,ثدي,мам
27,Brust::N,صدر,хур
28,Schulter::N,كتف,къуьн
29,Arm::N,ذراع,гъил
30,Ellenbogen::N,كوع,кьуьнт
31,Hand::N,يد,капаш
32,Handfläche::N,كف,капан юкь
33,Finger::N,إصبع,тӏуб
34,Fingernagel::N,ظفر,кек
35,Nagel[Anatomie]::N,ظفر,кек
36,Zeh::N,إصبع القدم,кул
37,Fuß::N,قدم,кӏвач
38,Ferse::N,كعب,дабан
39,Knie::N,ركبة,мет
40,Oberschenkel::N,فخذ,
41,Bein::N,ساق,кӏвач
42,Körper::N,جسم,беден
43,Haut::N,بشرة,хам
44,Blut::N,دم,иви
45,Ader::N,عرق,дамар
46,Sehne::N,طنب,кьуру дамар
47,Knochen::N,عظم,кӏараб
48,Gehirn::N,دماغ,мефт
49,Herz::N,قلب,рикӏ
50,Magen::N,معدة,хук
51,Leber::N,كبد,лекь
52,Atem::N,نفس,ял
53,Atem::N,نفس,нефес
54,Hunger::N,جوع,каш
55,Träne::N,دمعة,вилин нагъв
56,Geschmack::N,طعم,дад
57,Geschmack::N,طعم,тӏям
58,Geschmack::N,مذاق,дад
59,Geschmack::N,مذاق,тӏям
60,Geruch::N,رائحة,ни
61,Schlaf::N,نوم,ахвар
62,Schlaf::N,منام,ахвар
63,Traum::N,حلم,ахвар
64,Himmel::N,سماء,цав
65,Sonne::N,شمس,рагъ
66,Mond::N,قمر,варз
67,Stern::N,نجم,гъед
68,Stern::N,كوكب,гъед
69,Luft::N,هواء,гьава
70,Wind::N,ريح,гар
71,Welle::N,موجة,лепе
72,Wasser::N,ماء,яд
73,Stein::N,حجر,къван
74,Boden::N,تراب,накьв
75,Erde::N,أرض,ччил
76,Staub::N,غبار,руг
77,Rauch::N,دخان,гум
78,Funke::N,شرارة,цӏелхем
79,Feuer::N,نار,цӏай
80,Licht::N,نور,экв
81,Licht::N,ضوء,экв
82,Schatten::N,ظل,серин
83,Schatten::N,فيء,серин
