,Concept_ID,ar,lbe
0,Auge::N,عين,я
1,Ohr::N,أذن,вичӏи
2,Nase::N,أنف,май
3,Mund::N,فم,кьацӏ
4,Zahn::N,سن,ккарччи
5,Zunge::N,لسان,маз
6,Lippe::N,شفة,мурччи
7,Wange::N,خد,чӏав
8,Wange::N,وجنة,чӏав
9,Gesicht::N,وجه,лажин
10,Stirn::N,جبين,ненттабакӏ
11,Haar::N,شعر,чӏара
12,Schnurrbart::N,شارب,ссирссилтту
13,Bart::N,لحية,чӏири
14,Kinn::N,ذقن,лунттубакӏ
15,Kiefer[Anatomie]::N,فك,ххинчулул
16,Kehle::N,حلق,кьакьари
17,Hals::N,عنق,ссурссу
18,Hals::N,رقبة,ссурссу
19,Genick::N,قفا,махъабакӏ
20,Kopf::N,رأس,бакӏ
21,Rücken::N,ظهر,ттиликӏ
22,Bauch::N,بطن,лякьа
23,Nabel::N,سرة,цӏумуккутӏ
24,Busen::N,ثدي,ккукку
25,Brust::N,صدر,хъазам
26,Schulter::N,كتف,хъачӏ
27,Arm::N,ذراع,ка
28,Ellenbogen::N,كوع,ссюрхъ
29,Hand::N,يد,бартка
30,Handfläche::N,كف,хъат
31,Handfläche::N,كف,битӏянхъ
32,Finger::N,إصبع,кӏисса
33,Fingernagel::N,ظفر,михь
34,Nagel[Anatomie]::N,ظفر,михь
35,Zeh::N,إصبع القدم,кӏисса
36,Fuß::N,قدم,чӏанччан
37,Ferse::N,كعب,никъа
38,Knie::N,ركبة,ник
39,Oberschenkel::N,فخذ,жира
40,Bein::N,ساق,ччан
41,Körper::N,جسم,чурх
42,Haut::N,بشرة,бурчу
43,Blut::N,دم,оь
44,Ader::N,عرق,тунну
45,Sehne::N,طنب,хьхьа
46,Knochen::N,عظم,ттаркӏ
47,Gehirn::N,دماغ,ня
48,Herz::N,قلب,дакӏ
49,Herz::N,قلب,къюкӏ
50,Magen::N,معدة,лякьа
51,Leber::N,كبد,
52,Atem::N,نفس,ссихӏ ласаву
53,Atem::N,نفس,ссихӏ бигьаву
54,Hunger::N,جوع,ккаши
55,Träne::N,دمعة,макь
56,Geschmack::N,طعم,тӏин
57,Geschmack::N,طعم,тӏааьн
58,Geschmack::N,مذاق,тӏин
59,Geschmack::N,مذاق,тӏааьн
60,Geruch::N,رائحة,кьанкь
61,Schlaf::N,نوم,шану
62,Schlaf::N,منام,шану
63,Traum::N,حلم,макӏру
64,Himmel::N,سماء,ссав
65,Sonne::N,شمس,баргъ
66,Mond::N,قمر,барз
67,Stern::N,نجم,цӏуку
68,Stern::N,كوكب,цӏуку
69,Luft::N,هواء,гьава
70,Wind::N,ريح,марч
71,Welle::N,موجة,щатӏи
72,Wasser::N,ماء,щин
73,Stein::N,حجر,чару
74,Boden::N,تراب,аьрщи
75,Erde::N,أرض,аьрщи
76,Staub::N,غبار,ххит
77,Rauch::N,دخان,пуркӏу
78,Funke::N,شرارة,пиягь
79,Feuer::N,نار,цӏу
80,Licht::N,نور,чани
81,Licht::N,ضوء,чани
82,Schatten::N,ظل,ххют
83,Schatten::N,فيء,ххют
84,Wetter::N,جو,гьава
85,Wetter::N,طقس,гьава
86,Nebel::N,ضباب,шархь ттурлу
87,Wolke::N,غيمة,ттурлу
88,Wolke::N,سحابة,ттурлу
89,Regen::N,مطر,гъарал
90,Schnee::N,ثلج,марххала
91,Eis::N,جليد,микӏ
92,Frost::N,صقيع,дяркъу
93,Frost::N,صقيع,замгьар
94,Kälte::N,برد,дяркъу
95,Hitze::N,حر,кӏиришиву
96,Hitze::N,حرارة,кӏиришиву
97,Raureif::N,صقيع,сил
98,Raureif::N,صقيع,бурса
99,Regenbogen::N,قوس قزح,ссурул ккуртта
100,Donner::N,رعد,къув
101,Strömung::N,تيار,экьинанаву
102,Tropfen::N,قطرة,кӏунтӏ
103,Schaum::N,زبد,хьама
104,Schaum::N,رغوة,хьама
105,Schmutz::N,وسخ,кьяркьи
106,See::N,بحيرة,бяр
107,Sumpf::N,مستنقع,кунцӏа
108,Moor::N,مستنقع,
109,Wiese::N,مرج,кьан
110,Wald::N,غابة,вацӏа
111,Hügel::N,تل,бакӏу
112,Anhöhe::N,تل,
113,Berg::N,جبل,зунтту
114,Gipfel::N,قمة,мицӏ
115,Höhle::N,كهف,нух
116,Abhang::N,منحدر,сун
117,Quelle::N,منبع,дайдихьу
118,Quelle::N,منبع,бакӏ
119,Bach::N,مجرى,чӏрир нех
120,Fluss::N,نهر,нех
121,Ufer::N,ضفة,зума
122,Küste::N,ساحل,зумаинхалу
123,Küste::N,ساحل,зуманицӏалу
124,Festland::N,بر,кьири
125,Meer::N,بحر,хьхьири
126,Bucht::N,خليج,
127,Insel::N,جزيرة,жазира
128,Blume::N,زهرة,тӏутӏи
129,Gras::N,حشيش,уртту
130,Wurzel::N,أصل,мархха
131,Baum::N,شجرة,мурхь
132,Stamm::N,جذع,ттарцӏ
133,Rinde::N,قشرة,ккамара
134,Ast::N,فرع,матӏи
135,Zweig::N,غصن,къяртта
136,Blatt::N,ورقة,чӏапӏи
137,Birke::N,قضبان,кӏялахӏи
138,Birke::N,قضبان,кӏялахӏилул мурхь
139,Kiefer[Baum]::N,صنوبرة,ттар
140,Kiefer[Baum]::N,صنوبرة,ттарлил мурхь
141,Weide[Baum]::N,صفصاف,щавщи
142,Tanne::N,شوح,ттарлил мурхь
143,Tanne::N,تبوب,ттарлил мурхь
144,Horn::N,قرن,хъи
145,Feder::N,ريشة,лелуххул тӏиму
146,Fell::N,فرو,бурчу
147,Flügel::N,جناح,хъа
148,Flügel::N,جناح,ххурупӏайрал тӏиму
149,Klaue::N,مخلب,михь
150,Kralle::N,مخلب,ххяппа
151,Schwanz::N,ذيل,магъ
152,Ei::N,بيض,ккунук
153,Nest::N,عش,кюру
154,Bau::N,جحر,цукъуккутӏ
155,Tier::N,حيوان,хӏайван
156,Herde::N,قطيع,газу
157,Kuh::N,بقرة,оьл
158,Bulle::N,ثور,ниц
159,Pferd::N,خيل,чу
160,Schaf::N,شاة,тта
161,Schwein::N,خنزير,дунгъуз
162,Hund::N,كلب,ккаччи
163,Katze::N,قطة,ччиту
164,Bär::N,دب,цуша
165,Eichhörnchen::N,سنجاب,бюрхттукку
166,Elch::N,موظ,ниц-бюрин
167,Fuchs::N,ثعلب,цулчӏа
168,Fuchs::N,ثعلب,куча цулчӏа
169,Hase::N,أرنب,бюрх
170,Maus::N,فأرة,кӏулу
171,Wolf::N,ذئب,барцӏ
172,Vogel::N,طير,лелуххи
173,Schwarm::N,سرب,гьухъала
174,Huhn::N,دجاجة,аьнакӏи
175,Hahn::N,ديك,ажари
176,Gans::N,وزة,къаз
177,Adler::N,نسر,барзу
178,Ente::N,بطة,урдак
179,Eule::N,بوم,ису
180,Eule::N,بوم,ччиккумяв
181,Kranich::N,كركي,кьурукь
182,Krähe::N,غراب,хъатӏу
183,Kuckuck::N,وقواق,ччикку
184,Schwan::N,إوز عراقي,урттил къаз
185,Fisch::N,سمك,чавахъ
186,Barsch::N,فرخ أوربي,
187,Hecht::N,سمك الكراكي,
188,Schlange[Tier]::N,حية,шатта
189,Schlange[Tier]::N,ثعبان,шатта
190,Wurm::N,دودة,кьюнукьай шатта
191,Spinne::N,عنكبوت,ххялцу
192,Ameise::N,نملة,митӏикьукьу
193,Laus::N,قملة,
194,Mücke::N,ناموسة,мичӏак
195,Fliege::N,ذبابة,зимиз
196,Schmetterling::N,فراشة,чӏимучӏали
197,Beere::N,حبة,хӏаллил ахъулсса
198,Apfel::N,تفاح,гьивч
199,Pilz::N,فطر,ттуккул иис
200,Zwiebel::N,بصل,лаччул чсмусул бакӏ
201,Saat::N,زرع,гьанна
202,Korn::N,حبة,къама
203,Heu::N,دريس,ххулув
204,Schale::N,قشرة,ккиртту
205,Grube::N,نقرة,кӏаланг
206,Falle::N,فخ,къатӏа
207,Falle::N,مصيدة,къатӏа
208,Schlinge::N,عروة,хӏатӏ
209,Spur::N,أثر,ша
210,Asche::N,رماد,лах
211,Dreck::N,قذر,кьяркьи
212,Dreck::N,قذر,венп
213,Eisen::N,حديد,мах
214,Gold::N,ذهب,муси
215,Silber::N,فضة,арцу
216,Kohle::N,فحم,кӏалаш
217,Kohle::N,فحم,хъуручӏ
218,Glas::N,زجاج,пюрун
219,Lehm::N,طين,сина аьрщи
220,Sand::N,رمل,къун
221,Mensch::N,إنسان,инсан
222,Mann::N,رجل,чув
223,Mann::N,رجل,адимина
224,Frau::N,امرأة,щарсса
225,Frau::N,امرأة,хъамитайпа
226,Kind::N,طفل,чӏиви оьрчӏ
227,Junge::N,ولد,оьрчӏ
228,Junge::N,ولد,бурхьин оьрчӏ
229,Mädchen::N,بنت,душ
230,Familie::N,عائلة,кулпат
231,Großvater::N,جد,ттатта
232,Großvater::N,جد,ниттил ппу
233,Großmutter::N,جدة,буттал нину
234,Eltern::N,أبوان,нину-ппу
235,Eltern::N,والدان,нину-ппу
236,Vater::N,أب,ппу
237,Mutter::N,أم,нину
238,Sohn::N,إبن,арс
239,Tochter::N,بنت,душ
240,Tochter::N,إبنة,душ
241,Bruder::N,أخ,уссу
242,Bruder::N,شقيق,уссу
243,Schwester::N,أخت,ссу
244,Onkel::N,عم,буттауссу
245,Tante::N,عمة,буттал ссу
246,Ehemann::N,زوج,лас
247,Ehefrau::N,زوجة,щар
248,Ehefrau::N,زوجة,щарсса
249,Freude::N,فرح,шадшиву
250,Freude::N,فرح,ххаришиву
251,Freude::N,سرور,шадшиву
252,Freude::N,سرور,ххаришиву
253,Gelächter::N,قهقهة,хъяхъаву
254,Glück::N,سعادة,талихӏ
255,Kummer::N,غم,дард
256,Wunsch::N,منية,мурад
257,Lust::N,شهوة,гьавас
258,Lust::N,شهوة,ччаву
259,Geist::N,روح,рухӏ
260,Gedanke::N,فكرة,пикри
261,Gedächtnis::N,ذاكرة,дакӏний личӏаву
262,Verstand::N,عقل,аькьлу
263,Sinn::N,معنى,мяъна
264,Grund::N,سبب,багьана
265,Wahrheit::N,حقيقة,тӏайламур
266,Wahrheit::N,حقيقة,хӏакьмур
