,Concept_ID,ba,ady
0,Auge::N,күҙ,нэ
1,Ohr::N,ҡолаҡ,тхьакӏу́м
2,Nase::N,танау,пэ
3,Mund::N,ауыҙ,жэ
4,Zahn::N,теш,цэ
5,Zunge::N,тел,бзэгу
6,Lippe::N,ирен,ӏупшӏэ́
7,Wange::N,яцаҡтар,нэкӏу́шъу
8,Gesicht::N,бит,нэ́гу
9,Stirn::N,маңлай,натӏэ́
10,Haar::N,сәс,шъхьацы́
11,Schnurrbart::N,мылтыҡ,
12,Bart::N,һаҡал,жакӏэ́
13,Kinn::N,эйэк,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,жэпкъы́
15,Kehle::N,тамаҡ,чый
16,Hals::N,муйын,пшъэ
17,Genick::N,соңҡа,шъхьэпхэтыку
18,Kopf::N,баш,шъхьэ́
19,Rücken::N,арҡа,кӏыбы́
20,Bauch::N,ҡорһаҡ,ныбэ́
21,Nabel::N,кендек,
22,Busen::N,күкрәк,бгъэ́
23,Brust::N,түш,бгъэ́
24,Schulter::N,яурын,блыпкъ
25,Arm::N,ҡул,ӏэ
26,Ellenbogen::N,терһәк,ӏэнтэ́гъу
27,Hand::N,ҡул,ӏэтхьэцу
28,Hand::N,ҡул суғы,ӏэтхьэцу
29,Handfläche::N,ус төбө,ӏэ́гу
30,Finger::N,бармаҡ,ӏэхъуа́мб
31,Fingernagel::N,тырнаҡ,ӏэбжъа́н
32,Nagel[Anatomie]::N,тырнаҡ,ӏэбжъа́н
33,Zeh::N,бармаҡ,ӏэхъуа́мб
34,Fuß::N,табан,лъэгу
35,Ferse::N,үксә,лъэдакъэ
36,Knie::N,тубыҡ,лъагуа́ндж
37,Oberschenkel::N,сандыр,ко
38,Bein::N,аяҡ,лъакъо́
39,Körper::N,тән,пкъышъол
40,Haut::N,тире,кӏы́шъу
41,Blut::N,ҡан,лъы
42,Ader::N,тамыр,льытф
43,Sehne::N,һеңер,фэ
44,Sehne::N,тарамыш,фэ
45,Knochen::N,һойәк,къупшъхьэ́
46,Gehirn::N,мейе,куцӏы
47,Herz::N,йорәк,гу
48,Magen::N,ашҡаҙан,мышкӏу
49,Leber::N,бауыр,шӏу
50,Atem::N,һулыш,къэщэныр
51,Hunger::N,аслыҡ,гъаблэ́
52,Träne::N,күҙ иәше,нэпсы
53,Geschmack::N,тәм,ӏэшӏугъа́кӏ
54,Geruch::N,еҫ,мэ
55,Schlaf::N,йоҡлау,пчыхьы́пӏ
56,Traum::N,төш,пчыхьы́пӏ
57,Himmel::N,күк,уашъо́
58,Sonne::N,ҡояш,тыгъэ
59,Mond::N,ай,мазэ
60,Stern::N,йондоҙ,жъуагъо́
61,Luft::N,һауа,жьы
