,Concept_ID,ps,ko
0,Auge::N,سترګه,눈
1,Ohr::N,غوږ,귀
2,Nase::N,پوزه,코
3,Mund::N,خوله,입
4,Zahn::N,غاښ,이
5,Zunge::N,جبه,혀
6,Lippe::N,شونډه,입술
7,Wange::N,باړخو,뺨
8,Gesicht::N,مخ,얼굴
9,Stirn::N,تندی,이마
10,Stirn::N,وچولی,이마
11,Haar::N,وېښته,털
12,Schnurrbart::N,برېت,윗수몀
13,Schnurrbart::N,برېت,코밑수염
14,Bart::N,ږیره,수엄
15,Kinn::N,زنه,아래턱
16,Kiefer[Anatomie]::N,جامه,턱
17,Kehle::N,غاړه,인후
18,Hals::N,غاړه,목
19,Genick::N,ورمېږ,먹덜이
20,Kopf::N,سر,머리
21,Rücken::N,شا,든
22,Bauch::N,نس,배
23,Bauch::N,ګېډه,배
24,Nabel::N,نوم,배꼽
25,Busen::N,تی,가슴속
26,Brust::N,سینه,가슴
27,Schulter::N,اوږه,어깨
28,Arm::N,لاس,팔
29,Ellenbogen::N,څنګل,팔쿰치
30,Hand::N,لاس,손
31,Handfläche::N,ورغوی,손바닥
32,Finger::N,ګوته,속가락
33,Fingernagel::N,نوک,손톱
34,Nagel[Anatomie]::N,نوک,손톱
35,Zeh::N,ګوته,발가락
36,Fuß::N,پښه,발
37,Ferse::N,پونده,발꿈치
38,Knie::N,زنګون,무릎
39,Oberschenkel::N,پتون,허벅다리
40,Bein::N,پښه,다리
41,Körper::N,ځان,구간
42,Haut::N,پوټکی,살갗
43,Blut::N,وینه,피
44,Ader::N,رګ,정맥
45,Sehne::N,پله,현
46,Knochen::N,هډوکی,뼈
47,Gehirn::N,ماغزه,뇌
48,Gehirn::N,ماغزه,뇌수
49,Herz::N,زړه,염통
50,Magen::N,معده,위
51,Leber::N,ينه,간
52,Leber::N,ځیګر,간
53,Atem::N,نفس,기식
54,Hunger::N,ولږه,공복
55,Träne::N,اوښکه,눈물
56,Geschmack::N,مزه,기호
57,Geschmack::N,خوند,기호
58,Geruch::N,بوی,냄새
59,Schlaf::N,خوب,수면
60,Traum::N,خوب,쿰
61,Himmel::N,اسمان,하늘
62,Sonne::N,لمر,해
63,Mond::N,سپوږمۍ,달
64,Stern::N,ستوری,별
65,Luft::N,هوا,동준
66,Luft::N,هوا,가스채
67,Wind::N,ورښ,바람
68,Welle::N,موج,물결
69,Wasser::N,اوبه,물
70,Stein::N,ډبره,돌
71,Boden::N,مځکه,바닥
72,Erde::N,خاوره,흙
73,Staub::N,ګرد,먼지
74,Staub::N,خاوره,먼지
75,Rauch::N,دود,연기
76,Rauch::N,لوګی,연기
77,Funke::N,سپرغۍ,불티
78,Feuer::N,اور,불
79,Licht::N,رڼا,불
80,Schatten::N,سیوری,어스레함
