,Concept_ID,ady,tt
0,Auge::N,нэ,күз
1,Ohr::N,тхьакӏу́м,колак
2,Nase::N,пэ,борын
3,Mund::N,жэ,авыз
4,Mund::N,жэ,тамак
5,Zahn::N,цэ,теш
6,Zunge::N,бзэгу,тел
7,Lippe::N,ӏупшӏэ́,ирен
8,Wange::N,нэкӏу́шъу,яңак
9,Gesicht::N,нэ́гу,йөз
10,Stirn::N,натӏэ́,маңгай
11,Haar::N,шъхьацы́,чәч
12,Bart::N,жакӏэ́,сакал
13,Kinn::N,жэкӏэпэпкъ,ияк
14,Kiefer[Anatomie]::N,жэпкъы́,казналык
15,Kehle::N,чый,тамак
16,Hals::N,пшъэ,бугаз
17,Genick::N,шъхьэпхэтыку,җилкә
18,Kopf::N,шъхьэ́,баш
19,Rücken::N,кӏыбы́,сырт
20,Bauch::N,ныбэ́,корсак
21,Busen::N,бгъэ́,түш
22,Brust::N,бгъэ́,имчәк
23,Brust::N,бгъэ́,күкрәк
24,Schulter::N,блыпкъ,иңбаш
25,Schulter::N,блыпкъ,кулбаш
26,Arm::N,ӏэ,кул
27,Ellenbogen::N,ӏэнтэ́гъу,терсәк
28,Hand::N,ӏэтхьэцу,кул
29,Handfläche::N,ӏэ́гу,уч
30,Finger::N,ӏэхъуа́мб,бармак
31,Fingernagel::N,ӏэбжъа́н,тырнак
32,Nagel[Anatomie]::N,ӏэбжъа́н,тырнак
33,Zeh::N,ӏэхъуа́мб,бармак
34,Fuß::N,лъэгу,табан
35,Ferse::N,лъэдакъэ,үкчә
36,Knie::N,лъагуа́ндж,тез
37,Oberschenkel::N,ко,бот
38,Bein::N,лъакъо́,аяк
39,Körper::N,пкъышъол,тән
40,Körper::N,пкъышъол,җисем
41,Haut::N,кӏы́шъу,тире
42,Blut::N,лъы,кан
43,Ader::N,льытф,тамыр
44,Sehne::N,фэ,сеңер
45,Knochen::N,къупшъхьэ́,сөяк
46,Gehirn::N,куцӏы,ми
47,Herz::N,гу,йөрәк
48,Magen::N,мышкӏу,ашказаны
49,Leber::N,шӏу,бавыр
50,Atem::N,къэщэныр,сулыш
51,Hunger::N,гъаблэ́,ачлык
52,Träne::N,нэпсы,яшь
53,Geschmack::N,ӏэшӏугъа́кӏ,тәм
54,Geschmack::N,ӏэшӏугъа́кӏ,зәвык
55,Geruch::N,мэ,ис
56,Schlaf::N,пчыхьы́пӏ,йокы
57,Traum::N,пчыхьы́пӏ,төш
58,Himmel::N,уашъо́,күк
59,Sonne::N,тыгъэ,кояш
60,Mond::N,мазэ,ай
61,Stern::N,жъуагъо́,йолдыз
62,Luft::N,жьы,һава
63,Wind::N,жьыбгъэ́,җил
64,Welle::N,ор,дулкын
65,Welle::N,оры,дулкын
66,Wasser::N,псы,су
67,Stein::N,мыжъо́,таш
68,Boden::N,чӏ́ыгу,туфрак
69,Erde::N,чӏ́ыгу,җир
70,Staub::N,сап,тузан
71,Rauch::N,ӏугъо́,төтен
72,Funke::N,мэшӏуа́ч,очкын
73,Feuer::N,машӏо́,ут
74,Licht::N,нэфы,якты
75,Licht::N,нэфын,якты
76,Schatten::N,жьау́,күләгә
77,Schatten::N,ныбжьыкъу,күләгә
78,Nebel::N,пща́гъу,томан
79,Wolke::N,ошъуапщэ,болыт
80,Regen::N,ощхы,яңгыр
81,Schnee::N,осы́,кар
82,Eis::N,мылы,боз
83,Kälte::N,чъыӏэ́,суык
84,Kälte::N,чъыӏэ́,салкын
85,Hitze::N,фэба́е,эсселек
86,Regenbogen::N, лэгъупэкъо́пс,салават күпере
87,Donner::N,шыблэ́,күкрәү
88,Strömung::N,ток,агыш'агым
89,Tropfen::N,ткӏопс,тамчы
90,Tropfen::N,гъуаткӏу,тамчы
91,Schaum::N,тхъурбэ,күбек
92,Schmutz::N,псынжъы,пычрак
93,See::N,хыку́м,күл
94,See::N,псыхъура́й,күл
95,Sumpf::N,орыжъ,саз
96,Moor::N,орыжъ,торфлык
97,Wiese::N,хъупӏэ́,болын
98,Wiese::N,мэкъупӏ,болын
99,Wald::N,мэзы́,урман
100,Hügel::N,ӏуашъхь,калку
101,Anhöhe::N,чӏыӏэтыгъ,үр
102,Berg::N,къушъхьэ́,тау
103,Gipfel::N,шыгу,оч
104,Höhle::N,гъочӏэгъ,мәгарә
105,Abhang::N,чапэ,кабырга
106,Quelle::N,псынэчэ́чъ,чишмә
107,Bach::N,псышкуашку,елга
108,Fluss::N,псыхъо́,дәрья
109,Ufer::N,нэпкъы,су кырые
110,Küste::N,ӏушъо,яр буе
111,Festland::N,чӏл́ыгу,коры җир
112,Meer::N,хы,диңгез
113,Bucht::N,хыблыгу,бухта
114,Bucht::N,хыблыгу,култык
115,Insel::N,хыгъэхъу́н,атау
116,Insel::N,хыгъэхъу́н,утрау
117,Blume::N,къэгъа́гь,чәчкә
