,Concept_ID,is,el
0,Auge::N,auga,μάτι
1,Auge::N,auga,οφθαλμός
2,Ohr::N,eyra,αυτί
3,Nase::N,nef,μύτη
4,Mund::N,munnur,στόμα
5,Zahn::N,tönn,δόντι
6,Zunge::N,tunga,γλώσσα
7,Lippe::N,vör,χείλος
8,Wange::N,kinn,παρειά
9,Wange::N,kinn,μάγουλο
10,Wange::N,vangi,παρειά
11,Wange::N,vangi,μάγουλο
12,Gesicht::N,andlit,πρόσωπο
13,Stirn::N,enni,μέτωπο
14,Haar::N,hár,μαλλιά
15,Schnurrbart::N,yfirskegg,μουστάκι
16,Bart::N,skegg,γένια
17,Kinn::N,haka,πιγούνι
18,Kiefer[Anatomie]::N,kjálki,σαγόνι
19,Kiefer[Anatomie]::N,skoltur,σαγόνι
20,Kehle::N,kverk,λαρύγγι
21,Hals::N,háls,λαιμός
22,Genick::N,hnakki,σβέρκος
23,Kopf::N,höfuð,κεφάλι
24,Rücken::N,hryggur,ράχη
25,Bauch::N,kviður,κοιλιά
26,Nabel::N,nafli,αφαλός
27,Busen::N,barmur,στήθος
28,Brust::N,brjóst,στήθος
29,Schulter::N,öxl,ώμος
30,Arm::N,armur,χέρι
31,Arm::N,armur,μπράτςο
32,Ellenbogen::N,olnbogi,αγκώνας
33,Hand::N,hönd,χέρι
34,Handfläche::N,lófi,παλάμη
35,Finger::N,fingur,δάχτυλο
36,Fingernagel::N,fingurnögl,νύχι
37,Nagel[Anatomie]::N,nögl,νύχι
38,Zeh::N,tá,δάχτυλο του ποδιού
39,Fuß::N,fótur,πόδι
40,Ferse::N,hæll,φτέρνα
41,Knie::N,kné,γόνατο
42,Oberschenkel::N,læri,μηρός
43,Bein::N,fótleggur,πόδι
44,Körper::N,búkur,σώμα
45,Körper::N,búkur,κορμί
46,Körper::N,líkami,σώμα
47,Körper::N,líkami,κορμί
48,Haut::N,húð,πετσί
49,Haut::N,skinn,πετσί
50,Blut::N,blóð,αίμα
51,Ader::N,æð,φλέβα
52,Sehne::N,sin,νεύρο
53,Sehne::N,sin,τένοντας
54,Knochen::N,bein,οστό
55,Knochen::N,bein,κόκκαλο
56,Gehirn::N,heili,μυαλό
57,Gehirn::N,heili,εγκέφαλος
58,Herz::N,hjarta,καρδιά
59,Magen::N,magi,στομάχι
60,Leber::N,lifur,ήπαρ
61,Leber::N,lifur,συκωτί
62,Atem::N,andi,αναπνοή
63,Atem::N,andardráttur,αναπνοή
64,Hunger::N,hungur,πείνα
65,Träne::N,tár,δάκρυ
66,Geschmack::N,smekkur,γεύση
67,Geruch::N,lykt,οσμή
68,Geruch::N,lykt,μυρωδία
69,Schlaf::N,svefn,ύπνος
70,Traum::N,draumur,όνειρο
71,Himmel::N,himinn,ουρανός
72,Sonne::N,sól,ήλιος
73,Mond::N,tungl,σελήνη
74,Mond::N,tungl,φεγγάρι
75,Stern::N,stjarna,άστρο
76,Stern::N,stjarna,αστέρι
77,Luft::N,loft,αέρας
78,Wind::N,vindur,αέρας
79,Wind::N,vindur,άνεμος
80,Welle::N,alda,κύμα
81,Welle::N,bylgja,κύμα
82,Wasser::N,vatn,νερό
83,Stein::N,steinn,πέτρα
84,Boden::N,botn,χώμα
85,Erde::N,jörð,γη
86,Staub::N,ryk,σκόνη
87,Staub::N,duft,σκόνη
88,Rauch::N,reykur,καπνός
89,Funke::N,neisti,σπίθα
90,Funke::N,neisti,σπινθήρας
91,Feuer::N,eldur,φωτιά
92,Licht::N,ljós,φως
93,Schatten::N,skuggi,σκιά
94,Schatten::N,skuggi,ίσκιος
95,Wetter::N,veður,καιρός
96,Nebel::N,þoka,ομίχλη
97,Wolke::N,ský,σύννεφο
98,Regen::N,regn,βροχή
99,Schnee::N,snjór,χιόνι
100,Eis::N,ís,πάγος
101,Frost::N,frost,παγωνία
102,Kälte::N,kuldi,κρύο
103,Kälte::N,kuldi,ψύχος
104,Hitze::N,hiti,ζέστη
105,Raureif::N,hrím,πάχνη
106,Regenbogen::N,regnbogi,ουράνιο τόξο
107,Donner::N,þruma,βροντή
108,Strömung::N,straumur,ρεύμα
109,Tropfen::N,dropi,στάλα
110,Schaum::N,froða,αφρός
111,Schmutz::N,óhreinindi,βρωμιά
112,See::N,stöðuvatn,λίμνη
113,Sumpf::N,fen,βάλτος
114,Moor::N,mýri,έλος
115,Wiese::N,engi,λιβάδι
116,Wald::N,skógur,δάσος
117,Hügel::N,hæð,λόφος
118,Hügel::N,hóll,λόφος
119,Anhöhe::N,hæð,ύψωμα
120,Anhöhe::N,hóll,ύψωμα
121,Berg::N,fell,όρος
122,Berg::N,fell,βουνό
123,Berg::N,fjall,όρος
124,Berg::N,fjall,βουνό
125,Gipfel::N,tindur,κορυφή
126,Höhle::N,hellir,σπηλιά
127,Abhang::N,hlíð,πλαγιά
128,Abhang::N,brekka,πλαγιά
129,Quelle::N,lind,πηγή
130,Quelle::N,lind,βρύση
131,Quelle::N,uppspretta,πηγή
132,Quelle::N,uppspretta,βρύση
133,Bach::N,lækur,ρυάκι
134,Fluss::N,á,ποτάμι
135,Fluss::N,á,ποταμός
136,Fluss::N,fljót,ποτάμι
137,Fluss::N,fljót,ποταμός
138,Ufer::N,árbakki,όχθη
139,Ufer::N,sjávarbakki,όχθη
140,Küste::N,strönd,ακτή
141,Küste::N,strönd,ακρογιαλιά
142,Festland::N,meginland,στεριά
143,Meer::N,haf,θάλασσα
144,Meer::N,sjór,θάλασσα
145,Bucht::N,vík,κόλπος
146,Insel::N,eyja,νησί
147,Insel::N,eyja,νήσος
148,Blume::N,blóm,άνθος
149,Blume::N,blóm,λουλούδι
150,Gras::N,gras,χόρτο
151,Gras::N,gras,χορτάρι
152,Wurzel::N,rót,ρίζα
153,Baum::N,tré,δέντρο
154,Stamm::N,stofn,κορμός
155,Rinde::N,börkur,φλούδα
156,Ast::N,grein,κλαδί
157,Zweig::N,angi,κλαδί
158,Zweig::N,angi,κλάδος
159,Zweig::N,kvistur,κλαδί
160,Zweig::N,kvistur,κλάδος
161,Blatt::N,blað,φύλλο
162,Birke::N,birki,σημύδα
163,Kiefer[Baum]::N,fura,πεύκο
164,Weide[Baum]::N,víðir,ιτιά
165,Tanne::N,greni,έλατο
166,Horn::N,horn,κέρας
167,Horn::N,horn,κέρατο
168,Feder::N,fjöður,φτερό
169,Fell::N,skinn,δέρμα
170,Fell::N,skinn,τομάρι
171,Flügel::N,vængur,πτερύγιο
172,Klaue::N,kló,κουλό
173,Kralle::N,kló,νύχι
174,Schwanz::N,rófa,ουρά
175,Schwanz::N,skott,ουρά
176,Ei::N,egg,αβγό
177,Nest::N,hreiður,φωλιά
178,Bau::N,greni,φωλιά
179,Bau::N,bæli,φωλιά
180,Tier::N,dýr,ζώο
181,Herde::N,hjörð,κοπάδι
182,Kuh::N,kýr,αγελάδα
183,Bulle::N,boli,ταύρος
184,Pferd::N,hestur,άλογο
185,Schaf::N,kind,πρόβατο
186,Schwein::N,svín,γουρούνι
187,Hund::N,hundur,σκυλί
188,Hund::N,hundur,σκύλος
189,Katze::N,köttur,γάτα
190,Bär::N,björn,άρκτος
191,Bär::N,björn,αρκούδα
192,Eichhörnchen::N,íkorni,βερβερίτσα
193,Elch::N,elgur,άλκη
194,Fuchs::N,refur,αλεπού
195,Hase::N,héri,λαγός
196,Maus::N,mús,ποντικός
197,Wolf::N,úlfur,λύκος
198,Vogel::N,fugl,πουλί
199,Schwarm::N,sægur,σμήνος
200,Huhn::N,hæna,κότα
201,Huhn::N,hæna,όρνιθα
202,Hahn::N,hani,πετεινός
203,Gans::N,gæs,χήνα
204,Adler::N,örn,αετός
205,Ente::N,önd,πάπια
206,Eule::N,uggla,κουκουβάγια
207,Kranich::N,trana,γερανός
208,Krähe::N,kráka,καρακάξα
209,Kuckuck::N,gaukur,κούκος
210,Schwan::N,svanur,κύκνος
211,Fisch::N,fiskur,ψάρι
212,Barsch::N,aborri,πέρκα
213,Hecht::N,gedda,λούτσος
214,Schlange[Tier]::N,naðra,φίδι
215,Wurm::N,ormur,σκουλήκι
216,Spinne::N,kónguló,αράχνη
217,Ameise::N,maur,μυρμήγκι
218,Laus::N,lús,ψείρα
219,Mücke::N,mý,κουνούπι
220,Mücke::N,mýfluga,κουνούπι
221,Fliege::N,fluga,μύγα
222,Schmetterling::N,fiðrildi,πεταλούδα
223,Beere::N,ber,ρόγα
224,Apfel::N,epli,μήλο
225,Pilz::N,sveppur,μανιτάρι
226,Zwiebel::N,laukur,κρεμμύδι
227,Saat::N,fræ,σπόρος
228,Saat::N,útsæði,σπόρος
229,Korn::N,korn,σπυρί
230,Heu::N,hey,σανός
231,Schale::N,hýði,τσόφλι
232,Grube::N,gryfja,λάκκος
233,Falle::N,gildra,παγίδα
234,Schlinge::N,snara,θηλειά
235,Spur::N,spor,ίχνος
236,Asche::N,aska,στάχτη
237,Dreck::N,óþverri,βρωμιά
238,Eisen::N,járn,σίδερο
239,Gold::N,gull,μάλαμα
240,Gold::N,gull,χρυσάφι
