,Concept_ID,he,sq
0,Auge::N,עין,sy
1,Ohr::N,אזן,vesh
2,Nase::N,אף,hundë
3,Nase::N,חטם,hundë
4,Mund::N,פה,gojë
5,Zahn::N,שן,dhëmb
6,Zunge::N,לשון,gjuhë
7,Lippe::N,שפה,buzë
8,Wange::N,לחי,faqe
9,Wange::N,לחי,mollëz
10,Gesicht::N,פנים,fytyrë
11,Stirn::N,מצח,ballë
12,Haar::N,שערה,flokë
13,Schnurrbart::N,שפם,mustaqe
14,Bart::N,זקן,mjekër
15,Kinn::N,סנטר,mjekër
16,Kiefer[Anatomie]::N,לסת,nofull
17,Kehle::N,גרון,fyt
18,Kehle::N,גרון,grykë
19,Hals::N,צואר,qafë
20,Genick::N,ערף,arrëz
21,Kopf::N,ראש,kokë
22,Rücken::N,גב,kurriz
23,Bauch::N,בטן,bark
24,Nabel::N,טבור,kërthizë
25,Busen::N,שד,gji
26,Brust::N,חזה,gjoks
27,Brust::N,חזה,kraharor
28,Schulter::N,כתף,sup
29,Schulter::N,כתף,krah
30,Arm::N,זרוע,krah
31,Ellenbogen::N,מרפק,bërryl
32,Hand::N,יד,dorë
33,Handfläche::N,כף יד,pëllëmbë
34,Finger::N,אצבע,gisht
35,Fingernagel::N,צפרן,thua
36,Nagel[Anatomie]::N,צפרן,thua
37,Zeh::N,אצבע,gisht i këmbës
38,Fuß::N,רגל,këmbë
39,Ferse::N,עקב,thembër
40,Knie::N,ברך,gju
41,Oberschenkel::N,ירך,kofshë
42,Bein::N,רגל,këmbë
43,Körper::N,גוף,trup
44,Haut::N,עור,lëkurë
45,Blut::N,דם,gjak
46,Ader::N,וריד,venë
47,Sehne::N,גיד,dell
48,Knochen::N,עצם,asht
49,Knochen::N,עצם,kockë
50,Gehirn::N,מוח,tru
51,Herz::N,לב,zemër
52,Magen::N,קבה,stomak
53,Leber::N,כבד,mëlçi
54,Atem::N,נשימה,frymë
55,Hunger::N,רעב,uri
56,Träne::N,דמעה,lot
57,Geschmack::N,טעם,shije
