,Concept_ID,be,fi
0,Auge::N,вока,silmä
1,Ohr::N,вуха,korva
2,Nase::N,нос,nenä
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язык,kieli
6,Lippe::N,губа,huuli
7,Wange::N,шчака,poski
8,Gesicht::N,твар,naama
9,Gesicht::N,твар,kasvot
10,Stirn::N,лоб,otsa
11,Haar::N,волас,hius
12,Haar::N,волас,tukka
13,Haar::N,валасы,hius
14,Haar::N,валасы,tukka
15,Schnurrbart::N,вус,viikset
16,Schnurrbart::N,вусы,viikset
17,Bart::N,барада,parta
18,Kinn::N,падбародак,leuka
19,Kiefer[Anatomie]::N,сківіца,leukaluu
20,Kehle::N,горла,kurkku
21,Hals::N,шыя,kaula
22,Genick::N,патыліца,niska
23,Kopf::N,галава,pää
24,Rücken::N,спіна,selkä
25,Bauch::N,жывот,maha
26,Bauch::N,жывот,vatsa
27,Nabel::N,пупок,napa
28,Busen::N,грудзі,rinta
29,Brust::N,грудзі,rinta
30,Schulter::N,плячо,olka
31,Schulter::N,плячо,hartia
32,Schulter::N,плячо,olkapää
33,Arm::N,рука,käsivarsi
34,Ellenbogen::N,локаць,kyynärpää
35,Hand::N,кісць,käsi
36,Handfläche::N,далонь,kämmen
37,Finger::N,палец,sormi
38,Fingernagel::N,ногаць,kynsi
39,Nagel[Anatomie]::N,ногаць,kynsi
40,Zeh::N,палец,varvas
41,Fuß::N,нага,jalka
42,Ferse::N,пята,kantapää
43,Ferse::N,пятка,kantapää
44,Knie::N,калена,polvi
45,Oberschenkel::N,бядро,reisi
46,Oberschenkel::N,сцягно,reisi
47,Bein::N,нага,jalka
48,Körper::N,цела,keho
49,Körper::N,цела,ruumis
50,Haut::N,скура,iho
51,Blut::N,кроў,veri
52,Ader::N,вена,suoni
53,Ader::N,сасуд,suoni
54,Sehne::N,жыла,jänne
55,Sehne::N,цеціва,jänne
56,Sehne::N,сухажылле,jänne
57,Knochen::N,косць,luu
58,Gehirn::N,мозг,aivot
59,Herz::N,сэрца,sydän
60,Magen::N,страўнік,maha
61,Magen::N,страўнік,vatsa
62,Leber::N,печань,maksa
63,Atem::N,дыханне,henki
64,Atem::N,дыханне,hengitys
65,Hunger::N,голад,nälkä
66,Träne::N,сляза,kyynel
67,Geschmack::N,смак,maku
68,Geruch::N,пах,haju
69,Schlaf::N,сон,uni
70,Traum::N,сон,uni
71,Himmel::N,неба,taivas
72,Sonne::N,сонца,aurinko
73,Mond::N,месяц,kuu
74,Stern::N,зорка,tähti
75,Luft::N,паветра,ilma
76,Wind::N,вецер,tuuli
77,Welle::N,хваля,aalto
78,Wasser::N,вада,vesi
79,Stein::N,камень,kivi
80,Boden::N,глеба,maa
81,Boden::N,глеба,maaperä
82,Erde::N,зямля,maa
83,Staub::N,пыл,pöly
84,Rauch::N,дым,savu
85,Funke::N,іскра,kipinä
86,Feuer::N,агонь,tuli
87,Licht::N,святло,valo
88,Schatten::N,цень,varjo
89,Wetter::N,пагода,sää
90,Wetter::N,надворʼе,sää
91,Nebel::N,туман,sumu
92,Wolke::N,воблака,pilvi
93,Regen::N,дождж,sade
94,Schnee::N,снег,lumi
95,Eis::N,лёд,jää
96,Frost::N,мароз,halla
97,Frost::N,мароз,pakkanen
98,Kälte::N,холад,vilu
99,Kälte::N,холад,kylmyys
100,Hitze::N,спёка,helle
101,Hitze::N,спёка,kuumuus
102,Raureif::N,іней,huurre
103,Regenbogen::N,вясёлка,sateenkaari
104,Donner::N,гром,jyrinä
105,Strömung::N,цячэнне,virtaus
106,Tropfen::N,кропля,tippa
107,Tropfen::N,кропля,pisara
108,Schaum::N,пена,vaahto
109,Schmutz::N,гразь,loka
110,See::N,возера,järvi
111,Sumpf::N,багна,suo
112,Moor::N,балота,räme
113,Wiese::N,луг,niitty
