,Concept_ID,ml,sv
141,Birke::N,പൂവരശ്,björk
142,Kiefer[Baum]::N,പൈൻമരം,tall
143,Weide[Baum]::N,വില്ലോ,pil
144,Weide[Baum]::N,വില്ലോ,vide
145,Tanne::N,ദേവദാരു,gran
146,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,horn
147,Feder::N,തൂവൽ,fjäder
148,Fell::N,മൃദുരോമം,fäll
149,Fell::N,മൃദുരോമം,skinn
150,Flügel::N,ചിറക്,vinge
151,Klaue::N,നഖം,klöv
152,Kralle::N,നഖം,klo
153,Schwanz::N,വാൽ,svans
154,Schwanz::N,വാൽ,stjärt
155,Ei::N,മുട്ട,ägg
156,Nest::N,കൂട്,rede
157,Nest::N,കൂട്,näste
158,Bau::N,മാളം,bo
159,Tier::N,മൃഗം,djur
160,Herde::N,കൂട്ടം,flock
161,Kuh::N,പശു,ko
162,Bulle::N,കാള,tjur
163,Pferd::N,കുതിര,häst
164,Schaf::N,ആട്,får
165,Schwein::N,പന്നി,svin
166,Hund::N,നായ്,hund
167,Katze::N,പൂച്ച,katt
168,Bär::N,കരടി,björn
169,Eichhörnchen::N,അണ്ണാൻ,ekorre
170,Elch::N,കടമാന്,älg
171,Fuchs::N,കുറുക്കൻ,räv
172,Hase::N,മുയൽ,hare
173,Maus::N,ചുണ്ടലി,mus
174,Wolf::N,ചെന്നായ,varg
175,Vogel::N,പക്ഷി,fågel
176,Schwarm::N,കൂട്ടം,svärm
177,Huhn::N,കോഴി,höns
178,Hahn::N,പൂവൻകോഴി,tupp
179,Gans::N,അരയന്നം,gås
180,Adler::N,കഴുകൻ,örn
181,Ente::N,താറാവ്,anka
182,Eule::N,മൂങ്ങ,uggla
183,Kranich::N,കൊക്ക്,trana
184,Krähe::N,കാക്ക,kråka
185,Kuckuck::N,കുയിൽ,gök
186,Schwan::N,അരയന്നം,svan
187,Fisch::N,മത്സ്യം,fisk
188,Barsch::N,ഒരിനം മത്സ്യം,abborre
189,Hecht::N,ഒരു മത്സ്യം,gädda
190,Schlange[Tier]::N,പാമ്പ്,orm
191,Wurm::N,വിര,mask
192,Spinne::N,ചിലന്തി,spindel
193,Ameise::N,ഉറുമ്പ്,myra
194,Laus::N,പേന്,lus
195,Mücke::N,മശകം,mygga
196,Fliege::N,ഈച്ച,fluga
197,Schmetterling::N,ചിത്രശലഭം,fjäril
198,Beere::N,ബെറി,bär
199,Apfel::N,ആപ്പിൾ,äpple
200,Pilz::N,കൂൺ,svamp
201,Zwiebel::N,സവാള,lök
202,Saat::N,വിത്ത്,sådd
203,Korn::N,ധാന്യം,korn
204,Heu::N,വയ്ക്കോൽ,hö
205,Schale::N,തൊലി,skal
206,Grube::N,കുഴി,grop
207,Falle::N,കെണി,fälla
208,Schlinge::N,കുടുക്ക്,snara
209,Spur::N,ചുവട്,spår
210,Asche::N,ചാരം,aska
211,Dreck::N,അഴുക്ക്,lort
212,Eisen::N,ഇരുമ്പ്,järn
213,Gold::N,സ്വർണ്ണം,guld
214,Silber::N,വെള്ളി,silver
215,Kohle::N,കൽക്കരി,kol
216,Glas::N,ഗ്ലാസ്,glas
217,Lehm::N,കളിമണ്ണ്,lera
218,Sand::N,മണൽ,sand
219,Mensch::N,മനുഷ്യർ,människa
220,Mann::N,പുരുഷൻ,man
221,Frau::N,സ്ത്രീ,kvinna
222,Kind::N,കുഞ്ഞ്,barn
223,Junge::N,ആൺകുട്ടി,pojke
224,Mädchen::N,പെൺകുട്ടി,flicka
225,Familie::N,കുടുംബം,familj
226,Großvater::N,അപ്പൂപ്പൻ,morfar
227,Großmutter::N,അമ്മുമ്മ,farmor
228,Eltern::N,മാതാപിതാക്കള്,föräldrar
229,Vater::N,അച്ഛൻ,far
230,Mutter::N,അമ്മ,mor
231,Sohn::N,മകൻ,son
232,Tochter::N,മകൾ,dotter
233,Bruder::N,ചേട്ടൻ,bror
234,Bruder::N,അനിയൻ,bror
235,Schwester::N,ചേച്ചി,syster
236,Schwester::N,അനിയത്തി,syster
237,Onkel::N,അമ്മാവൻ,morbror
238,Tante::N,മാമി,tant
239,Ehemann::N,ഭർത്താവ്,äkta man
240,Ehefrau::N,ഭാര്യ,hustru
241,Freude::N,ആഹ്ലാദം,fröjd
242,Freude::N,ആഹ്ലാദം,glädje
243,Gelächter::N,ചിരിയുടെ ശബ്ദം,åtlöje
244,Glück::N,സന്തോഷം,lycka
245,Glück::N,സന്തുഷ്ടി,lycka
246,Kummer::N,ശോകം,sorg
247,Wunsch::N,ആഗ്രഹം,önskan
248,Lust::N,ആഗ്രഹം,lust
249,Geist::N,ചുറുചുറുക്ക്,ande
250,Gedanke::N,ചിന്ത,tanke
251,Gedächtnis::N,ഓർമ്മശക്തി,minne
252,Verstand::N,മനസ്സ്,förstånd
253,Sinn::N,അർത്ഥം,mening
254,Sinn::N,അർത്ഥം,betydelse
255,Grund::N,കാരണം,skäl
256,Grund::N,കാരണം,grund
257,Wahrheit::N,സത്യം,sanning
258,Gespräch::N,സല്ലാപം,samtal
259,Märchen::N,യക്ഷിക്കഥ,saga
260,Erzählung::N,കഥ,berättelse
261,Nachricht::N,സന്ദേശം,meddelande
262,Neuigkeit::N,വാർത്ത,nyhet
263,Name::N,പേര്,namn
264,Rätsel::N,പ്രഹേളിക,gåta
265,Rede::N,സംസാരം,tal
266,Sprache::N,ഭാഷ,språk
267,Stimme::N,സ്വരം,stämma
268,Wort::N,വാക്ക്,ord
269,Zeichen::N,സംജ്ഞ,tecken
270,Ruf::N,വിളി,rop
271,Lärm::N,ആരവം,bråk
272,Lärm::N,ആരവം,oväsen
273,Laut::N,ശബ്ദം,ljud
274,Ton::N,സ്വരഭേദം,ton
275,Lied::N,പാട്ട്,sång
276,Ruhe::N,നിശ്ചലത,ro
277,Ruhe::N,നിശ്ചലത,lugn
278,Leute::N,ജനങ്ങൾ,folk
279,Volk::N,രാഷ്ടം,folk
280,Arbeit::N,ജോലി,arbete
281,Gast::N,അതിലി,gäst
282,Geschenk::N,സമ്മാനം,gåva
283,Geschenk::N,സമ്മാനം,present
284,Spiel::N,കളി,lek
285,Spiel::N,കളി,spel
286,Gesellschaft::N,കൂട്ടായ്മ,sällskap
287,Hilfe::N,സഹായം,hjälp
288,Freund::N,സുഹൃത്ത്,vän
289,Kamerad::N,കൂട്ടാളി,kamrat
290,Angelegenheit::N,കാര്യം,ärende
291,Angelegenheit::N,കാര്യം,angelägenhet
292,Anzahl::N,എണ്ണം,antal
293,Art::N,തരം,art
294,Art::N,തരം,slag
295,Stück::N,കഷണം,stycke
296,Teil::N,ഭാഗം,del
297,Hälfte::N,പകുതി,halva
298,Kreis::N,വൃത്തം,krets
299,Kreis::N,വൃത്തം,cirkel
300,Kreuz::N,കുരിശടയാളം,kors
301,Kreuz::N,കുരിശടയാളം,kryss
302,Linie::N,വര,linje
303,Linie::N,രേഖ,linje
304,Strich::N,പക്ഷാഘാതം,streck
305,Abstand::N,വിടവ്,avstånd
306,Entfernung::N,അകലം,avstånd
307,Gegend::N,പ്രദേശം,trakt
308,Platz::N,ഇടം,plats
309,Ort::N,സ്ഥലം,plats
310,Ort::N,സ്ഥലം,ställe
311,Seite::N,വശം,sida
312,Mitte::N,മധ്യസ്ഥാനം,mitt
313,Gegenstand::N,സാധനം,föremål
314,Sache::N,വസ്തു,sak
315,Rand::N,തൊങ്ങൽ,rand
316,Kante::N,അറ്റം,kant
317,Ecke::N,മൂല,vrå
318,Ecke::N,മൂല,hörn
319,Spitze::N,അഗ്രം,spets
320,Ende::N,അവസാനം,ända
321,Loch::N,ദ്വാരം,hål
322,Winkel::N,കോൺ,vinkel
323,Muster::N,ക്രമം,mönster
324,Größe::N,വലുപ്പം,storlek
325,Länge::N,നീളം,längd
326,Höhe::N,ഉയരം,höjd
327,Gewicht::N,കട്ടി,tyngd
328,Menge::N,അളവ്,mängd
329,Haufen::N,കൂമ്പാരം,hög
330,Reihe::N,വരി,rad
331,Boot::N,ബോട്ട്,båt
332,Ruder::N,പങ്കായം,åra
333,Schlitten::N,ഉരുളില്ലാവണ്ടി,släde
334,Ski::N,ഹിമപാദുകം,skida
335,Lagerfeuer::N,തീ,lägereld
336,Last::N,ഭാരം,last
337,Last::N,ഭാരം,börda
338,Gang::N,നടത്തം,gång
339,Schritt::N,ചുവട്,steg
340,Norden::N,വടക്ക്,norr
341,Süden::N,തെക്ക്,söder
342,Westen::N,പടിഞ്ഞാറ്,väster
343,Osten::N,കിഴക്ക്,öster
344,Holz::N,തടി,trä
345,Brett::N,ബോർഡ്,bräda
346,Platte::N,തകിട്,platta
347,Stütze::N,താങ്ങ്,stöd
348,Stütze::N,താങ്ങ്,stötta
349,Stange::N,കമ്പ്,stång
350,Stock::N,വടി,käpp
351,Stock::N,വടി,pinne
352,Stab::N,കുറുവടി,stav
353,Rohr::N,കുഴൽ,rör
354,Haus::N,വീട്,hus
355,Heim::N,വീട്,hem
356,Ofen::N,സ്റ്റൌ,ugn
357,Fußboden::N,തറ,golv
358,Tisch::N,മേശ,bord
359,Stuhl::N,കസേര,stol
360,Wiege::N,തൊട്ടിൽ,vagga
361,Bett::N,കിടക്ക,säng
362,Regal::N,ഷെൽഫ്,hylla
363,Kiste::N,പെട്ടി,låda
364,Fenster::N,ജനൽ,fönster
365,Tür::N,വാതിൽ,dörr
366,Tor::N,കവാടം,port
367,Zaun::N,വേലി,staket
368,Zaun::N,വേലി,stängsel
369,Dach::N,മേൽക്കുര,tak
370,Leiter::N,ഏണി,stege
371,Besen::N,ചൂല്,kvast
372,Spaten::N,തൂമ്പ,spade
373,Schaufel::N,തൂമ്പ,skovel
374,Schaufel::N,തൂമ്പ,skyffel
375,Gabel::N,മുൾക്കത്തി,gaffel
376,Löffel::N,സ്പൂൺ,sked
377,Messer::N,കത്തി,kniv
378,Nagel::N,ആണി,spik
379,Netz::N,വല,nät
380,Haken::N,കൊളുത്ത്,krok
381,Griff::N,കൈപ്പിടി,tag
382,Griff::N,കൈപ്പിടി,handtag
383,Schloss::N,പൂട്ട്,las
384,Bild::N,ചിത്രം,bild
385,Figur::N,കണക്ക്,figur
386,Puppe::N,പാവ,docka
387,Beutel::N,ബാഗ്,påse
388,Bündel::N,കെട്ട്,bunt
389,Bündel::N,കെട്ട്,knippa
390,Tasche::N,ബാഗ്,väska
391,Eimer::N,ബക്കറ്റ്,hink
392,Eimer::N,ബക്കറ്റ്,ämbar
393,Deckel::N,ഉറ,lock
394,Geschirr::N,പിഞ്ഞാണം,servis
395,Geschirr::N,പിഞ്ഞാണം,porslin
396,Sack::N,ചാക്ക്,säck
397,Tasse::N,കപ്പ്,kopp
398,Topf::N,പാത്രം,gryta
399,Topf::N,പാത്രം,kastrull
400,Kessel::N,കെറ്റ്ല്,kittel
401,Essen::N,ആഹാരസമയം,mål
402,Nahrung::N,ഭക്ഷണം,näring
403,Speise::N,ഡിഷ്,maträtt
404,Fleisch::N,മാംസം,kött
405,Getreide::N,ചോളം,säd
406,Getreide::N,ചോളം,spannmål
407,Brei::N,കഞ്ഞി,gröt
408,Brot::N,റോട്ടി,bröd
409,Scheibe::N,തുണ്ട്,skiva
410,Fett::N,കൊഴുപ്പ്,fett
411,Butter::N,വെണ്ണ,smör
412,Öl::N,എണ്ണ,olja
413,Salz::N,ഉപ്പ്,salt
414,Suppe::N,സൂപ്പ്,soppa
415,Honig::N,തേൻ,honung
416,Milch::N,പാൽ,mjölk
417,Tee::N,ചായ,te
418,Leder::N,തുകൽ,läder
419,Wolle::N,കമ്പിളി,ull
420,Wolle::N,കമ്പിളി,ylle
421,Stoff::N,തുണി,tyg
422,Stoff::N,തുണി,stoff
423,Nadel::N,സൂചി,nål
424,Faden::N,നൂല്,tråd
425,Knopf::N,ബട്ടൺ,knapp
426,Knoten::N,കുരുക്ക്,knut
427,Farbe::N,പെയിൻറ്,färg
428,Kleidung::N,വസ്ത്രങ്ങൾ,klädsel
429,Hemd::N,ഷർട്ട്,skjorta
430,Kragen::N,കുപ്പായക്കഴുത്ത്,krage
431,Ärmel::N,കുപ്പായക്കൈ,ärm
432,Hose::N,ട്രൌസർ,byxor
433,Gürtel::N,ബെൽറ്റ്,bälte
434,Mütze::N,തൊപ്പി,mössa
435,Schuh::N,ഷൂ,sko
436,Stiefel::N,ബൂട്ട്,stövel
437,Ring::N,മോതിരം,ring
438,Band::N,റിബൺ,band
439,Kamm::N,ചീപ്പ്,kam
440,Spiegel::N,കണ്ണാടി,spegel
441,Riemen::N,സ്ട്രാപ്പ്,rem
442,Schnur::N,ചരട്,snöre
443,Leine::N,കെട്ടാനുള്ള തോൽവാർ,lina
444,Decke::N,പുതപ്പ്,täcke
445,Kissen::N,തലയിണ,dyna
446,Kissen::N,തലയിണ,kudde
447,Tuch::N,സ്കാർഫ്,sjal
448,Handtuch::N,തോർത്ത്,handduk
449,Kraft::N,ശക്തി,kraft
450,Stärke::N,ശക്തി,styrka
451,Gesundheit::N,ആരോഗ്യം,hälsa
452,Krankheit::N,അസുഖം,sjukdom
453,Schmerz::N,വേദന,smärta
454,Wunde::N,മുറിവ്,sår
455,Fieber::N,പനി,feber
456,Arznei::N,മരുന്ന്,medicin
457,Arznei::N,മരുന്ന്,läkemedel
458,Brücke::N,പാലം,bro
459,Brunnen::N,കിണർ,brunn
460,Weide::N,മേച്ചൽ,bete
461,Pfad::N,വഴി,stig
462,Weg::N,വഴി,väg
463,Straße::N,റോഡ്,gata
464,Dorf::N,ഗ്രാമം,by
465,Stadt::N,നഗരം,stad
466,Brief::N,കത്ത്,brev
467,Buch::N,പുസ്തകം,bok
468,Buchstabe::N,അക്ഷരം,bokstav
469,Zeitung::N,വർത്തമാനപത്രം,tidning
470,Leben::N,ജീവൻ,liv
471,Tod::N,മരണം,död
472,Grab::N,ശവക്കുഴി,grav
473,Kirche::N,പള്ളി,kyrka
474,Sünde::N,പാപം,synd
475,Gott::N,ദൈവം,gud
476,Arbeiter::N,ജോലിക്കാരൻ,arbetare
477,Chef::N,മേധാവി,chef
478,Meister::N,യജമാനൻ,mästare
479,Arzt::N,ഡോക്ടർ,läkare
480,Lehrer::N,അധ്യാപകൻ,lärare
481,Geld::N,പണം,pengar
482,Geschäft::N,ബിസിനസ്,rörelse
483,Laden::N,കട,affär
484,Preis::N,വില,pris
485,Ware::N,ചരക്ക്,vara
486,Nutzen::N,ലാഭം,gagn
487,Nutzen::N,ലാഭം,nytta
488,Reichtum::N,ധനം,rikedom
489,Welt::N,ലോകം,värld
490,Land::N,രാജ്യം,land
491,Staat::N,രാജ്യം,stat
492,König::N,രാജാവ്,kung
493,König::N,രാജാവ്,konung
494,Macht::N,അധികാരം,makt
495,Grenze::N,അതിർത്തി,gräns
496,Krieg::N,യുദ്ധം,krig
497,Feind::N,ശത്രു,fiende
498,Gewalt::N,അക്രമം,våld
499,Kampf::N,പോരാട്ടം,kamp
500,Kampf::N,പോരാട്ടം,strid
501,Bogen[Waffe]::N,വില്ല്,båge
502,Pfeil::N,അമ്പ്,pil
503,Gewehr::N,തോക്ക്,gevär
504,Fehler::N,പിശക്,fel
505,Lüge::N,കള്ളം,lögn
506,Schaden::N,കേടുപാട്,skada
507,Unglück::N,ദൌർഭാഗ്യം,otur
508,Unglück::N,ദൌർഭാഗ്യം,olycka
509,Schuld::N,തെറ്റ്,skuld
510,Alter::N,വയസ്സ്,ålder
511,Schluss::N,നിഗമനം,slut
512,Zeit::N,സമയം,tid
513,Tag::N,ദിവസം,dag
514,Morgen::N,പ്രഭാതം,morgon
515,Mittag::N,ഉച്ച,middag
516,Abend::N,സായാഹ്നം,kväll
517,Nacht::N,രാത്രി,natt
518,Woche::N,ആഴ്ച,vecka
519,Monat::N,മാസം,månad
520,Jahr::N,വർഷം,år
521,Frühling::N,വസന്തം,vår
522,Sommer::N,വേനൽ,sommar
523,Herbst::N,ശരത്കാലം,höst
524,Winter::N,ശൈത്യം,vinter
525,Januar::N,ജനുവരി,januari
526,Februar::N,ഫെബ്രുവരി,februari
527,März::N,മാർച്ച്,mars
528,April::N,ഏപ്രിൾ മാസം,april
529,Mai::N,മെയ് മാസം,maj
530,Juni::N,ജൂൺ,juni
531,Juli::N,ജൂലൈ,juli
532,August::N,ആഗസ്റ്റ്,augusti
533,September::N,സെപ്തംബർ,september
534,Oktober::N,ഒക്ടോബർ,oktober
535,November::N,നവംബർ,november
536,Dezember::N,ഡിസംബർ,december
537,Montag::N,തിങ്കളാഴ്ച,måndag
538,Dienstag::N,ചൊവ്വ,tisdag
539,Mittwoch::N,ബുധനാഴ്ച,onsdag
540,Donnerstag::N,വ്യാഴാഴ്ച,torsdag
541,Freitag::N,വെള്ളിയാഴ്ച,fredag
542,Samstag::N,ശനിയാഴ്ച,lördag
543,Sonntag::N,ഞായറാഴ്ച,söndag
544,groß::A,വലിയ,stor
545,klein::A,ചെറിയ,liten
546,lang::A,നീണ്ട,lång
547,kurz::A,ഹ്രസ്വമായ,kort
548,breit::A,വിശാലമായ,bred
549,schmal::A,ഇടുങ്ങിയ,smal
550,dicht::A,നിബിഡമായ,tät
551,dick[Gegenstand]::A,തടിച്ച,tjock
552,dünn::A,മെലിഞ്ഞ,tunn
553,fein::A,നേർത്ത,fin
554,fest::A,ഉറപ്പുള്ള,fast
555,flach::A,പരന്ന,platt
556,glatt::A,മിനുസമുള്ള,glatt
557,hart::A,കട്ടിയുള്ള,hård
558,weich::A,മൃദുവായ,mjuk
559,rund::A,വട്ടത്തിലുള്ള,rund
560,spitz::A,മുനയുള്ള,toppig
561,spitz::A,മുനയുള്ള,spetsig
562,scharf::A,മൂർച്ചയുള്ള,vass
563,scharf::A,മൂർച്ചയുള്ള,skarp
564,stumpf::A,തുറന്നടിക്കുന്ന,slö
565,schwer::A,ഭാരമുള്ള,tung
566,schön::A,മനോഹരമായ,skön
567,schön::A,മനോഹരമായ,vacker
568,heiß::A,ചൂടുള്ള,het
569,warm::A,ചൂടുള്ള,varm
570,kalt::A,തണുത്ത,kall
571,kühl::A,തണുപ്പുള്ള,sval
572,kühl::A,തണുപ്പുള്ള,kylig
573,frisch::A,ശുദ്ധമായ,färsk
574,feucht::A,ഈറനുള്ള,fuktig
575,nass::A,നനഞ്ഞ,våt
576,trocken::A,വരണ്ട,torr
577,voll::A,നിറയെ,full
578,leer::A,ഒഴിഞ്ഞ,tom
579,offen::A,തുറന്ന,öppen
580,geschlossen::A,അടച്ച,stängd
581,sauber::A,വൃത്തിയുള്ള,ren
582,schmutzig::A,അഴുക്കുനിറഞ്ഞ,snuskig
583,roh::A,അസംസ്കൃതമായ,rå
584,reif::A,പഴുത്ത,mogen
585,lecker::A,രുചികരമായ,läcker
586,süß::A,മധുരമുള്ള,söt
587,bitter::A,കടുത്ത,besk
588,bitter::A,കടുത്ത,bitter
589,sauer::A,പുളിപ്പുള്ള,sur
590,hell::A,ജ്വലിക്കുന്ന,ljus
591,dunkel::A,ഇരുണ്ട,mörk
592,schwarz::A,കറുത്ത,svart
593,weiß::A,വെളുത്ത,vit
594,rot::A,ചുവന്ന,röd
595,gelb::A,മഞ്ഞനിറമായ,gul
596,blau::A,നീലനിറമുള്ള,blå
597,grün::A,പച്ചനിറമുള്ള,grön
598,grau::A,ചാരനിറത്തിലുള്ള,grå
599,bunt::A,വർണ്ണശബളമായ,brokig
600,billig::A,വിലകുറഞ്ഞ,billig
601,teuer::A,ചെലവേറിയ,dyr
602,wertvoll::A,വിലപിടിപ്പുള്ള,värdefull
603,blind::A,അന്ധനായ,blind
604,taub::A,കേൾവിക്കുറവുള്ള,döv
605,kräftig::A,ശക്തിയുള്ള,kraftig
606,stark::A,ബലമുള്ള,stark
607,schwach::A,ക്ഷീണിച്ച,svag
608,fett::A,കൊഴുപ്പുള്ള,fet
609,schlank::A,മെലിഞ്ഞ,slank
610,hübsch::A,മനോഹരമായ,snygg
611,hübsch::A,മനോഹരമായ,vacker
612,böse::A,പാപിയായ,ond
613,böse::A,പാപിയായ,elak
614,dumm::A,വിവരംകെട്ട,dum
615,faul::A,അലസനായ,lat
616,fleißig::A,അദ്ധ്വാനശീലമുള്ള,flitig
617,geizig::A,പിശുക്കനായ,snål
618,geizig::A,പിശുക്കനായ,girig
619,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,klok
620,geschickt::A,പ്രതിഭാശാലി,händig
621,geschickt::A,പ്രതിഭാശാലി,skicklig
622,lieb::A,പ്രിയപ്പെട്ട,kär
623,lieb::A,പ്രിയപ്പെട്ട,snäll
624,lustig::A,ആനന്ദകരമായ,rolig
625,lustig::A,ആനന്ദകരമായ,lustig
626,sanft::A,സൌമ്യമായ,mild
627,hungrig::A,വിശപ്പുള്ള,hungrig
628,krank::A,അസുഖമുള്ള,sjuk
629,nackt::A,നഡമായ,naken
630,traurig::A,വിഷമമുള്ള,ledsen
631,traurig::A,വിഷമമുള്ള,sorgsen
632,lebendig::A,ഉപജീവനം,levande
633,gut::A,നല്ല,bra
634,schlecht::A,മോശമായ,dålig
635,richtig::A,ശരിയായ,riktig
636,schlimm::A,വൃത്തികെട്ട,illa
637,wahr::A,ശരിയായ,sann
638,alt::A,പഴയ,gammal
639,neu::A,പുതിയ,ny
640,ehemalig::A,മുൻ,forn
641,ehemalig::A,മുൻ,tidigare
642,alt[Lebewesen]::A,വയസ്സുള്ള,gammal
643,jung::A,കൌമാരമായ,ung
644,arm::A,പാവപ്പെട്ട,fattig
645,reich::A,സമ്പന്നമായ,rik
646,bekannt::A,പരിചിതമായ,känd
647,berühmt::A,പ്രശസ്തനായ,berömd
648,fremd::A,വൈദേശികമായ,främmande
649,verschieden::A,വ്യത്യസ്തമായ,åtskillig
650,nah::A,അരികത്തുള്ള,nära
651,fern::A,അകലെയുള്ള,fjärran
652,linker::A,അവശേഷിച്ച,vänster
653,rechter::A,വലത്തേ,höger
654,anderer::A,മറ്റുള്ള,annan
655,erster::A,ആദ്യത്തെ,första
656,zweiter::A,രണ്ടാം,andra
657,dritter::A,മൂന്നാമത്,tredje
