,Concept_ID,cv,cv
0,Auge::N,куҫ,куҫ
1,Ohr::N,хӑлха,хӑлха
2,Nase::N,сӑмса,сӑмса
3,Mund::N,ҫӑвар,ҫӑвар
4,Zahn::N,шӑл,шӑл
5,Zunge::N,чӗлхе,чӗлхе
6,Lippe::N,тута,тута
7,Wange::N,пит ҫӑмарти,пит ҫӑмарти
8,Gesicht::N,пит,пит
9,Gesicht::N,пит,пит-куҫ
10,Gesicht::N,пит-куҫ,пит
11,Gesicht::N,пит-куҫ,пит-куҫ
12,Stirn::N,ҫамка,ҫамка
13,Haar::N,ҫӳҫ,ҫӳҫ
14,Schnurrbart::N,усси,усси
15,Bart::N,сухал,сухал
16,Kinn::N,янах,янах
17,Kiefer[Anatomie]::N,янах,янах
18,Kehle::N,пыр,пыр
19,Kehle::N,пыр,карланкӑ
20,Kehle::N,карланкӑ,пыр
21,Kehle::N,карланкӑ,карланкӑ
22,Hals::N,пыр,пыр
23,Genick::N,ӗнсе,ӗнсе
24,Kopf::N,пуҫ,пуҫ
25,Rücken::N,ҫурӑм,ҫурӑм
26,Nabel::N,кӑвапа,кӑвапа
27,Busen::N,кӑкӑр,кӑкӑр
28,Brust::N,умӗ,умӗ
29,Schulter::N,хул пуҫҫи,хул пуҫҫи
30,Arm::N,алӑ,алӑ
31,Ellenbogen::N,чавса,чавса
32,Hand::N,алӑ сыппи,алӑ сыппи
33,Handfläche::N,ал лаппи,ал лаппи
34,Finger::N,пӳрне,пӳрне
35,Fingernagel::N,чӗрне,чӗрне
36,Nagel[Anatomie]::N,чӗрне,чӗрне
37,Zeh::N,пӳрне,пӳрне
38,Fuß::N,ура лаппи,ура лаппи
39,Ferse::N,кӗле,кӗле
40,Knie::N,чӗркуҫҫи,чӗркуҫҫи
41,Oberschenkel::N,пӗҫӗ,пӗҫӗ
42,Bein::N,ура,ура
43,Körper::N,ӳт,ӳт
44,Körper::N,ӳт,ӳт-пӳ
45,Körper::N,ӳт-пӳ,ӳт
46,Körper::N,ӳт-пӳ,ӳт-пӳ
47,Haut::N,тир,тир
48,Blut::N,юн,юн
49,Ader::N,вена,вена
50,Sehne::N,шӑнӑр,шӑнӑр
51,Knochen::N,шӑмӑ,шӑмӑ
52,Gehirn::N,миме,миме
53,Herz::N,чӗре,чӗре
54,Magen::N,хырӑмлӑх,хырӑмлӑх
55,Leber::N,пӗвер,пӗвер
56,Atem::N,сывлав,сывлав
57,Hunger::N,выҫлӑх,выҫлӑх
58,Träne::N,куҫҫуль,куҫҫуль
59,Geschmack::N,техӗм,техӗм
60,Geruch::N,шӑршӑ,шӑршӑ
61,Schlaf::N,ыйхӑ,ыйхӑ
62,Traum::N,тӗлӗк,тӗлӗк
63,Himmel::N,пӗлӗт,пӗлӗт
64,Sonne::N,хӗвел,хӗвел
65,Mond::N,уйӑх,уйӑх
66,Stern::N,ҫӑлтӑр,ҫӑлтӑр
67,Luft::N,сывлӑш,сывлӑш
68,Wind::N,ҫил,ҫил
69,Welle::N,хум,хум
70,Wasser::N,шыв,шыв
71,Wasser::N,шыв,шыв-шур
72,Wasser::N,шыв-шур,шыв
73,Wasser::N,шыв-шур,шыв-шур
74,Stein::N,чул,чул
75,Boden::N,тӑпра,тӑпра
76,Erde::N,ҫӗр,ҫӗр
77,Staub::N,тусан,тусан
78,Rauch::N,тӗтӗм,тӗтӗм
79,Funke::N,хӗм,хӗм
80,Feuer::N,вут,вут
81,Feuer::N,вут,ҫулӑм
82,Feuer::N,ҫулӑм,вут
83,Feuer::N,ҫулӑм,ҫулӑм
84,Licht::N,ҫутӑ,ҫутӑ
85,Schatten::N,сулхӑн,сулхӑн
86,Wetter::N,ҫанталӑк,ҫанталӑк
87,Nebel::N,тӗтре,тӗтре
88,Wolke::N,пӗлӗт,пӗлӗт
89,Regen::N,ҫумӑр,ҫумӑр
90,Schnee::N,юр,юр
91,Eis::N,пӑр,пӑр
92,Frost::N,сивӗ,сивӗ
93,Kälte::N,сивӗ,сивӗ
94,Hitze::N,вӗри,вӗри
95,Hitze::N,вӗри,шӑрӑх
96,Hitze::N,шӑрӑх,вӗри
97,Hitze::N,шӑрӑх,шӑрӑх
98,Raureif::N,пас,пас
99,Regenbogen::N,асамат кӗперӗ,асамат кӗперӗ
100,Donner::N,аслати,аслати
101,Strömung::N,юхӑ,юхӑ
102,Tropfen::N,тумлам,тумлам
103,Schaum::N,кӑпӑк,кӑпӑк
104,Schmutz::N,пылчӑк,пылчӑк
105,See::N,кӳлӗ,кӳлӗ
106,Sumpf::N,шур,шур
107,Sumpf::N,шур,шурлӑх
108,Sumpf::N,шурлӑх,шур
109,Sumpf::N,шурлӑх,шурлӑх
110,Moor::N,торфлӑ шурлӑх,торфлӑ шурлӑх
111,Wiese::N,улӑх,улӑх
112,Wiese::N,улӑх,ҫаран
113,Wiese::N,ҫаран,улӑх
114,Wiese::N,ҫаран,ҫаран
115,Wald::N,вӑрман,вӑрман
116,Hügel::N,сӑрт,сӑрт
117,Hügel::N,сӑрт,тӗмеске
118,Hügel::N,тӗмеске,сӑрт
119,Hügel::N,тӗмеске,тӗмеске
120,Anhöhe::N,сӑрт,сӑрт
121,Berg::N,ту,ту
122,Gipfel::N,тӳпе,тӳпе
123,Höhle::N,ҫӗр хӑвӑлӗ,ҫӗр хӑвӑлӗ
124,Abhang::N,тӑвайкки,тӑвайкки
125,Quelle::N,ҫӑл куҫ,ҫӑл куҫ
