,Concept_ID,hr,pl
0,Auge::N,oko,oko
1,Ohr::N,uho,ucho
2,Nase::N,nos,nos
3,Mund::N,usta,usta
4,Zahn::N,zub,ząb
5,Zunge::N,jezik,język
6,Lippe::N,usna,warga
7,Wange::N,obraz,policzek
8,Gesicht::N,lice,twarz
9,Stirn::N,čelo,czoło
10,Haar::N,kosa,włos
11,Haar::N,kosa,włosy
12,Schnurrbart::N,brkovi,wąsy
13,Bart::N,brada,broda
14,Kinn::N,brada,podbródek
15,Kinn::N,podbradak,podbródek
16,Kiefer[Anatomie]::N,čeljust,czeluść
17,Kehle::N,grlo,gardło
18,Hals::N,vrat,szyja
19,Genick::N,zatiljak,kark
20,Kopf::N,glava,głowa
21,Rücken::N,leđa,plecy
22,Rücken::N,leđa,grzbiet
23,Rücken::N,hrbat,plecy
24,Rücken::N,hrbat,grzbiet
25,Bauch::N,trbuh,brzuch
26,Nabel::N,pupak,pępek
27,Busen::N,sisa,biust
28,Busen::N,njedra,biust
29,Brust::N,prsa,pierś
30,Schulter::N,rame,bark
31,Schulter::N,rame,ramię
32,Schulter::N,pleći,bark
33,Schulter::N,pleći,ramię
34,Arm::N,ruka,ręka
35,Arm::N,ruka,ramię
36,Ellenbogen::N,lakat,łokieć
37,Hand::N,ruka,dłoń
38,Handfläche::N,dlan,dłoń
39,Finger::N,prst,palec
40,Fingernagel::N,nokat,paznokieć
41,Nagel[Anatomie]::N,nokat,paznokieć
42,Zeh::N,nozni prst,palec
43,Fuß::N,noga,stopa
44,Fuß::N,stopalo,stopa
45,Ferse::N,peta,pięta
46,Knie::N,koljeno,kolano
47,Oberschenkel::N,bedro,udo
48,Bein::N,noga,noga
49,Körper::N,tijelo,ciało
50,Haut::N,put,skóra
51,Haut::N,koža,skóra
52,Blut::N,krv,krew
53,Ader::N,žila,żyła
54,Sehne::N,tetiva,ścięgno
55,Knochen::N,kost,kość
56,Herz::N,srce,serce
57,Magen::N,stomak,żołądek
58,Magen::N,želudac,żołądek
59,Leber::N,jetra,wątroba
60,Atem::N,dah,dech
61,Atem::N,dah,oddech
62,Hunger::N,glad,głód
63,Träne::N,suza,łza
64,Geschmack::N,ukus,smak
65,Geruch::N,njuh,woń
66,Geruch::N,njuh,zapach
67,Geruch::N,miris,woń
68,Geruch::N,miris,zapach
69,Schlaf::N,san,sen
70,Traum::N,san,sen
71,Himmel::N,nebo,niebo
72,Sonne::N,sunce,słońce
73,Mond::N,mjesec,księżyc
74,Stern::N,zvijezda,gwiazda
75,Luft::N,zrak,powietrze
76,Wind::N,vjetar,wiatr
77,Welle::N,val,fala
78,Welle::N,talas,fala
79,Wasser::N,voda,woda
80,Stein::N,kamen,kamień
81,Boden::N,tlo,grunt
82,Boden::N,zemlja,grunt
83,Erde::N,zemlja,ziemia
84,Staub::N,prah,pył
85,Staub::N,prah,kurz
86,Staub::N,prašina,pył
87,Staub::N,prašina,kurz
88,Rauch::N,dim,dym
89,Funke::N,iskra,iskra
90,Funke::N,varnica,iskra
91,Feuer::N,vatra,ogień
92,Licht::N,svjetlo,światło
93,Schatten::N,hlad,cień
94,Schatten::N,sjena,cień
95,Wetter::N,vrijeme,pogoda
96,Nebel::N,magla,mgła
97,Wolke::N,oblak,obłok
98,Wolke::N,oblak,chmura
99,Regen::N,kiša,deszcz
100,Schnee::N,snijeg,śnieg
101,Eis::N,led,lód
102,Frost::N,mraz,mróz
103,Kälte::N,studen,chłód
104,Kälte::N,hladnoća,chłód
105,Hitze::N,vrućina,gorąco
106,Raureif::N,inje,szron
107,Regenbogen::N,duga,tęcza
108,Donner::N,grom,grzmot
109,Donner::N,grmljavina,grzmot
110,Strömung::N,struja,nurt
111,Strömung::N,strujanje,nurt
112,Tropfen::N,kap,kropla
113,Tropfen::N,kaplja,kropla
114,Schaum::N,pjena,piana
115,Schmutz::N,nečistoća,brud
116,Schmutz::N,prljavština,brud
117,See::N,jezero,jezioro
118,Sumpf::N,bara,bagno
119,Moor::N,močvara,bagno
120,Wiese::N,livada,łąka
121,Wald::N,šuma,las
122,Hügel::N,brijeg,pagórek
123,Hügel::N,brežuljak,pagórek
124,Anhöhe::N,uzvišica,wzgórze
125,Berg::N,brdo,góra
126,Gipfel::N,vrh,szczyt
127,Gipfel::N,vrh,wierzchołek
128,Höhle::N,pećina,pieczara
129,Höhle::N,spilja,pieczara
130,Abhang::N,obronak,stok
131,Abhang::N,obronak,zbocze
132,Abhang::N,nizbrdica,stok
133,Abhang::N,nizbrdica,zbocze
134,Quelle::N,izvor,zdrój
135,Quelle::N,izvor,źródło
136,Quelle::N,vrelo,zdrój
137,Quelle::N,vrelo,źródło
138,Bach::N,potok,potok
139,Bach::N,potok,strumień
140,Fluss::N,rijeka,rzeka
141,Ufer::N,obala,brzeg
142,Küste::N,obala,wybrzeże
143,Küste::N,morska obala,wybrzeże
144,Festland::N,kopno,ląd
145,Meer::N,more,morze
146,Bucht::N,zaliv,zatoka
147,Insel::N,ada,wyspa
148,Insel::N,otok,wyspa
149,Blume::N,cvijet,kwiat
150,Gras::N,trava,trawa
151,Wurzel::N,korijen,korzeń
152,Baum::N,drvo,drzewo
153,Baum::N,stablo,drzewo
154,Stamm::N,deblo,pień
155,Stamm::N,stablo,pień
156,Rinde::N,kora,kora
157,Ast::N,grana,gałąź
158,Zweig::N,grana,gałąź
159,Blatt::N,list,liść
160,Birke::N,breza,brzoza
161,Kiefer[Baum]::N,bor,sosna
162,Weide[Baum]::N,iva,wierzba
163,Weide[Baum]::N,vŕba,wierzba
164,Tanne::N,jela,jodła
165,Horn::N,rog,róg
166,Feder::N,pero,pióro
167,Fell::N,koža,futro
168,Flügel::N,krilo,skrzydło
169,Klaue::N,papak,szpon
170,Kralle::N,pandža,pazur
171,Schwanz::N,rep,ogon
172,Ei::N,jaje,jajko
173,Nest::N,gnijezdo,gniazdo
174,Bau::N,jazbina,nora
175,Tier::N,životinja,zwierzę
176,Herde::N,krdo,stado
177,Herde::N,krdo,trzoda
178,Herde::N,stado,stado
179,Herde::N,stado,trzoda
180,Kuh::N,krava,krowa
181,Bulle::N,bik,byk
182,Pferd::N,konj,koń
183,Schaf::N,ovca,owca
184,Schwein::N,svinja,świnia
185,Hund::N,pas,pies
186,Hund::N,pseto,pies
187,Katze::N,mačka,kot
188,Katze::N,mačka,kotka
189,Bär::N,medvjed,niedźwiedż
190,Eichhörnchen::N,vjeverica,wiewiórka
191,Elch::N,los,łóś
192,Fuchs::N,lisica,lis
193,Hase::N,zec,zając
194,Maus::N,miš,mysz
195,Wolf::N,vuk,wilk
196,Wolf::N,kurjak,wilk
197,Vogel::N,ptica,ptak
198,Schwarm::N,roj,stado
199,Schwarm::N,jato,stado
200,Huhn::N,kokoš,kura
201,Hahn::N,kokot,kogut
202,Hahn::N,pijevac,kogut
203,Gans::N,guska,gęś
204,Adler::N,orao,orzeł
205,Ente::N,patka,kaczka
206,Eule::N,sova,sowa
207,Kranich::N,ždral,żuraw
208,Krähe::N,vrana,wrona
209,Kuckuck::N,kukavica,kukułka
210,Schwan::N,labud,łabędż
211,Fisch::N,riba,ryba
212,Barsch::N,grgeč,okoń
213,Hecht::N,štuka,szczupak
214,Schlange[Tier]::N,guja,wąż
215,Schlange[Tier]::N,guja,żmija
216,Schlange[Tier]::N,zmija,wąż
217,Schlange[Tier]::N,zmija,żmija
218,Wurm::N,crv,robak
219,Spinne::N,pauk,pająk
220,Ameise::N,mrav,mrówka
221,Laus::N,uš,wesz
222,Mücke::N,komarac,komar
223,Fliege::N,muha,mucha
224,Schmetterling::N,leptir,motyl
225,Beere::N,boba,jagoda
226,Beere::N,bobica,jagoda
227,Apfel::N,jabuka,jabłko
228,Pilz::N,pečurka,grzyb
229,Zwiebel::N,luk,cebula
230,Zwiebel::N,kapula,cebula
231,Saat::N,sjemenje,siew
232,Korn::N,zrno,ziarno
