,Concept_ID,uk,fr
0,Auge::N,око,œil
1,Ohr::N,вухо,oreille
2,Nase::N,ніс,nez
3,Mund::N,рот,bouche
4,Zahn::N,зуб,dent
5,Zunge::N,язик,langue
6,Lippe::N,губа,lèvre
7,Wange::N,щока,joue
8,Gesicht::N,обличчя,face
9,Gesicht::N,обличчя,visage
10,Stirn::N,лоб,front
11,Haar::N,волосся,cheveu
12,Schnurrbart::N,вуса,moustache
13,Bart::N,борода,barbe
14,Kinn::N,підборіддя,menton
15,Kiefer[Anatomie]::N,щелепа,mâchoire
16,Kehle::N,горло,gorge
17,Hals::N,шия,cou
18,Genick::N,потилиця,nuque
19,Kopf::N,голова,tête
20,Rücken::N,спина,dos
21,Bauch::N,живіт,ventre
22,Nabel::N,пупок,nombril
23,Busen::N,груди,sein
24,Brust::N,груди,poitrine
25,Schulter::N,плече,épaule
26,Arm::N,рука,bras
27,Ellenbogen::N,лікоть,coude
28,Hand::N,рука,main
29,Handfläche::N,долоня,paume
30,Finger::N,палець,doigt
31,Fingernagel::N,ніготь,ongle
32,Nagel[Anatomie]::N,ніготь,ongle
33,Zeh::N,палець на нозі,orteil
34,Zeh::N,палець на нозі,doigt de pied
35,Fuß::N,нога,pied
36,Ferse::N,п’ятка,talon
37,Knie::N,коліно,genou
38,Oberschenkel::N,стегно,cuisse
39,Bein::N,нога,jambe
40,Körper::N,тіло,corps
41,Haut::N,шкіра,peau
42,Blut::N,кров,sang
43,Ader::N,вена,veine
44,Sehne::N,сухожилля,tendon
45,Knochen::N,кістка,os
46,Gehirn::N,мозок,cerveau
47,Herz::N,серце,cœur
48,Magen::N,шлунок,estomac
49,Leber::N,печінка,foie
50,Atem::N,дихання,haleine
51,Hunger::N,голод,faim
52,Träne::N,сльоза,larme
53,Geschmack::N,смак,goût
54,Geschmack::N,смак,saveur
55,Geruch::N,запах,odeur
56,Schlaf::N,сон,sommeil
57,Schlaf::N,сплячка,sommeil
58,Traum::N,сон,songe
59,Himmel::N,небо,ciel
60,Sonne::N,сонце,soleil
61,Mond::N,місяць,lune
62,Stern::N,зірка,étoile
63,Luft::N,повітря,air
64,Wind::N,вітер,vent
65,Welle::N,хвиля,vague
66,Wasser::N,вода,eau
67,Stein::N,камінь,pierre
68,Boden::N,ґрунт,sol
69,Boden::N,ґрунт,terrain
70,Erde::N,земля,terre
71,Staub::N,пил,poussière
72,Rauch::N,дим,fumée
73,Funke::N,іскра,étincelle
74,Feuer::N,вогонь,feu
75,Licht::N,світло,lumière
76,Schatten::N,тінь,ombre
77,Wetter::N,погода,temps
78,Nebel::N,туман,brume
79,Nebel::N,туман,brouillard
80,Wolke::N,хмара,nuage
81,Regen::N,дощ,pluie
82,Schnee::N,сніг,neige
83,Eis::N,лід,glace
84,Frost::N,мороз,gel
85,Frost::N,мороз,gelée
86,Kälte::N,холод,froid
87,Hitze::N,жар,chaleur
88,Raureif::N,іній,givre
89,Regenbogen::N,райдуга,arc-en-ciel
90,Donner::N,грім,tonnerre
91,Strömung::N,струмина,courant
92,Tropfen::N,крапля,goutte
93,Schaum::N,піна,écume
94,Schaum::N,піна,mousse
95,Schmutz::N,бруд,boue
96,Schmutz::N,бруд,saleté
97,See::N,озеро,lac
98,Sumpf::N,драговина,marais
99,Sumpf::N,драговина,marécage
100,Moor::N,болото,tourbière
101,Wiese::N,луг,pré
102,Wiese::N,лука,pré
103,Wald::N,ліс,bois
104,Wald::N,ліс,forêt
105,Hügel::N,горб,coteau
106,Hügel::N,горб,colline
107,Anhöhe::N,височина,éminence
108,Anhöhe::N,височина,élévation
109,Berg::N,гора,mont
110,Berg::N,гора,montagne
111,Gipfel::N,вершина,cime
112,Gipfel::N,вершина,sommet
113,Höhle::N,печера,caverne
114,Abhang::N,схил,pente
115,Abhang::N,схил,versant
116,Quelle::N,джерело,source
117,Quelle::N,джерело,fontaine
118,Bach::N,струмок,ruisseau
119,Fluss::N,річка,fleuve
120,Fluss::N,річка,rivière
