,Concept_ID,hi,ce
0,Auge::N,आँख,бӏаьрг
1,Auge::N,चक्षु,бӏаьрг
2,Ohr::N,कान,лерг
3,Ohr::N,कर्ण,лерг
4,Nase::N,नाक,мара
5,Nase::N,नासा,мара
6,Mund::N,मुख,бага
7,Mund::N,मुँह,бага
8,Zahn::N,दंत,церг
9,Zahn::N,दाँत,церг
10,Zunge::N,जीभ,мотт
11,Zunge::N,ज़बान,мотт
12,Zunge::N,जिह्वा,мотт
13,Lippe::N,ओंठ,балда
14,Lippe::N,होंठ,балда
15,Wange::N,गाल,бесни
16,Wange::N,कपोल,бесни
17,Gesicht::N,मुँह,юьхь
18,Gesicht::N,चेहरा,юьхь
19,Stirn::N,माथा,хьаж
20,Stirn::N,मस्तक,хьаж
21,Haar::N,बाल,мас
22,Schnurrbart::N,मूँछें,мекх
23,Bart::N,दाढ़ी,маж
24,Kinn::N,चिबुक,чӏениг
25,Kiefer[Anatomie]::N,जबड़ा,мочхал
26,Kehle::N,गला,къамкъарг
27,Hals::N,गला,ворта
28,Hals::N,गरदन,ворта
29,Genick::N,गरदन,кӏесаркӏаг
30,Genick::N,ग्रीवा,кӏесаркӏаг
31,Kopf::N,सिर,корта
32,Kopf::N,शीर्ष,корта
33,Rücken::N,पीठ,букъ
34,Bauch::N,उदर,кийра
35,Nabel::N,नाभि,цӏонга
36,Nabel::N,ढोंढी,цӏонга
37,Busen::N,कुच,зударийн накха
38,Busen::N,स्तन,зударийн накха
39,Brust::N,वक्ष,накха
40,Schulter::N,कंधा,белш
41,Schulter::N,स्कंध,белш
42,Arm::N,बाँह,пхьарс
43,Arm::N,बाज़ू,пхьарс
44,Ellenbogen::N,कुहनी,пхьаьрсан гола
45,Hand::N,हाथ,куьг
46,Hand::N,हस्त,куьг
47,Handfläche::N,हथेली,кераюкъ
48,Finger::N,उँगली,пӏелг
49,Finger::N,अँगुली,пӏелг
50,Fingernagel::N,नख,мӏара
51,Fingernagel::N,नाख़ून,мӏара
52,Nagel[Anatomie]::N,नख,мӏара
53,Nagel[Anatomie]::N,नाख़ून,мӏара
54,Zeh::N,उँगली,кога пӏелг
55,Zeh::N,पाँव की उँगली,кога пӏелг
56,Fuß::N,चरण,ког
57,Fuß::N,पाँव,ког
58,Ferse::N,एड़ी,кӏажа
59,Knie::N,जानु,гола
60,Knie::N,घुटना,гола
61,Oberschenkel::N,उरु,варе
62,Bein::N,टाँग,ког
63,Körper::N,तन,хӏума
64,Körper::N,देह,хӏума
65,Körper::N,शरीर,хӏума
66,Haut::N,चर्म,чкъор
67,Haut::N,त्वचा,чкъор
68,Blut::N,लहू,цӏий
69,Blut::N,ख़ून,цӏий
70,Ader::N,रग,пха
71,Ader::N,शिरा,пха
72,Sehne::N,कंडरा,хьорзам
73,Sehne::N,स्नायु,хьорзам
74,Knochen::N,अस्थि,даьӏахк
75,Gehirn::N,दिमाग़,хье
76,Gehirn::N,मस्तिष्क,хье
77,Herz::N,दिल,дог
78,Herz::N,हृदय,дог
79,Magen::N,मेदा,зорх
80,Magen::N,अमाशय,зорх
81,Leber::N,जिगर,доӏах
82,Leber::N,यकृत्,доӏах
83,Atem::N,दम,садеӏар
84,Atem::N,साँस,садеӏар
85,Atem::N,श्वास,садеӏар
86,Hunger::N,भूख,мацалла
87,Hunger::N,क्षुधा,мацалла
88,Träne::N,आँसू,бӏаьрхи
89,Träne::N,अश्रु,бӏаьрхи
90,Geschmack::N,स्वाद,чам
91,Geschmack::N,ज़ायक़ा,чам
92,Geruch::N,बू,хьожа
93,Geruch::N,गंध,хьожа
94,Schlaf::N,नींद,наб
95,Schlaf::N,निद्रा,наб
96,Traum::N,सपना,гӏан
97,Traum::N,स्वप्न,гӏан
98,Himmel::N,आकाश,стигал
99,Himmel::N,आसमान,стигал
100,Sonne::N,रवि,малх
101,Sonne::N,सूरज,малх
102,Sonne::N,सूर्य,малх
103,Mond::N,चाँद,бутт
104,Mond::N,चंद्र,бутт
105,Stern::N,तारा,седа
106,Stern::N,सितारा,седа
107,Luft::N,हवा,xӏаваъ
108,Luft::N,वायु,xӏаваъ
109,Wind::N,पाद,мох
110,Welle::N,लहर,тулгӏе
111,Welle::N,तरंग,тулгӏе
112,Wasser::N,जल,хи
113,Wasser::N,पानी,хи
114,Stein::N,पत्थर,тӏулг
115,Boden::N,मिट्टी,цӏенкъа
116,Erde::N,भूमि,латта
117,Erde::N,ज़मीन,латта
118,Staub::N,धूल,чан
119,Rauch::N,धूआँ,кӏур
120,Rauch::N,धुम्र,кӏур
121,Funke::N,चिनगारी,суй
122,Funke::N,स्फुलिंग,суй
123,Feuer::N,आग,цӏе
124,Feuer::N,आतिश,цӏе
125,Feuer::N,अग्नि,цӏе
126,Licht::N,रोशनी,серло
127,Licht::N,प्रकाश,серло
128,Schatten::N,छाया,ӏиндагӏ
129,Schatten::N,परछाई,ӏиндагӏ
130,Wetter::N,ऋतु,хенан хӏоттам
131,Wetter::N,मौसम,хенан хӏоттам
132,Nebel::N,धुँध,дохк
133,Nebel::N,कुहरा,дохк
134,Wolke::N,मेघ,марха
135,Wolke::N,अभ्र,марха
136,Regen::N,मेंह,догӏа
137,Regen::N,बारिश,догӏа
138,Schnee::N,हिम,ло
139,Schnee::N,बर्फ़,ло
140,Eis::N,हिम,ша
141,Eis::N,बर्फ़,ша
