,Concept_ID,os,cs
0,Auge::N,цӕст,oko
1,Ohr::N,хъус,ucho
2,Nase::N,фындз,nos
3,Mund::N,дзых,pusa
4,Zahn::N,дӕндаг,zub
5,Zunge::N,ӕвзаг,jazyk
6,Lippe::N,был,ret
7,Wange::N,рус,tvář
8,Wange::N,уадул,tvář
9,Wange::N,ӕхсӕрфарс,tvář
10,Gesicht::N,цӕсгом,obličej
11,Stirn::N,ных,čelo
12,Haar::N,хил,vlas
13,Haar::N,хил,vlasy
14,Schnurrbart::N,рихи,kníry
15,Bart::N,зачъе,vousy
16,Kinn::N,роцъо,brada
17,Kiefer[Anatomie]::N,ӕфсӕр,čelist
18,Kehle::N,хъуыр,hrdlo
19,Hals::N,къубал,krk
20,Genick::N,къӕбут,týl
21,Kopf::N,сӕр,hlava
22,Rücken::N,фӕсонтӕ,záda
23,Rücken::N,фӕсонтӕ,hřbet
24,Bauch::N,гуыбын,břicho
25,Nabel::N,бикъ,pupek
26,Busen::N,дзидзи,ňadra
27,Brust::N,риу,prsa
28,Schulter::N,уӕхск,plece
29,Schulter::N,уӕхск,rameno
30,Arm::N,цонг,ruka
31,Ellenbogen::N,рæмбын,loket
32,Hand::N,къух,ruka
33,Handfläche::N,армытъӕпӕн,dlaň
34,Finger::N,ӕнруылдз,prst
35,Fingernagel::N,ных,nehet
36,Nagel[Anatomie]::N,ных,nehet
37,Zeh::N,къух,prst u nohy
38,Fuß::N,фад,noha
39,Ferse::N,зӕвӕт,pata
40,Knie::N,уӕраг,koleno
41,Oberschenkel::N,агъд,stehno
42,Bein::N,зӕнг,noha
43,Körper::N,буар,tělo
44,Haut::N,царм,kůže
45,Blut::N,туг,krev
46,Ader::N,дадзин,céva
47,Ader::N,тугдадзин,céva
48,Sehne::N,хъиутæ,šlacha
49,Sehne::N,нуар,šlacha
50,Knochen::N,стӕг,kost
51,Gehirn::N,магъз,mozek
52,Herz::N,зӕрдӕ,srdce
53,Magen::N,ахсӕн,žaludek
54,Leber::N,игæр,játra
55,Atem::N,улӕфт,dech
56,Hunger::N,стонг,hlad
57,Träne::N,цæссыг,slza
58,Geschmack::N,ад,vkus
59,Geruch::N,смаг,vůně
60,Geruch::N,смаг,zápach
61,Schlaf::N,хуыссӕг,spánek
62,Traum::N,фын,sen
63,Himmel::N,арв,nebe
64,Himmel::N,уӕларв,nebe
65,Sonne::N,хур,slunce
66,Mond::N,мӕй,měsíc
67,Stern::N,стъалы,hvězda
68,Luft::N,уӕлдӕф,vzduch
69,Wind::N,дымгӕ,vítr
70,Welle::N,уылӕн,vlna
71,Wasser::N,дон,voda
72,Stein::N,дур,kámen
73,Boden::N,зӕхх,půda
74,Erde::N,сыджыт,země
75,Staub::N,рыг,prach
76,Rauch::N,фӕздӕг,dým
77,Rauch::N,фӕздӕг,kouř
78,Funke::N,цӕхӕр,jiskra
79,Feuer::N,зынг,oheň
80,Licht::N,рухс,světlo
81,Schatten::N,аууон,stín
82,Wetter::N,боныхъӕд,počasí
83,Nebel::N,мигъ,mlha
84,Wolke::N,ӕврагъ,mrak
85,Wolke::N,ӕврагъ,oblak
86,Regen::N,уарын,déšť
87,Schnee::N,мит,sníh
88,Eis::N,их,led
89,Frost::N,ихæн,mráz
90,Kälte::N,уазал,chlad
91,Hitze::N,ӕнтӕф,horko
92,Raureif::N,халас,jinovatka
93,Regenbogen::N,арвырон,duha
94,Regenbogen::N,арвырдын,duha
95,Donner::N,æрвнæрын,hrom
96,Strömung::N,цыд,proudění
97,Tropfen::N,æртах,kapka
98,Schaum::N,фынк,pěna
99,Schmutz::N,цъыф,špína
100,See::N,цад,jezero
101,Sumpf::N,цъыфдзаст,močál
102,Sumpf::N,цъыфдзаст,bažina
103,Moor::N,цъыфдзаст,bažina
104,Moor::N,цъыфдзаст,slatina
105,Wiese::N,уыгӕрдӕн,louka
106,Wald::N,хъӕд,les
107,Hügel::N,обау,kopec
108,Hügel::N,къуыбыр,kopec
109,Anhöhe::N,уæлвæз,pahorek
110,Anhöhe::N,уæлхох,pahorek
111,Berg::N,хох,hora
112,Gipfel::N,цъупп,vrchol
113,Höhle::N,лӕгӕт,jeskyně
114,Abhang::N,къул,svah
115,Abhang::N,къул,stráň
116,Quelle::N,суадон,pramen
117,Bach::N,мӕсчъыдон,potok
118,Fluss::N,дон,řeka
119,Fluss::N,цӕугӕдон,řeka
120,Ufer::N,был,břeh
121,Küste::N,донбыл,pobřeží
122,Festland::N,сурзæхх,souš
123,Festland::N,сурзæхх,pevnina
124,Meer::N,денджыз,moře
125,Bucht::N,донбакæлæн,záliv
126,Bucht::N,донбакæлæн,zátoka
127,Insel::N,сакъадах,ostrov
128,Blume::N,дидинӕг,květina
129,Gras::N,кӕрдӕг,tráva
130,Wurzel::N,уидаг,kořen
131,Baum::N,бӕлас,strom
132,Stamm::N,хӕтӕл,kmen
133,Rinde::N,цъар,kůra
134,Ast::N,арх,větev
135,Zweig::N,къалиу,větev
136,Blatt::N,сыф,lupen
137,Birke::N,бæрз,bříza
138,Kiefer[Baum]::N,нӕзы,sosna
139,Kiefer[Baum]::N,нӕзы,borovice
140,Weide[Baum]::N,хӕрис,vrba
141,Tanne::N,наз,jedle
142,Horn::N,сыкъа,roh
143,Feder::N,сис,pero
144,Fell::N,царм,srst
145,Flügel::N,базыр,křídlo
146,Klaue::N,ных,dráp
147,Klaue::N,ных,pazneht
148,Kralle::N,дзӕмбы,dráp
149,Schwanz::N,къӕдзил,ocas
150,Ei::N,айк,vejce
151,Nest::N,ахстон,hnízdo
152,Bau::N,хуынкъ,nora
153,Tier::N,сырд,zvíře
154,Tier::N,цӕрӕгой,zvíře
155,Herde::N,дзуг,stádo
156,Herde::N,рӕгъау,stádo
157,Kuh::N,хъуг,kráva
158,Bulle::N,гал,býk
159,Pferd::N,бӕх,kůň
160,Schaf::N,фыс,ovce
161,Schwein::N,хуы,vepř
162,Schwein::N,хуы,prase
163,Hund::N,куыдз,pes
164,Katze::N,гӕды,kočka
165,Bär::N,арс,medvěd
166,Eichhörnchen::N,æхсæрæг,veverka
167,Elch::N,цæгатаг саг,los
168,Fuchs::N,рувас,liška
169,Hase::N,тæрхъус,zajíc
170,Maus::N,мыст,myš
171,Wolf::N,бирӕгъ,vlk
172,Vogel::N,цъиу,pták
173,Vogel::N,маргъ,pták
174,Schwarm::N,бал,roj
175,Schwarm::N,бал,hejno
176,Huhn::N,карк,kuře
177,Huhn::N,карк,slepice
178,Hahn::N,уасӕг,kohout
179,Gans::N,хъаз,husa
180,Adler::N,цӕргӕс,orel
181,Ente::N,ацц,kachna
182,Eule::N, уыг,sova
183,Eule::N,сидахъ,sova
184,Kranich::N,зырнæг,jeřáb
185,Kranich::N,хърихъупп,jeřáb
186,Krähe::N,халон,vrána
187,Kuckuck::N,гаккук,kukačka
188,Schwan::N,доныхъаз,labuť
189,Fisch::N,кӕсаг,ryba
190,Barsch::N,окунь,okoun
191,Hecht::N,хихор кӕсаг,štika
192,Schlange[Tier]::N,калм,had
193,Wurm::N,зулкъ,červ
194,Wurm::N,къуыдыргалм,červ
195,Spinne::N,хӕлуарӕг,pavouk
196,Ameise::N,мæлдзыг,mravenec
197,Laus::N,сыст,veš
198,Mücke::N,къогъо,komár
199,Fliege::N,бындз,moucha
200,Schmetterling::N,гæлæбу,motýl
201,Beere::N,гагадыргъ,bobule
