,Concept_ID,uz,ps
0,Auge::N,ko'z,سترګه
1,Ohr::N,quloq,غوږ
2,Nase::N,burun,پوزه
3,Mund::N,og'iz,خوله
4,Zahn::N,tish,غاښ
5,Zunge::N,til,جبه
6,Lippe::N,dudoq,شونډه
7,Wange::N,bet,باړخو
8,Gesicht::N,yuz,مخ
9,Stirn::N,manglay,تندی
10,Stirn::N,manglay,وچولی
11,Haar::N,soch,وېښته
12,Schnurrbart::N,mo'ylov,برېت
13,Bart::N,soqol,ږیره
14,Kinn::N,ängak,زنه
15,Kiefer[Anatomie]::N,iyak,جامه
16,Kehle::N,bo'g'iz,غاړه
17,Hals::N,bo'yin,غاړه
18,Genick::N,gardan,ورمېږ
19,Kopf::N,bosh,سر
20,Rücken::N,orqa,شا
21,Bauch::N,qorin,نس
22,Bauch::N,qorin,ګېډه
23,Nabel::N,kindik,نوم
24,Busen::N,ämchak,تی
25,Brust::N,ko'krak,سینه
26,Schulter::N,elka,اوږه
27,Arm::N,bilak,لاس
28,Ellenbogen::N,tirsak,څنګل
29,Hand::N,qo'l,لاس
30,Handfläche::N,kaft,ورغوی
31,Finger::N,barmoq,ګوته
32,Fingernagel::N,tirnoq,نوک
33,Nagel[Anatomie]::N,tirnoq,نوک
34,Zeh::N,oyoq barmog'i,ګوته
35,Fuß::N,oyoq,پښه
36,Ferse::N,tovon,پونده
37,Knie::N,tiz,زنګون
38,Oberschenkel::N,son,پتون
39,Bein::N,oyoq,پښه
40,Körper::N,badna,ځان
41,Haut::N,teri,پوټکی
42,Blut::N,qon,وینه
43,Ader::N,qon tomir,رګ
44,Sehne::N,tomir,پله
45,Knochen::N,suyak,هډوکی
46,Gehirn::N,miya,ماغزه
47,Herz::N,qalb,زړه
48,Magen::N,oshqozon,معده
49,Leber::N,bag'ir,ينه
50,Leber::N,bag'ir,ځیګر
51,Atem::N,dam,نفس
52,Hunger::N,ochlik,ولږه
53,Träne::N,yosh,اوښکه
54,Geschmack::N,tam,مزه
55,Geschmack::N,tam,خوند
56,Geruch::N,jid,بوی
57,Schlaf::N,uyqu,خوب
58,Traum::N,tush,خوب
59,Himmel::N,osmon,اسمان
60,Sonne::N,quyosh,لمر
61,Mond::N,oy,سپوږمۍ
62,Stern::N,yulduz,ستوری
63,Luft::N,havo,هوا
64,Wind::N,el,ورښ
65,Welle::N,to'lqin,موج
66,Wasser::N,suv,اوبه
67,Stein::N,tosh,ډبره
68,Boden::N,tuproq,مځکه
69,Erde::N,er,خاوره
70,Staub::N,chang,ګرد
71,Staub::N,chang,خاوره
72,Rauch::N,tutun,دود
73,Rauch::N,tutun,لوګی
74,Funke::N,yalt,سپرغۍ
75,Feuer::N,o't,اور
76,Licht::N,yorug',رڼا
77,Schatten::N,soya,سیوری
78,Wetter::N,havo,هوا
79,Nebel::N,tuman,لړه
80,Wolke::N,bulut,ورېځ
81,Regen::N,yomg'ir,وریا
82,Regen::N,yomg'ir,باران
83,Schnee::N,qor,واوره
84,Eis::N,muz,یخ
85,Eis::N,muz,کنګل
86,Frost::N,ajoz,یخ
87,Kälte::N,ajoz,ساړه
88,Hitze::N,issiq,تودوخي
89,Raureif::N,qirov,سپینه پرخه
90,Regenbogen::N,kamalak,بوډۍ ټال
91,Regenbogen::N,kamalak,سره زرغونه
92,Donner::N,guldur,تالنده
93,Strömung::N,oqim,بهېدنه
94,Tropfen::N,tomchi,قطره
95,Tropfen::N,tomchi,څاڅکی
96,Schaum::N,ko'pik,ځګ
97,Schmutz::N,gard,ناپاکي
98,See::N,ko'l,جهیل
99,Sumpf::N,botqoq,جبه
100,Moor::N,qir-adir,جبه
101,Wiese::N,o'tzor,چمن
102,Wiese::N,o'tzor,شنېلی
103,Wald::N,o'rmon,ځنګل
104,Hügel::N,tepa,تپه
105,Anhöhe::N,adir,غونډۍ
106,Berg::N,tog',غ‍‍‍‍‍ر
107,Gipfel::N,cho'qqi,څوکه
108,Höhle::N,kavak,کاز
109,Abhang::N,to'sh,لمن
110,Quelle::N,buloq,چینه
111,Bach::N,o'zan,واله
112,Fluss::N,daryo,سیند
113,Ufer::N,sohil,غاړه
114,Küste::N,qirg'oq,ساحل
115,Festland::N,materik,وچه
116,Meer::N,dengiz,بحر
117,Meer::N,dengiz,سمندر
118,Bucht::N,qo'ltiq,کارۍ
119,Insel::N,orol,ټاپو
120,Insel::N,orol,جزيره
121,Blume::N,gul,ګل
122,Gras::N,sabza,واښه
123,Wurzel::N,tub,ریښه
124,Wurzel::N,tomir,ریښه
125,Baum::N,daraxt,ونه
126,Stamm::N,o'simta,ډډ
127,Rinde::N,qobiq,پوستکی
128,Ast::N,shox,ښاخ
129,Zweig::N,butoq,څانګه
130,Blatt::N,barg,پاڼه
131,Birke::N,qayin,توس
132,Kiefer[Baum]::N,qarag'ay,نښتر
133,Weide[Baum]::N,shum,وله
134,Tanne::N,archa,ناجو
135,Horn::N,mugiz,ښکر
136,Feder::N,par,بڼکه
137,Fell::N,mo'yna,پوستکی
138,Flügel::N,qanot,وزر
139,Klaue::N,tirnoq,پنجه
140,Klaue::N,tirnoq,منګول
141,Kralle::N,tirnoq,پنجه
142,Kralle::N,tirnoq,منګول
143,Schwanz::N,quyruq,لکۍ
144,Ei::N,tuxum,وۍ
145,Ei::N,tuxum,هګۍ
146,Nest::N,oshyon,جاله
147,Bau::N,o'pqon,کاز
148,Tier::N,hayvon,ژوی
149,Tier::N,hayvon,حیوان
150,Herde::N,gala,رمه
151,Herde::N,gala,غېله
152,Kuh::N,inak,غوا
153,Bulle::N,ho'kiz,غوئی
154,Pferd::N,ot,آس
155,Schaf::N,qo'y,پسه
156,Schwein::N,cho'chqa,سرکوزی
157,Hund::N,it,سپی
158,Katze::N,mushuk,پشه
159,Bär::N,ayiq,خرس
160,Eichhörnchen::N,tiyin,خړ لمی
161,Elch::N,los,ګوزن
162,Fuchs::N,tulki,سپلم
163,Hase::N,kuyon,سوی
164,Maus::N,sichqon,مږک
165,Wolf::N,bo'ri,لېوه
166,Vogel::N,qush,مرغه
167,Schwarm::N,to'da,سېل
168,Huhn::N,tovuq,چرګه
169,Hahn::N,xo'roz,چرګ
170,Gans::N,g'oz,بته
171,Adler::N,burgut,عقاب
172,Ente::N,o'rdak,ایلۍ
173,Eule::N,boyo'g'li,ګونګی
