,Concept_ID,udm,cy
0,Auge::N,син,llygad
1,Ohr::N,пель,clust
2,Nase::N,ныр,trwyn
3,Mund::N,ым,ceg
4,Zahn::N,пинь,dant
5,Zunge::N,кыл,tafod
6,Lippe::N,ымдур,gwefus
7,Wange::N,бам,boch
8,Gesicht::N,ымныр,wyneb
9,Stirn::N,кымес,talcen
10,Haar::N,йырси,blew
11,Schnurrbart::N,мыйык,mwstas
12,Bart::N,туш,barf
13,Kinn::N,ангес,gên
14,Kiefer[Anatomie]::N,ан,gên
15,Kiefer[Anatomie]::N,анлы,gên
16,Kehle::N,гульым,gwddf
17,Hals::N,чырты,gwddf
18,Genick::N,йырбер,gwar
19,Genick::N,йырбер,gwegil
20,Kopf::N,йыр,pen
21,Rücken::N,мыш,cefn
22,Bauch::N,кӧт,bol
23,Nabel::N,гогы,bogail
24,Busen::N,ноны,bron
25,Brust::N,мӧля,brest
26,Schulter::N,пельпум,ysgwydd
27,Arm::N,суй,braich
28,Ellenbogen::N,гырпум,penelin
29,Hand::N,ки,llaw
30,Handfläche::N,ки пыдэс,palf
31,Handfläche::N,кырым пыдэс,palf
32,Finger::N,чиньы,bys
33,Fingernagel::N,гижы,ewin
34,Fingernagel::N,гиждӥнь,ewin
35,Nagel[Anatomie]::N,гижы,ewin
36,Zeh::N,пыдчиньы,bys troed
37,Fuß::N,пыд,troed
38,Ferse::N,пыдбер,sawdl
39,Knie::N,пыдес,glin
40,Oberschenkel::N,макес,clun
41,Bein::N,пыд,coes
42,Körper::N,мугор,corff
43,Körper::N,вылтыр,corff
44,Haut::N,ку,croen
45,Blut::N,вир,gwaed
46,Ader::N,вирсэр,gwythïen
47,Sehne::N,вуж,gewyn
48,Knochen::N,лы,asgwrn
49,Gehirn::N,вим,ymennydd
50,Herz::N,сюлэм,calon
51,Magen::N,ӝуш,cylla
52,Magen::N,ӝуш,stumog
53,Leber::N,мус,iau
54,Atem::N,лул,anadl
55,Atem::N,шокан,anadl
56,Hunger::N,кӧтсюман,newyn
57,Träne::N,синкыли,deigryn
58,Geschmack::N,шӧм,cyflas
59,Geruch::N,зын,aroglau
60,Schlaf::N,вӧт,cwsg
61,Traum::N,уйвӧт,breuddwyd
62,Himmel::N,ин,awyr
63,Sonne::N,шунды,haul
64,Mond::N,толэзь,lleuad
65,Stern::N,кизили,seren
66,Luft::N,омыр,awyr
67,Wind::N,тӧл,gwynt
68,Welle::N,тулкым,ton
69,Wasser::N,ву,dŵr
70,Stein::N,из,carreg
71,Boden::N,музъем,llawr
72,Erde::N,му,pridd
73,Staub::N,пыль,llwch
74,Rauch::N,ӵын,mwg
75,Funke::N,гизьы,gwreichioni
76,Feuer::N,тыл,tân
77,Licht::N,тыл,golau
78,Schatten::N,вужер,cysgod
79,Wetter::N,куазь,tywydd
80,Nebel::N,бус,niwl
81,Wolke::N,пилем,cwmwl
82,Regen::N,зор,glaw
83,Schnee::N,лымы,ôd
84,Schnee::N,лымы,eira
85,Eis::N,йӧ,iâ
86,Frost::N,кезьыт,rhew
87,Kälte::N,кезьыт,oerni
88,Kälte::N,кезьыт,annwyd
89,Hitze::N,пӧсь,gwres
90,Raureif::N,гӧр,barrug
91,Regenbogen::N,вуюись,enfys
92,Donner::N,гудыри,tyrfau
93,Strömung::N,бызён,cerrynt
94,Tropfen::N,шапык,dafn
95,Tropfen::N,шапык,diferyn
96,Schaum::N,шукы,ewyn
97,Schmutz::N,нӧд,baw
98,Schmutz::N,нӧд,budreddi
99,Schmutz::N,дэри,baw
100,Schmutz::N,дэри,budreddi
101,See::N,ты,llyn
102,Sumpf::N,нюр,cors
103,Moor::N,нюр,rhos
104,Wiese::N,возь,dôl
105,Wiese::N,возьвыл,dôl
106,Wald::N,сик,coedwig
107,Wald::N,нюлэс,coedwig
