,Concept_ID,hi,tr
0,Auge::N,आँख,göz
1,Auge::N,चक्षु,göz
2,Ohr::N,कान,kulak
3,Ohr::N,कर्ण,kulak
4,Nase::N,नाक,burun
5,Nase::N,नासा,burun
6,Mund::N,मुख,ağız
7,Mund::N,मुँह,ağız
8,Zahn::N,दंत,diş
9,Zahn::N,दाँत,diş
10,Zunge::N,जीभ,dil
11,Zunge::N,ज़बान,dil
12,Zunge::N,जिह्वा,dil
13,Lippe::N,ओंठ,dudak
14,Lippe::N,होंठ,dudak
15,Wange::N,गाल,yanak
16,Wange::N,कपोल,yanak
17,Gesicht::N,मुँह,yüz
18,Gesicht::N,चेहरा,yüz
19,Stirn::N,माथा,alın
20,Stirn::N,मस्तक,alın
21,Haar::N,बाल,saç
22,Schnurrbart::N,मूँछें,bıyık
23,Bart::N,दाढ़ी,sakal
24,Kinn::N,चिबुक,çene
25,Kiefer[Anatomie]::N,जबड़ा,çene
26,Kehle::N,गला,boğaz
27,Hals::N,गला,boyun
28,Hals::N,गला,gerdan
29,Hals::N,गरदन,boyun
30,Hals::N,गरदन,gerdan
31,Genick::N,गरदन,ense
32,Genick::N,ग्रीवा,ense
33,Kopf::N,सिर,baş
34,Kopf::N,सिर,kafa
35,Kopf::N,शीर्ष,baş
36,Kopf::N,शीर्ष,kafa
37,Rücken::N,पीठ,arka
38,Bauch::N,उदर,karın
39,Nabel::N,नाभि,göbek
40,Nabel::N,ढोंढी,göbek
41,Busen::N,कुच,koyun
42,Busen::N,स्तन,koyun
43,Brust::N,वक्ष,göğüs
44,Schulter::N,कंधा,omuz
45,Schulter::N,स्कंध,omuz
46,Arm::N,बाँह,kol
47,Arm::N,बाज़ू,kol
48,Ellenbogen::N,कुहनी,dirsek
49,Hand::N,हाथ,el
50,Hand::N,हस्त,el
51,Handfläche::N,हथेली,avuç
52,Handfläche::N,हथेली,el ayası
53,Finger::N,उँगली,parmak
54,Finger::N,अँगुली,parmak
55,Fingernagel::N,नख,el tırnağı
56,Fingernagel::N,नाख़ून,el tırnağı
57,Nagel[Anatomie]::N,नख,tırnak
58,Nagel[Anatomie]::N,नाख़ून,tırnak
59,Zeh::N,उँगली,ayak parmağı
60,Zeh::N,पाँव की उँगली,ayak parmağı
61,Fuß::N,चरण,ayak
62,Fuß::N,पाँव,ayak
63,Ferse::N,एड़ी,topuk
64,Knie::N,जानु,diz
65,Knie::N,घुटना,diz
66,Oberschenkel::N,उरु,uyluk
67,Bein::N,टाँग,bacak
68,Körper::N,तन,vücut
69,Körper::N,देह,vücut
70,Körper::N,शरीर,vücut
71,Haut::N,चर्म,cilt
72,Haut::N,त्वचा,cilt
73,Blut::N,लहू,kan
74,Blut::N,ख़ून,kan
75,Ader::N,रग,damar
76,Ader::N,शिरा,damar
77,Sehne::N,कंडरा,kiriş
78,Sehne::N,स्नायु,kiriş
79,Knochen::N,अस्थि,kemik
80,Gehirn::N,दिमाग़,beyin
81,Gehirn::N,मस्तिष्क,beyin
82,Herz::N,दिल,kalp
83,Herz::N,दिल,yürek
84,Herz::N,हृदय,kalp
85,Herz::N,हृदय,yürek
86,Magen::N,मेदा,mide
87,Magen::N,अमाशय,mide
88,Leber::N,जिगर,karaciğer
89,Leber::N,यकृत्,karaciğer
90,Atem::N,दम,nefes
91,Atem::N,साँस,nefes
92,Atem::N,श्वास,nefes
93,Hunger::N,भूख,açlık
94,Hunger::N,क्षुधा,açlık
95,Träne::N,आँसू,gözyaşı
96,Träne::N,अश्रु,gözyaşı
97,Geschmack::N,स्वाद,tat
98,Geschmack::N,स्वाद,lezzet
99,Geschmack::N,ज़ायक़ा,tat
100,Geschmack::N,ज़ायक़ा,lezzet
101,Geruch::N,बू,koku
102,Geruch::N,गंध,koku
103,Schlaf::N,नींद,uyku
104,Schlaf::N,निद्रा,uyku
105,Traum::N,सपना,düş
106,Traum::N,सपना,rüya
107,Traum::N,स्वप्न,düş
108,Traum::N,स्वप्न,rüya
109,Himmel::N,आकाश,gök
110,Himmel::N,आसमान,gök
111,Sonne::N,रवि,güneş
112,Sonne::N,सूरज,güneş
113,Sonne::N,सूर्य,güneş
114,Mond::N,चाँद,ay
115,Mond::N,चंद्र,ay
116,Stern::N,तारा,yıldız
