,Concept_ID,sk,no
0,Auge::N,oko,øye
1,Ohr::N,ucho,øre
2,Nase::N,nos,nese
3,Mund::N,ústa,munn
4,Zahn::N,zub,tann
5,Zunge::N,jazyk,tunge
6,Lippe::N,pera,leppe
7,Wange::N,líce,kinn
8,Gesicht::N,tvár,fjes
9,Gesicht::N,tvár,ansikt
10,Gesicht::N,obličaj,fjes
11,Gesicht::N,obličaj,ansikt
12,Stirn::N,čelo,panne
13,Haar::N,vlas,hår
14,Schnurrbart::N,fúzy,bart
15,Bart::N,brada,skjegg
16,Kinn::N,brada,hake
17,Kiefer[Anatomie]::N,čeľusť,kjeve
18,Kehle::N,hrdlo,strupe
19,Hals::N,krk,hals
20,Genick::N,väzy,nakke
21,Kopf::N,hlava,hode
22,Rücken::N,chrbát,rygg
23,Bauch::N,brucho,buk
24,Bauch::N,brucho,mage
25,Nabel::N,pupok,navle
26,Busen::N,prsia,barm
27,Brust::N,hruď,bryst
28,Schulter::N,plece,skulder
29,Arm::N,rameno,arm
30,Ellenbogen::N,lakeť,albue
31,Hand::N,ruka,hånd
32,Handfläche::N,dlaň,håndflate
33,Finger::N,prst,finger
34,Fingernagel::N,necht,fingernegl
35,Nagel[Anatomie]::N,necht,negl
36,Zeh::N,prst na nohe,tå
37,Fuß::N,noha,fot
38,Ferse::N,päta,hæl
39,Knie::N,koleno,kne
40,Oberschenkel::N,stehno,lår
41,Bein::N,noha,bein
42,Körper::N,telo,kropp
43,Körper::N,telo,legeme
44,Haut::N,koža,hud
45,Haut::N,koža,skinn
46,Blut::N,krv,blod
47,Ader::N,žila,åre
48,Sehne::N,šľacha,sene
49,Knochen::N,kosť,bein
50,Knochen::N,kosť,knokkel
51,Gehirn::N,mozog,hjerne
52,Herz::N,srdce,hjerte
53,Magen::N,žalúdok,mage
54,Leber::N,pečeň,lever
55,Atem::N,dych,pust
56,Hunger::N,hlad,sult
57,Träne::N,slza,tåre
58,Geschmack::N,chuť,smak
59,Geruch::N,pach,lukt
60,Schlaf::N,spánok,søvn
61,Traum::N,sen,drøm
62,Himmel::N,nebo,himmel
63,Sonne::N,slnko,sol
64,Mond::N,mesiac,måne
65,Stern::N,hviezda,stjerne
66,Luft::N,vzduch,luft
67,Wind::N,vietor,vind
68,Welle::N,vlna,bølge
69,Wasser::N,voda,vann
70,Stein::N,kameň,stein
71,Boden::N,zem,bakke
72,Boden::N,pôda,bakke
73,Erde::N,zem,jord
74,Staub::N,prach,støv
75,Rauch::N,dym,røyk
76,Funke::N,iskra,gnist
77,Feuer::N,oheň,ild
78,Licht::N,svetlo,lys
79,Schatten::N,tieň,skygge
80,Wetter::N,počasie,vær
81,Nebel::N,hmla,tåke
82,Wolke::N,oblak,sky
83,Wolke::N,mračno,sky
84,Regen::N,dážď,regn
85,Schnee::N,sneh,snø
86,Eis::N,ľad,is
87,Frost::N,mráz,frost
88,Kälte::N,zima,kulde
89,Kälte::N,chlad,kulde
90,Hitze::N,horúčava,hete
91,Raureif::N,srieň,rimfrost
92,Raureif::N,inovať,rimfrost
93,Regenbogen::N,dúha,regnbue
94,Donner::N,hrom,torden
95,Strömung::N,prúdenie,strømning
96,Tropfen::N,kvapka,dråpe
97,Schaum::N,pena,skum
98,Schmutz::N,špina,søl
99,Schmutz::N,špina,skitt
100,Schmutz::N,nečistota,søl
101,Schmutz::N,nečistota,skitt
102,See::N,jazero,sjø
103,Sumpf::N,bahno,sump
104,Sumpf::N,bahno,myrlende
105,Moor::N,močiar,myr
106,Moor::N,močiar,myrhei
107,Wiese::N,lúka,eng
108,Wald::N,les,skog
109,Wald::N,hora,skog
110,Hügel::N,vŕšok,haug
111,Hügel::N,vŕšok,bakke
112,Anhöhe::N,výšina,haug
113,Anhöhe::N,výšina,bakke
114,Anhöhe::N,vyvýšenina,haug
115,Anhöhe::N,vyvýšenina,bakke
116,Berg::N,hora,berg
117,Berg::N,hora,fjell
118,Gipfel::N,vrchol,topp
119,Höhle::N,jaskyňa,hule
120,Abhang::N,úbočie,li
121,Abhang::N,úbočie,skråning
122,Quelle::N,prameň,kilde
123,Bach::N,potok,bekk
124,Fluss::N,rieka,elv
125,Ufer::N,breh,bredd
126,Küste::N,pobrežie,kyst
127,Festland::N,pevnina,fastland
128,Meer::N,more,hav
129,Bucht::N,záliv,bukt
130,Bucht::N,zátoka,bukt
131,Insel::N,ostrov,øy
132,Blume::N,kvet,blomst
133,Blume::N,kvetina,blomst
134,Gras::N,tráva,gress
135,Wurzel::N,koreň,rot
136,Baum::N,strom,tre
137,Stamm::N,kmeň,stamme
138,Rinde::N,kôra,bark
139,Ast::N,konár,gren
140,Zweig::N,vetva,kvist
141,Blatt::N,list,blad
142,Birke::N,breza,bjørk
143,Kiefer[Baum]::N,sosna,furu
144,Kiefer[Baum]::N,borovica,furu
145,Weide[Baum]::N,vŕba,selje
146,Weide[Baum]::N,vŕba,piletre
147,Tanne::N,jedľa,gran
148,Horn::N,roh,horn
149,Feder::N,pero,fjær
150,Fell::N,koža,skinn
151,Fell::N,kožušina,skinn
152,Flügel::N,krídlo,vinge
153,Klaue::N,paznecht,klauv
154,Kralle::N,pazúr,klo
155,Schwanz::N,chvost,hale
156,Ei::N,vajce,egg
157,Ei::N,vajíčko,egg
158,Nest::N,hniezdo,rede
159,Bau::N,nora,hi
160,Tier::N,zviera,dyr
161,Herde::N,stádo,flokk
162,Kuh::N,krava,ku
163,Bulle::N,býk,tyr
164,Pferd::N,kôň,hest
165,Schaf::N,ovca,får
166,Schwein::N,sviňa,gris
167,Hund::N,pes,hund
168,Katze::N,mačka,katt
169,Bär::N,medveď,bjørn
170,Eichhörnchen::N,veverička,ekorn
171,Elch::N,los,elg
172,Fuchs::N,líška,rev
173,Hase::N,zajac,hare
174,Maus::N,myš,mus
175,Wolf::N,vlk,ulv
176,Wolf::N,vlk,varg
177,Vogel::N,vták,fugl
178,Schwarm::N,roj,sverm
179,Huhn::N,kurča,høne
180,Huhn::N,sliepka,høne
181,Hahn::N,kohút,hane
182,Gans::N,hus,gås
183,Adler::N,orol,ørn
184,Ente::N,kačka,and
185,Ente::N,kačica,and
186,Eule::N,sova,ugle
187,Kranich::N,žeriav,trane
188,Krähe::N,vrana,kråke
189,Kuckuck::N,kukučka,gjøk
190,Schwan::N,labuť,svane
191,Fisch::N,ryba,fisk
192,Barsch::N,ostriež,abbor
193,Hecht::N,šťuka,gjedde
194,Schlange[Tier]::N,had,orm
195,Schlange[Tier]::N,had,slange
196,Wurm::N,červ,orm
197,Wurm::N,červ,mark
198,Spinne::N,pavúk,edderkopp
199,Ameise::N,mravec,maur
200,Laus::N,voš,lus
201,Mücke::N,komár,mygg
202,Fliege::N,mucha,flue
203,Schmetterling::N,motýľ,sommerfugl
204,Beere::N,bobuľa,bær
205,Apfel::N,jablko,eple
206,Pilz::N,hríb,sopp
207,Zwiebel::N,cibuľa,løk
208,Saat::N,osivo,sæd
209,Korn::N,zrno,korn
210,Heu::N,seno,høy
211,Schale::N,šupa,skall
212,Schale::N,škrupina,skall
213,Grube::N,jama,grop
214,Falle::N,pasca,felle
215,Falle::N,klepec,felle
216,Schlinge::N,slučka,snare
217,Spur::N,stopa,spor
218,Asche::N,popol,aske
219,Dreck::N,kal,møkk
220,Dreck::N,kal,skitt
221,Dreck::N,blato,møkk
222,Dreck::N,blato,skitt
223,Eisen::N,železo,jern
224,Gold::N,zlato,gull
225,Silber::N,striebro,sølv
226,Kohle::N,uhlie,kol
227,Kohle::N,uhlie,kull
228,Glas::N,sklo,glass
229,Lehm::N,íl,leire
230,Lehm::N,hlina,leire
231,Sand::N,piesok,sand
232,Mensch::N,človek,menneske
233,Mann::N,muž,mann
234,Mann::N,chlap,mann
235,Frau::N,žena,kvinne
236,Kind::N,dieťa,barn
237,Junge::N,chlapec,gutt
238,Mädchen::N,dievka,pike
239,Mädchen::N,dievka,jente
240,Familie::N,rodina,familie
241,Großvater::N,dedo,bestefar
242,Großvater::N,starý otec,bestefar
243,Großmutter::N,babička,bestemor
244,Großmutter::N,stará mať,bestemor
245,Eltern::N,rodičia,foreldre
246,Vater::N,otec,far
247,Mutter::N,mať,mor
248,Mutter::N,matka,mor
249,Sohn::N,syn,sønn
250,Tochter::N,dcéra,datter
251,Bruder::N,brat,bror
252,Schwester::N,sestra,søster
253,Onkel::N,ujo,onkel
254,Onkel::N,strýko,onkel
255,Tante::N,teta,tante
256,Tante::N,tetka,tante
257,Ehemann::N,muž,ektemann
258,Ehemann::N,manžel,ektemann
259,Ehefrau::N,žena,hustru
260,Ehefrau::N,manželka,hustru
261,Freude::N,radosť,glede
262,Gelächter::N,smiech,latter
