,Concept_ID,zh,xal
0,Auge::N,眼睛,нүдн
1,Ohr::N,耳朵,чикн
2,Nase::N,鼻子,хамр
3,Mund::N,嘴,амн
4,Zahn::N,牙齿,шүдн
5,Zunge::N,舌头,келн
6,Lippe::N,嘴唇,урл
7,Wange::N,面颊,халх
8,Gesicht::N,脸,нүр
9,Stirn::N,额,маңна
10,Haar::N,头发,үсн
11,Schnurrbart::N,髭须,сахл
12,Bart::N,胡子,сахл
13,Bart::N,胡子,өргнә сахл
14,Kinn::N,下巴,өргн
15,Kiefer[Anatomie]::N,颌,өргн
16,Kehle::N,嗓子,хол
17,Hals::N,颈,күзүн
18,Genick::N,后颈,гиҗг
19,Kopf::N,头,толһа
20,Rücken::N,背,нурһн
21,Bauch::N,肚子,гесн
22,Nabel::N,肚脐,киисн
23,Busen::N,胸脯,көкн
24,Brust::N,胸,чееҗ
25,Schulter::N,肩膀,ээм
26,Arm::N,臂膀,һар
27,Ellenbogen::N,肘,тоха
28,Hand::N,手,баһлцг
29,Handfläche::N,手掌,альхн
30,Finger::N,手指,хурһн
31,Finger::N,手指,һарин хурһн
32,Fingernagel::N,指甲,хумсн
33,Nagel[Anatomie]::N,指甲,хумсн
34,Zeh::N,脚趾,хурһн
35,Zeh::N,脚趾,көлин хурһн
36,Fuß::N,脚,тавг
37,Ferse::N,后跟,өскә
38,Knie::N,膝,өвдг
39,Oberschenkel::N,大腿,һуй
40,Bein::N,腿,көл
41,Körper::N,身体,махмуд
42,Haut::N,皮肤,арсн
43,Blut::N,血,цусн
44,Ader::N,血管,судцн
45,Sehne::N,腱,шүрүсн
46,Knochen::N,骨,ясн
47,Gehirn::N,脑,экн
48,Herz::N,心,зүркн
49,Magen::N,胃,гесн
50,Leber::N,肝,элкн
51,Atem::N,呼吸,әмсхл
52,Hunger::N,饿,харһнлһн
53,Träne::N,眼泪,нульмсн
54,Geschmack::N,味道,амтн
55,Geruch::N,气味,үнр
56,Schlaf::N,睡眠,нөр
57,Traum::N,梦,зүүдн
58,Himmel::N,天空,теңгр
59,Sonne::N,太阳,нарн
60,Mond::N,月亮,сар
61,Stern::N,星,одн
62,Luft::N,空气,аһар
63,Wind::N,风,салькн
64,Welle::N,波,дольган
65,Wasser::N,水,усн
66,Stein::N,石头,чолун
67,Boden::N,地面,Һазр
68,Erde::N,地,Һазр
69,Staub::N,灰尘,тоосн
70,Rauch::N,烟,утан
71,Funke::N,火花,очн
72,Feuer::N,火,һал
73,Licht::N,光,герл
74,Schatten::N,影子,сүүдр
75,Wetter::N,天气,теңгр
76,Nebel::N,雾,будн
77,Wolke::N,云,үүлн
78,Regen::N,雨,хур
79,Schnee::N,雪,цасн
80,Eis::N,冰,мөсн
81,Frost::N,霜冻,киитн
82,Kälte::N,寒冷,киитн
83,Hitze::N,炎热,халун
84,Raureif::N,霜,цаң
85,Raureif::N,霜,кирү
86,Regenbogen::N,虹,солңһ
87,Donner::N,雷,оһтрһун дун
88,Strömung::N,水流,урсхл
89,Tropfen::N,滴,дусал
90,Schaum::N,泡沫,көөсн
91,Schmutz::N,赃物,кир
92,See::N,湖,нур
93,Sumpf::N,沼泽,унул
94,Moor::N,沼泽,улм
95,Wiese::N,草地,хадлһн
96,Wald::N,森林,ө-модн
97,Hügel::N,丘陵,толһа
98,Anhöhe::N,山丘,хамр
99,Berg::N,山,уул
100,Gipfel::N,峰,ора
101,Höhle::N,洞穴,хадин көндә
102,Abhang::N,斜坡,ташу
103,Quelle::N,泉,булг
104,Bach::N,溪,һооҗур
105,Fluss::N,河流,һол
106,Ufer::N,岸,көвә
107,Küste::N,海岸,көвә
108,Küste::N,海岸,теңгсин көвә
109,Festland::N,大陆,хүүрә һазр
110,Meer::N,海,теңгс
111,Bucht::N,海湾,цекә
112,Bucht::N,海湾,теңгсин цекә
113,Insel::N,岛,арл
114,Blume::N,花,цецг
115,Gras::N,草,ноһан
116,Wurzel::N,根,уңг
117,Baum::N,树,модн
118,Stamm::N,树干,шилв
119,Stamm::N,树干,һол модн
120,Rinde::N,树皮,көрсн
121,Ast::N,树枝,ац
122,Zweig::N,树枝,ац
123,Blatt::N,叶子,хамтхасн
124,Birke::N,桦木,хусм модн
125,Kiefer[Baum]::N,松树,шар харһа
126,Weide[Baum]::N,柳树,удн
127,Tanne::N,冷杉,җөөлн цаһан модн
128,Horn::N,角,өвр
129,Feder::N,羽毛,өрвлг
130,Fell::N,皮毛,арсн
131,Flügel::N,翅膀,җивр
132,Klaue::N,爪子,хумсн
133,Kralle::N,爪子,тавг
134,Schwanz::N,尾巴,сүл
135,Ei::N,蛋,өндгн
136,Nest::N,巢,үр
137,Bau::N,穴,нүкн
138,Tier::N,动物,мал
139,Herde::N,群,сүрг мал
140,Kuh::N,母牛,үкр
141,Bulle::N,公牛,бух
142,Pferd::N,马,мөрн
143,Schaf::N,羊,хөн
144,Schwein::N,猪,һаха
145,Hund::N,狗,ноха
146,Katze::N,猫,мис
147,Bär::N,熊,аю
148,Eichhörnchen::N,松鼠,кермн
149,Elch::N,麋鹿,хандһа
150,Fuchs::N,狐狸,арат
151,Hase::N,兔子,туула
152,Maus::N,老鼠,хулһн
153,Wolf::N,狼,чон
154,Vogel::N,鸟,шовун
155,Schwarm::N,群,зел
156,Huhn::N,鸡,така
157,Hahn::N,公鸡,эр така
158,Gans::N,鹅,һалун
159,Adler::N,鹰,һәрд
160,Ente::N,鸭,нуһсн
161,Eule::N,猫头鹰,һурвлһ
162,Kranich::N,鹤,тоһрун
163,Krähe::N,乌鸦,шаазһа
164,Kuckuck::N,布谷鸟,эргин хуцдг
165,Schwan::N,天鹅,хун
166,Fisch::N,鱼,заһсн
167,Barsch::N,鲈鱼,шүрг
168,Hecht::N,狗鱼,цурх
169,Schlange[Tier]::N,蛇,моһа
170,Wurm::N,蠕虫,өтн
171,Spinne::N,蜘蛛,аралҗн
172,Ameise::N,蚂蚁,шорһлҗн
173,Laus::N,虱子,бөөсн
174,Mücke::N,蚊子,бөкүн
175,Fliege::N,苍蝇,батхн
176,Schmetterling::N,蝴蝶,эрвәкә
177,Beere::N,将果,бөөлҗрһн
178,Apfel::N,苹果,альмн
179,Pilz::N,蘑菇,теңгрин ки
180,Zwiebel::N,洋葱,мәңгрснә толһа
181,Saat::N,种子,буудян экн
182,Korn::N,谷粒,экн
183,Heu::N,干草,өвсн
184,Schale::N,壳,хальсн
185,Grube::N,坑,нүкн
186,Falle::N,圈套,урх
187,Falle::N,圈套,хавх
188,Schlinge::N,活扣,бүтү
189,Spur::N,踪迹,мөр
190,Asche::N,灰烬,үмсн
191,Dreck::N,污垢,бальчг
192,Eisen::N,铁,төмр
193,Gold::N,金子,алтн
194,Silber::N,银,мөңгн
195,Silber::N,银,цаһан мөңгн
196,Kohle::N,煤,нүүрсн
197,Glas::N,玻璃,шил
198,Lehm::N,粘土,шавр
199,Sand::N,沙,элсн
200,Mensch::N,人,күн
201,Mensch::N,人,күмн
202,Mann::N,男子,эр
203,Frau::N,妇女,күүкд күн
204,Kind::N,小孩,үрн
205,Junge::N,男孩,көвүн
206,Mädchen::N,女孩,бичкн күүкн
207,Familie::N,家庭,бүл
208,Großvater::N,祖父,өвк эцк
209,Großvater::N,祖父,наһц эцк
210,Großmutter::N,祖母,эмг эк
211,Großmutter::N,祖母,наһц эк
212,Eltern::N,父母,эк эцк хойр
213,Vater::N,父亲,эцк
214,Mutter::N,母亲,эк
215,Sohn::N,儿子,көвүн
216,Tochter::N,女儿,күүкн
217,Bruder::N,兄弟,дү көвүн
218,Schwester::N,姐妹,эгч
219,Schwester::N,姐妹,дү күүкн
220,Onkel::N,伯父,авһ
221,Onkel::N,伯父,наһцх
222,Tante::N,阿姨,наһц эгч
223,Ehemann::N,丈夫,залу
224,Ehefrau::N,妻子,гергн
225,Freude::N,愉快,байр
226,Gelächter::N,大笑,инәдн
227,Glück::N,运气,җирһл
228,Glück::N,运气,сәәхн җирһл
229,Kummer::N,苦恼,зовлң
230,Wunsch::N,愿望,дурн
231,Lust::N,乐趣,җилвтлһн
232,Geist::N,精神,зөрг
233,Gedanke::N,思想,ухан
234,Gedächtnis::N,记性,чееҗин тодлвр
235,Verstand::N,理智,ухан
236,Sinn::N,感觉,учр-утх
237,Grund::N,理由,учр
238,Grund::N,理由,шалтан
239,Wahrheit::N,真理,үнн
240,Gespräch::N,谈话,күүндвүр
241,Märchen::N,童话,тууль
242,Erzählung::N,故事,келвр
243,Nachricht::N,消息,медүллһн
244,Neuigkeit::N,新闻,зәңг
245,Name::N,名字,нерн
246,Rätsel::N,谜语,тәәлвртә тууль
247,Rede::N,讲话,келлһн
248,Sprache::N,语言,келн
249,Stimme::N,声音,дун
250,Wort::N,词,үг
