,Concept_ID,nl,os
0,Auge::N,oog,цӕст
1,Ohr::N,oor,хъус
2,Nase::N,neus,фындз
3,Mund::N,mond,дзых
4,Zahn::N,tand,дӕндаг
5,Zunge::N,tong,ӕвзаг
6,Lippe::N,lip,был
7,Wange::N,wang,рус
8,Wange::N,wang,уадул
9,Wange::N,wang,ӕхсӕрфарс
10,Gesicht::N,gelaat,цӕсгом
11,Gesicht::N,gezicht,цӕсгом
12,Stirn::N,voorhoofd,ных
13,Haar::N,haar,хил
14,Schnurrbart::N,snor,рихи
15,Bart::N,baard,зачъе
16,Kinn::N,kin,роцъо
17,Kiefer[Anatomie]::N,kaak,ӕфсӕр
18,Kehle::N,keel,хъуыр
19,Kehle::N,strot,хъуыр
20,Hals::N,hals,къубал
21,Genick::N,nek,къӕбут
22,Kopf::N,hoofd,сӕр
23,Rücken::N,rug,фӕсонтӕ
24,Bauch::N,buik,гуыбын
25,Nabel::N,navel,бикъ
26,Busen::N,boezem,дзидзи
27,Brust::N,borst,риу
28,Schulter::N,schouder,уӕхск
29,Arm::N,arm,цонг
30,Ellenbogen::N,elleboog,рæмбын
31,Hand::N,hand,къух
32,Handfläche::N,handpalm,армытъӕпӕн
33,Finger::N,vinger,ӕнруылдз
34,Fingernagel::N,nagel,ных
35,Nagel[Anatomie]::N,nagel,ных
36,Zeh::N,teen,къух
37,Fuß::N,voet,фад
38,Ferse::N,hak,зӕвӕт
39,Ferse::N,hiel,зӕвӕт
40,Knie::N,knie,уӕраг
41,Oberschenkel::N,dij,агъд
42,Bein::N,been,зӕнг
43,Körper::N,lichaam,буар
44,Haut::N,huid,царм
45,Blut::N,bloed,туг
46,Ader::N,ader,дадзин
47,Ader::N,ader,тугдадзин
48,Sehne::N,pees,хъиутæ
49,Sehne::N,pees,нуар
50,Knochen::N,bot,стӕг
51,Knochen::N,been,стӕг
52,Knochen::N,knook,стӕг
53,Gehirn::N,hersenen,магъз
54,Herz::N,hart,зӕрдӕ
55,Magen::N,maag,ахсӕн
56,Leber::N,lever,игæр
57,Atem::N,adem,улӕфт
58,Hunger::N,honger,стонг
59,Träne::N,traan,цæссыг
60,Geschmack::N,smaak,ад
61,Geruch::N,geur,смаг
62,Schlaf::N,slaap,хуыссӕг
63,Traum::N,droom,фын
64,Himmel::N,hemel,арв
65,Himmel::N,hemel,уӕларв
66,Sonne::N,zon,хур
67,Mond::N,maan,мӕй
68,Stern::N,ster,стъалы
69,Luft::N,lucht,уӕлдӕф
70,Wind::N,wind,дымгӕ
71,Welle::N,golf,уылӕн
72,Wasser::N,water,дон
73,Stein::N,steen,дур
74,Boden::N,grond,зӕхх
75,Erde::N,aarde,сыджыт
76,Staub::N,stof,рыг
77,Rauch::N,rook,фӕздӕг
78,Funke::N,vonk,цӕхӕр
79,Feuer::N,vuur,зынг
80,Licht::N,licht,рухс
81,Schatten::N,schaduw,аууон
82,Wetter::N,weer,боныхъӕд
83,Nebel::N,mist,мигъ
84,Nebel::N,nevel,мигъ
85,Wolke::N,wolk,ӕврагъ
86,Regen::N,regen,уарын
87,Schnee::N,sneeuw,мит
88,Eis::N,ijs,их
89,Frost::N,vorst,ихæн
90,Kälte::N,kou,уазал
91,Kälte::N,koude,уазал
92,Hitze::N,hitte,ӕнтӕф
93,Raureif::N,rijp,халас
94,Regenbogen::N,regenboog,арвырон
95,Regenbogen::N,regenboog,арвырдын
96,Donner::N,donder,æрвнæрын
97,Strömung::N,stroming,цыд
98,Tropfen::N,druppel,æртах
99,Schaum::N,schuim,фынк
100,Schmutz::N,vuil,цъыф
101,See::N,meer,цад
102,Sumpf::N,moeras,цъыфдзаст
103,Moor::N,veen,цъыфдзаст
104,Wiese::N,wei,уыгӕрдӕн
105,Wiese::N,weide,уыгӕрдӕн
106,Wald::N,bos,хъӕд
107,Hügel::N,heuvel,обау
108,Hügel::N,heuvel,къуыбыр
109,Anhöhe::N,hoogte,уæлвæз
110,Anhöhe::N,hoogte,уæлхох
111,Berg::N,berg,хох
112,Gipfel::N,top,цъупп
113,Höhle::N,hol,лӕгӕт
114,Abhang::N,helling,къул
115,Quelle::N,bron,суадон
116,Bach::N,beek,мӕсчъыдон
117,Fluss::N,stroom,дон
118,Fluss::N,stroom,цӕугӕдон
119,Ufer::N,wal,был
120,Ufer::N,oever,был
121,Küste::N,kust,донбыл
122,Festland::N,vasteland,сурзæхх
123,Meer::N,zee,денджыз
124,Bucht::N,baai,донбакæлæн
125,Bucht::N,inham,донбакæлæн
126,Insel::N,eiland,сакъадах
127,Blume::N,bloem,дидинӕг
128,Gras::N,gras,кӕрдӕг
129,Wurzel::N,wortel,уидаг
130,Baum::N,boom,бӕлас
131,Stamm::N,stam,хӕтӕл
132,Rinde::N,schors,цъар
133,Ast::N,tak,арх
134,Zweig::N,twijg,къалиу
135,Blatt::N,blad,сыф
136,Birke::N,berk,бæрз
137,Kiefer[Baum]::N,den,нӕзы
138,Weide[Baum]::N,wilg,хӕрис
139,Tanne::N,spar,наз
140,Horn::N,hoorn,сыкъа
141,Feder::N,veer,сис
142,Feder::N,pluim,сис
143,Fell::N,vel,царм
144,Flügel::N,vleugel,базыр
145,Klaue::N,klauw,ных
146,Kralle::N,klauw,дзӕмбы
147,Schwanz::N,staart,къӕдзил
148,Ei::N,ei,айк
149,Nest::N,nest,ахстон
150,Bau::N,hol,хуынкъ
151,Tier::N,dier,сырд
152,Tier::N,dier,цӕрӕгой
153,Herde::N,kudde,дзуг
154,Herde::N,kudde,рӕгъау
155,Kuh::N,koe,хъуг
156,Bulle::N,stier,гал
157,Pferd::N,paard,бӕх
158,Schaf::N,schaap,фыс
159,Schwein::N,varken,хуы
160,Hund::N,hond,куыдз
161,Katze::N,kat,гӕды
162,Bär::N,beer,арс
163,Eichhörnchen::N,eekhoorntje,æхсæрæг
164,Elch::N,eland,цæгатаг саг
165,Fuchs::N,vos,рувас
166,Hase::N,haas,тæрхъус
167,Maus::N,muis,мыст
168,Wolf::N,wolf,бирӕгъ
169,Vogel::N,vogel,цъиу
170,Vogel::N,vogel,маргъ
171,Schwarm::N,zwerm,бал
172,Huhn::N,kip,карк
173,Huhn::N,hoen,карк
174,Hahn::N,haan,уасӕг
175,Gans::N,gans,хъаз
176,Adler::N,arend,цӕргӕс
177,Ente::N,eend,ацц
178,Eule::N,uil, уыг
179,Eule::N,uil,сидахъ
180,Kranich::N,kraanvogel,зырнæг
181,Kranich::N,kraanvogel,хърихъупп
182,Krähe::N,kraai,халон
183,Kuckuck::N,koekoek,гаккук
184,Schwan::N,zwaan,доныхъаз
185,Fisch::N,vis,кӕсаг
186,Barsch::N,baars,окунь
187,Hecht::N,snoek,хихор кӕсаг
188,Schlange[Tier]::N,slang,калм
189,Wurm::N,worm,зулкъ
190,Wurm::N,worm,къуыдыргалм
191,Spinne::N,spin,хӕлуарӕг
192,Ameise::N,mier,мæлдзыг
193,Laus::N,luis,сыст
194,Mücke::N,mug,къогъо
195,Fliege::N,vlieg,бындз
196,Schmetterling::N,vlinder,гæлæбу
197,Beere::N,bes,гагадыргъ
198,Apfel::N,appel,фӕткъуы
199,Pilz::N,paddestoel,зокъо
200,Pilz::N,paddestoel,къозо
201,Zwiebel::N,ui,хъӕдындз
202,Saat::N,zaad,тауинаг
203,Saat::N,zaad,мыггаг
204,Korn::N,graan,мыггаг
205,Korn::N,graan,тауинаг
206,Korn::N,korrel,мыггаг
207,Korn::N,korrel,тауинаг
208,Heu::N,hooi,хос
209,Schale::N,schil,цъар
210,Grube::N,kuil,урм
211,Grube::N,kuil,къахт
212,Grube::N,kuil,дзыхъхъ
213,Falle::N,val,цъысым
214,Falle::N,val,къӕппӕг
215,Schlinge::N,strop,цасм
216,Spur::N,spoor,фæд
217,Asche::N,as,фӕнык
218,Asche::N,as,ӕртхутӕг
219,Dreck::N,drek,цъыф
220,Eisen::N,ijzer,ӕфсӕйнаг
221,Gold::N,goud,сыгъзӕрин
222,Silber::N,zilver,ӕвзист
223,Kohle::N,kool,ӕвзалы
224,Glas::N,glas,авг
225,Lehm::N,klei,ӕлыг
226,Sand::N,zand,змис
227,Mensch::N,mens,лӕг
228,Mensch::N,mens,адӕймаг
229,Mensch::N,mens,удгоймаг
230,Mann::N,man,лӕг
231,Mann::N,man,нӕлгоймаг
