,Concept_ID,ce,mdf
0,Auge::N,бӏаьрг,сельме
1,Ohr::N,лерг,пиле
2,Nase::N,мара,шалхка
3,Mund::N,бага,курга
4,Zahn::N,церг,пей
5,Zunge::N,мотт,кяль
6,Lippe::N,балда,търва́
7,Wange::N,бесни,щёка
8,Gesicht::N,юьхь,шама
9,Stirn::N,хьаж,коня
10,Haar::N,мас,шя́ярь
11,Schnurrbart::N,мекх,уса́
12,Bart::N,маж,сакал
13,Kinn::N,чӏениг,ула
14,Kiefer[Anatomie]::N,мочхал,саласка
15,Kehle::N,къамкъарг,кълдома
16,Kehle::N,къамкъарг,кърга́парь
17,Hals::N,ворта,сялдаз
18,Genick::N,кӏесаркӏаг,шовонь
19,Kopf::N,корта,пря
20,Rücken::N,букъ,копорь
21,Bauch::N,кийра,пеке
22,Nabel::N,цӏонга,по́кон
23,Busen::N,зударийн накха,потя
24,Brust::N,накха,мяште
25,Schulter::N,белш,лафту
26,Arm::N,пхьарс,кядь
27,Ellenbogen::N,пхьаьрсан гола,кенерьба́карь
28,Hand::N,куьг,кядь
29,Handfläche::N,кераюкъ,кядьлапш
30,Finger::N,пӏелг,сур
31,Fingernagel::N,мӏара,кенже
32,Nagel[Anatomie]::N,мӏара,кенже
33,Zeh::N,кога пӏелг,пильгосу́р
34,Fuß::N,ког,пильге
35,Fuß::N,ког,пильгелапа
36,Ferse::N,кӏажа,кочкяря
37,Knie::N,гола,эль
38,Knie::N,гола,пълма́нжа
39,Oberschenkel::N,варе,пильгепукша
40,Bein::N,ког,пильге
41,Körper::N,хӏума,ро́нга
42,Körper::N,хӏума,по́нда
43,Haut::N,чкъор,киське
44,Blut::N,цӏий,вер
45,Ader::N,пха,сан
46,Ader::N,пха,верза́н
47,Sehne::N,хьорзам,коське сан
48,Knochen::N,даьӏахк,пакарь
49,Gehirn::N,хье,уй
50,Herz::N,дог,седи
51,Magen::N,зорх,коткърдазь
52,Leber::N,доӏах,макса
53,Atem::N,садеӏар,лекома
54,Atem::N,садеӏар,ваймонь тарксема
55,Hunger::N,мацалла,вачеши
56,Träne::N,бӏаьрхи,сельмове́дь
57,Geschmack::N,чам,таньф
58,Geruch::N,хьожа,шине
59,Schlaf::N,наб,удома́
60,Traum::N,гӏан,он
61,Himmel::N,стигал,менель
62,Sonne::N,малх,ши
63,Mond::N,бутт,ков
64,Stern::N,седа,тяште
65,Luft::N,xӏаваъ,кожф
66,Wind::N,мох,варма
67,Welle::N,тулгӏе,тавла
68,Wasser::N,хи,ведь
69,Stein::N,тӏулг,кев
70,Boden::N,цӏенкъа,мода
71,Boden::N,цӏенкъа,потмакс
72,Erde::N,латта,мода
73,Erde::N,латта,мастор
74,Staub::N,чан,пуль
75,Rauch::N,кӏур,качам
76,Funke::N,суй,ця́тка
77,Feuer::N,цӏе,тол
78,Licht::N,серло,ва́лда
79,Schatten::N,ӏиндагӏ,цильф
80,Wetter::N,хенан хӏоттам,уша
81,Nebel::N,дохк,тума́н
82,Wolke::N,марха,ковол
83,Regen::N,догӏа,пизем
84,Schnee::N,ло,лов
85,Eis::N,ша,эй
86,Frost::N,шело,ке́льме
87,Kälte::N,шело,якшама
88,Hitze::N,йовхо,пси
89,Raureif::N,йис,леш
90,Regenbogen::N,стелаӏад,а́тямъёнга
91,Donner::N,ткъес,атям
92,Strömung::N,дӏаэхар,шудема́
93,Strömung::N,дӏасалелар,шудема́
94,Tropfen::N,тӏадам,путькс
95,Tropfen::N,тӏадам,пътняфкс
96,Schaum::N,чопа,шов
97,Schmutz::N,хатт,ърда́з
98,See::N,ӏам,эрьхке
99,Sumpf::N,уьшал,шяй
100,Moor::N,уьшал,шяй
101,Wiese::N,бай,луга
102,Wald::N,хьун,вирь
103,Hügel::N,гу,губо́р
104,Hügel::N,гу,пандоня
105,Hügel::N,шу,губо́р
106,Hügel::N,шу,пандоня
107,Hügel::N,барз,губо́р
108,Hügel::N,барз,пандоня
109,Anhöhe::N,акъари,губо́р
110,Berg::N,лам,панда
111,Gipfel::N,бохь,пря
112,Höhle::N,хьех,у́нда
113,Abhang::N,басе,па́нда ша́ма
114,Quelle::N,шовда,эшиня
115,Bach::N,татол,шудерькс
116,Fluss::N,хи,ляй
117,Ufer::N,хийист,търва́
118,Küste::N,йист,ляйтърва́
119,Festland::N,латта,мода
120,Meer::N,xӏорд,моря
121,Bucht::N,чож,ведьуське
122,Insel::N,гӏайре,цёнга
123,Blume::N,зезаг,панчф
124,Gras::N,буц,тише
125,Wurzel::N,орам,юр
126,Wurzel::N,орам,ункс
127,Baum::N,дитт,шуфта
128,Stamm::N,гӏад,ро́нга
129,Stamm::N,тайпа,ро́нга
130,Rinde::N,кевстиг,кер
131,Ast::N,га,морга
132,Zweig::N,га,тарад
133,Blatt::N,гӏа,лопа
134,Birke::N,дакх,ке́лу
135,Kiefer[Baum]::N,бага,пиче
136,Weide[Baum]::N,дак,каль
137,Tanne::N,база,куз
138,Horn::N,маӏа,сюра
139,Feder::N,пелаг,толга
140,Fell::N,цӏока,кедь
141,Flügel::N,тӏам,паця
142,Klaue::N,мӏара,кенже
143,Kralle::N,тlод,кенже
144,Schwanz::N,цӏога,пула
145,Ei::N,xӏoa,ал
146,Nest::N,бен,пиза
147,Bau::N,lуьрг,пиза
148,Tier::N,дийнат,жува́та
149,Herde::N,жа,нал
150,Herde::N,жа,стада
151,Kuh::N,етт,скал
152,Kuh::N,етт,тракс
153,Bulle::N,сту,бука
154,Pferd::N,говр,лишме
155,Schaf::N,жий,уча́
156,Schaf::N,уьстагӏ,уча́
157,Schwein::N,хьакха,тува
158,Hund::N,жӏаьла,пине
159,Katze::N,цициг,катоня
160,Katze::N,цициг,аваката
161,Bär::N,ча,офта
162,Eichhörnchen::N,тарсал,ур
163,Elch::N,сай,ся́рда
164,Fuchs::N,цхьогал,келазь
165,Hase::N,пхьагал,ну́мол
166,Maus::N,дахка,шеер
167,Wolf::N,борз,върьгаз
168,Vogel::N,олхазар,нармонь
169,Huhn::N,котам,сараз
170,Hahn::N,нӏаьна,а́тякш
171,Hahn::N,боргӏал,а́тякш
172,Gans::N,гӏаз,маци
173,Adler::N,aьрзу,куцькан
174,Ente::N,бад,яксярга
175,Eule::N,бухӏа,ко́рож
176,Kranich::N,гӏаргӏули,ка́рга
177,Krähe::N,къиг,ва́рси
178,Kuckuck::N,aттйокх,ку́ку
179,Schwan::N,гӏургӏаз,ло́ксти
180,Fisch::N,чӏара,кал
181,Barsch::N,окунь,о́кунь
182,Hecht::N,гӏазкхийн чӏара,щу́ка
183,Schlange[Tier]::N,лаьхьа,куй
184,Wurm::N,нӏаьна,сукс
185,Spinne::N,гезг,унжа́
186,Ameise::N,зингат,панжам
187,Laus::N,меза,си
188,Laus::N,гӏениг,си
189,Mücke::N,чуьрк,ся́ське
190,Fliege::N,моза,кару
191,Schmetterling::N,полла,ме́лав
192,Beere::N,цӏазам,и́мож
193,Apfel::N,ӏаж,марь
194,Pilz::N,жӏаьлин нускал,панга
195,Zwiebel::N,xох,шурьхкя́
196,Saat::N,чlу,видьмот
197,Korn::N,буьртиг,сёра
198,Heu::N,йол,тише
199,Schale::N,пардо,кедь
200,Grube::N,ор,лотка
201,Falle::N,кӏело,туфкс
202,Falle::N,кӏело,кунда́ма
203,Spur::N,лар,пильгоки́
204,Asche::N,чим,кулу
205,Dreck::N,мода,ърда́з
206,Eisen::N,эчиг,кшни
207,Gold::N,деши,ока
208,Gold::N,деши,золота
209,Silber::N,дети,сия́
210,Kohle::N,кӏора,седь
211,Kohle::N,кӏора,седьвальмя
212,Glas::N,aнгали,кля́нцек
213,Lehm::N,поппар,сёвонь
214,Sand::N,гӏум,шува́р
215,Mensch::N,адам,ломань
216,Mann::N,майра,аля
217,Mann::N,майра,цёраломань
218,Frau::N,зуда,ава
219,Kind::N,бер,идь
220,Kind::N,бер,шаба
221,Junge::N,жимха,цёраня
222,Mädchen::N,жима йоӏ,стирня́
223,Familie::N,доьзал,тнал
224,Familie::N,доьзал,семья
225,Großvater::N,ненада,атя
226,Großvater::N,ненада,щя́тя
227,Großmutter::N,денана,баба
228,Eltern::N,да-нана,тя́дят-а́лят
229,Vater::N,да,аля
230,Mutter::N,нана,ава
231,Mutter::N,нана,тядя
232,Sohn::N,кӏант,цёра
233,Tochter::N,йоӏ,стирь
234,Bruder::N,ваша,дуган
235,Bruder::N,ваша,пяльне
236,Schwester::N,йиша,ака
237,Schwester::N,йиша,сазор
238,Onkel::N,деваша,оця
239,Onkel::N,деваша,патя
240,Onkel::N,деваша,щеня́
241,Tante::N,дейиша,ака
242,Tante::N,дейиша,щака
243,Ehemann::N,майра,мирде
244,Ehefrau::N,зуда,ърьвя́
245,Freude::N,самукъа,ке́нярдема
246,Freude::N,хазахетар,ке́нярдема
