,Concept_ID,mrj,he
0,Auge::N,сӹнзӓ,עין
1,Ohr::N,пӹлӹш,אזן
2,Nase::N,нер,אף
3,Nase::N,нер,חטם
4,Mund::N,ышма,פה
5,Zahn::N,пӱ,שן
6,Zunge::N,йӹлмӹ,לשון
7,Lippe::N,тӹрвӹ,שפה
8,Wange::N,шӹргӹ,לחי
9,Gesicht::N,лицӓ,פנים
10,Stirn::N,лепкӓ,מצח
11,Haar::N,ӱп,שערה
12,Schnurrbart::N,öрш,שפם
13,Bart::N,пандаш,זקן
14,Kinn::N,онгылаш,סנטר
15,Kiefer[Anatomie]::N,пӱ арата,לסת
16,Kehle::N,логер,גרון
17,Hals::N,шӱ,צואר
18,Genick::N,ланга,ערף
19,Kopf::N,вуй,ראש
20,Rücken::N,туп,גב
21,Bauch::N,мӹшкӹр,בטן
22,Nabel::N,кӹлӹмдӹ,טבור
23,Busen::N,цӹзӹ,שד
24,Brust::N,мел,חזה
25,Schulter::N,ӹнгӹжӓ,כתף
26,Arm::N,кид,זרוע
27,Ellenbogen::N,кӹнервуй,מרפק
28,Hand::N,лапа,יד
29,Handfläche::N,кид лапа,כף יד
30,Finger::N,парня,אצבע
31,Fingernagel::N,кӹч,צפרן
32,Nagel[Anatomie]::N,кӹч,צפרן
33,Zeh::N,парня,אצבע
34,Fuß::N,ял лапа,רגל
35,Ferse::N,ялгавал,עקב
36,Ferse::N,ял кавал,עקב
37,Knie::N,пылвуй,ברך
38,Oberschenkel::N,ӓрдӹ,ירך
39,Bein::N,ял,רגל
40,Körper::N,монгыр,גוף
41,Haut::N,кавашты,עור
42,Blut::N,вӹр,דם
43,Ader::N,вӹршӓр,וריד
44,Sehne::N,кукшышӱн,גיד
45,Knochen::N,лу,עצם
46,Gehirn::N,вим,מוח
47,Herz::N,шӱм,לב
48,Magen::N,шӱм,קבה
49,Leber::N,мокш,כבד
50,Atem::N,шӱлӹш,נשימה
51,Hunger::N,шужымаш,רעב
52,Träne::N,сӹнзӓвӹд,דמעה
53,Geschmack::N,тот,טעם
54,Geruch::N,пыш,ריח
55,Schlaf::N,ом,שנה
56,Traum::N,ом,חלום
57,Himmel::N,пӹлгом,שמים
58,Sonne::N,кечӹ,שמש
59,Mond::N,тӹлзӹ,ירח
60,Stern::N,шӹдӹр,כוכב
61,Luft::N,юж,אויר
62,Luft::N,воздух,אויר
63,Wind::N,мардеж,רוח
64,Welle::N,ко,גל
65,Welle::N,коэ,גל
66,Wasser::N,вӹд,מים
67,Stein::N,кӱ,אבן
68,Boden::N,рок,קרקע
69,Erde::N,свет,אדמה
70,Staub::N,пырак,אבק
71,Rauch::N,шӹкш,עשן
72,Funke::N,ип,ניצוץ
73,Funke::N,тылип,ניצוץ
74,Feuer::N,тыл,אש
75,Licht::N,соты,אור
76,Licht::N,валгыды,אור
77,Schatten::N,ӹмӹл,צל
78,Wetter::N,игечӹ,מזג אויר
79,Nebel::N,тӹтӹрӓ,ערפל
80,Wolke::N,пӹл,ענן
81,Regen::N,юр,גשם
82,Schnee::N,лым,שלג
83,Eis::N,и,קרח
84,Frost::N,ӱштӹ,צנה
85,Kälte::N,ӱштӹ,קר
86,Hitze::N,шокшы,חם
87,Raureif::N,пöрш,כפור
88,Regenbogen::N,шанавӹл,קשת
89,Donner::N,хӹдӹртӹш,רעם
90,Strömung::N,йогы,זרימה
91,Tropfen::N,капльы,טפה
92,Tropfen::N,капльык,טפה
93,Schaum::N,шонг,קצף
94,Schmutz::N,лявӹрӓ,לכלוך
95,See::N,йӓр,אגם
96,Sumpf::N,лӱкӹ,בצה
97,Moor::N,куп,בצה
98,Wiese::N,алык,מרעה
99,Wald::N,шӹргӹ,יער
100,Hügel::N,пӱгӹрикӓ,תל
101,Anhöhe::N,кӱкшикӓ,מעלה
102,Berg::N,кырык,הר
103,Gipfel::N,неркӓ,פסגה
104,Höhle::N,ы́раж,מערה
105,Abhang::N,полом,מדרון
106,Abhang::N,полом,שפוע
107,Quelle::N,вӹдсӹнзӓ,מעין
108,Bach::N,ӓнгӹр,נחל
109,Fluss::N,вӹд,נהר
110,Ufer::N,сир,גדה
111,Küste::N,сир,חוף
112,Festland::N,мӱлӓндӹ,יבשה
