,Concept_ID,sk,az
0,Auge::N,oko,göz
1,Ohr::N,ucho,qulaq
2,Nase::N,nos,burun
3,Mund::N,ústa,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jazyk,dil
6,Lippe::N,pera,dodaq
7,Wange::N,líce,yanaq
8,Gesicht::N,tvár,üz
9,Gesicht::N,obličaj,üz
10,Stirn::N,čelo,alın
11,Haar::N,vlas,saç
12,Schnurrbart::N,fúzy,bığ
13,Bart::N,brada,saqqal
14,Kinn::N,brada,çənə
15,Kiefer[Anatomie]::N,čeľusť,çənə
16,Kehle::N,hrdlo,boğaz
17,Hals::N,krk,boyun
18,Genick::N,väzy,ənsə
19,Kopf::N,hlava,baş
20,Rücken::N,chrbát,bel
21,Bauch::N,brucho,qarın
22,Nabel::N,pupok,göbək
23,Busen::N,prsia,məmə
24,Brust::N,hruď,döş
25,Schulter::N,plece,çiyin
26,Arm::N,rameno,qol
27,Ellenbogen::N,lakeť,dirsək
28,Hand::N,ruka,əl
29,Handfläche::N,dlaň,ovuc
30,Finger::N,prst,barmaq
31,Fingernagel::N,necht,barmaq dırnağı
32,Nagel[Anatomie]::N,necht,dırnak
33,Zeh::N,prst na nohe,ayaq barmağı
34,Fuß::N,noha,ayaq
35,Ferse::N,päta,daban
36,Knie::N,koleno,diz
37,Oberschenkel::N,stehno,bud
38,Bein::N,noha,qıç
39,Körper::N,telo,əndam
40,Haut::N,koža,dəri
41,Blut::N,krv,qan
42,Ader::N,žila,damar
43,Sehne::N,šľacha,vətər
44,Knochen::N,kosť,sümük
45,Gehirn::N,mozog,beyin
46,Herz::N,srdce,ürək
47,Magen::N,žalúdok,mədə
48,Leber::N,pečeň,qara ciyər
49,Atem::N,dych,nəfəs
50,Hunger::N,hlad,aclıq
51,Träne::N,slza,göz yaşı
52,Geschmack::N,chuť,tam
53,Geschmack::N,chuť,ləzzət
54,Geruch::N,pach,qoxu
55,Schlaf::N,spánok,yuxu
56,Traum::N,sen,röya
57,Himmel::N,nebo,göy
58,Himmel::N,nebo,səma
59,Sonne::N,slnko,günəş
60,Mond::N,mesiac,ay
61,Stern::N,hviezda,ulduz
62,Luft::N,vzduch,hava
63,Wind::N,vietor,yel
64,Wind::N,vietor,külək
65,Welle::N,vlna,dalğa
66,Wasser::N,voda,su
67,Stein::N,kameň,daş
68,Boden::N,zem,yer
69,Boden::N,zem,zəmin
70,Boden::N,pôda,yer
71,Boden::N,pôda,zəmin
72,Erde::N,zem,yer torpaq
73,Staub::N,prach,toz
74,Rauch::N,dym,tüstü
75,Funke::N,iskra,qığılcım
76,Feuer::N,oheň,od
77,Licht::N,svetlo,işıq
78,Schatten::N,tieň,kölgə
79,Wetter::N,počasie,hava
80,Nebel::N,hmla,duman
81,Wolke::N,oblak,bulud
82,Wolke::N,mračno,bulud
83,Regen::N,dážď,yağış
84,Regen::N,dážď,yağmur
85,Schnee::N,sneh,qar
86,Eis::N,ľad,buz
87,Frost::N,mráz,ayaz
88,Kälte::N,zima,soyuq
89,Kälte::N,chlad,soyuq
90,Hitze::N,horúčava,coşğunluq
91,Raureif::N,srieň,qırov
92,Raureif::N,inovať,qırov
93,Regenbogen::N,dúha,göy qurşağı
94,Donner::N,hrom,göy gurultusu
95,Strömung::N,prúdenie,axın
96,Tropfen::N,kvapka,damcı
97,Schaum::N,pena,köpük
98,Schmutz::N,špina,çamır
99,Schmutz::N,nečistota,çamır
100,See::N,jazero,göl
101,Sumpf::N,bahno,bataqlıq
102,Moor::N,močiar,bataqlıq
103,Wiese::N,lúka,çəmən
104,Wald::N,les,meşə
105,Wald::N,hora,meşə
106,Hügel::N,vŕšok,təpə
107,Anhöhe::N,výšina,təpə
108,Anhöhe::N,vyvýšenina,təpə
109,Berg::N,hora,dağ
110,Gipfel::N,vrchol,zirvə
111,Höhle::N,jaskyňa,mağara
112,Abhang::N,úbočie,yamac
113,Quelle::N,prameň,bulaq
114,Bach::N,potok,kiçik çay
115,Fluss::N,rieka,çay
116,Ufer::N,breh,kənar
117,Küste::N,pobrežie,sahil
118,Festland::N,pevnina,materik
119,Meer::N,more,dəniz
120,Bucht::N,záliv,körfəz
121,Bucht::N,zátoka,körfəz
122,Insel::N,ostrov,ada
123,Blume::N,kvet,çiçək
124,Blume::N,kvetina,çiçək
125,Gras::N,tráva,ot
126,Wurzel::N,koreň,kök
127,Baum::N,strom,ağac
128,Stamm::N,kmeň,gövdə
129,Rinde::N,kôra,qabıq
130,Ast::N,konár,şax
131,Zweig::N,vetva,budaq
132,Blatt::N,list,yarpaq
133,Birke::N,breza,tozağacı
134,Kiefer[Baum]::N,sosna,şam
135,Kiefer[Baum]::N,borovica,şam
136,Weide[Baum]::N,vŕba,söyüd
137,Tanne::N,jedľa,küknar
138,Horn::N,roh,buynuz
139,Feder::N,pero,tük
140,Feder::N,pero,lələk
141,Fell::N,koža,xəz
142,Fell::N,kožušina,xəz
143,Flügel::N,krídlo,qanad
144,Klaue::N,paznecht,pəncə
145,Kralle::N,pazúr,dırnaq
146,Schwanz::N,chvost,quyruq
147,Ei::N,vajce,yumurta
148,Ei::N,vajíčko,yumurta
149,Nest::N,hniezdo,yuva
150,Bau::N,nora,yuva
151,Tier::N,zviera,heyvan
152,Herde::N,stádo,sürü
153,Kuh::N,krava,inək
154,Bulle::N,býk,öküz
155,Pferd::N,kôň,at
156,Schaf::N,ovca,qoyun
157,Schwein::N,sviňa,donuz
158,Hund::N,pes,it
159,Hund::N,pes,köpək
160,Katze::N,mačka,pişik
161,Bär::N,medveď,ayı
162,Eichhörnchen::N,veverička,dələ
163,Elch::N,los,sığın
164,Fuchs::N,líška,tülkü
165,Hase::N,zajac,dovşan
166,Maus::N,myš,siçan
167,Wolf::N,vlk,qurd
168,Vogel::N,vták,quş
169,Schwarm::N,roj,sürü
170,Huhn::N,kurča,toyuq
171,Huhn::N,sliepka,toyuq
172,Hahn::N,kohút,xoruz
173,Gans::N,hus,qaz
174,Adler::N,orol,qartal
175,Adler::N,orol,qaraquş
176,Ente::N,kačka,ördək
