,Concept_ID,ru,ja
0,Auge::N,глаз,目
1,Ohr::N,ухо,耳
2,Nase::N,нос,鼻
3,Mund::N,рот,口
4,Zahn::N,зуб,歯
5,Zunge::N,язык,舌
6,Lippe::N,губа,唇
7,Wange::N,щека,頬
8,Gesicht::N,лицо,顔
9,Stirn::N,лоб,額
10,Haar::N,волос,髪
11,Haar::N,волосы,髪
12,Schnurrbart::N,ус,口髭
13,Schnurrbart::N,усы,口髭
14,Bart::N,борода,髭
15,Kinn::N,подбородок,顎
16,Kiefer[Anatomie]::N,челюсть,顎
17,Kehle::N,горло,喉
18,Hals::N,шея,首
19,Genick::N,затылок,首
20,Kopf::N,голова,頭
21,Rücken::N,спина,背中
22,Bauch::N,живот,腹
23,Bauch::N,живот,お腹
24,Nabel::N,пупок,へそ
25,Busen::N,женская грудь,乳房
26,Brust::N,грудь,胸
27,Schulter::N,плечо,肩
28,Arm::N,рука,腕
29,Ellenbogen::N,локоть,肘
30,Hand::N,кисть,手
31,Handfläche::N,ладонь,手のひら
32,Finger::N,палец,指
33,Fingernagel::N,ноготь,爪
34,Nagel[Anatomie]::N,ноготь,爪
35,Zeh::N,палец,足の指
36,Fuß::N,ступня,足
37,Ferse::N,пята,かかと
38,Ferse::N,пятка,かかと
39,Knie::N,колено,膝
40,Oberschenkel::N,бедро,上腿
41,Bein::N,нога,足
42,Körper::N,тело,体
43,Haut::N,кожа,皮膚
44,Blut::N,кровь,血
45,Ader::N,вена,血管
46,Ader::N,сосуд,血管
47,Sehne::N,жила,腱
48,Sehne::N,тетива,腱
49,Sehne::N,сухожилие,腱
50,Knochen::N,кость,骨
51,Gehirn::N,мозг,脳
52,Herz::N,сердце,心
53,Herz::N,сердце,心臓
54,Magen::N,желудок,胃
55,Leber::N,печень,肝臓
56,Atem::N,дух,息
57,Atem::N,дух,呼吸
58,Atem::N,дыхание,息
59,Atem::N,дыхание,呼吸
60,Hunger::N,голод,空腹
61,Träne::N,слеза,涙
62,Geschmack::N,вкус,味
63,Geruch::N,запах,匂い
64,Schlaf::N,сон,睡眠
65,Traum::N,сновидение,夢
66,Himmel::N,небо,空
67,Sonne::N,солнце,太陽
68,Mond::N,луна,月
69,Stern::N,звезда,星
70,Luft::N,воздух,空気
71,Wind::N,ветер,風
72,Welle::N,волна,波
73,Wasser::N,вода,水
74,Stein::N,камень,石
75,Boden::N,почва,土地
76,Erde::N,земля,土
77,Staub::N,пыль,埃
78,Rauch::N,дым,煙
79,Funke::N,искра,火花
80,Feuer::N,огонь,火
81,Licht::N,свет,光
82,Schatten::N,тень,陰
83,Wetter::N,погода,天気
84,Nebel::N,туман,霧
85,Wolke::N,облако,雲
86,Regen::N,дождь,雨
87,Schnee::N,снег,雪
88,Eis::N,лед,氷
89,Frost::N,мороз,霜
90,Kälte::N,холод,寒さ
91,Hitze::N,жара,暑さ
92,Raureif::N,иней,霧氷
93,Regenbogen::N,радуга,虹
94,Donner::N,гром,雷
95,Strömung::N,течение,流れ
96,Tropfen::N,капля,滴
97,Schaum::N,пена,泡
98,Schmutz::N,грязь,汚れ
99,See::N,озеро,湖
100,Sumpf::N,топь,沼
101,Moor::N,болото,湿原
102,Wiese::N,луг,草原
103,Wald::N,лес,森
104,Hügel::N,холм,丘
105,Anhöhe::N,возвышенность,高み
106,Berg::N,гора,山
107,Gipfel::N,вершина,頂上
108,Höhle::N,пещера,洞窟
109,Abhang::N,склон,斜面
110,Quelle::N,источник,泉
111,Bach::N,ручей,小川
112,Fluss::N,река,川
113,Ufer::N,берег,岸
114,Küste::N,побережье,海岸
115,Festland::N,суша,陸
116,Meer::N,море,海
117,Bucht::N,бухта,湾
118,Insel::N,остров,島
119,Blume::N,цветок,花
120,Gras::N,трава,草
121,Wurzel::N,корень,根
122,Baum::N,дерево,木
123,Stamm::N,ствол,幹
124,Rinde::N,кора,皮層
125,Ast::N,сук,枝
126,Zweig::N,ветвь,小枝
127,Blatt::N,лист,葉
128,Birke::N,береза,樺
129,Kiefer[Baum]::N,сосна,松
130,Weide[Baum]::N,ива,柳
131,Tanne::N,ель,樅
132,Horn::N,рог,角
133,Feder::N,перо,羽根
134,Fell::N,шкура,毛皮
135,Flügel::N,крыло,羽
136,Klaue::N,коготь,鉤爪
137,Kralle::N,лапа,爪
138,Schwanz::N,хвост,尻尾
139,Ei::N,яйцо,卵
140,Nest::N,гнездо,巣
141,Bau::N,нора,穴
142,Tier::N,животное,動物
143,Herde::N,стадо,群れ
144,Kuh::N,корова,牛
145,Bulle::N,бык,雄牛
146,Pferd::N,лошадь,馬
147,Schaf::N,овца,羊
148,Schwein::N,свинья,豚
149,Hund::N,собака,犬
150,Katze::N,кошка,猫
151,Bär::N,медведь,熊
152,Eichhörnchen::N,белка,栗鼠
153,Elch::N,лось,ヘラジカ
154,Fuchs::N,лиса,狐
155,Hase::N,заяц,兎
156,Maus::N,мышь,鼠
157,Wolf::N,волк,狼
158,Vogel::N,птица,鳥
159,Schwarm::N,стая,群れ
160,Huhn::N,курица,鶏
161,Hahn::N,петух,雄鶏
162,Gans::N,гусь,ガチョウ
163,Adler::N,орел,鷲
164,Ente::N,утка,鴨
165,Eule::N,сова,フクロウ
166,Kranich::N,журавль,鶴
167,Krähe::N,ворона,烏
168,Kuckuck::N,кукушка,郭公
169,Schwan::N,лебедь,白鳥
170,Fisch::N,рыба,魚
171,Barsch::N,окунь,鱸
172,Hecht::N,щука,川魳
173,Schlange[Tier]::N,змея,蛇
174,Wurm::N,червяк,虫
175,Spinne::N,паук,蜘蛛
176,Ameise::N,муравей,蟻
177,Laus::N,вошь,虱
178,Mücke::N,комар,蚊
179,Fliege::N,муха,蝿
180,Schmetterling::N,бабочка,蝶
181,Beere::N,ягода,漿果
182,Apfel::N,яблоко,林檎
183,Pilz::N,гриб,茸
184,Zwiebel::N,луковица,玉葱
185,Saat::N,семя,種
186,Korn::N,зерно,粒
187,Heu::N,сено,干し草
188,Schale::N,шелуха,皮
189,Grube::N,яма,穴
190,Falle::N,ловушка,わな
191,Schlinge::N,силок,輪
192,Spur::N,след,跡
193,Asche::N,зола,灰
194,Asche::N,пепел,灰
195,Dreck::N,грязь,泥
196,Eisen::N,железо,鉄
197,Gold::N,золото,金
198,Silber::N,серебро,銀
199,Kohle::N,уголь,炭
200,Glas::N,стекло,ガラス
201,Lehm::N,глина,ローム
202,Sand::N,песок,砂
203,Mensch::N,человек,人
204,Mann::N,мужчина,男
205,Mann::N,мужчина,男性
206,Frau::N,женщина,女
207,Frau::N,женщина,女性
208,Kind::N,ребенок,子
209,Kind::N,ребенок,子供
210,Junge::N,мальчик,男の子
211,Mädchen::N,девочка,女の子
212,Familie::N,семья,家族
213,Großvater::N,дедушка,祖父
214,Großvater::N,дедушка,おじいさん
215,Großmutter::N,бабушка,祖母
216,Großmutter::N,бабушка,おばあさん
217,Eltern::N,родители,親
218,Eltern::N,родители,両親
219,Vater::N,отец,父
220,Vater::N,отец,お父さん
221,Mutter::N,мать,母
222,Mutter::N,мать,お母さん
223,Sohn::N,сын,息子
224,Sohn::N,сын,息子さん
225,Tochter::N,дочь,娘
226,Tochter::N,дочь,お嬢さん
227,Bruder::N,брат,弟
228,Schwester::N,сестра,妹
229,Onkel::N,дядя,伯父
230,Onkel::N,дядя,伯父さん
231,Tante::N,тетя,叔母
232,Tante::N,тетя,叔母さん
233,Ehemann::N,муж,夫
234,Ehemann::N,муж,主人
235,Ehefrau::N,жена,妻
236,Ehefrau::N,жена,奥さん
237,Freude::N,радость,喜び
238,Gelächter::N,смех,笑い
239,Glück::N,счастье,幸せ
240,Kummer::N,горе,悩み
241,Wunsch::N,желание,希望
242,Lust::N,влечение,気
243,Geist::N,дух,精神
244,Gedanke::N,мысль,考え
245,Gedächtnis::N,память,記憶
246,Verstand::N,ум,理解力
247,Sinn::N,смысл,意味
248,Grund::N,повод,理由
249,Wahrheit::N,правда,真実
250,Gespräch::N,беседа,会話
251,Märchen::N,сказка,童話
252,Erzählung::N,рассказ,物語
253,Nachricht::N,сообщение,報告
254,Neuigkeit::N,новость,ニュース
255,Name::N,имя,名前
