,Concept_ID,ga,kl
0,Auge::N,súil,isi
1,Ohr::N,cluas,siut
2,Nase::N,soc,
3,Mund::N,béal,paaq
4,Mund::N,béal,qaneq
5,Zahn::N,fiacail,kigut
6,Zunge::N,teanga,oqaq
7,Lippe::N,liopa,qarloq
8,Wange::N,grua,ersaq
9,Wange::N,leiceann,ersaq
10,Gesicht::N,éadan,kiinaq
11,Gesicht::N,aghaidh,kiinaq
12,Stirn::N,baithis,qaaq
13,Stirn::N,clár éadain,qaaq
14,Haar::N,gruaig,meqqoq
15,Schnurrbart::N,croiméal,
16,Bart::N,féasóg,umik
17,Kinn::N,smig,talloq
18,Kiefer[Anatomie]::N,giall,alleroq
19,Kehle::N,scornach,malaq
20,Hals::N,muinéal,qungaseq
21,Genick::N,baic,pukusuk
22,Kopf::N,ceann,niaqoq
23,Rücken::N,droim,qimerlut
24,Bauch::N,bolg,naaq
25,Nabel::N,imleacán,qalaseq
26,Busen::N,cíoch,iviangeq
27,Brust::N,brollach,iviangeq
28,Schulter::N,gualainn,ersik
29,Schulter::N,gualainn,assaqqoq
30,Arm::N,lámh,taleq
31,Ellenbogen::N,uillinn,ikusik
32,Hand::N,lámh,assak
33,Handfläche::N,bos,itumak
34,Finger::N,méar,inuak
35,Fingernagel::N,ionga,kikiak
36,Nagel[Anatomie]::N,ionga,kukik
37,Zeh::N,ladhar,isigak
38,Fuß::N,cos,
39,Fuß::N,troigh,
40,Ferse::N,sáil,kimmik
41,Knie::N,glúin,seeqqoq
42,Oberschenkel::N,ceathrú,uppat
43,Oberschenkel::N,ceathrú,quttoraq
44,Bein::N,cos,isigak
45,Körper::N,corp,timi
46,Körper::N,colainn,timi
47,Haut::N,cneas,mattak
48,Haut::N,craiceann,mattak
49,Blut::N,fuil,aak
50,Sehne::N,teannán,ujalu
51,Sehne::N,teannán,ujaloq
52,Sehne::N,féitheog,ujalu
53,Sehne::N,féitheog,ujaloq
54,Knochen::N,cnámh,saanikut
55,Gehirn::N,inchinn,qarasaq
56,Herz::N,croí,uummat
57,Magen::N,bolg,aqajaroq
58,Magen::N,goile,aqajaroq
59,Leber::N,ae,tinguk
60,Atem::N,anáil,anerneq
61,Hunger::N,ocras,kaanneq
62,Träne::N,deoir,qia
63,Träne::N,deoir,qiak
64,Geschmack::N,blas,qilanaartuut
65,Geruch::N,boladh,tipi
66,Geruch::N,boladh,tipik
67,Schlaf::N,suan,
68,Schlaf::N,codladh,
69,Traum::N,taibhreamh,sinnattoq
70,Traum::N,taibhreamh,sinnattugaq
71,Himmel::N,spéir,qilak
72,Sonne::N,grian,seqineq
73,Mond::N,ré,qaammat
74,Mond::N,gealach,qaammat
75,Stern::N,rinn,ulloriaq
76,Stern::N,réalta,ulloriaq
77,Luft::N,aer,silaannaq
78,Wind::N,gaoth,anori
79,Wind::N,gaoth,anorsarik
80,Welle::N,tonn,aalappaa
