,Concept_ID,myv,te
0,Auge::N,сельме,కన్ను
1,Ohr::N,пиле,చెవి
2,Nase::N,судо,ముక్కు
3,Mund::N,курго,నోరు
4,Zahn::N,пей,పల్లు
5,Zunge::N,кель,నాలుక
6,Lippe::N,турва,పెదవి
7,Wange::N,чамабока,చెంప
8,Wange::N,чамаумарь,చెంప
9,Gesicht::N,чама,ముఖము
10,Stirn::N,коня,నుదురు
11,Haar::N,черь,వెండ్రుక
12,Schnurrbart::N,ус,మీసము
13,Schnurrbart::N,муюк,మీసము
14,Bart::N,сакал,గడ్డము
15,Kinn::N,уло,గడ్డము
16,Kiefer[Anatomie]::N,пейпакар,దౌడ
17,Kiefer[Anatomie]::N,пейловажа,దౌడ
18,Kehle::N,кирьгапарь,గొంతు
19,Hals::N,кирьга,మెడ
20,Genick::N,човонь,మూపు
21,Kopf::N,пря,తల
22,Rücken::N,копорь,వెన్ను
23,Bauch::N,пеке,కడుపు
24,Nabel::N,почо,బొడ్డు
25,Busen::N,поте,స్తనము
26,Brust::N,меште,ఱొమ్ము
27,Schulter::N,лавтов,భుజము
28,Arm::N,кедь,చేయి
29,Ellenbogen::N,кенерепакарь,మోచేయి
30,Hand::N,кедь,చేయి
31,Handfläche::N,кедькуншка,అరచేయు
32,Handfläche::N,кедьлапушка,అరచేయు
33,Finger::N,сур,చేతిప్రేలు
34,Fingernagel::N,кенже,గోరు
35,Nagel[Anatomie]::N,кенже,గోరు
36,Zeh::N,пильге сур,కాలిప్రేలు
37,Fuß::N,пильге,అడుగు
38,Ferse::N,кочкаря,మడమ
39,Knie::N,эле,మోకాలు
40,Knie::N,эзне,మోకాలు
41,Knie::N,кумажа,మోకాలు
42,Oberschenkel::N,качо,తొడ
43,Bein::N,пильге,కాలు
44,Körper::N,рунго,కాయము
45,Haut::N,киське,చర్మము
46,Blut::N,верь,రక్తము
47,Ader::N,сан,సిర
48,Sehne::N,коське сан,స్నాయువు
49,Knochen::N,пакарь,ఎముక
50,Gehirn::N,удем,మెదడు
51,Herz::N,седей,హృదయము
52,Magen::N,пеке,కడుపు
53,Leber::N,максо,కాలేయము
54,Atem::N,лексема,ఉపిరి
55,Atem::N,оймень таргсема,ఉపిరి
56,Hunger::N,вачочи,ఆకలి
