,Concept_ID,no,es
0,Auge::N,øye,ojo
1,Ohr::N,øre,oreja
2,Nase::N,nese,nariz
3,Mund::N,munn,boca
4,Zahn::N,tann,diente
5,Zunge::N,tunge,lengua
6,Lippe::N,leppe,labio
7,Wange::N,kinn,mejilla
8,Gesicht::N,fjes,cara
9,Gesicht::N,ansikt,cara
10,Stirn::N,panne,frente
11,Haar::N,hår,cabello
12,Schnurrbart::N,bart,bigote
13,Bart::N,skjegg,barba
14,Kinn::N,hake,barbilla
15,Kiefer[Anatomie]::N,kjeve,mandíbula
16,Kehle::N,strupe,garganta
17,Hals::N,hals,cuello
18,Genick::N,nakke,nuca
19,Genick::N,nakke,cerviz
20,Kopf::N,hode,cabeza
21,Rücken::N,rygg,espalda
22,Bauch::N,buk,vientre
23,Bauch::N,mage,vientre
24,Nabel::N,navle,ombligo
25,Busen::N,barm,pecho
26,Brust::N,bryst,pecho
27,Schulter::N,skulder,hombro
28,Arm::N,arm,brazo
29,Ellenbogen::N,albue,codo
30,Hand::N,hånd,mano
31,Handfläche::N,håndflate,palma
32,Finger::N,finger,dedo
33,Fingernagel::N,fingernegl,uña
34,Nagel[Anatomie]::N,negl,uña
35,Zeh::N,tå,dedo del pie
36,Fuß::N,fot,pie
37,Ferse::N,hæl,talón
38,Knie::N,kne,rodilla
39,Oberschenkel::N,lår,muslo
40,Bein::N,bein,pierna
41,Körper::N,kropp,cuerpo
42,Körper::N,legeme,cuerpo
43,Haut::N,hud,piel
44,Haut::N,skinn,piel
45,Blut::N,blod,sangre
46,Ader::N,åre,vena
47,Sehne::N,sene,tendón
48,Knochen::N,bein,hueso
49,Knochen::N,knokkel,hueso
50,Gehirn::N,hjerne,cerebro
51,Gehirn::N,hjerne,encéfalo
52,Herz::N,hjerte,corazón
53,Magen::N,mage,estómago
54,Leber::N,lever,hígado
55,Atem::N,pust,aliento
56,Hunger::N,sult,hambre
57,Träne::N,tåre,lágrima
58,Geschmack::N,smak,gusto
59,Geruch::N,lukt,olor
60,Schlaf::N,søvn,sueño
61,Traum::N,drøm,sueño
62,Traum::N,drøm,ensueño
63,Himmel::N,himmel,cielo
64,Sonne::N,sol,sol
65,Mond::N,måne,luna
66,Stern::N,stjerne,estrella
67,Luft::N,luft,aire
68,Wind::N,vind,viento
69,Welle::N,bølge,ola
70,Welle::N,bølge,onda
71,Wasser::N,vann,agua
72,Stein::N,stein,piedra
73,Boden::N,bakke,suelo
74,Erde::N,jord,tierra
75,Staub::N,støv,polvo
76,Rauch::N,røyk,humo
77,Funke::N,gnist,chispa
78,Feuer::N,ild,fuego
79,Licht::N,lys,luz
80,Schatten::N,skygge,sombra
81,Wetter::N,vær,tiempo
82,Nebel::N,tåke,niebla
83,Wolke::N,sky,nube
84,Regen::N,regn,lluvia
