,Concept_ID,ab,mrj
0,Auge::N,ала,сӹнзӓ
1,Ohr::N,алымҳа,пӹлӹш
2,Nase::N,аҧынҵа,нер
3,Mund::N,аҧышə,ышма
4,Zahn::N,ахаҧыц,пӱ
5,Zunge::N,абз,йӹлмӹ
6,Lippe::N,ақьышə,тӹрвӹ
7,Wange::N,аӡамҩа,шӹргӹ
8,Gesicht::N,аҿы,лицӓ
9,Stirn::N,алахь,лепкӓ
10,Haar::N,ахəыц,ӱп
11,Schnurrbart::N,аҧаҵа,öрш
12,Bart::N,ажакьа,пандаш
13,Kinn::N,ацламкəыгə,онгылаш
14,Kiefer[Anatomie]::N,ацламҳəа,пӱ арата
15,Kehle::N,ахəда,логер
16,Hals::N,ахəда,шӱ
17,Genick::N,ахəдаџьал,ланга
18,Kopf::N,ахы,вуй
19,Rücken::N,азқəа,туп
20,Bauch::N,амгəа,мӹшкӹр
21,Nabel::N,аҷапан,кӹлӹмдӹ
22,Busen::N,агəыҧҳəы,цӹзӹ
23,Brust::N,агəышҧы,мел
24,Schulter::N,ажəҩахыр,ӹнгӹжӓ
25,Arm::N,амахəар,кид
26,Ellenbogen::N,амашьхəылҵ,кӹнервуй
27,Hand::N,анапы,лапа
28,Handfläche::N,анапсаргəыҵа,кид лапа
29,Finger::N,анацəа,парня
30,Fingernagel::N,анапхыц,кӹч
31,Nagel[Anatomie]::N,ашьапхыц,кӹч
32,Zeh::N,ашьацəа,парня
33,Fuß::N,ашьапсыргəыҵа,ял лапа
34,Ferse::N,ашьхəа,ялгавал
35,Ferse::N,ашьхəа,ял кавал
36,Knie::N,ашьамхы,пылвуй
37,Oberschenkel::N,ауаҭəа,ӓрдӹ
38,Bein::N,ашьапы,ял
39,Körper::N,ацəеижь,монгыр
40,Haut::N,ацəа,кавашты
41,Blut::N,ашьа,вӹр
42,Ader::N,ада,вӹршӓр
43,Sehne::N,адаш,кукшышӱн
44,Knochen::N,абаҩ,лу
45,Gehirn::N,ахшлыбаҩ,вим
46,Gehirn::N,ахшыбаҩ,вим
47,Herz::N,агəы,шӱм
48,Magen::N,аца,шӱм
49,Magen::N,ацар,шӱм
50,Leber::N,агəаҵəа,мокш
51,Atem::N,аҧсыҧлагаҩгара,шӱлӹш
52,Hunger::N,амла,шужымаш
53,Träne::N,алабжыш,сӹнзӓвӹд
54,Geschmack::N,агьама,тот
55,Geruch::N,афҩы,пыш
56,Schlaf::N,ацəа,ом
57,Traum::N,аҧхыӡ,ом
58,Himmel::N,ажəҩан,пӹлгом
59,Sonne::N,амра,кечӹ
60,Mond::N,амза,тӹлзӹ
61,Stern::N,аеҵəа,шӹдӹр
62,Luft::N,аҳаир,юж
63,Luft::N,аҳаир,воздух
64,Wind::N,аҧша,мардеж
65,Welle::N,ацəқəырҧа,ко
66,Welle::N,ацəқəырҧа,коэ
67,Wasser::N,аӡы,вӹд
68,Stein::N,ахаҳə,кӱ
69,Boden::N,адгьыл,рок
70,Erde::N,адгьыл,свет
71,Staub::N,асаба,пырак
72,Rauch::N,алҩа,шӹкш
73,Funke::N,акəиц,ип
74,Funke::N,акəиц,тылип
75,Funke::N,ацҧхь,ип
76,Funke::N,ацҧхь,тылип
77,Feuer::N,амца,тыл
78,Licht::N,алашара,соты
79,Licht::N,алашара,валгыды
80,Schatten::N,ашəшьыра,ӹмӹл
81,Wetter::N,амш,игечӹ
82,Nebel::N,анаҟəа,тӹтӹрӓ
83,Wolke::N,аҧсҭҳəа,пӹл
84,Regen::N,ақəа,юр
85,Schnee::N,асы,лым
86,Eis::N,аҵаа,и
87,Frost::N,аҵаа,ӱштӹ
88,Kälte::N,ахьҭа,ӱштӹ
89,Hitze::N,ашоура,шокшы
90,Raureif::N,аҵааҧшқа,пöрш
91,Regenbogen::N,ацəаҟəа,шанавӹл
92,Donner::N,адыд,хӹдӹртӹш
93,Strömung::N,аиасра,йогы
94,Strömung::N,амҩасра,йогы
95,Tropfen::N,ацəыкəбар,капльы
96,Tropfen::N,ацəыкəбар,капльык
97,Schaum::N,ашəах,шонг
98,Schmutz::N,алымт,лявӹрӓ
99,See::N,аӡиа,йӓр
100,Sumpf::N,аӡмах,лӱкӹ
101,Wiese::N,адəы,алык
102,Wald::N,абна,шӹргӹ
103,Hügel::N,ахəы,пӱгӹрикӓ
104,Anhöhe::N,аҳаракыра,кӱкшикӓ
105,Berg::N,ашьха,кырык
106,Gipfel::N,ацəқəа,неркӓ
107,Höhle::N,аҳаҧы,ы́раж
108,Abhang::N,анаара,полом
109,Quelle::N,аҵҵырҭа,вӹдсӹнзӓ
110,Bach::N,акəараҷҷа,ӓнгӹр
111,Fluss::N,аӡиас,вӹд
112,Ufer::N,ахықə,сир
113,Küste::N,ахықə,сир
114,Festland::N,абарра,мӱлӓндӹ
115,Meer::N,амшын,тангыж
116,Bucht::N,аӡбжьахала,вӹдъял
117,Insel::N,адгьылбжьаха,острок
118,Blume::N,ашəҭ,пеледӹш
119,Gras::N,аҳасакьын,шуды
120,Wurzel::N,адац,важ
121,Baum::N,аҵла,пушӓнгӹ
122,Stamm::N,ашьапы,пушӓнгӹ тӹнг
123,Rinde::N,ацəа,каргыж
124,Ast::N,амахə,укш
125,Ast::N,амахəҭа,укш
126,Zweig::N,амахə,укш
127,Zweig::N,амахəҭа,укш
128,Blatt::N,абҕьы,листӹ
129,Birke::N,аҵааҵла,куги
130,Kiefer[Baum]::N,амза,йӓктӹ
131,Weide[Baum]::N,аҧслыш,уа
132,Tanne::N,аҧсаӡ,кож
133,Horn::N,атəыҩа,шур
134,Feder::N,ахӡы,пын
135,Fell::N,ацəа,кавашты
136,Flügel::N,амҵəыжəа,шылдыр
137,Klaue::N,ашьапхыц,кӹч
138,Schwanz::N,аҵыхəа,пач
139,Ei::N,акəтаӷь,мыны
140,Nest::N,аҭра,пӹжӓш
141,Nest::N,аҵысҭра,пӹжӓш
142,Bau::N,аҭыҩра,ыраж
143,Tier::N,аҧстəы,во́льык
144,Tier::N,агыгшəыг,во́льык
145,Herde::N,агəарҭа,кӹтö
146,Kuh::N,ажə,ышкал
147,Bulle::N,ацə,ӱшкӱж
148,Pferd::N,аҽы,имни
149,Schaf::N,ауаса,шарык
150,Schwein::N,аҳəа,сасна
151,Hund::N,ала,пи
152,Katze::N,ацгəы,коти
153,Bär::N,амшə,мöскӓ
154,Eichhörnchen::N,аеш,ур
155,Elch::N,аҽаҩа,шарды
156,Fuchs::N,абгахəыҷы,рӹвӹж
157,Hase::N,ажьа,морен
158,Maus::N,аҳəынаҧ,каля
159,Wolf::N,абгаду,пирӹ
160,Vogel::N,аҧсаатə,кек
161,Huhn::N,акəты,цӹвӹ
162,Hahn::N,арбаҕь,ӓптӓн
163,Gans::N,аҟыз,комбы
164,Adler::N,ауарба,кучкыж
165,Ente::N,акəата,лыды
166,Eule::N,аты,тымана
167,Kranich::N,апҟа,тырня
168,Kranich::N,апҟа,тыртня
169,Krähe::N,аҟəараан,лудыгарак
170,Kuckuck::N,акəыкəу,куку
171,Schwan::N,агьад,йӱксӹ
172,Fisch::N,аҧсыӡ,кол
173,Barsch::N,ацəыбла,алангы
174,Hecht::N,ахиаала,нуж
175,Hecht::N,ахиаала,нужгол
176,Schlange[Tier]::N,амаҭ,кӹшкы
177,Wurm::N,ахəа,шукш
178,Wurm::N,ахəац,шукш
179,Spinne::N,абызкаҭаҳа,ӓнгӹремшӹ
180,Ameise::N,ашышкамс,кыткы
181,Laus::N,аҵа,ти
182,Mücke::N,акəыбры,кужнер
183,Mücke::N,акəыбры,кужынер
184,Fliege::N,амҵ,шӹнгӓ
185,Schmetterling::N,аҧарҧалыкь,лӹпӹ
186,Beere::N,аргуц,мöр
187,Apfel::N,аҵəа,олма
188,Pilz::N,акəкəбаа,понгы
189,Zwiebel::N,аџьымшьы,охыра
190,Zwiebel::N,аџьымшьхы,охыра
191,Saat::N,ажəла,нӱшмӹ
