,Concept_ID,hu,te
0,Auge::N,szem,కన్ను
1,Ohr::N,fül,చెవి
2,Nase::N,orr,ముక్కు
3,Mund::N,száj,నోరు
4,Zahn::N,fog,పల్లు
5,Zunge::N,nyelv,నాలుక
6,Lippe::N,ajak,పెదవి
7,Wange::N,orca,చెంప
8,Gesicht::N,arc,ముఖము
9,Stirn::N,homlok,నుదురు
10,Haar::N,haj,వెండ్రుక
11,Schnurrbart::N,bajusz,మీసము
12,Bart::N,szakáll,గడ్డము
13,Kinn::N,áll,గడ్డము
14,Kiefer[Anatomie]::N,állkapocs,దౌడ
15,Kehle::N,gége,గొంతు
16,Kehle::N,torok,గొంతు
17,Hals::N,nyak,మెడ
18,Genick::N,tarkó,మూపు
19,Kopf::N,fő,తల
20,Kopf::N,fej,తల
21,Rücken::N,hát,వెన్ను
22,Bauch::N,has,కడుపు
23,Nabel::N,köldök,బొడ్డు
24,Busen::N,mell,స్తనము
25,Busen::N,kebel,స్తనము
26,Brust::N,mell,ఱొమ్ము
27,Schulter::N,váll,భుజము
28,Arm::N,kar,చేయి
29,Ellenbogen::N,könyök,మోచేయి
30,Hand::N,kéz,చేయి
31,Handfläche::N,tenyér,అరచేయు
32,Finger::N,ujj,చేతిప్రేలు
33,Fingernagel::N,köröm,గోరు
34,Nagel[Anatomie]::N,köröm,గోరు
35,Zeh::N,lábujj,కాలిప్రేలు
36,Fuß::N,láb,అడుగు
37,Ferse::N,sarok,మడమ
38,Knie::N,térd,మోకాలు
39,Oberschenkel::N,comb,తొడ
40,Bein::N,láb,కాలు
41,Bein::N,lábszár,కాలు
42,Körper::N,test,కాయము
43,Haut::N,bőr,చర్మము
44,Blut::N,vér,రక్తము
45,Ader::N,ér,సిర
46,Sehne::N,ín,స్నాయువు
47,Knochen::N,csont,ఎముక
48,Gehirn::N,agy,మెదడు
49,Gehirn::N,agyvelő,మెదడు
50,Herz::N,szív,హృదయము
51,Magen::N,gyomor,కడుపు
52,Leber::N,máj,కాలేయము
53,Atem::N,lehelet,ఉపిరి
54,Atem::N,lélegzet,ఉపిరి
55,Hunger::N,éhség,ఆకలి
56,Träne::N,könny,కన్నీటిచుక్క
57,Geschmack::N,íz,రుచి
58,Geruch::N,szag,వాసన
59,Schlaf::N,álom,నిద్ర
60,Schlaf::N,alvás,నిద్ర
61,Traum::N,álom,కల
62,Himmel::N,ég,ఆకాశము
63,Himmel::N,menny,ఆకాశము
64,Sonne::N,nap,సూర్యుడు
65,Mond::N,hold,చంద్రుడు
66,Stern::N,csillag,నక్షత్రము
67,Luft::N,levegő,గాలి
68,Wind::N,szél,వీచుచున్నగాలి
69,Welle::N,hullám,అల
70,Wasser::N,víz,నీరు
71,Stein::N,kő,ఱాయి
72,Boden::N,föld,నేల
73,Boden::N,talaj,నేల
74,Erde::N,föld,మన్ను
75,Staub::N,por,దుమ్ము
76,Rauch::N,füst,పొగ
77,Funke::N,szikra,అగ్నికణము
78,Feuer::N,tűz,అగ్ని
79,Licht::N,fény,కాంతి
80,Schatten::N,árnyék,నీడ
81,Wetter::N,idő,వాతావరణ స్థితి
82,Wetter::N,időjárás,వాతావరణ స్థితి
83,Nebel::N,köd,పొగమంచు
84,Wolke::N,felhő,మేఘము
85,Regen::N,eső,వాన
86,Schnee::N,hó,హిమము
87,Eis::N,jég,మంచుగడ్డ
88,Frost::N,fagy,పేరిన మంచు
89,Kälte::N,hideg,చలి
90,Hitze::N,hő,వేడిమి
91,Hitze::N,hőség,వేడిమి
92,Raureif::N,zúzmara,మంచు
