,Concept_ID,vep,cy
0,Auge::N,sil'm,llygad
1,Ohr::N,korv,clust
2,Nase::N,nena,trwyn
3,Mund::N,su,ceg
4,Zahn::N,pi,dant
5,Zahn::N,hambaz,dant
6,Zunge::N,kel',tafod
7,Lippe::N,hul',gwefus
8,Wange::N,modpolišk,boch
9,Gesicht::N,mod,wyneb
10,Stirn::N,oc,talcen
11,Haar::N,tuk,blew
12,Haar::N,hibuz,blew
13,Schnurrbart::N,habinod,mwstas
14,Bart::N,bard,barf
15,Kinn::N,löug,gên
16,Kiefer[Anatomie]::N,hambazlu,gên
17,Kehle::N,kurk,gwddf
18,Hals::N,kagl,gwddf
19,Genick::N,tagarai,gwar
20,Genick::N,tagarai,gwegil
21,Kopf::N,pä,pen
22,Rücken::N,sel'g,cefn
23,Bauch::N,vac,bol
24,Bauch::N,koht,bol
25,Nabel::N,naba,bogail
26,Busen::N,niža,bron
27,Brust::N,rind,brest
28,Schulter::N,oug,ysgwydd
29,Arm::N,käzi,braich
30,Ellenbogen::N,künambruz,penelin
31,Hand::N,käzi,llaw
32,Hand::N,käzitera,llaw
33,Handfläche::N,kämen,palf
34,Finger::N,sor'm,bys
35,Fingernagel::N,künz',ewin
36,Nagel[Anatomie]::N,künz',ewin
37,Zeh::N,barbaz,bys troed
38,Fuß::N,jaug,troed
39,Ferse::N,kand,sawdl
40,Knie::N,komb,glin
41,Knie::N,pol'v,glin
42,Oberschenkel::N,riiže,clun
43,Bein::N,jaug,coes
44,Körper::N,hibj,corff
45,Haut::N,nahk,croen
46,Blut::N,čak,gwaed
47,Blut::N,veri,gwaed
48,Ader::N,son',gwythïen
49,Sehne::N,jände,gewyn
50,Knochen::N,lu,asgwrn
51,Gehirn::N,aivod,ymennydd
52,Herz::N,südäin,calon
53,Magen::N,südäikoht,cylla
54,Magen::N,südäikoht,stumog
55,Leber::N,maks,iau
56,Atem::N,hengaiduz,anadl
57,Hunger::N,näl'g,newyn
58,Träne::N,kündal',deigryn
59,Geschmack::N,magu,cyflas
60,Geruch::N,haju,aroglau
61,Schlaf::N,uni,cwsg
62,Traum::N,unikuva,breuddwyd
63,Himmel::N,taivaz,awyr
64,Sonne::N,päiväine,haul
65,Mond::N,kudmaine,lleuad
66,Stern::N,tähtaz,seren
67,Luft::N,il'm,awyr
68,Wind::N,döl,gwynt
69,Wind::N,tullei,gwynt
70,Welle::N,ald,ton
71,Welle::N,laineh,ton
72,Wasser::N,vezi,dŵr
73,Stein::N,kivi,carreg
74,Boden::N,ma,llawr
75,Boden::N,pohj,llawr
76,Erde::N,ma,pridd
77,Staub::N,pölü,llwch
78,Rauch::N,savu,mwg
79,Funke::N,kibin,gwreichioni
80,Feuer::N,lämoi,tân
81,Licht::N,vauktuz,golau
82,Schatten::N,pil'vez,cysgod
83,Schatten::N,kuvahaine,cysgod
84,Wetter::N,sä,tywydd
85,Nebel::N,sumeg,niwl
86,Wolke::N,pil'v,cwmwl
87,Regen::N,vihm,glaw
88,Schnee::N,lumi,ôd
89,Schnee::N,lumi,eira
90,Eis::N,jä,iâ
91,Frost::N,hala,rhew
92,Frost::N,pakaine,rhew
93,Kälte::N,vilu,oerni
94,Kälte::N,vilu,annwyd
95,Hitze::N,räk,gwres
96,Raureif::N,hüde,barrug
97,Regenbogen::N,jumalanbembel',enfys
98,Donner::N,juru,tyrfau
99,Donner::N,jumalanjuru,tyrfau
100,Strömung::N,joksmuz,cerrynt
101,Tropfen::N,tilkuine,dafn
102,Tropfen::N,tilkuine,diferyn
103,Schaum::N,vaht,ewyn
104,Schmutz::N,redu,baw
105,Schmutz::N,redu,budreddi
106,Schmutz::N,pačak,baw
107,Schmutz::N,pačak,budreddi
108,See::N,järv,llyn
109,Sumpf::N,so,cors
110,Moor::N,so,rhos
111,Wiese::N,nit,dôl
112,Wald::N,mec,coedwig
113,Hügel::N,kukaz,bryn
114,Anhöhe::N,kukaz,bryn
115,Berg::N,mägi,mynydd
116,Gipfel::N,ladv,copa
117,Höhle::N,mägionduz,ogof
118,Abhang::N,paute,llethr
119,Quelle::N,lähte,tarddiad
120,Quelle::N,lähte,ffynhonnell
121,Bach::N,oja,nant
122,Bach::N,oja,afonig
123,Bach::N,oja,cornant
124,Fluss::N,jogi,afon
125,Ufer::N,rand,glan
126,Küste::N,randišt,traeth
127,Küste::N,randišt,arfordir
128,Festland::N,kuivma,tir
129,Meer::N,meri,môr
130,Bucht::N,laht,bae
131,Insel::N,sar',ynys
132,Blume::N,änik,blodyn
133,Gras::N,hein,glaswellt
134,Wurzel::N,jur',gwreiddyn
135,Baum::N,pu,coeden
136,Stamm::N,tüvi,colfen
137,Stamm::N,tüvi,boncyff
138,Rinde::N,kor',rhisgl
139,Ast::N,oks,cangen
140,Zweig::N,oks,cainc
141,Zweig::N,oks,cangen
142,Zweig::N,barb,cainc
143,Zweig::N,barb,cangen
144,Blatt::N,lehtez,deilen
145,Birke::N,koiv,bedwen
146,Kiefer[Baum]::N,pedai,pinwydden
147,Weide[Baum]::N,raid,helygen
148,Tanne::N,kuz',ffynidwydden
149,Horn::N,sar'v,corn
150,Feder::N,höuneh,plufyn
151,Fell::N,nahk,ffwr
152,Flügel::N,suug,adain
153,Klaue::N,künz',crafanc
154,Kralle::N,künz',ewin
155,Schwanz::N,händ,cwt
156,Schwanz::N,händ,cynffon
157,Ei::N,muna,wy
158,Nest::N,peza,nyth
159,Bau::N,uru,ffau
160,Tier::N,živat,anifail
161,Herde::N,kogo,praidd
162,Herde::N,kogo,diadell
163,Kuh::N,lehm,buwch
164,Bulle::N,härg,tarw
165,Pferd::N,hebo,ceffyl
166,Schaf::N,lambaz,dafad
167,Schwein::N,siga,mochyn
168,Hund::N,koir,ci
169,Katze::N,kaži,cath
170,Bär::N,kondi,arth
171,Eichhörnchen::N,orav,gwiwer
172,Elch::N,hirb',elc
173,Fuchs::N,reboi,cadno
174,Hase::N,jäniš,ysgyfarnog
175,Maus::N,hir',llygoden
176,Wolf::N,händikaz,blaidd
177,Vogel::N,lind,aderyn
178,Schwarm::N,parveh,haid
179,Huhn::N,kana,cyw
180,Hahn::N,kukoi,ceiliog
181,Gans::N,hanh',gŵydd
182,Adler::N,orl,eryr
183,Ente::N,sorz,hwyad
184,Eule::N,hir'pulo,tylluan
185,Kranich::N,kurg,garan
186,Kranich::N,kurg,crychydd
187,Krähe::N,variš,brân
188,Kuckuck::N,kägi,cog
189,Kuckuck::N,kägi,cwcw
190,Schwan::N,joucen,alarch
191,Fisch::N,kala,pysgod
192,Barsch::N,ahven,draenog
193,Hecht::N,haug',penhwyad
194,Schlange[Tier]::N,kü,neidr
195,Schlange[Tier]::N,mado,neidr
196,Wurm::N,mado,abwydyn
197,Wurm::N,mado,pryf genwair
198,Spinne::N,hämähouk,cor
199,Spinne::N,hämähouk,pryf copyn
200,Ameise::N,murahaine,morgrugyn
201,Laus::N,täi,lleuen
202,Mücke::N,säs'k,gwybedyn
203,Fliege::N,kärbhaine,cleren
204,Schmetterling::N,lipkaine,glöyn byw
205,Schmetterling::N,lipkaine,iâr fach yr haf
206,Beere::N,marj,aeronen
207,Apfel::N,jablok,afal
208,Pilz::N,sen',madarch
209,Pilz::N,babuk,madarch
210,Zwiebel::N,lauk,nionyn
211,Zwiebel::N,lauk,winwnsyn
212,Saat::N,semned,had
213,Korn::N,jüvä,grawn
214,Korn::N,vill',grawn
215,Heu::N,hein,gwair
216,Schale::N,kor',croen
217,Schale::N,kor',plisgyn
218,Grube::N,kop,pwll
219,Grube::N,kop,pydew
220,Falle::N,rida,magl
221,Schlinge::N,rihm,cwlwm rhedeg
222,Spur::N,jäl'g,ôl
223,Asche::N,tuhk,lludw
224,Dreck::N,redu,baw
225,Dreck::N,redu,budreddi
226,Dreck::N,pačak,baw
227,Dreck::N,pačak,budreddi
228,Eisen::N,raud,haearn
229,Gold::N,kuld,aur
230,Silber::N,hobed,arian
231,Kohle::N,hil',glo
232,Glas::N,stökol,gwydr
233,Lehm::N,savi,clai
234,Sand::N,lete,tywod
235,Mensch::N,mez',dyn
236,Mensch::N,ristit,dyn
237,Mann::N,mez',dyn
238,Frau::N,naine,merch
239,Frau::N,naine,gwraig
240,Kind::N,laps',plentyn
241,Junge::N,poig,hogyn
242,Junge::N,poig,bachgen
243,Junge::N,prihaine,hogyn
244,Junge::N,prihaine,bachgen
245,Mädchen::N,neičukaine,merch
246,Mädchen::N,neičukaine,geneth
247,Familie::N,kanz,teulu
248,Familie::N,kanz,tylwyth
249,Familie::N,pereh,teulu
250,Familie::N,pereh,tylwyth
251,Großvater::N,ded,taid
252,Großvater::N,ded,tad-cu
253,Großmutter::N,bab,nain
254,Großmutter::N,bab,mam-gu
255,Eltern::N,vanhembad,rhieni
256,Eltern::N,kazvatajad,rhieni
257,Vater::N,tat,tad
258,Mutter::N,mam,mam
259,Sohn::N,poig,mab
260,Tochter::N,tütär,merch
261,Bruder::N,veik,brawd
262,Bruder::N,vell',brawd
263,Schwester::N,čiža,chwaer
264,Schwester::N,sizar,chwaer
265,Onkel::N,däd',ewythr
266,Tante::N,tädi,modryb
267,Ehemann::N,mužik,gŵr
268,Ehefrau::N,ak,gwraig
269,Freude::N,ilo,gorfoledd
270,Freude::N,ihastuz,gorfoledd
271,Gelächter::N,nagr,chwerthin
272,Glück::N,oza,hapusrwydd
273,Kummer::N,gor'a,galar
274,Wunsch::N,taht,dymuniad
275,Lust::N,himo,chwant
276,Geist::N,heng,ysbryd
277,Gedanke::N,meletuz,meddwl
278,Gedächtnis::N,mušt,cof
279,Verstand::N,mel',meddwl
280,Sinn::N,jüvä,ystyr
281,Grund::N,sü,achos
282,Grund::N,sü,rheswm
283,Wahrheit::N,tozi,gwir
284,Wahrheit::N,tozi,gwirionedd
285,Gespräch::N,lodu,sgwrs
286,Gespräch::N,pagin,sgwrs
287,Märchen::N,sarn,chwedl werin
288,Erzählung::N,sanutez,stori
289,Nachricht::N,tedotuz,neges
290,Neuigkeit::N,uzištuz,newydd
291,Name::N,nimi,enw
292,Rätsel::N,ozoitez,pos
293,Rede::N,pagin,araith
294,Rede::N,sanad,araith
295,Sprache::N,kel',iaith
296,Stimme::N,än',llais
297,Wort::N,sana,gair
298,Zeichen::N,znam,arwydd
299,Ruf::N,kida,galwad
300,Ruf::N,kucund,galwad
301,Lärm::N,judu,trwst
302,Laut::N,kulund,sain
303,Ton::N,kulund,tôn
304,Lied::N,pajo,cân
305,Ruhe::N,lebu,tawelwch
306,Leute::N,rahvaz,pobl
307,Volk::N,rahvaz,pobl
308,Arbeit::N,tö,gwaith
309,Arbeit::N,rad,gwaith
310,Gast::N,adiv,gwestai
311,Geschenk::N,lahj,rhodd
312,Geschenk::N,lahj,anrheg
313,Spiel::N,vänd,chwarae
314,Gesellschaft::N,sebr,cwmni
315,Hilfe::N,abu,cymorth
316,Freund::N,sebranik,cyfaill
317,Kamerad::N,sebranik,cydymaith
318,Angelegenheit::N,azj,pwnc
319,Anzahl::N,lugu,cyfrif
320,Art::N,rod,bath
321,Art::N,rodsugu,bath
322,Stück::N,pala,darn
323,Stück::N,supal,darn
324,Teil::N,pala,rhan
325,Hälfte::N,pol',hanner
326,Kreis::N,ümbruz,cylch
327,Kreis::N,kehkruz,cylch
328,Kreuz::N,rist,croes
329,Linie::N,pird,llinell
330,Strich::N,pird,strôc
331,Strich::N,pird,trawiad
332,Abstand::N,keskust,bwlch
333,Abstand::N,keskust,pellter
334,Entfernung::N,matk,pellter
335,Gegend::N,taho,cylch
336,Platz::N,avaruz',lle
337,Ort::N,koht,lle
338,Seite::N,pol',ochr
339,Seite::N,kül'g,ochr
340,Mitte::N,kesk,canol
341,Gegenstand::N,kalu,eitem
342,Sache::N,azj,peth
343,Rand::N,röun,cwr
344,Rand::N,röun,ymyl
345,Kante::N,röun,min
346,Kante::N,röun,ymyl
347,Ecke::N,saum,cornel
348,Spitze::N,agjaine,blaen
349,Ende::N,agj,pen
350,Loch::N,reig,twll
351,Winkel::N,čoga,congl
352,Winkel::N,saum,congl
353,Muster::N,kirjam,patrwm
354,Größe::N,suruz',maint
355,Größe::N,suruz',maintioli
356,Länge::N,piduz,hyd
357,Höhe::N,korktuz',uchder
358,Gewicht::N,jügu,pwysau
359,Gewicht::N,vedäduz,pwysau
360,Menge::N,äjüz',swm
361,Menge::N,äjüz',maint
362,Haufen::N,kogo,pentwr
363,Reihe::N,rivi,rhes
364,Boot::N,veneh,cwch
365,Ruder::N,air,rhwyf
366,Schlitten::N,regi,sled
367,Schlitten::N,regi,car llusg
368,Schlitten::N,regut,sled
369,Schlitten::N,regut,car llusg
370,Ski::N,suks',sgi
371,Lagerfeuer::N,nodj,coelcerth
372,Lagerfeuer::N,pažag,coelcerth
373,Last::N,jüguz,llwyth
374,Gang::N,astund,tro
375,Schritt::N,hašk,cam
376,Norden::N,pohjoine,gogledd
377,Süden::N,suvi,de
378,Westen::N,päivlaskm,gorllewin
379,Osten::N,päivnouzm,dwyrain
380,Holz::N,pu,pren
381,Brett::N,laud,bwrdd
382,Brett::N,laud,astell
383,Platte::N,keitim,llech
384,Stütze::N,tugi,ateg
385,Stütze::N,tugi,cynhalydd
386,Stange::N,arz',polyn
387,Stock::N,kalu,ffon
388,Stock::N,kalu,brigyn
389,Stab::N,seibaz,ffon
390,Rohr::N,torv,pibell
391,Haus::N,pert',tŷ
392,Heim::N,kodi,cartref
393,Ofen::N,päč,stof
394,Fußboden::N,lava,llawr
395,Tisch::N,laud,bwrdd
396,Tisch::N,stal'c,bwrdd
397,Stuhl::N,ištim,cadair
398,Wiege::N,kätte,crud
399,Bett::N,sija,gwely
400,Bett::N,magaduzsija,gwely
401,Regal::N,palič,silff
402,Kiste::N,mülütim,bocs
403,Kiste::N,mülütim,blwch
404,Fenster::N,ikun,ffenestr
405,Tür::N,uks',drws
406,Tor::N,verai,porth
407,Zaun::N,aid,ffens
408,Dach::N,katuz,to
409,Leiter::N,pordhad,ysgol
410,Besen::N,lud,ysgub
411,Besen::N,vast,ysgub
412,Spaten::N,labid,rhaw
413,Schaufel::N,labid,rhaw
414,Gabel::N,hangoine,fforc
415,Löffel::N,luzik,llwy
416,Messer::N,veič,cyllell
417,Nagel::N,nagl,hoel
418,Netz::N,verk,gwe
419,Netz::N,verk,rhwyd
420,Haken::N,kouk,bach
421,Griff::N,kägä,carn
422,Griff::N,varz',carn
423,Schloss::N,lukkol,clo
424,Bild::N,kuva,llun
425,Bild::N,kuva,pictiwr
426,Figur::N,figur,ffigur
427,Puppe::N,tätüine,dol
428,Beutel::N,havad,cwd
429,Bündel::N,toppaz,bwndel
430,Bündel::N,toppaz,coflaid
431,Bündel::N,käč,bwndel
432,Bündel::N,käč,coflaid
433,Tasche::N,sumk,cod
434,Eimer::N,vädr,bwced
435,Eimer::N,vädr,cunnog
436,Deckel::N,katuz,caead
437,Geschirr::N,astii,llestri
438,Sack::N,havad,sach
439,Tasse::N,čašk,cwpan
440,Topf::N,pada,pot
441,Topf::N,pada,crochan
442,Kessel::N,katil,tegell
443,Essen::N,sönd,pryd o fwyd
444,Nahrung::N,söm,bwyd
445,Speise::N,sömine,saig
446,Fleisch::N,liha,cig
447,Getreide::N,vill',ŷd
448,Getreide::N,vill',llafur
449,Brei::N,pudr,uwd
450,Brot::N,leib,bara
451,Scheibe::N,bibaleh,tafell
452,Scheibe::N,šlik,tafell
453,Fett::N,razv,saim
454,Fett::N,razv,braster
455,Butter::N,voi,ymenyn
456,Öl::N,voi,olew
457,Salz::N,sol,halen
458,Suppe::N,lem',cawl
459,Suppe::N,keitoz,cawl
460,Honig::N,mezi,mêl
461,Milch::N,maid,llaeth
462,Milch::N,maid,llefrith
463,Tee::N,čai,te
464,Leder::N,nahk,lledr
465,Wolle::N,vill,gwlân
466,Stoff::N,kangaz,lliain
467,Stoff::N,kangaz,brethyn
468,Nadel::N,negl,nodwydd
469,Faden::N,nit',edau
470,Faden::N,nit',edefyn
471,Knopf::N,nübl',botwm
