,Concept_ID,ku,xal
0,Auge::N,çav,нүдн
1,Ohr::N,guh,чикн
2,Nase::N,bêvil,хамр
3,Mund::N,dev,амн
4,Zahn::N,didan,шүдн
5,Zunge::N,ziman,келн
6,Lippe::N,lêv,урл
7,Wange::N,dêm,халх
8,Wange::N,hinarik,халх
9,Gesicht::N,rû,нүр
10,Stirn::N,enî,маңна
11,Haar::N,por,үсн
12,Schnurrbart::N,simbêl,сахл
13,Bart::N,rih,сахл
14,Bart::N,rih,өргнә сахл
15,Kinn::N,zenî,өргн
16,Kiefer[Anatomie]::N,arguşk,өргн
17,Kehle::N,qirik,хол
18,Hals::N,stû,күзүн
19,Hals::N,qirik,күзүн
20,Genick::N,stû,гиҗг
21,Kopf::N,serî,толһа
22,Rücken::N,pişt,нурһн
23,Bauch::N,ûr,гесн
24,Bauch::N,zik,гесн
25,Nabel::N,navik,киисн
26,Busen::N,sîng,көкн
27,Brust::N,sîng,чееҗ
28,Schulter::N,mil,ээм
29,Arm::N,çepil,һар
30,Ellenbogen::N,enîşk,тоха
31,Hand::N,dest,баһлцг
32,Handfläche::N,kefadest,альхн
33,Finger::N,tilî,хурһн
34,Finger::N,tilî,һарин хурһн
35,Fingernagel::N,neynuk,хумсн
36,Nagel[Anatomie]::N,bizmar,хумсн
37,Zeh::N,tilî linga,хурһн
38,Zeh::N,tilî linga,көлин хурһн
39,Fuß::N,ling,тавг
40,Ferse::N,pahnî,өскә
41,Knie::N,kabok,өвдг
42,Oberschenkel::N,rahn,һуй
43,Bein::N,çip,көл
44,Körper::N,laş,махмуд
45,Körper::N,gowde,махмуд
46,Haut::N,çerm,арсн
47,Blut::N,xwîn,цусн
48,Ader::N,reh,судцн
49,Sehne::N,reh,шүрүсн
50,Knochen::N,hestî,ясн
51,Gehirn::N,mêjî,экн
52,Herz::N,dil,зүркн
53,Magen::N,navêş,гесн
54,Leber::N,kezeb,элкн
55,Atem::N,hilm,әмсхл
56,Hunger::N,birçîtî,харһнлһн
57,Träne::N,hêstir,нульмсн
58,Geschmack::N,tam,амтн
59,Geruch::N,bêhn,үнр
60,Schlaf::N,xew,нөр
61,Traum::N,xewn,зүүдн
62,Himmel::N,ezman,теңгр
63,Sonne::N,roj,нарн
64,Mond::N,heyv,сар
65,Stern::N,stêrk,одн
66,Luft::N,ba,аһар
67,Wind::N,ba,салькн
68,Welle::N,şewl,дольган
69,Wasser::N,av,усн
70,Stein::N,kevir,чолун
71,Boden::N,herd,Һазр
72,Erde::N,ax,Һазр
73,Staub::N,toz,тоосн
74,Rauch::N,dû,утан
75,Funke::N,çirûşk,очн
76,Feuer::N,agir,һал
77,Licht::N,ronahî,герл
78,Schatten::N,sî,сүүдр
79,Wetter::N,hewa,теңгр
80,Nebel::N,mij,будн
81,Wolke::N,ewr,үүлн
82,Regen::N,baran,хур
83,Schnee::N,berf,цасн
84,Eis::N,qeşa,мөсн
85,Frost::N,xûsik,киитн
86,Kälte::N,serma,киитн
87,Hitze::N,germayî,халун
88,Raureif::N,şext,цаң
89,Raureif::N,şext,кирү
90,Regenbogen::N,heftreng,солңһ
91,Donner::N,gire-gir,оһтрһун дун
92,Strömung::N,şewl,урсхл
93,Tropfen::N,dilop,дусал
94,Schaum::N,kef,көөсн
95,Schmutz::N,gemar,кир
96,See::N,gol,нур
97,Sumpf::N,hezek,унул
98,Moor::N,mafêl,улм
99,Wiese::N,sûrik,хадлһн
100,Wald::N,çiya,ө-модн
101,Wald::N,daristan,ө-модн
102,Hügel::N,gir,толһа
103,Anhöhe::N,sere gir,хамр
104,Berg::N,kaş,уул
105,Gipfel::N,sere gir,ора
106,Höhle::N,şikeft,хадин көндә
107,Abhang::N,kaş,ташу
108,Quelle::N,kanî,булг
109,Bach::N,çem,һооҗур
110,Fluss::N,çem,һол
111,Fluss::N,rûbar,һол
112,Ufer::N,kevî,көвә
113,Küste::N,berav,көвә
114,Küste::N,berav,теңгсин көвә
