,Concept_ID,nl,br
0,Auge::N,oog,lagad
1,Ohr::N,oor,skouarn
2,Nase::N,neus,fri
3,Mund::N,mond,genoù
4,Zahn::N,tand,dant
5,Zunge::N,tong,teod
6,Lippe::N,lip,muzell
7,Wange::N,wang,chot
8,Gesicht::N,gelaat,dremm
9,Gesicht::N,gezicht,dremm
10,Stirn::N,voorhoofd,tal
11,Haar::N,haar,blev
12,Schnurrbart::N,snor,mourenn
13,Bart::N,baard,barv
14,Kinn::N,kin,groñj
15,Kiefer[Anatomie]::N,kaak,javed
16,Kehle::N,keel,gouzoug
17,Kehle::N,strot,gouzoug
18,Hals::N,hals,gouzoug
19,Genick::N,nek,choug
20,Kopf::N,hoofd,penn
21,Rücken::N,rug,kein
22,Bauch::N,buik,kof
23,Nabel::N,navel,begel
24,Busen::N,boezem,bronn
25,Brust::N,borst,bruched
26,Schulter::N,schouder,skoaz
27,Arm::N,arm,brec'h
28,Ellenbogen::N,elleboog,ilin
29,Hand::N,hand,dorn
30,Handfläche::N,handpalm,palv
31,Finger::N,vinger,biz
32,Fingernagel::N,nagel,ivin
33,Nagel[Anatomie]::N,nagel,ivin
34,Zeh::N,teen,biz-troad
35,Fuß::N,voet,troad
36,Ferse::N,hak,seul
37,Ferse::N,hiel,seul
38,Knie::N,knie,glin
39,Oberschenkel::N,dij,morzhed
40,Bein::N,been,gar
41,Körper::N,lichaam,korf
42,Haut::N,huid,kroc'hen
43,Blut::N,bloed,gwad
44,Ader::N,ader,gwazhi
45,Sehne::N,pees,stir
46,Knochen::N,bot,askorn
47,Knochen::N,been,askorn
48,Knochen::N,knook,askorn
49,Gehirn::N,hersenen,empenn
50,Herz::N,hart,kalon
51,Magen::N,maag,stomog
52,Leber::N,lever,avu
53,Atem::N,adem,anal
54,Hunger::N,honger,naon
55,Träne::N,traan,daer
56,Geschmack::N,smaak,blaz
57,Geruch::N,geur,c'hwezh
58,Schlaf::N,slaap,kousked
59,Traum::N,droom,hune
60,Himmel::N,hemel,oabl
61,Sonne::N,zon,heol
62,Mond::N,maan,loar
63,Stern::N,ster,steredenn
64,Luft::N,lucht,aer
65,Wind::N,wind,avel
66,Welle::N,golf,houlenn
67,Wasser::N,water,dour
68,Stein::N,steen,maen
69,Boden::N,grond,tachenn
70,Erde::N,aarde,douar
71,Staub::N,stof,poultr
72,Rauch::N,rook,moged
73,Funke::N,vonk,ful
74,Feuer::N,vuur,tan
75,Licht::N,licht,gouloù
76,Schatten::N,schaduw,disheol
77,Wetter::N,weer,amzer
78,Nebel::N,mist,brumenn
79,Nebel::N,nevel,brumenn
80,Wolke::N,wolk,koumoulenn
81,Regen::N,regen,glav
82,Schnee::N,sneeuw,erc'h
83,Eis::N,ijs,skorn
84,Frost::N,vorst,rev
85,Kälte::N,kou,yen
86,Kälte::N,koude,yen
87,Hitze::N,hitte,tommder
88,Raureif::N,rijp,frim
89,Regenbogen::N,regenboog,gwareg-ar-glav
90,Donner::N,donder,kurun
91,Strömung::N,stroming,red
92,Tropfen::N,druppel,bannac'h
93,Tropfen::N,druppel,takenn
94,Schaum::N,schuim,spoum
95,Schmutz::N,vuil,fank
96,See::N,meer,lenn
97,Sumpf::N,moeras,gwern
98,Moor::N,veen,taouarc'heg
99,Wiese::N,wei,prad
100,Wiese::N,weide,prad
101,Wald::N,bos,koad
102,Hügel::N,heuvel,torgenn
103,Anhöhe::N,hoogte,run
104,Berg::N,berg,menez
105,Gipfel::N,top,barr
106,Höhle::N,hol,kav
107,Abhang::N,helling,naou
108,Quelle::N,bron,feunteun
109,Bach::N,beek,gwazh
110,Fluss::N,stroom,stêr
111,Ufer::N,wal,ribl
112,Ufer::N,oever,ribl
113,Küste::N,kust,aod
114,Festland::N,vasteland,douar
115,Meer::N,zee,mor
116,Bucht::N,baai,mor-bihan
117,Bucht::N,inham,mor-bihan
118,Insel::N,eiland,enez
119,Blume::N,bloem,bleunienn
120,Gras::N,gras,geot
121,Wurzel::N,wortel,gwrizienn
122,Baum::N,boom,gwezenn
123,Stamm::N,stam,kef
124,Rinde::N,schors,rusk
125,Ast::N,tak,barr
126,Zweig::N,twijg,bod
127,Blatt::N,blad,delienn
128,Birke::N,berk,bezvenn
129,Kiefer[Baum]::N,den,pinenn
130,Weide[Baum]::N,wilg,halegenn
131,Tanne::N,spar,sapenn
132,Horn::N,hoorn,korn
133,Feder::N,veer,pluñv
134,Feder::N,pluim,pluñv
135,Fell::N,vel,kreoñ
136,Flügel::N,vleugel,askell
137,Klaue::N,klauw,skilf
138,Kralle::N,klauw,skilf
139,Schwanz::N,staart,lost
140,Ei::N,ei,vi
141,Nest::N,nest,neizh
142,Bau::N,hol,douarenn
143,Tier::N,dier,loen
144,Herde::N,kudde,tropell
145,Kuh::N,koe,buoc'h
146,Bulle::N,stier,tarv
147,Pferd::N,paard,marc'h
148,Schaf::N,schaap,dañvad
149,Schwein::N,varken,pemoc'h
150,Hund::N,hond,ki
151,Katze::N,kat,kazh
152,Bär::N,beer,arzh
153,Eichhörnchen::N,eekhoorntje,gwiñver
154,Elch::N,eland,karv-dour
155,Fuchs::N,vos,louarn
156,Hase::N,haas,gad
157,Maus::N,muis,logodenn
158,Wolf::N,wolf,bleiz
159,Vogel::N,vogel,labous
160,Schwarm::N,zwerm,nijad
161,Huhn::N,kip,yar
162,Huhn::N,hoen,yar
163,Hahn::N,haan,kilhog
164,Gans::N,gans,gwazenn
165,Adler::N,arend,erer
166,Ente::N,eend,houad
167,Eule::N,uil,toud
168,Kranich::N,kraanvogel,garan
169,Krähe::N,kraai,bran
170,Kuckuck::N,koekoek,koukoug
171,Schwan::N,zwaan,alarc'h
172,Fisch::N,vis,pesk
173,Barsch::N,baars,brell
174,Hecht::N,snoek,beked
175,Schlange[Tier]::N,slang,naer
176,Wurm::N,worm,preñv
177,Spinne::N,spin,kevnidenn
178,Ameise::N,mier,merion
179,Laus::N,luis,laouenn
180,Mücke::N,mug,moustik
181,Fliege::N,vlieg,kelienenn
182,Schmetterling::N,vlinder,balafenn
183,Beere::N,bes,hog
184,Apfel::N,appel,aval
185,Pilz::N,paddestoel,kabell-touseg
186,Zwiebel::N,ui,ognonenn
187,Saat::N,zaad,had
188,Korn::N,graan,ed
189,Korn::N,korrel,ed
190,Heu::N,hooi,foenn
191,Schale::N,schil,peliadur
192,Grube::N,kuil,
193,Falle::N,val,pech
194,Schlinge::N,strop,krouglas
195,Spur::N,spoor,
196,Asche::N,as,ludu
197,Dreck::N,drek,fank
198,Eisen::N,ijzer,houarn
199,Gold::N,goud,aour
200,Silber::N,zilver,arc'hant
201,Kohle::N,kool,glaou
202,Glas::N,glas,gwer
203,Lehm::N,klei,
204,Sand::N,zand,traezh
205,Mensch::N,mens,den
206,Mann::N,man,den
207,Frau::N,vrouw,maouez
208,Kind::N,kind,bugel
209,Junge::N,jongen,paotr
210,Mädchen::N,meisje,plac'h
211,Familie::N,gezin,familh
212,Familie::N,familie,familh
213,Großvater::N,grootvader,tad-kozh
214,Großmutter::N,grootmoeder,mamm-gozh
215,Eltern::N,ouders,kerent
216,Vater::N,vader,tad
217,Mutter::N,moeder,mamm
218,Sohn::N,zoon,mab
219,Tochter::N,dochter,merc'h
220,Bruder::N,broer,breur
221,Bruder::N,broeder,breur
222,Schwester::N,zus,c'hoar
223,Schwester::N,zuster,c'hoar
224,Onkel::N,oom,eontr
225,Tante::N,tante,moereb
226,Ehemann::N,echtgenoot,gwaz
227,Ehefrau::N,echtgenote,gwreg
228,Freude::N,vreugde,levenez
229,Gelächter::N,gelach,c'hoarzherezh
230,Glück::N,geluk,chañs
231,Kummer::N,verdriet,doan
232,Wunsch::N,wens,c'hoant
233,Wunsch::N,verlangen,c'hoant
234,Lust::N,zin,c'hoant
235,Lust::N,lust,c'hoant
236,Geist::N,geest,spered
237,Gedanke::N,gedachte,soñj
238,Gedächtnis::N,geheugen,eñvor
239,Verstand::N,verstand,skiant
240,Sinn::N,betekenis,ster
241,Grund::N,reden,kaoz
242,Wahrheit::N,waarheid,gwirionez
