,Concept_ID,is,ta
0,Auge::N,auga,கண்
1,Ohr::N,eyra,காது
2,Nase::N,nef,மூக்கு
3,Mund::N,munnur,வாய்
4,Zahn::N,tönn,பல்
5,Zunge::N,tunga,நாக்கு
6,Lippe::N,vör,உதடு
7,Wange::N,kinn,கன்னம்
8,Wange::N,vangi,கன்னம்
9,Gesicht::N,andlit,முகம்
10,Stirn::N,enni,முன்னெற்றி
11,Haar::N,hár,முடி
12,Schnurrbart::N,yfirskegg,மீசை
13,Bart::N,skegg,தாடி
14,Kinn::N,haka,கீழதாடை
15,Kiefer[Anatomie]::N,kjálki,தாடை
16,Kiefer[Anatomie]::N,skoltur,தாடை
17,Kehle::N,kverk,தொண்டை
18,Hals::N,háls,கழுத்து
19,Genick::N,hnakki,கழுத்து
20,Kopf::N,höfuð,தலை
21,Rücken::N,hryggur,முதுகு
22,Bauch::N,kviður,வயிறு
23,Nabel::N,nafli,தொப்புள்
24,Busen::N,barmur,மார்பகம்
25,Brust::N,brjóst, மார்பு
26,Schulter::N,öxl,தோள்பட்டை
27,Arm::N,armur,கரம்
28,Ellenbogen::N,olnbogi,முழங்கை
29,Hand::N,hönd,கை
30,Handfläche::N,lófi,உள்ளங்கை
31,Finger::N,fingur,விரல்
32,Fingernagel::N,fingurnögl,விரல் நகம்
33,Nagel[Anatomie]::N,nögl,நகம்
34,Zeh::N,tá,கால்விரல்
35,Fuß::N,fótur,கால்
36,Ferse::N,hæll,குதிகால்
37,Knie::N,kné,முழங்கால்
38,Oberschenkel::N,læri,தொடை
39,Bein::N,fótleggur,கால்
40,Körper::N,búkur,உடல்
41,Körper::N,líkami,உடல்
42,Haut::N,húð,சருமம்
43,Haut::N,skinn,சருமம்
44,Blut::N,blóð,இரத்தம்
45,Ader::N,æð,நாளம்
46,Sehne::N,sin,தசைநார்
47,Knochen::N,bein,எலுமபு
48,Gehirn::N,heili,மூனை
49,Herz::N,hjarta,இதயம
50,Magen::N,magi,வயிறு
51,Leber::N,lifur,கல்லீரல்
52,Atem::N,andi,மூச்சு
53,Atem::N,andardráttur,மூச்சு
54,Hunger::N,hungur,பசி
55,Träne::N,tár,கண்ணீர்
56,Geschmack::N,smekkur,நறுமணம்
57,Geruch::N,lykt,துர்நாற்றம்
58,Schlaf::N,svefn,தூக்கம்
59,Traum::N,draumur,கனவு
60,Himmel::N,himinn,வானம்
61,Sonne::N,sól,சூரியன்
62,Mond::N,tungl,சந்திரன்
63,Stern::N,stjarna,நட்சத்திரம்
64,Luft::N,loft,காறறு
65,Wind::N,vindur,காற்று
66,Welle::N,alda,அலை
67,Welle::N,bylgja,அலை
68,Wasser::N,vatn,நீர்
69,Stein::N,steinn,கல்
70,Boden::N,botn,தரை
71,Erde::N,jörð,மண்
72,Staub::N,ryk,தூசி
73,Staub::N,duft,தூசி
74,Rauch::N,reykur,புகை
75,Funke::N,neisti,தீப்பொறி
76,Feuer::N,eldur,தீ
77,Licht::N,ljós,வெளிச்சம்
78,Schatten::N,skuggi,நிழல்
79,Wetter::N,veður,வானிலை
80,Nebel::N,þoka,பனிமூட்டம்
81,Wolke::N,ský,மேகம்
82,Regen::N,regn,மழை
83,Schnee::N,snjór,உறைபனி
84,Eis::N,ís,பனிக்கட்டி
85,Frost::N,frost,உறைபனி
86,Kälte::N,kuldi,குளிர்ந்த
87,Hitze::N,hiti,சூடு
88,Raureif::N,hrím,உறைபனி வெண்திரை
89,Regenbogen::N,regnbogi,வானவில்
90,Donner::N,þruma,இடி
91,Strömung::N,straumur,நீரோட்டம்
92,Tropfen::N,dropi,துளி
93,Schaum::N,froða,நுரை
94,Schmutz::N,óhreinindi,அழுக்கு
95,See::N,stöðuvatn,ஏரி
96,Sumpf::N,fen,சதுப்பு நிலம்
97,Moor::N,mýri,முட்புதற்காடு
98,Wiese::N,engi,பசும் புல்தரை
99,Wald::N,skógur,காடு
100,Hügel::N,hæð,குன்று
101,Hügel::N,hóll,குன்று
102,Anhöhe::N,hæð,பதுக்கை
103,Anhöhe::N,hóll,பதுக்கை
104,Berg::N,fell,மலை
105,Berg::N,fjall,மலை
106,Gipfel::N,tindur,உச்சி மாநாடு
107,Höhle::N,hellir,குகை
108,Abhang::N,hlíð,சரிவு
109,Abhang::N,brekka,சரிவு
110,Quelle::N,lind,மூலம்
111,Quelle::N,uppspretta,மூலம்
112,Bach::N,lækur,ஓடை
113,Fluss::N,á,ஆறு
114,Fluss::N,fljót,ஆறு
115,Ufer::N,árbakki,நீர்க்கரை
116,Ufer::N,sjávarbakki,நீர்க்கரை
117,Küste::N,strönd,கடற்கரை
118,Festland::N,meginland,நிலம்
119,Meer::N,haf,கடல்
120,Meer::N,sjór,கடல்
121,Bucht::N,vík,சிறுகுடா
122,Insel::N,eyja,தீவு
123,Blume::N,blóm,பூ
124,Gras::N,gras,புல்தரை
125,Wurzel::N,rót,வேர்
126,Baum::N,tré,மரம்
127,Stamm::N,stofn,அடிமரம்
128,Rinde::N,börkur,பட்டை
129,Rinde::N,börkur,மரப்பட்டை
130,Ast::N,grein,கினை
131,Zweig::N,angi,குச்சி
132,Zweig::N,kvistur,குச்சி
133,Blatt::N,blað,இலை
134,Birke::N,birki,பிர்ச் மரம்
135,Kiefer[Baum]::N,fura,தேவதாரு மரம்
136,Weide[Baum]::N,víðir,மர வகைகளுள் ஒன்று
137,Tanne::N,greni,சாதிக்கய்
138,Horn::N,horn,கொம்பு
139,Feder::N,fjöður,இறகு
140,Fell::N,skinn,மென்முடி
141,Flügel::N,vængur,இறக்கை
142,Klaue::N,kló,நகம்
143,Kralle::N,kló,நகம்
144,Schwanz::N,rófa,வால்
145,Schwanz::N,skott,வால்
146,Ei::N,egg,முட்டை
147,Nest::N,hreiður,கூடு
148,Bau::N,greni,குகை
149,Bau::N,bæli,குகை
150,Tier::N,dýr,விலங்கு
151,Herde::N,hjörð,கூட்டம்
152,Kuh::N,kýr,பசு
153,Bulle::N,boli,காளை
154,Pferd::N,hestur,குதிரை
155,Schaf::N,kind,செம்மறிஆடு
156,Schwein::N,svín,பன்றி
157,Hund::N,hundur,நாய்
158,Katze::N,köttur,பூனை
159,Bär::N,björn,கரடி
160,Eichhörnchen::N,íkorni,அணில்
161,Elch::N,elgur,கடம்பை
162,Fuchs::N,refur,நரி
163,Hase::N,héri,முயல்
164,Maus::N,mús,எலி
165,Wolf::N,úlfur,ஓநாய்
166,Vogel::N,fugl,பறவை
167,Schwarm::N,sægur,தொகுதி
168,Huhn::N,hæna,கோழிக்குஞசு
169,Hahn::N,hani,சேவல்
170,Gans::N,gæs,பெண் வாத்து
171,Adler::N,örn,பருநது
172,Ente::N,önd,வாத்து
173,Eule::N,uggla,ஆந்தை
174,Kranich::N,trana,நாரை
175,Krähe::N,kráka,காகம்
176,Kuckuck::N,gaukur,குயில்
177,Schwan::N,svanur,அன்னம்
178,Fisch::N,fiskur,மீன்
179,Barsch::N,aborri,பேர்ச்
180,Hecht::N,gedda,கோலாச்சி மீன்
181,Schlange[Tier]::N,naðra,பாம்பு
182,Wurm::N,ormur,புழு
183,Spinne::N,kónguló,சிலந்தி
184,Ameise::N,maur,எறும்பு
185,Laus::N,lús,பேன்
186,Mücke::N,mý,கொசுவினப்பூச்சி
187,Mücke::N,mýfluga,கொசுவினப்பூச்சி
188,Fliege::N,fluga,ஈ
189,Schmetterling::N,fiðrildi,வண்ணத்துப்பூச்சி
190,Beere::N,ber,சதைப்பழம்
191,Apfel::N,epli,ஆப்பிள பழம்
192,Pilz::N,sveppur,காளான்
193,Zwiebel::N,laukur,வெங்காயம்
194,Saat::N,fræ,விதை
195,Saat::N,útsæði,விதை
196,Korn::N,korn,தானியம்
197,Heu::N,hey,வைக்கோல்
198,Schale::N,hýði,தோல்
199,Grube::N,gryfja,குழி
200,Falle::N,gildra,பொறி
201,Schlinge::N,snara,கண்ணி
202,Spur::N,spor,சுவடு
203,Asche::N,aska,சாம்பல்
204,Dreck::N,óþverri,அழுக்கு
205,Eisen::N,járn,இரும்பு
206,Gold::N,gull,தங்கம்
207,Silber::N,silfur,வெள்ளி
208,Kohle::N,kol,நிலக்கரி
209,Glas::N,gler,கண்ணாடி
210,Lehm::N,leir,களிமண்
211,Sand::N,sandur,மணல்
212,Mensch::N,maður,மனிதர்கள்
213,Mensch::N,manneskja,மனிதர்கள்
214,Mann::N,maður,மனிதன்
215,Mann::N,karlmaður,மனிதன்
216,Frau::N,kona,பெண்
217,Kind::N,barn,குழந்தை
218,Kind::N,krakki,குழந்தை
219,Junge::N,drengur,பையன்
220,Mädchen::N,stelpa,சிறுமி
221,Familie::N,fjölskylda,குடும்பம்
222,Großvater::N,afi,தாத்தா
223,Großmutter::N,amma,பாட்டி
224,Eltern::N,foreldrar,பெற்றோர்
225,Vater::N,faðir,தந்தை
226,Mutter::N,móðir,தாய்
227,Sohn::N,sonur,மகன்
228,Tochter::N,dóttir,மகள்
229,Bruder::N,bróðir,சகோதரன்
230,Schwester::N,systir,அக்கா
231,Onkel::N,föðurbróðir,தாய் மாமன்
232,Tante::N,frænka,அத்தை
233,Tante::N,móðursystir,அத்தை
234,Ehemann::N,eiginmaður,கணவன்
235,Ehefrau::N,eiginkona,மனைவி
236,Freude::N,gleði,கொண்டாட்டம்
237,Gelächter::N,hlátur,சிரிப்பு
238,Glück::N,gæfa,மகிழ்ச்சி
239,Kummer::N,sorg,துயரம்
240,Wunsch::N,ósk,விருப்பம்
241,Lust::N,fýsn,விருப்பம்
242,Lust::N,löngun,விருப்பம்
243,Geist::N,andi,ஆன்மா
244,Gedanke::N,hugsun,எண்ணம்
245,Gedächtnis::N,minni,ஞாபகம்
246,Verstand::N,vit,மனம்
247,Sinn::N,merking,அர்த்தம்
248,Grund::N,ástæða,காரணம்
249,Wahrheit::N,sannleikur,உண்நை
250,Gespräch::N,samtal,பெசு
251,Märchen::N,ævintýri,நம்பத்தகாத கதை
252,Erzählung::N,saga,கதை
253,Nachricht::N,frétt,செய்தி
254,Neuigkeit::N,frétt,செய்தி
255,Name::N,nafn,பெயர்
256,Rätsel::N,gáta,புதிர்
257,Rede::N,ræða,பேச்சு
258,Sprache::N,mál,மொழி
259,Sprache::N,tungumál,மொழி
260,Stimme::N,rödd,குரல்
261,Wort::N,orð,வார்த்தை
262,Zeichen::N,tákn,குறி
263,Zeichen::N,merki,குறி
264,Ruf::N,kall,அழைப்பு
265,Lärm::N,hávaði,சத்தம்
266,Laut::N,hljóð,ஒலி
267,Ton::N,tónn,குரல்
268,Lied::N,ljóð,பாட்டு
269,Lied::N,söngur,பாட்டு
270,Ruhe::N,ró,அமைதி
271,Ruhe::N,kyrrð,அமைதி
272,Leute::N,fólk,மக்கள்
273,Volk::N,þjóð,மக்கள்
274,Arbeit::N,vinna,வேலை
275,Gast::N,gestur,விருந்தாளி
276,Geschenk::N,gjöf,பரிசுப் பொருள்
