,Concept_ID,fr,hu
0,Auge::N,œil,szem
1,Ohr::N,oreille,fül
2,Nase::N,nez,orr
3,Mund::N,bouche,száj
4,Zahn::N,dent,fog
5,Zunge::N,langue,nyelv
6,Lippe::N,lèvre,ajak
7,Wange::N,joue,orca
8,Gesicht::N,face,arc
9,Gesicht::N,visage,arc
10,Stirn::N,front,homlok
11,Haar::N,cheveu,haj
12,Schnurrbart::N,moustache,bajusz
13,Bart::N,barbe,szakáll
14,Kinn::N,menton,áll
15,Kiefer[Anatomie]::N,mâchoire,állkapocs
16,Kehle::N,gorge,gége
17,Kehle::N,gorge,torok
18,Hals::N,cou,nyak
19,Genick::N,nuque,tarkó
20,Kopf::N,tête,fő
21,Kopf::N,tête,fej
22,Rücken::N,dos,hát
23,Bauch::N,ventre,has
24,Nabel::N,nombril,köldök
25,Busen::N,sein,mell
26,Busen::N,sein,kebel
27,Brust::N,poitrine,mell
28,Schulter::N,épaule,váll
29,Arm::N,bras,kar
30,Ellenbogen::N,coude,könyök
31,Hand::N,main,kéz
32,Handfläche::N,paume,tenyér
33,Finger::N,doigt,ujj
34,Fingernagel::N,ongle,köröm
35,Nagel[Anatomie]::N,ongle,köröm
36,Zeh::N,orteil,lábujj
37,Zeh::N,doigt de pied,lábujj
38,Fuß::N,pied,láb
39,Ferse::N,talon,sarok
40,Knie::N,genou,térd
41,Oberschenkel::N,cuisse,comb
42,Bein::N,jambe,láb
43,Bein::N,jambe,lábszár
44,Körper::N,corps,test
45,Haut::N,peau,bőr
46,Blut::N,sang,vér
47,Ader::N,veine,ér
48,Sehne::N,tendon,ín
49,Knochen::N,os,csont
50,Gehirn::N,cerveau,agy
51,Gehirn::N,cerveau,agyvelő
52,Herz::N,cœur,szív
53,Magen::N,estomac,gyomor
54,Leber::N,foie,máj
55,Atem::N,haleine,lehelet
56,Atem::N,haleine,lélegzet
57,Hunger::N,faim,éhség
58,Träne::N,larme,könny
59,Geschmack::N,goût,íz
60,Geschmack::N,saveur,íz
61,Geruch::N,odeur,szag
62,Schlaf::N,sommeil,álom
63,Schlaf::N,sommeil,alvás
64,Traum::N,songe,álom
