,Concept_ID,la,ady
0,Auge::N,oculus,нэ
1,Ohr::N,auris,тхьакӏу́м
2,Nase::N,nasus,пэ
3,Mund::N,os,жэ
4,Zahn::N,dens,цэ
5,Zunge::N,lingua,бзэгу
6,Lippe::N,labrum,ӏупшӏэ́
7,Wange::N,gena,нэкӏу́шъу
8,Gesicht::N,vultus,нэ́гу
9,Stirn::N,frons,натӏэ́
10,Haar::N,capillus,шъхьацы́
11,Schnurrbart::N,barba labri superioris,
12,Bart::N,barba,жакӏэ́
13,Kinn::N,mentum,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,mala,жэпкъы́
15,Kehle::N,iugulums,чый
16,Hals::N,collum,пшъэ
17,Genick::N,cervices,шъхьэпхэтыку
18,Kopf::N,caput,шъхьэ́
19,Rücken::N,tergum,кӏыбы́
20,Bauch::N,venter,ныбэ́
21,Nabel::N,umbilicus,
22,Busen::N,sinus,бгъэ́
23,Brust::N,pectus,бгъэ́
24,Schulter::N,umerus,блыпкъ
25,Arm::N,bracchium,ӏэ
26,Ellenbogen::N,cubitum,ӏэнтэ́гъу
27,Hand::N,manus,ӏэтхьэцу
28,Handfläche::N,palma,ӏэ́гу
29,Finger::N,digitus,ӏэхъуа́мб
30,Fingernagel::N,unguiculus,ӏэбжъа́н
31,Nagel[Anatomie]::N,unguis,ӏэбжъа́н
32,Zeh::N,digitus,ӏэхъуа́мб
33,Fuß::N,pes,лъэгу
34,Ferse::N,calx,лъэдакъэ
35,Knie::N,genu,лъагуа́ндж
36,Oberschenkel::N,femur,ко
37,Bein::N,crus,лъакъо́
38,Körper::N,corpus,пкъышъол
39,Haut::N,cutis,кӏы́шъу
40,Haut::N,pellis,кӏы́шъу
41,Blut::N,sanguis,лъы
42,Ader::N,vena,льытф
43,Sehne::N,nervus,фэ
44,Knochen::N,os,къупшъхьэ́
45,Gehirn::N,cerebrum,куцӏы
46,Herz::N,cor,гу
47,Herz::N,animus,гу
48,Magen::N,stomachus,мышкӏу
49,Leber::N,iecur,шӏу
50,Atem::N,spiritus,къэщэныр
51,Hunger::N,fames,гъаблэ́
52,Träne::N,lacrima,нэпсы
53,Geschmack::N,sapor,ӏэшӏугъа́кӏ
54,Geschmack::N,gustus,ӏэшӏугъа́кӏ
55,Geruch::N,odor,мэ
56,Schlaf::N,somnus,пчыхьы́пӏ
57,Traum::N,somnium,пчыхьы́пӏ
58,Himmel::N,caelum,уашъо́
59,Sonne::N,sol,тыгъэ
60,Mond::N,luna,мазэ
61,Stern::N,sidus,жъуагъо́
62,Stern::N,stella,жъуагъо́
63,Luft::N,aer,жьы
64,Wind::N,ventus,жьыбгъэ́
65,Welle::N,unda,ор
66,Welle::N,unda,оры
67,Wasser::N,aqua,псы
68,Stein::N,lapis,мыжъо́
69,Boden::N,solum,чӏ́ыгу
70,Erde::N,terra,чӏ́ыгу
71,Staub::N,pulvis,сап
72,Rauch::N,fumus,ӏугъо́
73,Funke::N,scintilla,мэшӏуа́ч
74,Feuer::N,ignis,машӏо́
75,Licht::N,lux,нэфы
76,Licht::N,lux,нэфын
77,Licht::N,lumen,нэфы
78,Licht::N,lumen,нэфын
79,Schatten::N,umbra,жьау́
80,Schatten::N,umbra,ныбжьыкъу
81,Wetter::N,caelum,
82,Wetter::N,tempestas,
83,Nebel::N,nebula,пща́гъу
84,Wolke::N,nubes,ошъуапщэ
85,Regen::N,imber,ощхы
86,Regen::N,pluvia,ощхы
87,Schnee::N,nix,осы́
88,Eis::N,glacies,мылы
89,Frost::N,gelu,
90,Kälte::N,frigus,чъыӏэ́
91,Hitze::N,calor,фэба́е
92,Hitze::N,aestus,фэба́е
93,Raureif::N,pruina,
94,Regenbogen::N,arcus, лэгъупэкъо́пс
95,Donner::N,tonitrus,шыблэ́
96,Strömung::N,fluctus,ток
97,Tropfen::N,gutta,ткӏопс
98,Tropfen::N,gutta,гъуаткӏу
99,Schaum::N,spuma,тхъурбэ
100,Schmutz::N,sordes,псынжъы
101,Schmutz::N,squalor,псынжъы
102,See::N,lacus,хыку́м
103,See::N,lacus,псыхъура́й
104,Sumpf::N,palus,орыжъ
105,Moor::N,palus,орыжъ
106,Wiese::N,pratum,хъупӏэ́
107,Wiese::N,pratum,мэкъупӏ
108,Wald::N,silva,мэзы́
109,Hügel::N,collis,ӏуашъхь
110,Anhöhe::N,specula,чӏыӏэтыгъ
111,Berg::N,mons,къушъхьэ́
112,Gipfel::N,vertex,шыгу
113,Höhle::N,caverna,гъочӏэгъ
114,Höhle::N,spelunca,гъочӏэгъ
115,Abhang::N,declivum,чапэ
116,Quelle::N,fons,псынэчэ́чъ
117,Bach::N,rivus,псышкуашку
118,Fluss::N,flumen,псыхъо́
119,Ufer::N,ripa,нэпкъы
120,Küste::N,litus,ӏушъо
121,Festland::N,continens,чӏл́ыгу
122,Meer::N,mare,хы
123,Bucht::N,sinus,хыблыгу
124,Insel::N,insula,хыгъэхъу́н
125,Blume::N,flos,къэгъа́гь
126,Gras::N,herba,уцы́
127,Gras::N,gramen,уцы́
128,Wurzel::N,radix,лъапсэ́
129,Baum::N,arbor,чъыгы́
130,Stamm::N,truncus,пкъы
131,Rinde::N,cortex,пхъашъо́
132,Ast::N,ramus,куамэ
133,Zweig::N,ramus,къутамэ́
134,Blatt::N,folium,тхьап
135,Birke::N,betulla,пчэн
136,Kiefer[Baum]::N,pinus,сэснэй
137,Weide[Baum]::N,salix,пце́л
138,Tanne::N,abies,ель
139,Horn::N,cornu,бжъэ
140,Feder::N,penna,къамӏы́й
141,Fell::N,pellis,шъо
142,Flügel::N,ala,тамэ́
143,Klaue::N,unguis,лъэбжъа́н
144,Kralle::N,unguis,лъакъо
145,Schwanz::N,cauda,кӏэ
146,Ei::N,ovum,кӏэнкӏэ́
147,Nest::N,nidus,набгъо́
148,Bau::N,cavum,гъу
149,Bau::N,cavum,бы
150,Bau::N,latibulum,гъу
151,Bau::N,latibulum,бы
152,Tier::N,bestia,псэу́шъхь
153,Herde::N,grex,ӏэхъогъу
154,Kuh::N,vacca,чэмы́
155,Bulle::N,taurus,цу
156,Pferd::N,equus,шы
157,Schaf::N,ovis,мэлы́
158,Schwein::N,sus,къо
159,Schwein::N,porcus,къо
160,Hund::N,canis,бьэ
161,Katze::N,felis,чэты́у
162,Bär::N,ursus,мышъэ́
163,Eichhörnchen::N,sciurus,цызэ́
164,Elch::N,alces,лось
165,Fuchs::N,vulpes,баджэ́
166,Hase::N,lepus,тхьакӏумкӏы́хь
167,Maus::N,mus,цыгъо́
168,Wolf::N,lupus,тыгъу́жъ
169,Vogel::N,avis,бзы́у
170,Schwarm::N,examen,отэр
171,Huhn::N,gallina,чэты́
172,Hahn::N,gallus,атакъэ́
173,Gans::N,anser,къа́з
174,Adler::N,aquila,
175,Ente::N,anas,псычэ́т
176,Eule::N,ulula,тыгъурыгъу
177,Eule::N,noctua,тыгъурыгъу
178,Kranich::N,grus,къэрэ́у
179,Krähe::N,cornix,къолэ́жъ
180,Kuckuck::N,cuculus,куку́у
181,Schwan::N,olor,
182,Schwan::N,cycnus,
183,Fisch::N,piscis,пцэжъы́й
184,Barsch::N,perca,тхыкъэц
185,Hecht::N,esox,лэнд
186,Schlange[Tier]::N,serpens,блэ́
187,Wurm::N,vermis,хьамлыу
188,Spinne::N,aranea,бэдж
189,Ameise::N,formica,къамзэ́гу
190,Laus::N,pediculus,цӏэ
191,Mücke::N,culex,аргъо́й
192,Fliege::N,musca,бадзэ́
193,Schmetterling::N,papilio,хьампӏыра́шъу
194,Beere::N,baca,маткӏо
195,Apfel::N,malum,мыӏэры́с
196,Pilz::N,fungus,хьаӏу
197,Zwiebel::N,cepa,бжьыны́
198,Saat::N,seges,чылапхъ
199,Korn::N,granum,цэ
200,Heu::N,faenum,мэкъу
201,Schale::N,putamen,кӏы́шъу
202,Grube::N,fovea,машэ́
203,Falle::N,pedica,зэраубытырэ́ ӏэмэпсы́м
204,Schlinge::N,laqueus,бзыуубыт
205,Spur::N,vestigium,ужы
206,Spur::N,vestigium,лъэуж
207,Asche::N,cinis,яжьэ́
208,Dreck::N,lutum,псынжъы
209,Eisen::N,ferrum,гыучӏы́
210,Eisen::N,ferrum,къэнджа́л
211,Gold::N,aurum,дышъэ́
212,Silber::N,argentum,тыжьы́н
213,Kohle::N,carbo,шӏомыкӏ
214,Glas::N,vitrum,апч
215,Lehm::N,lutum,етӏагъо́
216,Sand::N,arena,пшахъо
217,Mensch::N,homo,цӏыфы́
218,Mann::N,vir,хъулъфы́гъ
219,Frau::N,mulier,бӏылъфыгъэ́
220,Kind::N,puer,кӏэлэцӏы́кӏу
221,Kind::N,infans,кӏэлэцӏы́кӏу
222,Junge::N,puer,кӏэлэцӏы́кӏу
223,Mädchen::N,puella,пшъэшъэжъый
224,Familie::N,familia,быны́
