,Concept_ID,hu,sk
0,Auge::N,szem,oko
1,Ohr::N,fül,ucho
2,Nase::N,orr,nos
3,Mund::N,száj,ústa
4,Zahn::N,fog,zub
5,Zunge::N,nyelv,jazyk
6,Lippe::N,ajak,pera
7,Wange::N,orca,líce
8,Gesicht::N,arc,tvár
9,Gesicht::N,arc,obličaj
10,Stirn::N,homlok,čelo
11,Haar::N,haj,vlas
12,Schnurrbart::N,bajusz,fúzy
13,Bart::N,szakáll,brada
14,Kinn::N,áll,brada
15,Kiefer[Anatomie]::N,állkapocs,čeľusť
16,Kehle::N,gége,hrdlo
17,Kehle::N,torok,hrdlo
18,Hals::N,nyak,krk
19,Genick::N,tarkó,väzy
20,Kopf::N,fő,hlava
21,Kopf::N,fej,hlava
22,Rücken::N,hát,chrbát
23,Bauch::N,has,brucho
24,Nabel::N,köldök,pupok
25,Busen::N,mell,prsia
26,Busen::N,kebel,prsia
27,Brust::N,mell,hruď
28,Schulter::N,váll,plece
29,Arm::N,kar,rameno
30,Ellenbogen::N,könyök,lakeť
31,Hand::N,kéz,ruka
32,Handfläche::N,tenyér,dlaň
33,Finger::N,ujj,prst
34,Fingernagel::N,köröm,necht
35,Nagel[Anatomie]::N,köröm,necht
36,Zeh::N,lábujj,prst na nohe
37,Fuß::N,láb,noha
38,Ferse::N,sarok,päta
39,Knie::N,térd,koleno
40,Oberschenkel::N,comb,stehno
41,Bein::N,láb,noha
42,Bein::N,lábszár,noha
43,Körper::N,test,telo
44,Haut::N,bőr,koža
45,Blut::N,vér,krv
46,Ader::N,ér,žila
47,Sehne::N,ín,šľacha
48,Knochen::N,csont,kosť
49,Gehirn::N,agy,mozog
50,Gehirn::N,agyvelő,mozog
51,Herz::N,szív,srdce
52,Magen::N,gyomor,žalúdok
53,Leber::N,máj,pečeň
54,Atem::N,lehelet,dych
55,Atem::N,lélegzet,dych
56,Hunger::N,éhség,hlad
57,Träne::N,könny,slza
58,Geschmack::N,íz,chuť
59,Geruch::N,szag,pach
60,Schlaf::N,álom,spánok
61,Schlaf::N,alvás,spánok
62,Traum::N,álom,sen
63,Himmel::N,ég,nebo
64,Himmel::N,menny,nebo
65,Sonne::N,nap,slnko
66,Mond::N,hold,mesiac
67,Stern::N,csillag,hviezda
68,Luft::N,levegő,vzduch
69,Wind::N,szél,vietor
70,Welle::N,hullám,vlna
71,Wasser::N,víz,voda
72,Stein::N,kő,kameň
73,Boden::N,föld,zem
74,Boden::N,föld,pôda
75,Boden::N,talaj,zem
76,Boden::N,talaj,pôda
77,Erde::N,föld,zem
78,Staub::N,por,prach
79,Rauch::N,füst,dym
80,Funke::N,szikra,iskra
81,Feuer::N,tűz,oheň
82,Licht::N,fény,svetlo
83,Schatten::N,árnyék,tieň
84,Wetter::N,idő,počasie
85,Wetter::N,időjárás,počasie
86,Nebel::N,köd,hmla
87,Wolke::N,felhő,oblak
88,Wolke::N,felhő,mračno
89,Regen::N,eső,dážď
90,Schnee::N,hó,sneh
91,Eis::N,jég,ľad
92,Frost::N,fagy,mráz
93,Kälte::N,hideg,zima
94,Kälte::N,hideg,chlad
95,Hitze::N,hő,horúčava
96,Hitze::N,hőség,horúčava
97,Raureif::N,zúzmara,srieň
98,Raureif::N,zúzmara,inovať
99,Regenbogen::N,szivárvány,dúha
100,Donner::N,dörgés,hrom
101,Donner::N,mennydörgés,hrom
102,Strömung::N,áramlat,prúdenie
103,Tropfen::N,csepp,kvapka
104,Schaum::N,hab,pena
105,Schaum::N,tajték,pena
106,Schmutz::N,piszok,špina
107,Schmutz::N,piszok,nečistota
108,See::N,tó,jazero
109,Sumpf::N,mocsár,bahno
110,Moor::N,láp,močiar
111,Wiese::N,rét,lúka
112,Wiese::N,mező,lúka
113,Wald::N,erdő,les
114,Wald::N,erdő,hora
115,Hügel::N,domb,vŕšok
116,Anhöhe::N,magaslat,výšina
117,Anhöhe::N,magaslat,vyvýšenina
118,Berg::N,hegy,hora
119,Gipfel::N,csúcs,vrchol
120,Höhle::N,barlang,jaskyňa
121,Abhang::N,lejtő,úbočie
122,Quelle::N,forrás,prameň
123,Bach::N,patak,potok
124,Fluss::N,folyó,rieka
125,Ufer::N,part,breh
126,Küste::N,tengerpart,pobrežie
127,Festland::N,szárazföld,pevnina
128,Meer::N,tenger,more
129,Bucht::N,öböl,záliv
130,Bucht::N,öböl,zátoka
131,Insel::N,sziget,ostrov
132,Blume::N,virág,kvet
133,Blume::N,virág,kvetina
134,Gras::N,fű,tráva
135,Wurzel::N,gyökér,koreň
136,Baum::N,fa,strom
137,Stamm::N,tő,kmeň
138,Stamm::N,törzs,kmeň
139,Rinde::N,kéreg,kôra
140,Ast::N,ág,konár
141,Zweig::N,gally,vetva
142,Blatt::N,levél,list
143,Birke::N,nyír,breza
144,Kiefer[Baum]::N,fenyő,sosna
145,Kiefer[Baum]::N,fenyő,borovica
146,Weide[Baum]::N,fűz,vŕba
147,Tanne::N,fenyő,jedľa
148,Horn::N,szarv,roh
149,Feder::N,toll,pero
150,Fell::N,szőr,koža
151,Fell::N,szőr,kožušina
152,Fell::N,bunda,koža
153,Fell::N,bunda,kožušina
154,Flügel::N,szárny,krídlo
155,Klaue::N,köröm,paznecht
156,Kralle::N,karom,pazúr
157,Schwanz::N,farok,chvost
158,Ei::N,tojás,vajce
159,Ei::N,tojás,vajíčko
160,Nest::N,fészek,hniezdo
161,Bau::N,odú,nora
162,Tier::N,állat,zviera
163,Herde::N,nyáj,stádo
164,Herde::N,csorda,stádo
165,Kuh::N,tehén,krava
166,Bulle::N,bika,býk
167,Pferd::N,ló,kôň
168,Schaf::N,juh,ovca
169,Schaf::N,birka,ovca
170,Schwein::N,sertés,sviňa
171,Hund::N,eb,pes
172,Hund::N,kutya,pes
173,Katze::N,macska,mačka
174,Bär::N,medve,medveď
175,Eichhörnchen::N,mókus,veverička
176,Elch::N,jávorszarvas,los
177,Fuchs::N,róka,líška
178,Hase::N,nyúl,zajac
179,Maus::N,egér,myš
180,Wolf::N,farkas,vlk
181,Vogel::N,madár,vták
182,Schwarm::N,raj,roj
183,Huhn::N,tyúk,kurča
184,Huhn::N,tyúk,sliepka
185,Hahn::N,kakas,kohút
186,Gans::N,lúd,hus
187,Gans::N,liba,hus
188,Adler::N,sas,orol
189,Ente::N,kacsa,kačka
190,Ente::N,kacsa,kačica
191,Eule::N,bagoly,sova
192,Kranich::N,daru,žeriav
193,Krähe::N,varjú,vrana
194,Kuckuck::N,kakukk,kukučka
195,Schwan::N,hattyú,labuť
196,Fisch::N,hal,ryba
197,Barsch::N,sügér,ostriež
198,Hecht::N,csuka,šťuka
199,Schlange[Tier]::N,kígyó,had
200,Wurm::N,kukac,červ
201,Spinne::N,pók,pavúk
202,Ameise::N,hangya,mravec
203,Laus::N,tetű,voš
204,Mücke::N,szúnyog,komár
205,Fliege::N,légy,mucha
206,Schmetterling::N,lepke,motýľ
207,Schmetterling::N,pillangó,motýľ
208,Beere::N,bogyó,bobuľa
209,Apfel::N,alma,jablko
210,Pilz::N,gomba,hríb
211,Zwiebel::N,hagyma,cibuľa
212,Saat::N,vetőmag,osivo
213,Korn::N,mag,zrno
214,Korn::N,szem,zrno
215,Heu::N,széna,seno
216,Schale::N,héj,šupa
217,Schale::N,héj,škrupina
218,Grube::N,verem,jama
219,Falle::N,csapda,pasca
220,Falle::N,csapda,klepec
221,Schlinge::N,tőr,slučka
222,Spur::N,nyom,stopa
223,Asche::N,hamu,popol
224,Dreck::N,sár,kal
225,Dreck::N,sár,blato
226,Dreck::N,piszok,kal
227,Dreck::N,piszok,blato
228,Eisen::N,vas,železo
229,Gold::N,arany,zlato
230,Silber::N,ezüst,striebro
231,Kohle::N,szén,uhlie
232,Glas::N,üveg,sklo
233,Lehm::N,agyag,íl
234,Lehm::N,agyag,hlina
235,Lehm::N,vályog,íl
236,Lehm::N,vályog,hlina
237,Sand::N,homok,piesok
238,Mensch::N,ember,človek
239,Mann::N,úr,muž
240,Mann::N,úr,chlap
241,Mann::N,férfi,muž
242,Mann::N,férfi,chlap
243,Frau::N,nő,žena
244,Frau::N,asszony,žena
245,Kind::N,gyerek,dieťa
246,Kind::N,gyermek,dieťa
247,Junge::N,fiú,chlapec
248,Mädchen::N,lány,dievka
249,Familie::N,család,rodina
250,Großvater::N,nagyapa,dedo
251,Großvater::N,nagyapa,starý otec
252,Großmutter::N,nagyanya,babička
253,Großmutter::N,nagyanya,stará mať
254,Eltern::N,szülők,rodičia
255,Vater::N,apa,otec
256,Vater::N,atya,otec
257,Mutter::N,anya,mať
258,Mutter::N,anya,matka
259,Sohn::N,fiú,syn
260,Tochter::N,lány,dcéra
261,Bruder::N,fivér,brat
262,Bruder::N,testvér,brat
263,Schwester::N,nővér,sestra
264,Schwester::N,lánytestvér,sestra
265,Onkel::N,nagybácsi,ujo
266,Onkel::N,nagybácsi,strýko
267,Tante::N,nagynéni,teta
268,Tante::N,nagynéni,tetka
269,Ehemann::N,férj,muž
270,Ehemann::N,férj,manžel
271,Ehefrau::N,feleség,žena
272,Ehefrau::N,feleség,manželka
273,Freude::N,öröm,radosť
274,Gelächter::N,nevetés,smiech
275,Gelächter::N,hahotázás,smiech
276,Glück::N,boldogság,šťastie
277,Kummer::N,bánat,žiaľ
278,Kummer::N,bánat,zármutok
279,Wunsch::N,óhaj,prianie
280,Lust::N,kedv,chuť
281,Geist::N,elme,duch
282,Geist::N,szellem,duch
283,Gedanke::N,gondolat,myšlienka
284,Gedächtnis::N,emlékezet,pamäť
285,Verstand::N,ész,rozum
286,Verstand::N,értelem,rozum
287,Sinn::N,értelem,zmysel
288,Grund::N,ok,dôvod
289,Grund::N,ok,príčina
290,Grund::N,alap,dôvod
291,Grund::N,alap,príčina
292,Wahrheit::N,igaz,pravda
293,Wahrheit::N,igazság,pravda
294,Gespräch::N,beszélgetés,reč
295,Gespräch::N,beszélgetés,rozhovor
296,Märchen::N,mese,rozprávka
297,Erzählung::N,elbeszélés,poviedka
298,Nachricht::N,hír,správa
299,Nachricht::N,híradás,správa
300,Neuigkeit::N,újság,novinka
301,Name::N,név,meno
302,Rätsel::N,rejtvény,záhada
303,Rätsel::N,rejtvény,hádanka
304,Rede::N,beszéd,reč
305,Rede::N,szónoklat,reč
306,Sprache::N,nyelv,reč
307,Sprache::N,nyelv,jazyk
308,Stimme::N,hang,hlas
309,Wort::N,szó,slovo
310,Zeichen::N,jel,znak
311,Ruf::N,kiáltás,volanie
312,Ruf::N,kiáltás,zavolanie
313,Lärm::N,zaj,hluk
314,Lärm::N,zaj,hurhaj
315,Laut::N,hang,zvuk
316,Ton::N,hang,tón
317,Ton::N,hang,zvuk
318,Lied::N,dal,pieseň
319,Lied::N,ének,pieseň
320,Ruhe::N,csend,pokoj
321,Ruhe::N,nyugalom,pokoj
322,Leute::N,emberek,ľudia
323,Volk::N,nép,ľud
324,Volk::N,nép,národ
325,Arbeit::N,dolog,práca
326,Arbeit::N,dolog,robota
327,Gast::N,vendég,hosť
328,Geschenk::N,ajándék,dar
329,Spiel::N,játék,hra
330,Gesellschaft::N,társaság,spoločnosť
331,Hilfe::N,segítség,pomoc
332,Freund::N,barát,priateľ
333,Kamerad::N,társ,kamarát
334,Angelegenheit::N,ügy,vec
335,Angelegenheit::N,ügy,záležitosť
336,Anzahl::N,szám,počet
337,Anzahl::N,szám,množstvo
338,Art::N,faj,druh
339,Art::N,fajta,druh
340,Stück::N,darab,kus
341,Stück::N,darab,kúsok
342,Teil::N,rész,časť
343,Hälfte::N,fél,polka
344,Hälfte::N,fél,polovica
345,Kreis::N,kör,kruh
346,Kreuz::N,kereszt,kríž
347,Linie::N,vonal,línia
348,Strich::N,vonás,čiara
349,Abstand::N,köz,vzdialenosť
350,Entfernung::N,távolság,vzdialenosť
351,Gegend::N,táj,kraj
352,Gegend::N,táj,krajina
353,Gegend::N,vidék,kraj
354,Gegend::N,vidék,krajina
355,Platz::N,hely,miesto
356,Ort::N,hely,miesto
357,Seite::N,fél,bok
358,Seite::N,fél,strana
359,Seite::N,oldal,bok
360,Seite::N,oldal,strana
361,Mitte::N,közép,stred
362,Gegenstand::N,tárgy,predmet
363,Sache::N,dolog,vec
364,Rand::N,szél,kraj
365,Rand::N,szél,okraj
366,Rand::N,perem,kraj
367,Rand::N,perem,okraj
368,Rand::N,szegély,kraj
369,Rand::N,szegély,okraj
370,Kante::N,él,hrana
371,Ecke::N,sarok,roh
372,Ecke::N,szöglet,roh
373,Spitze::N,csúcs,hrot
374,Spitze::N,csúcs,špička
375,Ende::N,vég,koniec
376,Loch::N,lyuk,diera
377,Winkel::N,szög,kút
378,Muster::N,minta,vzor
379,Muster::N,minta,vzorka
380,Größe::N,nagyság,veľkosť
381,Länge::N,hossz,dĺžka
382,Länge::N,hosszúság,dĺžka
383,Höhe::N,magasság,výška
384,Gewicht::N,súly,váha
385,Menge::N,sokaság,množstvo
386,Menge::N,mennyiség,množstvo
387,Haufen::N,halom,hŕba
388,Reihe::N,sor,rad
389,Boot::N,csónak,čln
390,Ruder::N,evező,veslo
391,Schlitten::N,szánkó,sane
392,Ski::N,sí,lyža
393,Lagerfeuer::N,tábortűz,táborák
394,Last::N,teher,ťarcha
395,Last::N,teher,bremeno
396,Gang::N,járás,chôdza
397,Schritt::N,lépés,krok
398,Norden::N,észak,sever
399,Süden::N,dél,juh
400,Westen::N,nyugat,západ
401,Osten::N,kelet,východ
402,Holz::N,fa,drevo
403,Brett::N,deszka,doska
404,Platte::N,lap,doska
405,Platte::N,lap,platňa
406,Platte::N,lemez,doska
407,Platte::N,lemez,platňa
408,Stütze::N,támasz,opora
409,Stütze::N,támaszték,opora
410,Stange::N,rúd,tyč
411,Stange::N,pózna,tyč
412,Stock::N,pálca,palica
413,Stab::N,bot,palica
414,Rohr::N,cső,rúra
415,Haus::N,ház,dom
416,Heim::N,otthon,domov
417,Ofen::N,kályha,pec
418,Ofen::N,kályha,kachle
419,Fußboden::N,padló,dlážka
420,Fußboden::N,padló,podlaha
421,Tisch::N,asztal,stôl
422,Stuhl::N,szék,stolička
423,Wiege::N,bölcső,kolíska
424,Bett::N,ágy,lôžko
425,Bett::N,ágy,posteľ
426,Regal::N,polc,regál
427,Regal::N,polc,polica
428,Regal::N,állvány,regál
429,Regal::N,állvány,polica
430,Kiste::N,láda,debna
