,Concept_ID,el,sk
0,Auge::N,μάτι,oko
1,Auge::N,οφθαλμός,oko
2,Ohr::N,αυτί,ucho
3,Nase::N,μύτη,nos
4,Mund::N,στόμα,ústa
5,Zahn::N,δόντι,zub
6,Zunge::N,γλώσσα,jazyk
7,Lippe::N,χείλος,pera
8,Wange::N,παρειά,líce
9,Wange::N,μάγουλο,líce
10,Gesicht::N,πρόσωπο,tvár
11,Gesicht::N,πρόσωπο,obličaj
12,Stirn::N,μέτωπο,čelo
13,Haar::N,μαλλιά,vlas
14,Schnurrbart::N,μουστάκι,fúzy
15,Bart::N,γένια,brada
16,Kinn::N,πιγούνι,brada
17,Kiefer[Anatomie]::N,σαγόνι,čeľusť
18,Kehle::N,λαρύγγι,hrdlo
19,Hals::N,λαιμός,krk
20,Genick::N,σβέρκος,väzy
21,Kopf::N,κεφάλι,hlava
22,Rücken::N,ράχη,chrbát
23,Bauch::N,κοιλιά,brucho
24,Nabel::N,αφαλός,pupok
25,Busen::N,στήθος,prsia
26,Brust::N,στήθος,hruď
27,Schulter::N,ώμος,plece
28,Arm::N,χέρι,rameno
29,Arm::N,μπράτςο,rameno
30,Ellenbogen::N,αγκώνας,lakeť
31,Hand::N,χέρι,ruka
32,Handfläche::N,παλάμη,dlaň
33,Finger::N,δάχτυλο,prst
34,Fingernagel::N,νύχι,necht
35,Nagel[Anatomie]::N,νύχι,necht
36,Zeh::N,δάχτυλο του ποδιού,prst na nohe
37,Fuß::N,πόδι,noha
38,Ferse::N,φτέρνα,päta
39,Knie::N,γόνατο,koleno
40,Oberschenkel::N,μηρός,stehno
41,Bein::N,πόδι,noha
42,Körper::N,σώμα,telo
43,Körper::N,κορμί,telo
44,Haut::N,πετσί,koža
45,Blut::N,αίμα,krv
46,Ader::N,φλέβα,žila
47,Sehne::N,νεύρο,šľacha
48,Sehne::N,τένοντας,šľacha
49,Knochen::N,οστό,kosť
50,Knochen::N,κόκκαλο,kosť
51,Gehirn::N,μυαλό,mozog
52,Gehirn::N,εγκέφαλος,mozog
53,Herz::N,καρδιά,srdce
54,Magen::N,στομάχι,žalúdok
55,Leber::N,ήπαρ,pečeň
56,Leber::N,συκωτί,pečeň
57,Atem::N,αναπνοή,dych
58,Hunger::N,πείνα,hlad
59,Träne::N,δάκρυ,slza
60,Geschmack::N,γεύση,chuť
61,Geruch::N,οσμή,pach
62,Geruch::N,μυρωδία,pach
63,Schlaf::N,ύπνος,spánok
64,Traum::N,όνειρο,sen
65,Himmel::N,ουρανός,nebo
66,Sonne::N,ήλιος,slnko
67,Mond::N,σελήνη,mesiac
68,Mond::N,φεγγάρι,mesiac
69,Stern::N,άστρο,hviezda
70,Stern::N,αστέρι,hviezda
71,Luft::N,αέρας,vzduch
72,Wind::N,αέρας,vietor
73,Wind::N,άνεμος,vietor
74,Welle::N,κύμα,vlna
75,Wasser::N,νερό,voda
76,Stein::N,πέτρα,kameň
77,Boden::N,χώμα,zem
78,Boden::N,χώμα,pôda
79,Erde::N,γη,zem
80,Staub::N,σκόνη,prach
81,Rauch::N,καπνός,dym
82,Funke::N,σπίθα,iskra
83,Funke::N,σπινθήρας,iskra
84,Feuer::N,φωτιά,oheň
85,Licht::N,φως,svetlo
86,Schatten::N,σκιά,tieň
87,Schatten::N,ίσκιος,tieň
88,Wetter::N,καιρός,počasie
89,Nebel::N,ομίχλη,hmla
90,Wolke::N,σύννεφο,oblak
91,Wolke::N,σύννεφο,mračno
92,Regen::N,βροχή,dážď
93,Schnee::N,χιόνι,sneh
94,Eis::N,πάγος,ľad
95,Frost::N,παγωνία,mráz
96,Kälte::N,κρύο,zima
97,Kälte::N,κρύο,chlad
98,Kälte::N,ψύχος,zima
99,Kälte::N,ψύχος,chlad
100,Hitze::N,ζέστη,horúčava
101,Raureif::N,πάχνη,srieň
102,Raureif::N,πάχνη,inovať
103,Regenbogen::N,ουράνιο τόξο,dúha
104,Donner::N,βροντή,hrom
105,Strömung::N,ρεύμα,prúdenie
106,Tropfen::N,στάλα,kvapka
107,Schaum::N,αφρός,pena
108,Schmutz::N,βρωμιά,špina
109,Schmutz::N,βρωμιά,nečistota
110,See::N,λίμνη,jazero
111,Sumpf::N,βάλτος,bahno
112,Moor::N,έλος,močiar
113,Wiese::N,λιβάδι,lúka
114,Wald::N,δάσος,les
115,Wald::N,δάσος,hora
116,Hügel::N,λόφος,vŕšok
117,Anhöhe::N,ύψωμα,výšina
118,Anhöhe::N,ύψωμα,vyvýšenina
119,Berg::N,όρος,hora
120,Berg::N,βουνό,hora
121,Gipfel::N,κορυφή,vrchol
122,Höhle::N,σπηλιά,jaskyňa
123,Abhang::N,πλαγιά,úbočie
124,Quelle::N,πηγή,prameň
125,Quelle::N,βρύση,prameň
126,Bach::N,ρυάκι,potok
127,Fluss::N,ποτάμι,rieka
128,Fluss::N,ποταμός,rieka
129,Ufer::N,όχθη,breh
130,Küste::N,ακτή,pobrežie
131,Küste::N,ακρογιαλιά,pobrežie
132,Festland::N,στεριά,pevnina
133,Meer::N,θάλασσα,more
134,Bucht::N,κόλπος,záliv
