,Concept_ID,hy,sah
0,Auge::N,աչք,харах
1,Ohr::N,ականջ,кулгаах
2,Nase::N,քիթ,мурун
3,Mund::N,բերան,айах
4,Zahn::N,ատամ,тиис
5,Zunge::N,լեզու,тыл
6,Lippe::N,շրթունք,уос
7,Wange::N,այտ,иэдэс
8,Wange::N,թուշ,иэдэс
9,Gesicht::N,դեմք,сирэй
10,Stirn::N,ճակատ,сүүс
11,Haar::N,մազ,баттах
12,Schnurrbart::N,բեղ,уос бытыга
13,Bart::N,մորուք,сэҥийэ бытыга
14,Kinn::N,կզակ,сэҥийэ
15,Kiefer[Anatomie]::N,ծնոտ,сыҥаах
16,Kehle::N,կոկորդ,тамах
17,Kehle::N,կոկորդ,күөмэй
18,Hals::N,վիզ,моой
19,Hals::N,պարանոց,моой
20,Genick::N,ծոծրակ,кэтэх
21,Kopf::N,գլուխ,бас
22,Rücken::N,մեջք,көҕүс
23,Bauch::N,փոր,ис
24,Bauch::N,որովայն,ис
25,Nabel::N,պորտ,киин
26,Busen::N,ծոց,эмиий
27,Brust::N,կուրծք,түөс
28,Schulter::N,ուս,сарын
29,Arm::N,թեւ,илии
30,Arm::N,բազուկ,илии
31,Ellenbogen::N,արմունկ,тоҕонох
32,Hand::N,ձեռք,илии
33,Handfläche::N,ափ,ытыс
34,Finger::N,մատ,тарбах
35,Fingernagel::N,եղունգ,тыҥырах
36,Nagel[Anatomie]::N,եղունգ,тыҥырах
37,Zeh::N,ոտքի մատ,тарбах
38,Fuß::N,ոտք,уллуҥах
39,Ferse::N,գարշապար,тилэх
40,Knie::N,ծունկ,тобук
41,Knie::N,ծունկ,дьилбэк
42,Oberschenkel::N,ազդր,уллук
43,Oberschenkel::N,ազդր,өттүк
44,Bein::N,ոտք,атах
45,Körper::N,մարմին,бэйэ
46,Haut::N,մաշկ,тирии
47,Blut::N,արյուն,хаан
48,Ader::N,երակ,вена
49,Ader::N,երակ,күөх_тымыр
50,Sehne::N,ջիղ,иҥиир
51,Sehne::N,ձգտան,иҥиир
52,Knochen::N,ոսկոր,уҥуох
53,Knochen::N,ոսկոր,уҥгуох
54,Gehirn::N,խելք,мэйии
55,Herz::N,սիրտ,сүрэх
56,Magen::N,ստամոքս,куртах
57,Leber::N,լյարդ,быар
58,Atem::N,շունչ,тыын
59,Hunger::N,քաղց,аас
60,Träne::N,արտասուք,харах уута
61,Geschmack::N,համ,амтан
62,Geschmack::N,բուրմունք,амтан
63,Geruch::N,հոտ,сыт
64,Geruch::N,բուրում,сыт
65,Schlaf::N,քուն,утуйуу
66,Traum::N,երազ,түүл
67,Himmel::N,երկինք,халлаан
68,Sonne::N,արեւ,күн
69,Mond::N,լուսին,ый
70,Stern::N,աստղ,сулус
71,Luft::N,օդ,салгын
72,Wind::N,քամի,тыал
73,Welle::N,ալիք,долгун
74,Welle::N,ալիք,балхаан
75,Wasser::N,ջուր,уу
76,Stein::N,քար,таас
77,Boden::N,գետին,сир
78,Erde::N,հող,буор
79,Staub::N,փոշի,быыл
