,Concept_ID,ru,ab
0,Auge::N,глаз,ала
1,Ohr::N,ухо,алымҳа
2,Nase::N,нос,аҧынҵа
3,Mund::N,рот,аҧышə
4,Zahn::N,зуб,ахаҧыц
5,Zunge::N,язык,абз
6,Lippe::N,губа,ақьышə
7,Wange::N,щека,аӡамҩа
8,Gesicht::N,лицо,аҿы
9,Stirn::N,лоб,алахь
10,Haar::N,волос,ахəыц
11,Haar::N,волосы,ахəыц
12,Schnurrbart::N,ус,аҧаҵа
13,Schnurrbart::N,усы,аҧаҵа
14,Bart::N,борода,ажакьа
15,Kinn::N,подбородок,ацламкəыгə
16,Kiefer[Anatomie]::N,челюсть,ацламҳəа
17,Kehle::N,горло,ахəда
18,Hals::N,шея,ахəда
19,Genick::N,затылок,ахəдаџьал
20,Kopf::N,голова,ахы
21,Rücken::N,спина,азқəа
22,Bauch::N,живот,амгəа
23,Nabel::N,пупок,аҷапан
24,Busen::N,женская грудь,агəыҧҳəы
25,Brust::N,грудь,агəышҧы
26,Schulter::N,плечо,ажəҩахыр
27,Arm::N,рука,амахəар
28,Ellenbogen::N,локоть,амашьхəылҵ
29,Hand::N,кисть,анапы
30,Handfläche::N,ладонь,анапсаргəыҵа
31,Finger::N,палец,анацəа
32,Fingernagel::N,ноготь,анапхыц
33,Nagel[Anatomie]::N,ноготь,ашьапхыц
34,Zeh::N,палец,ашьацəа
35,Fuß::N,ступня,ашьапсыргəыҵа
36,Ferse::N,пята,ашьхəа
37,Ferse::N,пятка,ашьхəа
38,Knie::N,колено,ашьамхы
39,Oberschenkel::N,бедро,ауаҭəа
40,Bein::N,нога,ашьапы
41,Körper::N,тело,ацəеижь
42,Haut::N,кожа,ацəа
43,Blut::N,кровь,ашьа
44,Ader::N,вена,ада
45,Ader::N,сосуд,ада
46,Sehne::N,жила,адаш
47,Sehne::N,тетива,адаш
48,Sehne::N,сухожилие,адаш
49,Knochen::N,кость,абаҩ
50,Gehirn::N,мозг,ахшлыбаҩ
51,Gehirn::N,мозг,ахшыбаҩ
52,Herz::N,сердце,агəы
53,Magen::N,желудок,аца
54,Magen::N,желудок,ацар
55,Leber::N,печень,агəаҵəа
56,Atem::N,дух,аҧсыҧлагаҩгара
57,Atem::N,дыхание,аҧсыҧлагаҩгара
58,Hunger::N,голод,амла
59,Träne::N,слеза,алабжыш
60,Geschmack::N,вкус,агьама
61,Geruch::N,запах,афҩы
62,Schlaf::N,сон,ацəа
63,Traum::N,сновидение,аҧхыӡ
64,Himmel::N,небо,ажəҩан
65,Sonne::N,солнце,амра
66,Mond::N,луна,амза
67,Stern::N,звезда,аеҵəа
68,Luft::N,воздух,аҳаир
69,Wind::N,ветер,аҧша
70,Welle::N,волна,ацəқəырҧа
71,Wasser::N,вода,аӡы
72,Stein::N,камень,ахаҳə
73,Boden::N,почва,адгьыл
74,Erde::N,земля,адгьыл
75,Staub::N,пыль,асаба
76,Rauch::N,дым,алҩа
77,Funke::N,искра,акəиц
78,Funke::N,искра,ацҧхь
79,Feuer::N,огонь,амца
80,Licht::N,свет,алашара
81,Schatten::N,тень,ашəшьыра
82,Wetter::N,погода,амш
83,Nebel::N,туман,анаҟəа
84,Wolke::N,облако,аҧсҭҳəа
85,Regen::N,дождь,ақəа
86,Schnee::N,снег,асы
87,Eis::N,лед,аҵаа
88,Frost::N,мороз,аҵаа
89,Kälte::N,холод,ахьҭа
90,Hitze::N,жара,ашоура
91,Raureif::N,иней,аҵааҧшқа
92,Regenbogen::N,радуга,ацəаҟəа
93,Donner::N,гром,адыд
94,Strömung::N,течение,аиасра
95,Strömung::N,течение,амҩасра
96,Tropfen::N,капля,ацəыкəбар
97,Schaum::N,пена,ашəах
98,Schmutz::N,грязь,алымт
99,See::N,озеро,аӡиа
100,Sumpf::N,топь,аӡмах
101,Moor::N,болото,
102,Wiese::N,луг,адəы
103,Wald::N,лес,абна
104,Hügel::N,холм,ахəы
105,Anhöhe::N,возвышенность,аҳаракыра
106,Berg::N,гора,ашьха
107,Gipfel::N,вершина,ацəқəа
108,Höhle::N,пещера,аҳаҧы
109,Abhang::N,склон,анаара
