,Concept_ID,bn,et
0,Auge::N,চক্ষু,silm
1,Ohr::N,কর্ণ,kõrv
2,Nase::N,নাক,nina
3,Mund::N,মুখ,suu
4,Zahn::N,দাঁত,hammas
5,Zunge::N,জিহবা,keel
6,Lippe::N,অধর,huul
7,Wange::N,গণ্ড,põsk
8,Gesicht::N,মুখমণ্ডল,nägu
9,Stirn::N,কপাল,otsmik
10,Haar::N,চুল,juus
11,Schnurrbart::N,গোঁফ,vurrud
12,Schnurrbart::N,গোঁফ,vuntsid
13,Bart::N,শ্মশ্রু,habe
14,Kinn::N,চিবুক,lõug
15,Kiefer[Anatomie]::N,চোয়াল,lõualuu
16,Kehle::N,কণ্ঠ,kõri
17,Hals::N,গল,kael
18,Genick::N,ঘাড়,kukal
19,Kopf::N,মাথা,pea
20,Rücken::N,পৃষ্ঠ,selg
21,Bauch::N,উদর,kõht
22,Nabel::N,নাভি,naba
23,Busen::N,স্তন,rind
24,Brust::N,বুক,rind
25,Schulter::N,স্কন্ধ,õlg
26,Arm::N,বাহু,käsivars
27,Ellenbogen::N,কনুই,küünarnukk
28,Hand::N,হাত,käsi
29,Handfläche::N,করতল,pihk
30,Finger::N,আঙ্গুল,sõrm
31,Fingernagel::N,হাতের নখ,küüs
32,Nagel[Anatomie]::N,নখ,küüs
33,Zeh::N,আঙ্গুল,varvas
34,Fuß::N,পা,jalg
35,Ferse::N,গোড়ালি,kand
36,Knie::N,হাঁটু,põlv
37,Oberschenkel::N,ঊরু,reis
38,Bein::N,পা,jalg
39,Körper::N,দেহ,ihu
40,Körper::N,দেহ,keha
41,Haut::N,ত্বক,nahk
42,Blut::N,রক্ত,veri
43,Ader::N,শিরা,veen
44,Sehne::N,কণ্ডরা,kõõlus
45,Knochen::N,অস্থি,luu
46,Gehirn::N,মস্তিষ্ক,aju
47,Herz::N,হৃৎপিণ্ড,süda
48,Magen::N,পাকস্থলী,magu
49,Leber::N,যকৃৎ,maks
50,Atem::N,শ্বাস,hingeõhk
51,Atem::N,শ্বাস,hingamine
52,Hunger::N,ক্ষুধা,nälg
53,Träne::N,অশ্রু,pisar
54,Geschmack::N,স্বাদ,maitse
55,Geruch::N,গন্ধ,lõhn
56,Schlaf::N,ঘুম,uni
57,Traum::N,স্বপ্ন,unenägu
58,Himmel::N,আকাশ,taevas
59,Sonne::N,সূর্য,päike
60,Mond::N,চন্দ্র,kuu
61,Stern::N,নক্ষত্র,täht
62,Luft::N,বায়ু,õhk
63,Wind::N,বাতাস,tuul
64,Welle::N,ঢেউ,laine
65,Welle::N,তরঙ্গ,laine
66,Wasser::N,জল,vesi
67,Stein::N,ঢিল,kivi
68,Stein::N,প্রস্তর,kivi
69,Boden::N,ভূতল,maa
70,Boden::N,ভূতল,pinnas
71,Erde::N,ভূমি,maa
72,Staub::N,ধুলা,põrm
73,Rauch::N,ধোঁয়া,suits
74,Funke::N,স্ফুলিঙ্গ,säde
75,Feuer::N,অগ্নি,tuli
76,Licht::N,আলো,valgus
77,Schatten::N,ছায়া,vari
78,Wetter::N,আবহাওয়া,ilm
79,Nebel::N,কুহেলিকা,udu
80,Wolke::N,মেঘ,pilv
81,Regen::N,বৃষ্টি,sadu
82,Schnee::N,তুষার,lumi
83,Eis::N,বরফ,jää
84,Frost::N,তুষার,pakane
85,Kälte::N,শৈত্য,külm
86,Kälte::N,শৈত্য,külmus
87,Hitze::N,তাপ,kuumus
88,Hitze::N,তাপ,palavus
89,Raureif::N,তুহিন,härmatis
