,Concept_ID,se,lez
0,Auge::N,tjelmie,вил
1,Auge::N,tjalmme,вил
2,Auge::N,čalbmi,вил
3,Auge::N,čalme,вил
4,Auge::N,čâ´lmm,вил
5,Auge::N,ча̄лльм,вил
6,Ohr::N,bieljie,яб
7,Ohr::N,biellje,яб
8,Ohr::N,beallji,яб
9,Ohr::N,pelji,яб
10,Ohr::N,pe´llj,яб
11,Ohr::N,пе̄лльй,яб
12,Nase::N,njuenie,нер
13,Nase::N,njunnje,нер
14,Nase::N,njunni,нер
15,Nase::N,njuṇe,нер
16,Nase::N,njuu´nn,нер
17,Nase::N,нюннҍ,нер
18,Mund::N,njaelmie,сив
19,Mund::N,njálmme,сив
20,Mund::N,njálbmi,сив
21,Mund::N,njälmi,сив
22,Mund::N,njä´lmm,сив
23,Mund::N,ня̄лльм,сив
24,Zahn::N,baenie,сас
25,Zahn::N,baenie,свах
26,Zahn::N,bádne,сас
27,Zahn::N,bádne,свах
28,Zahn::N,bátni,сас
29,Zahn::N,bátni,свах
30,Zahn::N,pääṇi,сас
31,Zahn::N,pääṇi,свах
32,Zahn::N,pää´nn,сас
33,Zahn::N,pää´nn,свах
34,Zahn::N,па̄ннҍ,сас
35,Zahn::N,па̄ннҍ,свах
36,Zunge::N,njoektjeme,мез
37,Zunge::N,njuovtjav,мез
38,Zunge::N,njuovčča,мез
39,Zunge::N,njuovčâ,мез
40,Zunge::N,njuhččâm,мез
41,Zunge::N,нюхчем,мез
42,Lippe::N,bangseme,пӏуз
43,Lippe::N,njálmmerabdda,пӏуз
44,Lippe::N,bavssa,пӏуз
45,Lippe::N,poovsâ,пӏуз
46,Lippe::N,põõus,пӏуз
47,Lippe::N,пэ̄кс,пӏуз
48,Wange::N,skiehrie,хъвехъ
49,Wange::N,nierra,хъвехъ
50,Wange::N,muohtu,хъвехъ
51,Wange::N,nieṛâ,хъвехъ
52,Wange::N,njiõrr,хъвехъ
53,Wange::N,нӣрр,хъвехъ
