,Concept_ID,ja,vep
0,Auge::N,目,sil'm
1,Ohr::N,耳,korv
2,Nase::N,鼻,nena
3,Mund::N,口,su
4,Zahn::N,歯,pi
5,Zahn::N,歯,hambaz
6,Zunge::N,舌,kel'
7,Lippe::N,唇,hul'
8,Wange::N,頬,modpolišk
9,Gesicht::N,顔,mod
10,Stirn::N,額,oc
11,Haar::N,髪,tuk
12,Haar::N,髪,hibuz
13,Schnurrbart::N,口髭,habinod
14,Bart::N,髭,bard
15,Kinn::N,顎,löug
16,Kiefer[Anatomie]::N,顎,hambazlu
17,Kehle::N,喉,kurk
18,Hals::N,首,kagl
19,Genick::N,首,tagarai
20,Kopf::N,頭,pä
21,Rücken::N,背中,sel'g
22,Bauch::N,腹,vac
23,Bauch::N,腹,koht
24,Bauch::N,お腹,vac
25,Bauch::N,お腹,koht
26,Nabel::N,へそ,naba
27,Busen::N,乳房,niža
28,Brust::N,胸,rind
29,Schulter::N,肩,oug
30,Arm::N,腕,käzi
31,Ellenbogen::N,肘,künambruz
32,Hand::N,手,käzi
33,Hand::N,手,käzitera
34,Handfläche::N,手のひら,kämen
35,Finger::N,指,sor'm
36,Fingernagel::N,爪,künz'
37,Nagel[Anatomie]::N,爪,künz'
38,Zeh::N,足の指,barbaz
39,Fuß::N,足,jaug
40,Ferse::N,かかと,kand
41,Knie::N,膝,komb
42,Knie::N,膝,pol'v
43,Oberschenkel::N,上腿,riiže
44,Bein::N,足,jaug
45,Körper::N,体,hibj
46,Haut::N,皮膚,nahk
47,Blut::N,血,čak
48,Blut::N,血,veri
49,Ader::N,血管,son'
50,Sehne::N,腱,jände
51,Knochen::N,骨,lu
52,Gehirn::N,脳,aivod
53,Herz::N,心,südäin
54,Herz::N,心臓,südäin
55,Magen::N,胃,südäikoht
56,Leber::N,肝臓,maks
57,Atem::N,息,hengaiduz
58,Atem::N,呼吸,hengaiduz
59,Hunger::N,空腹,näl'g
60,Träne::N,涙,kündal'
61,Geschmack::N,味,magu
62,Geruch::N,匂い,haju
63,Schlaf::N,睡眠,uni
64,Traum::N,夢,unikuva
65,Himmel::N,空,taivaz
