,Concept_ID,lez,tr
843,vergebens::ADV,нагьакь,boşuna
844,vergebens::ADV,нагьакьа,boşuna
845,vor::PRP,вилик,önünde
846,hinter::PRP,кьулухъ,arkasında
847,unter::PRP,кӏаник,altında
848,durch::PRP,арадай,sayesinde
849,durch::PRP,арадай,ortasından
850,durch::PRP,-кай хкатна,sayesinde
851,durch::PRP,-кай хкатна,ortasından
852,neben::PRP,патав,yanında
853,neben::PRP,мукьув,yanında
854,zwischen::PRP,ара,arasında
855,zwischen::PRP,арада,arasında
856,wegen::PRP,гъиляй,dolayı
857,dies::PRN,и,bu
858,dies::PRN,им,bu
859,das::PRN,а,o
860,das::PRN,а,şu
861,das::PRN,ам,o
862,das::PRN,ам,şu
863,alles::PRN,вири,hepsi
864,alles::PRN,вири,her şey
865,alles::PRN,михьиз,hepsi
866,alles::PRN,михьиз,her şey
867,ich::PRN,за,ben
868,ich::PRN,зун,ben
869,du::PRN,вун,sen
870,er::PRN,ам,o
871,er::PRN,гьа,o
872,wir::PRN,чун,biz
873,ihr::PRN,куьн,siz
874,sie::PRN,абур,onlar
875,was::FPRN,вуч,ne
876,wer::FPRN,вуж,kim
877,wo::FADV,гьина,nerede
878,wohin::FADV,гьиниз,nereye
879,wie::FADV,гьикӏ,nasıl
880,warum::FADV,вучиз,neden
881,wieviel::FNUM,шумуд,kaç
882,wieviel::FNUM,шумуд,ne kadar
883,eins::NUM,са,bir
884,zwei::NUM,кьвед,iki
885,drei::NUM,пуд,üç
886,vier::NUM,кьуд,dört
887,fünf::NUM,вад,beş
888,sechs::NUM,ругуд,altı
889,sieben::NUM,ирид,yedi
890,acht::NUM,муьжуьд,sekiz
891,neun::NUM,кӏуьд,dokuz
892,zehn::NUM,цӏуд,on
893,elf::NUM,цӏусад,on bir
894,zwölf::NUM,цӏикьвед,on iki
895,zwanzig::NUM,къад,yirmi
896,dreißig::NUM,къанницӏуд,otuz
897,vierzig::NUM,яхцӏур,kırk
898,fünfzig::NUM,яхцӏурни цӏуд,elli
899,sechzig::NUM,пудкъад,altmış
900,siebzig::NUM,пудкъанни цӏуд,yetmiş
901,achtzig::NUM,кьудкъад,seksen
902,neunzig::NUM,кьудкъанни цӏуд,doksan
903,hundert::NUM,виш,yüz
904,tausend::NUM,агъзур,bin
905,und::CNJ,ва,ve
906,und::CNJ,ва,ile
907,oder::CNJ,я,ya
908,oder::CNJ,я,yahut
909,stehen::V,акъвазун,durmak
910,sitzen::V,ацукьун,oturmak
911,liegen::V,къаткун,yatmak
912,hängen::V,куьрс хьун,asılı olmak
913,werden::V,хьун,olmak
914,werden::V,хьун,olunmak
915,passieren::V,хьун,olmak
916,beginnen::V,башламиш хьун,başlamak
917,enden::V,куьтягь хьун,bitmek
918,enden::V,куьтягь хьун,sona ermek
919,wechseln::V,дегиш хьун,değişmek
920,aufgehen[Sonne]::V,экъечӏун,doğmak
921,untergehen[Sonne]::V,акӏун,batmak
922,scheinen[Sonne]::V,ишигь гун,parlamak
923,donnern::V,къукърумар авун,gök gürlemek
924,strömen::V,авахьун,akmak
925,fließen::V,авахьун,akmak
926,sich drehen::V,элкъуьн,dönmek
927,schwanken::V,юзун,sallanmak
928,schwingen::V,галтад хьун,titremek
929,fallen::V,аватун,düşmek
930,brennen::V,кун,yanmak
931,brennen::V,ккун,yanmak
932,regnen::V,къун,yağmak
933,gefrieren::V,муркӏади кьун,donmak
934,tauen::V,цӏурун,erimek
935,schmelzen::V,цӏурун,erimek
936,trocknen::V,кьурун,kurumak
937,sieden::V,ругун,kaynamak
938,faulen::V,кутӏун,çürümek
939,verfaulen::V,чуьруьтмиш хьун,çürümek
940,verfaulen::V,кутӏун,çürümek
941,reißen::V,атӏун,yırtılmak
942,reißen::V,къазунун,yırtılmak
943,versinken::V,батмиш хьун,batmak
944,vergehen::V,алатун,geçmek
945,erscheinen::V,майдандиз акъатун,görünmek
946,verschwinden::V,квахьун,kaybolmak
947,sinken::V,элекьун,inmek
948,abnehmen::V,тӏимил хьун,azalmak
949,abnehmen::V,гъвечӏи хьун,azalmak
950,zunehmen::V,артух хьун,artmak
951,zunehmen::V,артух хьун,çoğalmak
952,steigen::V,хкаж хьун,artmak
953,steigen::V,хкаж хьун,yükselmek
954,wachsen::V,экъечӏун,büyümek
955,wachsen::V,экъечӏун,gelişmek
956,glänzen::V,цӏарцӏар гун,parlamak
957,funkeln::V,нур гун,parıldamak
958,lärmen::V,ван авун,gürültü yapmak
959,läuten::V,зенг ягъун,çalmak
960,klingeln::V,зенг ягъун,zil çalmak
961,klirren::V,зигринг авун,şakırdamak
962,klirren::V,зигринг авун,zangırdamak
963,brausen::V,къати хьун,köpürmek
964,brausen::V,къати хьун,kükremek
965,rauschen::V,вишриш авун,fışırdamak
966,klingen::V,ван авун,tınlamak
967,bellen::V,элуькьун,havlamak
968,heulen::V,къув ягъун,ulumak
969,blasen::V,уф гун,üflemek
970,pfeifen::V,уьфт ягъун,düdük çalmak
971,schreien::V,гьараюн,bağırmak
972,schreien::V,гьараюн,haykırmak
973,stöhnen::V,суза авун,inlemek
974,zittern::V,зурзун,titremek
975,leben::V,яшамиш хьун,yaşamak
976,leben::V,яшамиш хьун,hayatta olmak
977,geboren werden::V,хьун,doğmak
978,atmen::V,нефес чӏугун,solunmak
979,atmen::V,нефес чӏугун,nefes almak
980,trinken::V,хъун,içmek
981,essen::V,тӏуьн,yemek
982,schlucken::V,туькьуьнун,yutmak
983,müde werden::V,галатун,yorulmak
984,müde werden::V,юргъун хьун,yorulmak
985,einschlafen::V,ксун,uykuya dalmak
986,schlafen::V,ксун,uyumak
987,aufwachen::V,ахварай аватун,uyanmak
988,aufstehen::V,къарагъун,kalkmak
989,aufstehen::V,къарагъун,yataktan kalkmak
990,sich erholen::V,ял ягъун,dinlenmek
991,krank werden::V,кефсуз хьун,hastalanmak
992,krank sein::V,тӏа хьун,hasta olmak
993,schmerzen::V,тӏа хьун,ağrımak
994,husten::V,уьгьуь ягъун,öksürmek
995,genesen::V,сагъ хъхьун,şifa bulmak
996,sterben::V,кьин,ölmek
997,sterben::V,кьин,vefat etmek
998,umkommen::V,терг хьун,ölmek
999,sich bewegen::V,юзун,hareket etmek
1000,sich rühren::V,юзун,kımıldanmak
1001,sich erheben::V,къарагъун,kalkmak
1002,sich erheben::V,къарагъун,ayağa kalkmak
1003,sich setzen::V,ацукьун,oturmak
1004,hinfallen::V,алукьун,yere düşmek
1005,laufen::V,къекъуьн,yürümek
1006,schreiten::V,ккамар къачун,yürümek
1007,schreiten::V,ккамар къачун,adım atmak
1008,spazierengehen::V,сейр авун,gezmek
1009,spazierengehen::V,сейр авун,dolaşmak
1010,eilen::V,тади авун,seğirtmek
1011,sich beeilen::V,гьерекатун,acele etmek
1012,sausen::V,чкурун,hızla gitmek
1013,rennen::V,катун,koşmak
1014,rennen::V,зверун,koşmak
1015,springen::V,хкадарун,atlamak
1016,springen::V,хкадарун,sıçramak
1017,klettern::V,акьахун,tırmanmak
1018,kriechen::V,капаралди фин,sürünmek
1019,schwimmen::V,сирнав авун,yüzmek
1020,tauchen::V,кьилихъди циз вегьин,dalmak
1021,rudern::V,кьусуйралди лодка гьалун,kürek çekmek
1022,rudern::V,цуьруьгъуьлдалди кӏватӏун,kürek çekmek
1023,fahren::V,фин,gitmek
1024,fliegen::V,лув гун,uçmak
1025,fliegen::V,цавай фин,uçmak
1026,gehen::V,фин,gitmek
1027,weggehen::V,хъфин,gitmek
1028,abfahren::V,фин,kalkmak
1029,abfahren::V,рекье гьатун,kalkmak
1030,anhalten::V,акъвазун,durmak
1031,hineingehen::V,гьахьун,içeri girmek
1032,eintreten::V,гьахьун,girmek
1033,kommen::V,атун,gelmek
1034,ankommen::V,атун,varmak
1035,zurückkommen::V,хтун,dönmek
1036,bleiben::V,амукьун,kalmak
1037,warten::V,гуьзлемишун,beklemek
1038,erwarten::V,вил алаз акъвазун,beklemek
1039,suchen::V,къекъуьн,aramak
1040,finden::V,жугъун,bulmak
1041,versuchen::V,алахъун,denemek
1042,vorbereiten::V,гьазурун,hazırlamak
1043,lieben::V,кӏан хьун,sevmek
1044,mögen::V,рикӏ ацукьун,beğenmek
1045,lachen::V,хъуьруьн,gülmek
1046,weinen::V,шехьун,ağlamak
1047,schimpfen::V,сеперар гун,küfretmek
1048,schimpfen::V,экъуьгъунар авун,küfretmek
1049,sich ärgern::V,хъел акатун,kızmak
1050,sich fürchten::V,кичӏе хьун,korkmak
1051,fürchten::V,къурхутмиш хьун,korkmak
1052,fliehen::V,катун,kaçmak
1053,flüchten::V,катун,kaçmak
1054,sehen::V,акун,görmek
1055,anschauen::V,вил вегьин,seyretmek
1056,ansehen::V,килигун,bakmak
1057,hören::V,ван хьун,duymak
1058,hören::V,ван хьун,işitmek
1059,zuhören::V,яб гун,dinlemek
1060,probieren::V,дад акун,denemek
1061,probieren::V,дад акун,tadına bakmak
1062,riechen::V,ни чӏугун,kokusunu almak
1063,fühlen::V,гьисс авун,duymak
1064,fühlen::V,гьисс авун,hissetmek
1065,frieren::V,кьун,üşümek
1066,frieren::V,мекьи хьун,üşümek
1067,tun::V,авун,etmek
1068,tun::V,авун,yapmak
1069,können::V,хьун,bilmek
1070,können::V,акъакьун,bilmek
1071,wollen::V,кӏан хьун,istemek
1072,anfangen::V,башламишун,başlamak
1073,beenden::V,куьтягьун,bitirmek
1074,aufhören::V,акъвазун,bitmek
1075,gelingen::V,арадал атун,başarmak
1076,geraten::V,акъатун,düşmek
1077,öffnen::V,ахъаюн,açmak
1078,schließen::V,акьалун,kapamak
1079,stellen::V,эцигун,koymak
1080,setzen::V,ацукьарун,koymak
1081,setzen::V,ацукьарун,oturtmak
1082,legen::V,эцигун,koymak
1083,legen::V,эцигун,yatırmak
1084,berühren::V,хкӏурун,dokunmak
1085,verbinden::V,гилигун,bağlamak
1086,verbinden::V,гилигун,birleştirmek
1087,bedecken::V,кӏевун,örtmek
