,Concept_ID,ru,os
0,Auge::N,глаз,цӕст
1,Ohr::N,ухо,хъус
2,Nase::N,нос,фындз
3,Mund::N,рот,дзых
4,Zahn::N,зуб,дӕндаг
5,Zunge::N,язык,ӕвзаг
6,Lippe::N,губа,был
7,Wange::N,щека,рус
8,Wange::N,щека,уадул
9,Wange::N,щека,ӕхсӕрфарс
10,Gesicht::N,лицо,цӕсгом
11,Stirn::N,лоб,ных
12,Haar::N,волос,хил
13,Haar::N,волосы,хил
14,Schnurrbart::N,ус,рихи
15,Schnurrbart::N,усы,рихи
16,Bart::N,борода,зачъе
17,Kinn::N,подбородок,роцъо
18,Kiefer[Anatomie]::N,челюсть,ӕфсӕр
19,Kehle::N,горло,хъуыр
20,Hals::N,шея,къубал
21,Genick::N,затылок,къӕбут
22,Kopf::N,голова,сӕр
23,Rücken::N,спина,фӕсонтӕ
24,Bauch::N,живот,гуыбын
25,Nabel::N,пупок,бикъ
26,Busen::N,женская грудь,дзидзи
27,Brust::N,грудь,риу
28,Schulter::N,плечо,уӕхск
29,Arm::N,рука,цонг
30,Ellenbogen::N,локоть,рæмбын
31,Hand::N,кисть,къух
32,Handfläche::N,ладонь,армытъӕпӕн
33,Finger::N,палец,ӕнруылдз
34,Fingernagel::N,ноготь,ных
35,Nagel[Anatomie]::N,ноготь,ных
36,Zeh::N,палец,къух
37,Fuß::N,ступня,фад
38,Ferse::N,пята,зӕвӕт
39,Ferse::N,пятка,зӕвӕт
40,Knie::N,колено,уӕраг
41,Oberschenkel::N,бедро,агъд
42,Bein::N,нога,зӕнг
43,Körper::N,тело,буар
44,Haut::N,кожа,царм
45,Blut::N,кровь,туг
46,Ader::N,вена,дадзин
47,Ader::N,вена,тугдадзин
48,Ader::N,сосуд,дадзин
49,Ader::N,сосуд,тугдадзин
50,Sehne::N,жила,хъиутæ
51,Sehne::N,жила,нуар
52,Sehne::N,тетива,хъиутæ
53,Sehne::N,тетива,нуар
54,Sehne::N,сухожилие,хъиутæ
55,Sehne::N,сухожилие,нуар
56,Knochen::N,кость,стӕг
57,Gehirn::N,мозг,магъз
58,Herz::N,сердце,зӕрдӕ
59,Magen::N,желудок,ахсӕн
60,Leber::N,печень,игæр
61,Atem::N,дух,улӕфт
62,Atem::N,дыхание,улӕфт
63,Hunger::N,голод,стонг
64,Träne::N,слеза,цæссыг
65,Geschmack::N,вкус,ад
66,Geruch::N,запах,смаг
67,Schlaf::N,сон,хуыссӕг
68,Traum::N,сновидение,фын
69,Himmel::N,небо,арв
70,Himmel::N,небо,уӕларв
71,Sonne::N,солнце,хур
72,Mond::N,луна,мӕй
73,Stern::N,звезда,стъалы
74,Luft::N,воздух,уӕлдӕф
75,Wind::N,ветер,дымгӕ
76,Welle::N,волна,уылӕн
77,Wasser::N,вода,дон
78,Stein::N,камень,дур
79,Boden::N,почва,зӕхх
80,Erde::N,земля,сыджыт
81,Staub::N,пыль,рыг
82,Rauch::N,дым,фӕздӕг
83,Funke::N,искра,цӕхӕр
84,Feuer::N,огонь,зынг
85,Licht::N,свет,рухс
86,Schatten::N,тень,аууон
