,Concept_ID,kk,fi
0,Auge::N,көз,silmä
1,Ohr::N,құлақ,korva
2,Nase::N,мұрын,nenä
3,Mund::N,ауыз,suu
4,Zahn::N,тіс,hammas
5,Zunge::N,тіл,kieli
6,Lippe::N,ерін,huuli
7,Wange::N,ұрт,poski
8,Gesicht::N,бет-аузы,naama
9,Gesicht::N,бет-аузы,kasvot
10,Stirn::N,маңдай,otsa
11,Haar::N,қыл,hius
12,Haar::N,қыл,tukka
13,Schnurrbart::N,мұрт,viikset
14,Bart::N,сақал,parta
15,Kinn::N,иек,leuka
16,Kiefer[Anatomie]::N,жақ,leukaluu
17,Kehle::N,алқым,kurkku
18,Hals::N,мойын,kaula
19,Genick::N,желке,niska
20,Kopf::N,кәллә,pää
21,Rücken::N,арқа,selkä
22,Bauch::N,қарын,maha
23,Bauch::N,қарын,vatsa
24,Nabel::N,кіндік,napa
25,Busen::N,омырау,rinta
26,Brust::N,кеуде,rinta
27,Schulter::N,иық,olka
28,Schulter::N,иық,hartia
29,Schulter::N,иық,olkapää
30,Arm::N,қол,käsivarsi
31,Ellenbogen::N,шынтақ,kyynärpää
32,Hand::N,қол,käsi
33,Handfläche::N,алақан,kämmen
34,Finger::N,саусақ,sormi
35,Fingernagel::N,тырнақ,kynsi
36,Nagel[Anatomie]::N,тырнақ,kynsi
37,Zeh::N,тырнақ,varvas
38,Zeh::N,тұяқ,varvas
39,Fuß::N,аяқ-басы,jalka
40,Ferse::N,өкше,kantapää
41,Ferse::N,өкшелік,kantapää
42,Knie::N,тізе,polvi
43,Oberschenkel::N,жамбас,reisi
44,Bein::N,аяқ,jalka
45,Körper::N,дене,keho
46,Körper::N,дене,ruumis
47,Haut::N,тері,iho
48,Blut::N,қан,veri
49,Ader::N,көктамыр,suoni
50,Ader::N,күретамыр,suoni
51,Sehne::N,сіңір,jänne
52,Knochen::N,жілік,luu
53,Gehirn::N,ми,aivot
54,Herz::N,жүрек,sydän
55,Magen::N,асқазан,maha
56,Magen::N,асқазан,vatsa
57,Leber::N,бауыр,maksa
58,Atem::N,леп,henki
59,Atem::N,леп,hengitys
60,Hunger::N,ашаршылық,nälkä
61,Träne::N,жас,kyynel
62,Geschmack::N,дәм,maku
63,Geschmack::N,татым,maku
64,Geschmack::N,талғам,maku
65,Geruch::N,иіс,haju
66,Schlaf::N,ұйқы,uni
67,Schlaf::N,ұйықтау,uni
68,Traum::N,түс,uni
69,Himmel::N,аспан,taivas
70,Himmel::N,көқ,taivas
71,Himmel::N,таңдай,taivas
72,Sonne::N,күн,aurinko
73,Mond::N,ай,kuu
74,Stern::N,жұлдыз,tähti
75,Luft::N,әуе,ilma
76,Wind::N,жел,tuuli
77,Welle::N,толқын,aalto
78,Wasser::N,су,vesi
79,Stein::N,тас,kivi
80,Boden::N,қыртыс,maa
81,Boden::N,қыртыс,maaperä
82,Erde::N,топырақ,maa
83,Staub::N,шаң,pöly
84,Rauch::N,түтін,savu
85,Funke::N,ұшқын,kipinä
86,Feuer::N,алау,tuli
87,Licht::N,шұғыла,valo
88,Schatten::N,көлеңке,varjo
89,Wetter::N,ауа райы,sää
90,Nebel::N,тұман,sumu
91,Wolke::N,бұлт,pilvi
92,Regen::N,жаңбыр,sade
93,Schnee::N,қар,lumi
94,Eis::N,мұз,jää
95,Frost::N,суық,halla
96,Frost::N,суық,pakkanen
97,Kälte::N,ызғар,vilu
98,Kälte::N,ызғар,kylmyys
99,Kälte::N,суықтық,vilu
100,Kälte::N,суықтық,kylmyys
101,Hitze::N,аптап,helle
102,Hitze::N,аптап,kuumuus
103,Raureif::N,қырау,huurre
104,Regenbogen::N,кемпірқосақ,sateenkaari
105,Donner::N,күн күркіреу,jyrinä
106,Strömung::N,ағын,virtaus
107,Tropfen::N,тамшы,tippa
108,Tropfen::N,тамшы,pisara
109,Schaum::N,көбік,vaahto
110,Schmutz::N,кір,loka
111,See::N,көл,järvi
112,Sumpf::N,саз,suo
113,Moor::N,саз,räme
114,Wiese::N,шалғын,niitty
115,Wald::N,орман,metsä
116,Hügel::N,төбе,mäki
117,Hügel::N,төбе,kumpu
118,Hügel::N,төбе,kukkula
119,Hügel::N,белес,mäki
120,Hügel::N,белес,kumpu
121,Hügel::N,белес,kukkula
122,Hügel::N,белес-белес,mäki
123,Hügel::N,белес-белес,kumpu
124,Hügel::N,белес-белес,kukkula
125,Anhöhe::N,дөң,mäki
126,Anhöhe::N,дөң,kumpare
127,Anhöhe::N,адыр,mäki
128,Anhöhe::N,адыр,kumpare
129,Anhöhe::N,қырат,mäki
130,Anhöhe::N,қырат,kumpare
131,Berg::N,тау,mäki
132,Berg::N,тау,vuori
133,Gipfel::N,төбе,laki
134,Gipfel::N,төбе,huippu
135,Höhle::N,үңгір,luola
136,Abhang::N,бауыр,rinne
137,Quelle::N,қайнар,lähde
138,Bach::N,жылға,puro
139,Fluss::N,өзен,joki
140,Ufer::N,жиек,ranta
141,Küste::N,жиегі,rannikko
142,Küste::N,жағалау,rannikko
143,Festland::N,құрылық,manner
144,Meer::N,теңіз,meri
145,Bucht::N,шығанақ,lahti
146,Insel::N,арал,saari
147,Blume::N,гүл,kukka
148,Gras::N,от,ruoho
149,Wurzel::N,түбір,juuri
150,Baum::N,ағаш,puu
151,Baum::N,дарақ,puu
152,Stamm::N,сояу,runko
153,Stamm::N,оқпан,runko
154,Rinde::N,қабық,kuori
155,Rinde::N,қабық,parkki
156,Ast::N,бұтақ,oksa
157,Zweig::N,шыбық,haara
158,Blatt::N,жапырақ,lehti
159,Birke::N,қайың,koivu
160,Kiefer[Baum]::N,қарағай,mänty
161,Kiefer[Baum]::N,қарағай,petäjä
162,Weide[Baum]::N,тал,paju
163,Tanne::N,шырша,kuusi
164,Horn::N,мүйіз,sarvi
165,Feder::N,қаламұш,sulka
166,Feder::N,қаламұш,höyhen
167,Fell::N,тері,talja
168,Flügel::N,қанат,siipi
169,Klaue::N,тырнақ,kynsi
170,Kralle::N,аяқ,kynsi
