,Concept_ID,pl,lv
0,Auge::N,oko,син
1,Auge::N,oko,acs
2,Ohr::N,ucho,пель
3,Ohr::N,ucho,auss
4,Nase::N,nos,ныр
5,Nase::N,nos,deguns
6,Mund::N,usta,вом
7,Mund::N,usta,mute
8,Zahn::N,ząb,пинь
9,Zahn::N,ząb,zobs
10,Zunge::N,język,кыв
11,Zunge::N,język,mēle
12,Lippe::N,warga,вом дор
13,Lippe::N,warga,lūpa
14,Wange::N,policzek,бан
15,Wange::N,policzek,vaigs
16,Gesicht::N,twarz,чужӧм
17,Gesicht::N,twarz,seja
18,Gesicht::N,twarz,ģīmis
19,Stirn::N,czoło,плеш
20,Stirn::N,czoło,кымӧс
21,Stirn::N,czoło,piere
22,Haar::N,włos,си
23,Haar::N,włos,юрси
24,Haar::N,włos,mats
25,Haar::N,włosy,си
26,Haar::N,włosy,юрси
27,Haar::N,włosy,mats
28,Schnurrbart::N,wąsy,ус
29,Schnurrbart::N,wąsy,пыртсим
30,Schnurrbart::N,wąsy,ūsas
31,Bart::N,broda,тош
32,Bart::N,broda,bārda
33,Kinn::N,podbródek,тшӧка
34,Kinn::N,podbródek,zods
35,Kinn::N,podbródek,smakrs
36,Kiefer[Anatomie]::N,czeluść,черлы
37,Kiefer[Anatomie]::N,czeluść,алака лы
38,Kiefer[Anatomie]::N,czeluść,вомкӧтш лы
39,Kiefer[Anatomie]::N,czeluść,žoklis
40,Kehle::N,gardło,голя
41,Kehle::N,gardło,rīkle
42,Hals::N,szyja,сьылі
43,Hals::N,szyja,kakls
44,Genick::N,kark,юрбӧр
45,Genick::N,kark,балябӧж
46,Genick::N,kark,sprands
47,Kopf::N,głowa,юр
48,Kopf::N,głowa,galva
49,Rücken::N,plecy,мыш
50,Rücken::N,plecy,mugura
51,Rücken::N,grzbiet,мыш
52,Rücken::N,grzbiet,mugura
53,Bauch::N,brzuch,рушку
54,Bauch::N,brzuch,vēders
55,Nabel::N,pępek,гӧг
56,Nabel::N,pępek,naba
57,Busen::N,biust,морӧс
58,Busen::N,biust,krūts
59,Brust::N,pierś,морӧс
60,Brust::N,pierś,krūts
61,Schulter::N,bark,пельпом
62,Schulter::N,bark,plecs
63,Schulter::N,ramię,пельпом
64,Schulter::N,ramię,plecs
65,Arm::N,ręka,ки
66,Arm::N,ręka,roka
67,Arm::N,ręka,delms
68,Arm::N,ramię,ки
69,Arm::N,ramię,roka
70,Arm::N,ramię,delms
71,Ellenbogen::N,łokieć,гырддза
72,Ellenbogen::N,łokieć,elkonis
73,Hand::N,dłoń,ки
74,Hand::N,dłoń,roka
75,Hand::N,dłoń,plauksta
76,Handfläche::N,dłoń,ки пыдӧс
77,Handfläche::N,dłoń,delna
78,Handfläche::N,dłoń,plauksta
79,Finger::N,palec,чунь
80,Finger::N,palec,pirksts
81,Fingernagel::N,paznokieć,гыж
82,Fingernagel::N,paznokieć,nags
83,Nagel[Anatomie]::N,paznokieć,гыж
84,Nagel[Anatomie]::N,paznokieć,nags
85,Zeh::N,palec,кок чунь
86,Zeh::N,palec,pirksts
87,Fuß::N,stopa,кок
88,Fuß::N,stopa,kāja
89,Ferse::N,pięta,кокбӧр
90,Ferse::N,pięta,papēdis
91,Knie::N,kolano,пидзӧс
92,Knie::N,kolano,celis
93,Oberschenkel::N,udo,лядьвей
94,Oberschenkel::N,udo,бек
95,Oberschenkel::N,udo,ciska
96,Oberschenkel::N,udo,augšstilbs
97,Bein::N,noga,кок
98,Bein::N,noga,kāja
99,Körper::N,ciało,туша
100,Körper::N,ciało,вывтыр
101,Körper::N,ciało,miesa
102,Körper::N,ciało,ķermenis
103,Haut::N,skóra,ку
104,Haut::N,skóra,āda
105,Blut::N,krew,вир
106,Blut::N,krew,asins
107,Ader::N,żyła,сӧн
108,Ader::N,żyła,asinsvads
109,Sehne::N,ścięgno,вез
110,Sehne::N,ścięgno,dzīsla
111,Knochen::N,kość,лы
112,Knochen::N,kość,kauls
113,Gehirn::N,mózg,вем
114,Gehirn::N,mózg,smadzenes
115,Herz::N,serce,сьӧлӧм
116,Herz::N,serce,sirds
117,Magen::N,żołądek,кынӧм
118,Magen::N,żołądek,kuņģis
119,Leber::N,wątroba,мус
120,Leber::N,wątroba,aknas
121,Atem::N,dech,лов
122,Atem::N,dech,elpa
123,Atem::N,oddech,лов
124,Atem::N,oddech,elpa
125,Hunger::N,głód,тшыг
126,Hunger::N,głód,bads
127,Hunger::N,głód,izsalkums
128,Träne::N,łza,синва
129,Träne::N,łza,asara
130,Geschmack::N,smak,кӧр
131,Geschmack::N,smak,чӧсмӧс
132,Geschmack::N,smak,garša
133,Geruch::N,woń,зын
134,Geruch::N,woń,дук
135,Geruch::N,woń,smaka
136,Geruch::N,zapach,зын
137,Geruch::N,zapach,дук
138,Geruch::N,zapach,smaka
139,Schlaf::N,sen,узьӧм
140,Schlaf::N,sen,miegs
141,Traum::N,sen,вӧт
142,Traum::N,sen,вӧтасьӧм
143,Traum::N,sen,sapnis
144,Himmel::N,niebo,енэж
145,Himmel::N,niebo,debess
146,Sonne::N,słońce,шонді
147,Sonne::N,słońce,saule
148,Mond::N,księżyc,тӧлысь
149,Mond::N,księżyc,mēness
150,Stern::N,gwiazda,кодзув
151,Stern::N,gwiazda,zvaigzne
152,Luft::N,powietrze,сынӧд
153,Luft::N,powietrze,gaiss
154,Wind::N,wiatr,тӧв
155,Wind::N,wiatr,vējš
156,Welle::N,fala,гы
157,Welle::N,fala,vilnis
158,Wasser::N,woda,ва
159,Wasser::N,woda,ūdens
160,Stein::N,kamień,из
161,Stein::N,kamień,akmens
162,Boden::N,grunt,му
163,Boden::N,grunt,augsne
164,Erde::N,ziemia,му
165,Erde::N,ziemia,му-ва
166,Erde::N,ziemia,zeme
167,Staub::N,pył,бус
168,Staub::N,pył,putekļi
169,Staub::N,kurz,бус
170,Staub::N,kurz,putekļi
171,Rauch::N,dym,тшын
172,Rauch::N,dym,dūmi
173,Funke::N,iskra,кинь
174,Funke::N,iskra,би кинь
175,Funke::N,iskra,dzirkstele
176,Feuer::N,ogień,би
177,Feuer::N,ogień,uguns
178,Licht::N,światło,югӧр
179,Licht::N,światło,gaisma
180,Schatten::N,cień,вуджӧр
181,Schatten::N,cień,ēna
182,Wetter::N,pogoda,поводдя
183,Wetter::N,pogoda,laiks
184,Nebel::N,mgła,ру
185,Nebel::N,mgła,онь
186,Nebel::N,mgła,migla
187,Wolke::N,obłok,кымӧр
188,Wolke::N,obłok,mākonis
189,Wolke::N,chmura,кымӧр
190,Wolke::N,chmura,mākonis
191,Regen::N,deszcz,зэр
192,Regen::N,deszcz,lietus
193,Schnee::N,śnieg,лым
194,Schnee::N,śnieg,sniegs
195,Eis::N,lód,йи
196,Eis::N,lód,ledus
197,Frost::N,mróz,кӧдзыд
198,Frost::N,mróz,sals
199,Kälte::N,chłód,кӧдзыд
200,Kälte::N,chłód,saltums
201,Kälte::N,chłód,aukstums
202,Hitze::N,gorąco,пӧсь
203,Hitze::N,gorąco,гожӧд
204,Hitze::N,gorąco,karstums
205,Raureif::N,szron,пуж
206,Raureif::N,szron,гыӧр
207,Raureif::N,szron,sarma
208,Regenbogen::N,tęcza,ӧшкамӧшка
209,Regenbogen::N,tęcza,varavīksne
210,Donner::N,grzmot,гым
211,Donner::N,grzmot,pērkons
212,Strömung::N,nurt,ва ныр
213,Strömung::N,nurt,визувтӧм
214,Strömung::N,nurt,straume
215,Strömung::N,nurt,strāvojums
216,Tropfen::N,kropla,войт
217,Tropfen::N,kropla,lāse
218,Schaum::N,piana,быг
219,Schaum::N,piana,быгзьӧм
220,Schaum::N,piana,putas
221,Schmutz::N,brud,няйт
222,Schmutz::N,brud,dubļi
223,See::N,jezioro,ты
224,See::N,jezioro,ezers
225,Sumpf::N,bagno,гыбад
226,Sumpf::N,bagno,кад
227,Sumpf::N,bagno,dumbrājs
228,Sumpf::N,bagno,staignājs
229,Moor::N,bagno,нюр
230,Moor::N,bagno,purvs
231,Moor::N,bagno,muklājs
232,Wiese::N,łąka,видз
233,Wiese::N,łąka,pļava
234,Wald::N,las,вӧр
235,Wald::N,las,mežs
236,Hügel::N,pagórek,дзиб
237,Hügel::N,pagórek,мыльк
238,Hügel::N,pagórek,нӧрыс
239,Hügel::N,pagórek,paugurs
240,Anhöhe::N,wzgórze,мыльк
241,Anhöhe::N,wzgórze,нӧрыс
242,Anhöhe::N,wzgórze,paugurs
243,Berg::N,góra,чой
244,Berg::N,góra,керӧс
245,Berg::N,góra,kalns
246,Gipfel::N,szczyt,чук
247,Gipfel::N,szczyt,virsotne
248,Gipfel::N,wierzchołek,чук
249,Gipfel::N,wierzchołek,virsotne
250,Höhle::N,pieczara,рудӧг
251,Höhle::N,pieczara,ala
252,Abhang::N,stok,ньывк
253,Abhang::N,stok,бокша
254,Abhang::N,stok,nogāze
255,Abhang::N,zbocze,ньывк
256,Abhang::N,zbocze,бокша
257,Abhang::N,zbocze,nogāze
258,Quelle::N,zdrój,ӧшмӧс
259,Quelle::N,zdrój,avots
260,Quelle::N,źródło,ӧшмӧс
261,Quelle::N,źródło,avots
262,Bach::N,potok,шор
263,Bach::N,potok,urga
264,Bach::N,potok,strauts
265,Bach::N,strumień,шор
266,Bach::N,strumień,urga
267,Bach::N,strumień,strauts
268,Fluss::N,rzeka,ю
269,Fluss::N,rzeka,upe
270,Ufer::N,brzeg,вадор
271,Ufer::N,brzeg,krasts
272,Küste::N,wybrzeże,вадор
273,Küste::N,wybrzeże,piekraste
274,Festland::N,ląd,му
275,Festland::N,ląd,sauszeme
276,Meer::N,morze,саридз
277,Meer::N,morze,jūra
278,Bucht::N,zatoka,куръя
279,Bucht::N,zatoka,līcis
280,Insel::N,wyspa,ді
281,Insel::N,wyspa,sala
282,Blume::N,kwiat,дзоридз
283,Blume::N,kwiat,puķe
284,Blume::N,kwiat,zieds
285,Gras::N,trawa,турун
286,Gras::N,trawa,zāle
287,Wurzel::N,korzeń,вуж
288,Wurzel::N,korzeń,sakne
289,Baum::N,drzewo,пу
290,Baum::N,drzewo,koks
291,Stamm::N,pień,пучер
292,Stamm::N,pień,stumbrs
293,Rinde::N,kora,кырсь
294,Rinde::N,kora,miza
295,Ast::N,gałąź,ув
296,Ast::N,gałąź,zars
297,Zweig::N,gałąź,вож
298,Zweig::N,gałąź,nozare
299,Blatt::N,liść,кор
300,Blatt::N,liść,lapa
301,Birke::N,brzoza,кыдз
302,Birke::N,brzoza,bērzs
303,Kiefer[Baum]::N,sosna,пожӧм
304,Kiefer[Baum]::N,sosna,priede
305,Weide[Baum]::N,wierzba,бадь
306,Weide[Baum]::N,wierzba,kārkls
307,Tanne::N,jodła,коз
308,Tanne::N,jodła,egle
309,Horn::N,róg,сюр
310,Horn::N,róg,rags
