,Concept_ID,de,hu
0,Auge::N,Auge,szem
1,Ohr::N,Ohr,fül
2,Nase::N,Nase,orr
3,Mund::N,Mund,száj
4,Zahn::N,Zahn,fog
5,Zunge::N,Zunge,nyelv
6,Lippe::N,Lippe,ajak
7,Wange::N,Wange,orca
8,Gesicht::N,Gesicht,arc
9,Stirn::N,Stirn,homlok
10,Haar::N,Haar,haj
11,Schnurrbart::N,Schnurrbart,bajusz
12,Bart::N,Bart,szakáll
13,Kinn::N,Kinn,áll
14,Kiefer[Anatomie]::N,Kiefer,állkapocs
15,Kehle::N,Kehle,gége
16,Kehle::N,Kehle,torok
17,Hals::N,Hals,nyak
18,Genick::N,Genick,tarkó
19,Kopf::N,Kopf,fő
20,Kopf::N,Kopf,fej
21,Rücken::N,Rücken,hát
22,Bauch::N,Bauch,has
23,Nabel::N,Nabel,köldök
24,Busen::N,Busen,mell
25,Busen::N,Busen,kebel
26,Brust::N,Brust,mell
27,Schulter::N,Schulter,váll
28,Arm::N,Arm,kar
29,Ellenbogen::N,Ellenbogen,könyök
30,Hand::N,Hand,kéz
31,Handfläche::N,Handfläche,tenyér
32,Finger::N,Finger,ujj
33,Fingernagel::N,Fingernagel,köröm
34,Nagel[Anatomie]::N,Nagel,köröm
35,Zeh::N,Zeh,lábujj
36,Fuß::N,Fuß,láb
37,Ferse::N,Ferse,sarok
38,Knie::N,Knie,térd
39,Oberschenkel::N,Oberschenkel,comb
40,Bein::N,Bein,láb
41,Bein::N,Bein,lábszár
42,Körper::N,Körper,test
43,Haut::N,Haut,bőr
44,Blut::N,Blut,vér
45,Ader::N,Ader,ér
46,Sehne::N,Sehne,ín
47,Knochen::N,Knochen,csont
48,Gehirn::N,Gehirn,agy
49,Gehirn::N,Gehirn,agyvelő
50,Herz::N,Herz,szív
51,Magen::N,Magen,gyomor
52,Leber::N,Leber,máj
53,Atem::N,Atem,lehelet
54,Atem::N,Atem,lélegzet
55,Hunger::N,Hunger,éhség
56,Träne::N,Träne,könny
57,Geschmack::N,Geschmack,íz
58,Geruch::N,Geruch,szag
59,Schlaf::N,Schlaf,álom
60,Schlaf::N,Schlaf,alvás
61,Traum::N,Traum,álom
62,Himmel::N,Himmel,ég
63,Himmel::N,Himmel,menny
64,Sonne::N,Sonne,nap
65,Mond::N,Mond,hold
66,Stern::N,Stern,csillag
67,Luft::N,Luft,levegő
68,Wind::N,Wind,szél
