,Concept_ID,en,lbe
0,Auge::N,eye,я
1,Ohr::N,ear,вичӏи
2,Nase::N,nose,май
3,Mund::N,mouth,кьацӏ
4,Zahn::N,tooth,ккарччи
5,Zunge::N,tongue,маз
6,Lippe::N,lip,мурччи
7,Wange::N,cheek,чӏав
8,Gesicht::N,face,лажин
9,Stirn::N,forehead,ненттабакӏ
10,Haar::N,hair,чӏара
11,Schnurrbart::N,moustache,ссирссилтту
12,Bart::N,beard,чӏири
13,Kinn::N,chin,лунттубакӏ
14,Kiefer[Anatomie]::N,jaw,ххинчулул
15,Kehle::N,throat,кьакьари
16,Hals::N,neck,ссурссу
17,Genick::N,nape,махъабакӏ
18,Kopf::N,head,бакӏ
19,Rücken::N,back,ттиликӏ
20,Rücken::N,spine,ттиликӏ
21,Bauch::N,belly,лякьа
22,Nabel::N,navel,цӏумуккутӏ
23,Busen::N,bosom,ккукку
24,Brust::N,chest,хъазам
25,Brust::N,breast,хъазам
26,Schulter::N,shoulder,хъачӏ
27,Arm::N,arm,ка
28,Ellenbogen::N,elbow,ссюрхъ
29,Hand::N,hand,бартка
30,Handfläche::N,palm,хъат
31,Handfläche::N,palm,битӏянхъ
32,Finger::N,finger,кӏисса
33,Fingernagel::N,fingernail,михь
34,Nagel[Anatomie]::N,nail,михь
35,Zeh::N,toe,кӏисса
36,Fuß::N,foot,чӏанччан
37,Ferse::N,heel,никъа
38,Knie::N,knee,ник
39,Oberschenkel::N,thigh,жира
40,Bein::N,leg,ччан
41,Körper::N,body,чурх
42,Haut::N,skin,бурчу
43,Blut::N,blood,оь
44,Ader::N,vein,тунну
45,Sehne::N,sinew,хьхьа
46,Knochen::N,bone,ттаркӏ
47,Gehirn::N,brain,ня
48,Herz::N,heart,дакӏ
49,Herz::N,heart,къюкӏ
50,Magen::N,stomach,лякьа
51,Leber::N,liver,
52,Atem::N,breath,ссихӏ ласаву
53,Atem::N,breath,ссихӏ бигьаву
54,Hunger::N,hunger,ккаши
55,Träne::N,tear,макь
56,Geschmack::N,flavour,тӏин
57,Geschmack::N,flavour,тӏааьн
58,Geschmack::N,flavor,тӏин
59,Geschmack::N,flavor,тӏааьн
60,Geruch::N,odour,кьанкь
61,Geruch::N,odor,кьанкь
62,Schlaf::N,sleep,шану
63,Traum::N,dream,макӏру
64,Himmel::N,sky,ссав
65,Sonne::N,sun,баргъ
66,Mond::N,moon,барз
67,Stern::N,star,цӏуку
68,Luft::N,air,гьава
69,Wind::N,wind,марч
70,Welle::N,wave,щатӏи
71,Wasser::N,water,щин
72,Stein::N,stone,чару
73,Boden::N,soil,аьрщи
74,Boden::N,ground,аьрщи
75,Erde::N,earth,аьрщи
76,Staub::N,dust,ххит
77,Rauch::N,smoke,пуркӏу
78,Funke::N,spark,пиягь
79,Feuer::N,fire,цӏу
80,Licht::N,light,чани
81,Schatten::N,shadow,ххют
82,Wetter::N,weather,гьава
83,Nebel::N,fog,шархь ттурлу
84,Wolke::N,cloud,ттурлу
85,Regen::N,rain,гъарал
86,Schnee::N,snow,марххала
87,Eis::N,ice,микӏ
88,Frost::N,frost,дяркъу
89,Frost::N,frost,замгьар
90,Kälte::N,chill,дяркъу
91,Hitze::N,heat,кӏиришиву
92,Raureif::N,hoarfrost,сил
93,Raureif::N,hoarfrost,бурса
94,Regenbogen::N,rainbow,ссурул ккуртта
95,Donner::N,thunder,къув
96,Strömung::N,current,экьинанаву
97,Tropfen::N,drop,кӏунтӏ
98,Schaum::N,foam,хьама
99,Schmutz::N,dirt,кьяркьи
100,See::N,lake,бяр
101,Sumpf::N,swamp,кунцӏа
102,Moor::N,moor,
103,Wiese::N,meadow,кьан
104,Wald::N,forest,вацӏа
105,Hügel::N,hill,бакӏу
106,Anhöhe::N,elevation,
107,Berg::N,mountain,зунтту
108,Gipfel::N,summit,мицӏ
109,Höhle::N,cave,нух
110,Abhang::N,slope,сун
111,Quelle::N,source,дайдихьу
112,Quelle::N,source,бакӏ
113,Bach::N,brook,чӏрир нех
114,Fluss::N,river,нех
115,Ufer::N,shore,зума
116,Küste::N,coast,зумаинхалу
117,Küste::N,coast,зуманицӏалу
118,Festland::N,land,кьири
119,Meer::N,sea,хьхьири
120,Bucht::N,cove,
121,Insel::N,island,жазира
122,Blume::N,flower,тӏутӏи
123,Gras::N,grass,уртту
124,Wurzel::N,root,мархха
125,Baum::N,tree,мурхь
126,Stamm::N,trunk,ттарцӏ
127,Rinde::N,bark,ккамара
128,Ast::N,limb,матӏи
129,Zweig::N,branch,къяртта
130,Blatt::N,leaf,чӏапӏи
131,Birke::N,birch,кӏялахӏи
132,Birke::N,birch,кӏялахӏилул мурхь
133,Kiefer[Baum]::N,pine,ттар
134,Kiefer[Baum]::N,pine,ттарлил мурхь
135,Weide[Baum]::N,willow,щавщи
136,Tanne::N,fir,ттарлил мурхь
137,Horn::N,horn,хъи
138,Feder::N,feather,лелуххул тӏиму
139,Fell::N,fur,бурчу
140,Flügel::N,wing,хъа
141,Flügel::N,wing,ххурупӏайрал тӏиму
142,Klaue::N,claw,михь
143,Kralle::N,claw,ххяппа
144,Schwanz::N,tail,магъ
145,Ei::N,egg,ккунук
146,Nest::N,nest,кюру
147,Bau::N,lair,цукъуккутӏ
148,Tier::N,animal,хӏайван
149,Herde::N,flock,газу
150,Kuh::N,cow,оьл
151,Bulle::N,bull,ниц
152,Pferd::N,horse,чу
153,Schaf::N,sheep,тта
154,Schwein::N,pig,дунгъуз
155,Hund::N,dog,ккаччи
156,Katze::N,cat,ччиту
157,Bär::N,bear,цуша
158,Eichhörnchen::N,squirrel,бюрхттукку
159,Elch::N,elk,ниц-бюрин
160,Fuchs::N,fox,цулчӏа
161,Fuchs::N,fox,куча цулчӏа
162,Hase::N,hare,бюрх
163,Maus::N,mouse,кӏулу
164,Wolf::N,wolf,барцӏ
165,Vogel::N,bird,лелуххи
166,Schwarm::N,swarm,гьухъала
167,Huhn::N,chicken,аьнакӏи
168,Hahn::N,cock,ажари
169,Gans::N,goose,къаз
170,Adler::N,eagle,барзу
171,Ente::N,duck,урдак
172,Eule::N,owl,ису
173,Eule::N,owl,ччиккумяв
174,Kranich::N,crane,кьурукь
175,Krähe::N,crow,хъатӏу
176,Kuckuck::N,cuckoo,ччикку
177,Schwan::N,swan,урттил къаз
178,Fisch::N,fish,чавахъ
179,Barsch::N,perch,
180,Hecht::N,pike,
181,Schlange[Tier]::N,snake,шатта
182,Wurm::N,worm,кьюнукьай шатта
183,Spinne::N,spider,ххялцу
184,Ameise::N,ant,митӏикьукьу
185,Laus::N,louse,
186,Mücke::N,midge,мичӏак
187,Fliege::N,fly,зимиз
188,Schmetterling::N,butterfly,чӏимучӏали
189,Beere::N,berry,хӏаллил ахъулсса
190,Apfel::N,apple,гьивч
191,Pilz::N,mushroom,ттуккул иис
192,Zwiebel::N,onion,лаччул чсмусул бакӏ
193,Saat::N,seed,гьанна
194,Korn::N,grain,къама
195,Heu::N,hay,ххулув
196,Schale::N,husk,ккиртту
197,Grube::N,pit,кӏаланг
198,Falle::N,trap,къатӏа
199,Schlinge::N,noose,хӏатӏ
200,Spur::N,track,ша
201,Asche::N,ashes,лах
202,Dreck::N,filth,кьяркьи
203,Dreck::N,filth,венп
204,Eisen::N,iron,мах
205,Gold::N,gold,муси
206,Silber::N,silver,арцу
207,Kohle::N,coal,кӏалаш
208,Kohle::N,coal,хъуручӏ
209,Glas::N,glass,пюрун
210,Lehm::N,clay,сина аьрщи
211,Sand::N,sand,къун
212,Mensch::N,human,инсан
213,Mann::N,man,чув
214,Mann::N,man,адимина
215,Frau::N,woman,щарсса
216,Frau::N,woman,хъамитайпа
217,Kind::N,child,чӏиви оьрчӏ
218,Junge::N,boy,оьрчӏ
219,Junge::N,boy,бурхьин оьрчӏ
220,Mädchen::N,girl,душ
221,Familie::N,family,кулпат
222,Großvater::N,grandfather,ттатта
223,Großvater::N,grandfather,ниттил ппу
224,Großmutter::N,grandmother,буттал нину
225,Eltern::N,parents,нину-ппу
226,Vater::N,father,ппу
227,Mutter::N,mother,нину
228,Sohn::N,son,арс
229,Tochter::N,daughter,душ
230,Bruder::N,brother,уссу
231,Schwester::N,sister,ссу
232,Onkel::N,uncle,буттауссу
233,Tante::N,aunt,буттал ссу
234,Ehemann::N,husband,лас
235,Ehefrau::N,wife,щар
236,Ehefrau::N,wife,щарсса
237,Freude::N,joy,шадшиву
238,Freude::N,joy,ххаришиву
239,Gelächter::N,laughter,хъяхъаву
240,Glück::N,happiness,талихӏ
241,Kummer::N,grief,дард
242,Wunsch::N,wish,мурад
243,Lust::N,desire,гьавас
244,Lust::N,desire,ччаву
245,Geist::N,spirit,рухӏ
246,Gedanke::N,thought,пикри
247,Gedächtnis::N,memory,дакӏний личӏаву
248,Verstand::N,mind,аькьлу
249,Sinn::N,meaning,мяъна
250,Grund::N,reason,багьана
251,Wahrheit::N,truth,тӏайламур
252,Wahrheit::N,truth,хӏакьмур
253,Gespräch::N,talk,ихтилат
254,Märchen::N,fairy tale,магьа
255,Erzählung::N,story,хавар
256,Nachricht::N,message,хавар
257,Neuigkeit::N,news,хавар
258,Name::N,name,цӏа
259,Rätsel::N,puzzle,ссигьа
260,Rede::N,speech,гъалгъа
261,Sprache::N,language,маз
262,Stimme::N,voice,чӏу
263,Stimme::N,voice,чӏукӏа
264,Wort::N,word,махъ
265,Zeichen::N,sign,лишан
266,Ruf::N,call,
267,Lärm::N,noise,чӏу
268,Laut::N,sound,чӏу
269,Ton::N,tone,чӏу
270,Lied::N,song,балай
271,Ruhe::N,calm,дигьалагру
272,Leute::N,people,инсантал
273,Volk::N,nation,ил
274,Volk::N,nation,халкь
275,Arbeit::N,work,заву
276,Gast::N,guest,хъамаличу
277,Geschenk::N,gift,бухчакарши
278,Geschenk::N,gift,лажинккакку
279,Spiel::N,game,тӏуркӏу
280,Gesellschaft::N,company,жямат
281,Gesellschaft::N,company,ккуран
282,Hilfe::N,help,кумаг
283,Freund::N,friend,дус
284,Kamerad::N,companion,хӏаласу
285,Angelegenheit::N,matter,иш
286,Anzahl::N,count,аьдад
287,Art::N,sort,жинс
288,Stück::N,piece,касак
289,Teil::N,part,бутӏа
290,Hälfte::N,half,дачӏи
291,Kreis::N,circle,кюрщан
292,Kreuz::N,cross,ххач
293,Linie::N,line,щва
294,Strich::N,stroke,щва
295,Abstand::N,gap,манзил
296,Entfernung::N,distance,манзил
297,Gegend::N,area,кӏану
298,Platz::N,space,
299,Ort::N,place,кӏану
300,Seite::N,side,чул
301,Seite::N,side,чулухалу
302,Mitte::N,middle,дя
303,Gegenstand::N,item,зат
304,Sache::N,thing,зат
305,Rand::N,fringe,зума
306,Kante::N,edge,
307,Ecke::N,corner,мурцӏу
308,Spitze::N,tip,мицӏ
309,Ende::N,end,зума
310,Loch::N,hole,ккутӏ
311,Winkel::N,angle,мурцӏу
312,Muster::N,pattern,накьич
313,Größe::N,size,
314,Länge::N,length,лахъишиву
315,Höhe::N,height,лахъшиву
