,Concept_ID,eu,ja
0,Auge::N,begi,目
1,Ohr::N,belarri,耳
2,Nase::N,sudur,鼻
3,Mund::N,aho,口
4,Zahn::N,hortz,歯
5,Zunge::N,mihi,舌
6,Lippe::N,ezpain,唇
7,Wange::N,masail,頬
8,Gesicht::N,aurpegi,顔
9,Stirn::N,bekoki,額
10,Haar::N,ile,髪
11,Haar::N,bilo,髪
12,Schnurrbart::N,bibote,口髭
13,Schnurrbart::N,sudurpeko,口髭
14,Bart::N,bizar,髭
15,Kinn::N,kokots,顎
16,Kiefer[Anatomie]::N,masailezur,顎
17,Kehle::N,eztarri,喉
18,Hals::N,sama,首
19,Genick::N,garondo,首
20,Kopf::N,buru,頭
21,Rücken::N,bizkar,背中
22,Bauch::N,sabel,腹
23,Bauch::N,sabel,お腹
24,Nabel::N,zilbor,へそ
25,Busen::N,titi,乳房
26,Busen::N,ugatz,乳房
27,Brust::N,bular,胸
28,Schulter::N,besaburu,肩
29,Arm::N,beso,腕
30,Ellenbogen::N,ukondo,肘
31,Hand::N,esku,手
32,Handfläche::N,ahur,手のひら
33,Finger::N,hatz,指
34,Fingernagel::N,azazkal,爪
35,Nagel[Anatomie]::N,azazkal,爪
36,Zeh::N,behatz,足の指
37,Fuß::N,oin,足
38,Ferse::N,orpo,かかと
39,Ferse::N,oinburu,かかと
40,Knie::N,belaun,膝
41,Oberschenkel::N,izter,上腿
42,Bein::N,zango,足
43,Körper::N,soin,体
44,Haut::N,azal,皮膚
45,Blut::N,odol,血
46,Ader::N,zain,血管
47,Sehne::N,gihar-zain,腱
48,Knochen::N,hezur,骨
49,Gehirn::N,garun,脳
50,Gehirn::N,burmuin,脳
51,Herz::N,bihotz,心
52,Herz::N,bihotz,心臓
53,Magen::N,urdail,胃
54,Leber::N,gibel,肝臓
55,Atem::N,hats,息
56,Atem::N,hats,呼吸
57,Atem::N,arnasa,息
58,Atem::N,arnasa,呼吸
59,Hunger::N,gose,空腹
60,Träne::N,malko,涙
61,Geschmack::N,dasta,味
62,Geruch::N,usain,匂い
63,Schlaf::N,lo,睡眠
64,Traum::N,amets,夢
65,Himmel::N,zeru,空
66,Sonne::N,eguzki,太陽
67,Mond::N,ilargi,月
68,Stern::N,izar,星
69,Luft::N,aire,空気
70,Wind::N,haize,風
71,Welle::N,uhin,波
72,Welle::N,olatu,波
73,Wasser::N,ur,水
74,Stein::N,harri,石
75,Boden::N,lur,土地
76,Boden::N,zoru,土地
77,Erde::N,lur,土
78,Staub::N,hauts,埃
79,Rauch::N,ke,煙
80,Funke::N,zirta,火花
81,Funke::N,txinparta,火花
82,Feuer::N,su,火
83,Licht::N,argi,光
84,Schatten::N,itzal,陰
85,Schatten::N,geriza,陰
86,Wetter::N,eguraldi,天気
87,Nebel::N,laino,霧
88,Wolke::N,hodei,雲
89,Regen::N,euri,雨
90,Schnee::N,elur,雪
91,Eis::N,horma,氷
92,Frost::N,izotzaldi,霜
93,Kälte::N,hotz,寒さ
94,Hitze::N,bero,暑さ
95,Raureif::N,antzigar,霧氷
96,Regenbogen::N,ostadar,虹
97,Regenbogen::N,ortzadar,虹
98,Donner::N,ostots,雷
99,Donner::N,ihurtzuri,雷
100,Strömung::N,laster,流れ
101,Tropfen::N,xorta,滴
102,Schaum::N,bits,泡
103,Schmutz::N,lohi,汚れ
104,Schmutz::N,zikin,汚れ
105,See::N,laku,湖
106,See::N,aintzira,湖
107,Sumpf::N,zingira,沼
108,Moor::N,zohikaztegi,湿原
109,Wiese::N,larre,草原
110,Wiese::N,belardi,草原
111,Wald::N,baso,森
112,Wald::N,oihan,森
113,Hügel::N,muino,丘
114,Hügel::N,pentoka,丘
