,Concept_ID,hi,mn
0,Auge::N,आँख,нүд
1,Auge::N,चक्षु,нүд
2,Ohr::N,कान,чих
3,Ohr::N,कर्ण,чих
4,Nase::N,नाक,хамар
5,Nase::N,नासा,хамар
6,Mund::N,मुख,ам
7,Mund::N,मुँह,ам
8,Zahn::N,दंत,шүд
9,Zahn::N,दाँत,шүд
10,Zunge::N,जीभ,хэл
11,Zunge::N,ज़बान,хэл
12,Zunge::N,जिह्वा,хэл
13,Lippe::N,ओंठ,уруул
14,Lippe::N,होंठ,уруул
15,Wange::N,गाल,хацар
16,Wange::N,कपोल,хацар
17,Gesicht::N,मुँह,царай
18,Gesicht::N,मुँह,нүүр
19,Gesicht::N,चेहरा,царай
20,Gesicht::N,चेहरा,нүүр
21,Stirn::N,माथा,дух
22,Stirn::N,मस्तक,дух
23,Haar::N,बाल,үс
24,Schnurrbart::N,मूँछें,дээд сахал
25,Schnurrbart::N,मूँछें,живэр сахал
26,Bart::N,दाढ़ी,сахал
27,Kinn::N,चिबुक,эрүү
28,Kiefer[Anatomie]::N,जबड़ा,эрүү
29,Kehle::N,गला,хоолой
30,Hals::N,गला,хүзүү
31,Hals::N,गरदन,хүзүү
32,Genick::N,गरदन,шил
33,Genick::N,गरदन,хүзүү
34,Genick::N,ग्रीवा,шил
35,Genick::N,ग्रीवा,хүзүү
36,Kopf::N,सिर,толгой
37,Kopf::N,शीर्ष,толгой
38,Rücken::N,पीठ,ар
39,Rücken::N,पीठ,нуруу
40,Bauch::N,उदर,хэвлий
41,Bauch::N,उदर,гэдэс
42,Nabel::N,नाभि,хүйс
43,Nabel::N,ढोंढी,хүйс
44,Busen::N,कुच,хөх
45,Busen::N,स्तन,хөх
46,Brust::N,वक्ष,цээж
47,Schulter::N,कंधा,мөр
48,Schulter::N,कंधा,бугалга
49,Schulter::N,स्कंध,мөр
50,Schulter::N,स्कंध,бугалга
51,Arm::N,बाँह,гар
52,Arm::N,बाज़ू,гар
53,Ellenbogen::N,कुहनी,тохой
54,Hand::N,हाथ,гар
55,Hand::N,हाथ,алга
56,Hand::N,हस्त,гар
57,Hand::N,हस्त,алга
58,Handfläche::N,हथेली,алга
59,Finger::N,उँगली,хуруу
60,Finger::N,अँगुली,хуруу
61,Fingernagel::N,नख,хурууны хумс
62,Fingernagel::N,नाख़ून,хурууны хумс
63,Nagel[Anatomie]::N,नख,хумс
64,Nagel[Anatomie]::N,नाख़ून,хумс
65,Zeh::N,उँगली,хуруу
