,Concept_ID,kl,ga
0,Auge::N,isi,súil
1,Ohr::N,siut,cluas
2,Mund::N,paaq,béal
3,Mund::N,qaneq,béal
4,Zahn::N,kigut,fiacail
5,Zunge::N,oqaq,teanga
6,Lippe::N,qarloq,liopa
7,Wange::N,ersaq,grua
8,Wange::N,ersaq,leiceann
9,Gesicht::N,kiinaq,éadan
10,Gesicht::N,kiinaq,aghaidh
11,Stirn::N,qaaq,baithis
12,Stirn::N,qaaq,clár éadain
13,Haar::N,meqqoq,gruaig
14,Bart::N,umik,féasóg
15,Kinn::N,talloq,smig
16,Kiefer[Anatomie]::N,alleroq,giall
17,Kehle::N,malaq,scornach
18,Hals::N,qungaseq,muinéal
19,Genick::N,pukusuk,baic
20,Kopf::N,niaqoq,ceann
21,Rücken::N,qimerlut,droim
22,Bauch::N,naaq,bolg
23,Nabel::N,qalaseq,imleacán
24,Busen::N,iviangeq,cíoch
25,Brust::N,iviangeq,brollach
26,Schulter::N,ersik,gualainn
27,Schulter::N,assaqqoq,gualainn
28,Arm::N,taleq,lámh
29,Ellenbogen::N,ikusik,uillinn
30,Hand::N,assak,lámh
31,Handfläche::N,itumak,bos
32,Finger::N,inuak,méar
33,Fingernagel::N,kikiak,ionga
34,Nagel[Anatomie]::N,kukik,ionga
35,Zeh::N,isigak,ladhar
36,Ferse::N,kimmik,sáil
37,Knie::N,seeqqoq,glúin
38,Oberschenkel::N,uppat,ceathrú
39,Oberschenkel::N,quttoraq,ceathrú
40,Bein::N,isigak,cos
41,Körper::N,timi,corp
42,Körper::N,timi,colainn
43,Haut::N,mattak,cneas
44,Haut::N,mattak,craiceann
45,Blut::N,aak,fuil
46,Ader::N,taqaq,
47,Sehne::N,ujalu,teannán
48,Sehne::N,ujalu,féitheog
49,Sehne::N,ujaloq,teannán
50,Sehne::N,ujaloq,féitheog
51,Knochen::N,saanikut,cnámh
52,Gehirn::N,qarasaq,inchinn
53,Herz::N,uummat,croí
54,Magen::N,aqajaroq,bolg
55,Magen::N,aqajaroq,goile
56,Leber::N,tinguk,ae
57,Atem::N,anerneq,anáil
58,Hunger::N,kaanneq,ocras
59,Träne::N,qia,deoir
60,Träne::N,qiak,deoir
61,Geschmack::N,qilanaartuut,blas
62,Geruch::N,tipi,boladh
63,Geruch::N,tipik,boladh
64,Traum::N,sinnattoq,taibhreamh
65,Traum::N,sinnattugaq,taibhreamh
66,Himmel::N,qilak,spéir
67,Sonne::N,seqineq,grian
68,Mond::N,qaammat,ré
