,Concept_ID,lbe,ps
0,Auge::N,я,سترګه
1,Ohr::N,вичӏи,غوږ
2,Nase::N,май,پوزه
3,Mund::N,кьацӏ,خوله
4,Zahn::N,ккарччи,غاښ
5,Zunge::N,маз,جبه
6,Lippe::N,мурччи,شونډه
7,Wange::N,чӏав,باړخو
8,Gesicht::N,лажин,مخ
9,Stirn::N,ненттабакӏ,تندی
10,Stirn::N,ненттабакӏ,وچولی
11,Haar::N,чӏара,وېښته
12,Schnurrbart::N,ссирссилтту,برېت
13,Bart::N,чӏири,ږیره
14,Kinn::N,лунттубакӏ,زنه
15,Kiefer[Anatomie]::N,ххинчулул,جامه
16,Kehle::N,кьакьари,غاړه
17,Hals::N,ссурссу,غاړه
18,Genick::N,махъабакӏ,ورمېږ
19,Kopf::N,бакӏ,سر
20,Rücken::N,ттиликӏ,شا
21,Bauch::N,лякьа,نس
22,Bauch::N,лякьа,ګېډه
23,Nabel::N,цӏумуккутӏ,نوم
24,Busen::N,ккукку,تی
25,Brust::N,хъазам,سینه
26,Schulter::N,хъачӏ,اوږه
27,Arm::N,ка,لاس
28,Ellenbogen::N,ссюрхъ,څنګل
29,Hand::N,бартка,لاس
30,Handfläche::N,хъат,ورغوی
31,Handfläche::N,битӏянхъ,ورغوی
32,Finger::N,кӏисса,ګوته
33,Fingernagel::N,михь,نوک
34,Nagel[Anatomie]::N,михь,نوک
35,Zeh::N,кӏисса,ګوته
36,Fuß::N,чӏанччан,پښه
37,Ferse::N,никъа,پونده
38,Knie::N,ник,زنګون
39,Oberschenkel::N,жира,پتون
40,Bein::N,ччан,پښه
41,Körper::N,чурх,ځان
42,Haut::N,бурчу,پوټکی
43,Blut::N,оь,وینه
44,Ader::N,тунну,رګ
45,Sehne::N,хьхьа,پله
46,Knochen::N,ттаркӏ,هډوکی
47,Gehirn::N,ня,ماغزه
48,Herz::N,дакӏ,زړه
49,Herz::N,къюкӏ,زړه
50,Magen::N,лякьа,معده
51,Atem::N,ссихӏ ласаву,نفس
52,Atem::N,ссихӏ бигьаву,نفس
53,Hunger::N,ккаши,ولږه
54,Träne::N,макь,اوښکه
55,Geschmack::N,тӏин,مزه
56,Geschmack::N,тӏин,خوند
57,Geschmack::N,тӏааьн,مزه
58,Geschmack::N,тӏааьн,خوند
59,Geruch::N,кьанкь,بوی
60,Schlaf::N,шану,خوب
61,Traum::N,макӏру,خوب
62,Himmel::N,ссав,اسمان
63,Sonne::N,баргъ,لمر
64,Mond::N,барз,سپوږمۍ
65,Stern::N,цӏуку,ستوری
66,Luft::N,гьава,هوا
67,Wind::N,марч,ورښ
68,Welle::N,щатӏи,موج
69,Wasser::N,щин,اوبه
70,Stein::N,чару,ډبره
71,Boden::N,аьрщи,مځکه
72,Erde::N,аьрщи,خاوره
73,Staub::N,ххит,ګرد
74,Staub::N,ххит,خاوره
75,Rauch::N,пуркӏу,دود
76,Rauch::N,пуркӏу,لوګی
77,Funke::N,пиягь,سپرغۍ
78,Feuer::N,цӏу,اور
79,Licht::N,чани,رڼا
80,Schatten::N,ххют,سیوری
81,Wetter::N,гьава,هوا
82,Nebel::N,шархь ттурлу,لړه
83,Wolke::N,ттурлу,ورېځ
84,Regen::N,гъарал,وریا
85,Regen::N,гъарал,باران
86,Schnee::N,марххала,واوره
87,Eis::N,микӏ,یخ
88,Eis::N,микӏ,کنګل
89,Frost::N,дяркъу,یخ
90,Frost::N,замгьар,یخ
91,Kälte::N,дяркъу,ساړه
92,Hitze::N,кӏиришиву,تودوخي
93,Raureif::N,сил,سپینه پرخه
94,Raureif::N,бурса,سپینه پرخه
95,Regenbogen::N,ссурул ккуртта,بوډۍ ټال
96,Regenbogen::N,ссурул ккуртта,سره زرغونه
97,Donner::N,къув,تالنده
98,Strömung::N,экьинанаву,بهېدنه
99,Tropfen::N,кӏунтӏ,قطره
