,Concept_ID,es,he
0,Auge::N,ojo,עין
1,Ohr::N,oreja,אזן
2,Nase::N,nariz,אף
3,Nase::N,nariz,חטם
4,Mund::N,boca,פה
5,Zahn::N,diente,שן
6,Zunge::N,lengua,לשון
7,Lippe::N,labio,שפה
8,Wange::N,mejilla,לחי
9,Gesicht::N,cara,פנים
10,Stirn::N,frente,מצח
11,Haar::N,cabello,שערה
12,Schnurrbart::N,bigote,שפם
13,Bart::N,barba,זקן
14,Kinn::N,barbilla,סנטר
15,Kiefer[Anatomie]::N,mandíbula,לסת
16,Kehle::N,garganta,גרון
17,Hals::N,cuello,צואר
18,Genick::N,nuca,ערף
19,Genick::N,cerviz,ערף
20,Kopf::N,cabeza,ראש
21,Rücken::N,espalda,גב
22,Bauch::N,vientre,בטן
23,Nabel::N,ombligo,טבור
24,Busen::N,pecho,שד
25,Brust::N,pecho,חזה
26,Schulter::N,hombro,כתף
27,Arm::N,brazo,זרוע
28,Ellenbogen::N,codo,מרפק
29,Hand::N,mano,יד
30,Handfläche::N,palma,כף יד
31,Finger::N,dedo,אצבע
32,Fingernagel::N,uña,צפרן
33,Nagel[Anatomie]::N,uña,צפרן
34,Zeh::N,dedo del pie,אצבע
35,Fuß::N,pie,רגל
36,Ferse::N,talón,עקב
37,Knie::N,rodilla,ברך
38,Oberschenkel::N,muslo,ירך
39,Bein::N,pierna,רגל
40,Körper::N,cuerpo,גוף
41,Haut::N,piel,עור
42,Blut::N,sangre,דם
43,Ader::N,vena,וריד
44,Sehne::N,tendón,גיד
45,Knochen::N,hueso,עצם
46,Gehirn::N,cerebro,מוח
47,Gehirn::N,encéfalo,מוח
48,Herz::N,corazón,לב
49,Magen::N,estómago,קבה
50,Leber::N,hígado,כבד
51,Atem::N,aliento,נשימה
52,Hunger::N,hambre,רעב
53,Träne::N,lágrima,דמעה
54,Geschmack::N,gusto,טעם
55,Geruch::N,olor,ריח
56,Schlaf::N,sueño,שנה
57,Traum::N,sueño,חלום
58,Traum::N,ensueño,חלום
59,Himmel::N,cielo,שמים
60,Sonne::N,sol,שמש
61,Mond::N,luna,ירח
62,Stern::N,estrella,כוכב
63,Luft::N,aire,אויר
64,Wind::N,viento,רוח
65,Welle::N,ola,גל
66,Welle::N,onda,גל
67,Wasser::N,agua,מים
68,Stein::N,piedra,אבן
69,Boden::N,suelo,קרקע
70,Erde::N,tierra,אדמה
71,Staub::N,polvo,אבק
72,Rauch::N,humo,עשן
73,Funke::N,chispa,ניצוץ
74,Feuer::N,fuego,אש
75,Licht::N,luz,אור
76,Schatten::N,sombra,צל
77,Wetter::N,tiempo,מזג אויר
78,Nebel::N,niebla,ערפל
79,Wolke::N,nube,ענן
80,Regen::N,lluvia,גשם
81,Schnee::N,nieve,שלג
82,Eis::N,hielo,קרח
83,Frost::N,helada,צנה
84,Kälte::N,frío,קר
85,Hitze::N,calor,חם
86,Raureif::N,escarcha,כפור
87,Regenbogen::N,arco iris,קשת
88,Donner::N,trueno,רעם
89,Strömung::N,corriente,זרימה
90,Tropfen::N,gota,טפה
91,Schaum::N,espuma,קצף
92,Schmutz::N,suciedad,לכלוך
93,See::N,lago,אגם
94,Sumpf::N,pantano,בצה
95,Moor::N,turbera,בצה
96,Wiese::N,prado,מרעה
97,Wiese::N,pradera,מרעה
98,Wald::N,bosque,יער
99,Hügel::N,colina,תל
100,Anhöhe::N,cerro,מעלה
101,Berg::N,monte,הר
102,Berg::N,montaña,הר
103,Gipfel::N,cima,פסגה
104,Gipfel::N,cumbre,פסגה
105,Höhle::N,cueva,מערה
106,Höhle::N,caverna,מערה
107,Abhang::N,cuesta,מדרון
108,Abhang::N,cuesta,שפוע
109,Abhang::N,declive,מדרון
110,Abhang::N,declive,שפוע
111,Quelle::N,fuente,מעין
112,Quelle::N,manantial,מעין
113,Bach::N,arroyo,נחל
114,Fluss::N,río,נהר
115,Ufer::N,orilla,גדה
116,Küste::N,costa,חוף
117,Festland::N,tierra firme,יבשה
118,Meer::N,mar,ים
119,Bucht::N,cala,מפרץ
120,Bucht::N,bahía,מפרץ
121,Insel::N,isla,אי
122,Blume::N,flor,פרח
123,Gras::N,hierba,דשא
124,Wurzel::N,raíz,שרש
125,Baum::N,árbol,עץ
126,Stamm::N,tronco,גזע
127,Rinde::N,corteza,קלפת עץ
128,Ast::N,rama,ענף
129,Zweig::N,ramo,ענף
130,Blatt::N,hoja,עלה
131,Birke::N,abedul,שדר
132,Kiefer[Baum]::N,pino,ארן
133,Weide[Baum]::N,sauce,ערבה
134,Tanne::N,abeto,אשוח
135,Horn::N,asta,קרן
136,Horn::N,cuerno,קרן
137,Feder::N,pluma,נוצה
138,Fell::N,piel,פרוה
139,Flügel::N,ala,כנף
140,Klaue::N,garra,טלף
141,Kralle::N,uña,טפר
142,Kralle::N,garra,טפר
143,Schwanz::N,cola,זנב
144,Ei::N,huevo,ביצה
145,Nest::N,nido,קן
146,Bau::N,madriguera,מחלה
147,Tier::N,animal,חיה
148,Herde::N,rebaño,עדר
149,Kuh::N,vaca,פרה
150,Bulle::N,toro,פר
151,Pferd::N,caballo,סוס
152,Schaf::N,oveja,כבשה
153,Schwein::N,cerdo,חזיר
154,Hund::N,perro,כלב
155,Katze::N,gato,חתול
156,Bär::N,oso,דב
157,Eichhörnchen::N,ardilla,סנאי
158,Elch::N,alce,דישון
159,Fuchs::N,zorro,שועל
160,Hase::N,liebre,ארנב
161,Maus::N,ratón,עכבר
162,Wolf::N,lobo,זאב
163,Vogel::N,ave,צפור
164,Vogel::N,pájaro,צפור
