,Concept_ID,es,tr
0,Auge::N,ojo,göz
1,Ohr::N,oreja,kulak
2,Nase::N,nariz,burun
3,Mund::N,boca,ağız
4,Zahn::N,diente,diş
5,Zunge::N,lengua,dil
6,Lippe::N,labio,dudak
7,Wange::N,mejilla,yanak
8,Gesicht::N,cara,yüz
9,Stirn::N,frente,alın
10,Haar::N,cabello,saç
11,Schnurrbart::N,bigote,bıyık
12,Bart::N,barba,sakal
13,Kinn::N,barbilla,çene
14,Kiefer[Anatomie]::N,mandíbula,çene
15,Kehle::N,garganta,boğaz
16,Hals::N,cuello,boyun
17,Hals::N,cuello,gerdan
18,Genick::N,nuca,ense
19,Genick::N,cerviz,ense
20,Kopf::N,cabeza,baş
21,Kopf::N,cabeza,kafa
22,Rücken::N,espalda,arka
23,Bauch::N,vientre,karın
24,Nabel::N,ombligo,göbek
25,Busen::N,pecho,koyun
26,Brust::N,pecho,göğüs
27,Schulter::N,hombro,omuz
28,Arm::N,brazo,kol
29,Ellenbogen::N,codo,dirsek
30,Hand::N,mano,el
31,Handfläche::N,palma,avuç
32,Handfläche::N,palma,el ayası
33,Finger::N,dedo,parmak
34,Fingernagel::N,uña,el tırnağı
35,Nagel[Anatomie]::N,uña,tırnak
36,Zeh::N,dedo del pie,ayak parmağı
37,Fuß::N,pie,ayak
38,Ferse::N,talón,topuk
39,Knie::N,rodilla,diz
40,Oberschenkel::N,muslo,uyluk
41,Bein::N,pierna,bacak
42,Körper::N,cuerpo,vücut
43,Haut::N,piel,cilt
44,Blut::N,sangre,kan
45,Ader::N,vena,damar
46,Sehne::N,tendón,kiriş
47,Knochen::N,hueso,kemik
48,Gehirn::N,cerebro,beyin
49,Gehirn::N,encéfalo,beyin
50,Herz::N,corazón,kalp
51,Herz::N,corazón,yürek
52,Magen::N,estómago,mide
53,Leber::N,hígado,karaciğer
54,Atem::N,aliento,nefes
55,Hunger::N,hambre,açlık
56,Träne::N,lágrima,gözyaşı
57,Geschmack::N,gusto,tat
58,Geschmack::N,gusto,lezzet
59,Geruch::N,olor,koku
60,Schlaf::N,sueño,uyku
61,Traum::N,sueño,düş
62,Traum::N,sueño,rüya
63,Traum::N,ensueño,düş
64,Traum::N,ensueño,rüya
65,Himmel::N,cielo,gök
66,Sonne::N,sol,güneş
67,Mond::N,luna,ay
68,Stern::N,estrella,yıldız
69,Luft::N,aire,hava
70,Wind::N,viento,yel
71,Wind::N,viento,rüzgâr
72,Welle::N,ola,dalga
73,Welle::N,onda,dalga
74,Wasser::N,agua,su
75,Stein::N,piedra,taş
76,Boden::N,suelo,yer
77,Boden::N,suelo,zemin
78,Erde::N,tierra,toprak
79,Staub::N,polvo,toz
80,Rauch::N,humo,duman
81,Funke::N,chispa,kıvılcım
82,Feuer::N,fuego,ateş
83,Licht::N,luz,ışık
84,Schatten::N,sombra,gölge
85,Wetter::N,tiempo,hava
86,Nebel::N,niebla,pus
87,Wolke::N,nube,bulut
88,Regen::N,lluvia,yağmur
89,Schnee::N,nieve,kar
90,Eis::N,hielo,buz
91,Frost::N,helada,don
92,Kälte::N,frío,soğukluk
93,Hitze::N,calor,sıcaklık
94,Raureif::N,escarcha,kırç
95,Regenbogen::N,arco iris,gökkuşağı
96,Donner::N,trueno,gök gürlemesi
97,Strömung::N,corriente,akıntı
98,Strömung::N,corriente,cereyan
99,Tropfen::N,gota,damla
100,Schaum::N,espuma,köpük
101,Schmutz::N,suciedad,çamur
102,Schmutz::N,suciedad,pislik
103,See::N,lago,göl
104,Sumpf::N,pantano,batak
105,Moor::N,turbera,cılgıt
106,Wiese::N,prado,çimen
107,Wiese::N,pradera,çimen
108,Wald::N,bosque,koru
109,Wald::N,bosque,orman
110,Hügel::N,colina,tepe
111,Anhöhe::N,cerro,tümsek
112,Anhöhe::N,cerro,yükseklik
113,Berg::N,monte,dağ
114,Berg::N,montaña,dağ
115,Gipfel::N,cima,zirve
116,Gipfel::N,cumbre,zirve
117,Höhle::N,cueva,in
118,Höhle::N,cueva,mağara
119,Höhle::N,caverna,in
120,Höhle::N,caverna,mağara
121,Abhang::N,cuesta,bayır
122,Abhang::N,declive,bayır
123,Quelle::N,fuente,pınar
124,Quelle::N,fuente,kaynak
125,Quelle::N,manantial,pınar
126,Quelle::N,manantial,kaynak
127,Bach::N,arroyo,çay
128,Bach::N,arroyo,dere
129,Fluss::N,río,nehir
130,Ufer::N,orilla,kıyı
131,Ufer::N,orilla,sahil
132,Küste::N,costa,kıyı
133,Küste::N,costa,sahil
134,Festland::N,tierra firme,kara
135,Meer::N,mar,deniz
136,Bucht::N,cala,koy
137,Bucht::N,cala,körfez
138,Bucht::N,bahía,koy
139,Bucht::N,bahía,körfez
140,Insel::N,isla,ada
141,Blume::N,flor,çiçek
142,Gras::N,hierba,ot
143,Gras::N,hierba,çim
144,Wurzel::N,raíz,kök
145,Baum::N,árbol,ağaç
146,Stamm::N,tronco,gövde
147,Rinde::N,corteza,kabuk
148,Ast::N,rama,dal
149,Ast::N,rama,budak
150,Zweig::N,ramo,dal
151,Blatt::N,hoja,yaprak
152,Birke::N,abedul,huş
153,Kiefer[Baum]::N,pino,çam
154,Weide[Baum]::N,sauce,söğüt
155,Tanne::N,abeto,çam
156,Tanne::N,abeto,köknar
157,Horn::N,asta,boynuz
158,Horn::N,cuerno,boynuz
159,Feder::N,pluma,tüy
160,Fell::N,piel,post
161,Flügel::N,ala,kanat
162,Klaue::N,garra,pençe
163,Kralle::N,uña,tırnak
164,Kralle::N,garra,tırnak
165,Schwanz::N,cola,kuyruk
166,Ei::N,huevo,yumurta
167,Nest::N,nido,yuva
168,Bau::N,madriguera,in
169,Tier::N,animal,hayvan
170,Herde::N,rebaño,sürü
171,Kuh::N,vaca,inek
172,Bulle::N,toro,boğa
173,Pferd::N,caballo,at
174,Pferd::N,caballo,beygir
175,Schaf::N,oveja,koyun
176,Schwein::N,cerdo,domuz
177,Hund::N,perro,it
178,Hund::N,perro,köpek
179,Katze::N,gato,kedi
180,Bär::N,oso,ayı
181,Eichhörnchen::N,ardilla,sincap
182,Elch::N,alce,büyük kuzey geyiği
183,Fuchs::N,zorro,tilki
184,Hase::N,liebre,tavşan
185,Maus::N,ratón,fare
186,Maus::N,ratón,sıçan
187,Wolf::N,lobo,kurt
188,Vogel::N,ave,kuş
189,Vogel::N,pájaro,kuş
190,Schwarm::N,bandada,sürü
191,Huhn::N,gallina,tavuk
192,Hahn::N,gallo,horoz
193,Gans::N,oca,kaz
194,Gans::N,ganso,kaz
195,Adler::N,águila,kartal
196,Adler::N,águila,karakuş
197,Ente::N,pato,ördek
198,Eule::N,lechuza,baykuş
199,Kranich::N,grulla,turna
200,Krähe::N,corneja,karga
201,Kuckuck::N,cuco,guguk
202,Schwan::N,cisne,kuğu
203,Fisch::N,pez,balık
204,Barsch::N,perca,hani
205,Barsch::N,perca,levrek
206,Hecht::N,lucio,turnabalığı
207,Schlange[Tier]::N,serpiente,yılan
208,Wurm::N,gusano,kurt
209,Wurm::N,gusano,solucan
210,Spinne::N,araña,örümcek
211,Ameise::N,hormiga,karınca
212,Laus::N,piojo,bit
213,Mücke::N,mosquito,sivrisinek
214,Fliege::N,mosca,sinek
215,Schmetterling::N,mariposa,kelebek
216,Beere::N,baya,tane
217,Apfel::N,manzana,elma
218,Pilz::N,seta,mantar
219,Pilz::N,hongo,mantar
220,Zwiebel::N,cebolla,soğan
221,Saat::N,siembra,ekin
222,Korn::N,grano,tane
223,Heu::N,heno,kuru ot
224,Schale::N,cáscara,kabuk
225,Grube::N,foso,çukur
226,Falle::N,trampa,tuzak
227,Schlinge::N,lazo,ilmik
228,Spur::N,huella,iz
229,Asche::N,ceniza,kül
230,Dreck::N,suciedad,pislik
231,Eisen::N,hierro,demir
232,Gold::N,oro,altın
233,Silber::N,plata,gümüş
234,Kohle::N,carbón,kömür
235,Glas::N,vidrio,cam
236,Glas::N,cristal,cam
237,Lehm::N,barro,balçık
238,Sand::N,arena,kum
239,Mensch::N,hombre,insan
240,Mensch::N,ser humano,insan
241,Mann::N,hombre,adam
242,Mann::N,hombre,erkek
243,Frau::N,mujer,bayan
244,Kind::N,niño,çocuk
245,Junge::N,chico,erkek çocuk
246,Junge::N,muchacho,erkek çocuk
247,Mädchen::N,chica,kız
248,Mädchen::N,muchacha,kız
249,Familie::N,familia,aile
250,Großvater::N,abuelo,dede
251,Großvater::N,abuelo,büyükbaba
252,Großmutter::N,abuela,nine
253,Großmutter::N,abuela,büyükanne
254,Eltern::N,padres,ebeveyn
255,Eltern::N,padres,ana baba
