,Concept_ID,en,ca
0,Auge::N,eye,ull
1,Ohr::N,ear,orella
2,Nase::N,nose,nas
3,Mund::N,mouth,boca
4,Zahn::N,tooth,dent
5,Zunge::N,tongue,llēngua
6,Lippe::N,lip,llavi
7,Wange::N,cheek,galta
8,Gesicht::N,face,cara
9,Stirn::N,forehead,front
10,Haar::N,hair,cabēll
11,Schnurrbart::N,moustache,bigoti
12,Bart::N,beard,barba
13,Kinn::N,chin,mentó
14,Kinn::N,chin,barbeta
15,Kiefer[Anatomie]::N,jaw,queix
16,Kiefer[Anatomie]::N,jaw,mandíbula
17,Kehle::N,throat,gola
18,Kehle::N,throat,gorja
19,Hals::N,neck,coll
20,Genick::N,nape,nuca
21,Kopf::N,head,cap
22,Rücken::N,back,esquena
23,Rücken::N,spine,esquena
24,Bauch::N,belly,panxa
25,Nabel::N,navel,llombrígol
26,Busen::N,bosom,pit
27,Busen::N,bosom,mama
28,Brust::N,chest,pit
29,Brust::N,breast,pit
30,Schulter::N,shoulder,espatlla
31,Arm::N,arm,braç
32,Ellenbogen::N,elbow,colze
33,Hand::N,hand,mà
34,Handfläche::N,palm,palma
35,Finger::N,finger,dit
36,Fingernagel::N,fingernail,ungla
37,Nagel[Anatomie]::N,nail,ungla
38,Zeh::N,toe,dit del peu
39,Fuß::N,foot,peu
40,Ferse::N,heel,taló
41,Knie::N,knee,genoll
42,Oberschenkel::N,thigh,cuixa
43,Bein::N,leg,cama
44,Körper::N,body,cos
45,Haut::N,skin,pell
46,Blut::N,blood,sang
47,Ader::N,vein,vena
48,Sehne::N,sinew,tendó
49,Knochen::N,bone,os
50,Gehirn::N,brain,cervell
51,Herz::N,heart,cor
52,Magen::N,stomach,estómac
53,Leber::N,liver,fetge
54,Atem::N,breath,alè
55,Atem::N,breath,hàlit
56,Hunger::N,hunger,fam
57,Hunger::N,hunger,gana
58,Träne::N,tear,llàgrima
59,Geschmack::N,flavour,gust
60,Geschmack::N,flavour,sabor
61,Geschmack::N,flavor,gust
62,Geschmack::N,flavor,sabor
63,Geruch::N,odour,olor
64,Geruch::N,odor,olor
65,Schlaf::N,sleep,son
66,Traum::N,dream,somni
67,Himmel::N,sky,celm
68,Sonne::N,sun,sol
69,Mond::N,moon,lluna
70,Stern::N,star,estel
71,Stern::N,star,estrella
72,Luft::N,air,aire
73,Wind::N,wind,vent
74,Welle::N,wave,ona
75,Wasser::N,water,āigua
76,Stein::N,stone,pedra
77,Boden::N,soil,sòl
78,Boden::N,ground,sòl
79,Erde::N,earth,terra
80,Staub::N,dust,pols
81,Rauch::N,smoke,fum
82,Funke::N,spark,guspira
83,Funke::N,spark,centella
84,Feuer::N,fire,foc
85,Licht::N,light,llum
86,Schatten::N,shadow,ombra
87,Wetter::N,weather,temps
88,Nebel::N,fog,boira
89,Wolke::N,cloud,núvol
90,Regen::N,rain,pluja
91,Schnee::N,snow,neu
92,Eis::N,ice,gel
93,Eis::N,ice,glaç
94,Frost::N,frost,glaçada
95,Kälte::N,chill,fred
96,Hitze::N,heat,calor
97,Raureif::N,hoarfrost,gebre
98,Regenbogen::N,rainbow,arc iris
99,Donner::N,thunder,tro
100,Strömung::N,current,corrent
101,Tropfen::N,drop,gota
102,Schaum::N,foam,escuma
103,Schmutz::N,dirt,brutícia
104,See::N,lake,llac
105,Sumpf::N,swamp,pantà
106,Moor::N,moor,pantà
107,Wiese::N,meadow,prat
108,Wiese::N,meadow,prada
109,Wald::N,forest,bosc
110,Hügel::N,hill,puig
111,Hügel::N,hill,pujol
112,Anhöhe::N,elevation,turó
113,Berg::N,mountain,muntanya
114,Gipfel::N,summit,cim
115,Höhle::N,cave,cova
116,Abhang::N,slope,coster
117,Quelle::N,source,font
118,Bach::N,brook,riera
119,Fluss::N,river,riu
120,Ufer::N,shore,riba
121,Küste::N,coast,costa
122,Festland::N,land,terra ferma
123,Meer::N,sea,mar
124,Bucht::N,cove,cala
125,Bucht::N,cove,badia
126,Insel::N,island,illa
127,Blume::N,flower,flor
128,Gras::N,grass,herba
129,Wurzel::N,root,rel
130,Wurzel::N,root,arrel
131,Baum::N,tree,arbre
132,Stamm::N,trunk,tronc
133,Rinde::N,bark,escorça
134,Ast::N,limb,branca
135,Zweig::N,branch,ram
136,Blatt::N,leaf,fulla
137,Birke::N,birch,bedoll
138,Kiefer[Baum]::N,pine,pi
139,Weide[Baum]::N,willow,salze
140,Tanne::N,fir,avet
141,Horn::N,horn,corn
142,Horn::N,horn,banya
143,Feder::N,feather,ploma
144,Fell::N,fur,pell
145,Flügel::N,wing,ala
146,Klaue::N,claw,urpa
147,Kralle::N,claw,grapa
148,Schwanz::N,tail,cua
149,Ei::N,egg,ou
150,Nest::N,nest,niu
151,Bau::N,lair,cau
152,Tier::N,animal,animāl
153,Herde::N,flock,ramat
154,Kuh::N,cow,vaca
155,Bulle::N,bull,toro
156,Pferd::N,horse,cavāll
157,Schaf::N,sheep,be
158,Schaf::N,sheep,ovella
159,Schwein::N,pig,bacó
160,Hund::N,dog,ca
161,Hund::N,dog,gos
162,Katze::N,cat,gat
163,Bär::N,bear,ós
164,Eichhörnchen::N,squirrel,esquirol
165,Elch::N,elk,ant
166,Fuchs::N,fox,guilla
167,Hase::N,hare,llebre
168,Maus::N,mouse,ratolí
